Income (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03,1993-12,1993-09,1993-06,1993-03,1992-12,1992-09,1992-06,1992-03,1991-12,1991-09,1991-06,1991-03,1990-12,1990-09,1990-06,1990-03,1989-12,1989-09,1989-06,1989-03,1988-12,1988-09,1988-06,1988-03,1987-12,1987-09,1987-06,1987-03,1986-12,1986-09,1986-06,1986-03,1985-12,1985-09,1985-06,1985-03,1984-12,1984-09,1984-06,1984-03
Operating Revenue,9.496B,9.086B,9.243B,8.884B,9.729B,10.76B,10.92B,10.39B,10.84B,10.12B,10.08B,9.492B,9.985B,9.804B,9.991B,9.522B,9.982B,9.611B,9.775B,9.213B,10.27B,10.11B,10.25B,9.679B,10.39B,9.647B,9.693B,9.328B,9.581B,9.342B,9.435B,9.307B,9.473B,9.298B,9.086B,8.672B,8.749B,8.139B,7.926B,7.776B,8.072B,7.70B,7.566B,7.57B,8.712B,9.275B,9.674B,8.895B,9.275B,8.735B,8.538B,8.041B,8.276B,7.952B,7.898B,7.241B,7.275B,6.90B,7.028B,6.449B,6.632B,6.395B,6.388B,6.178B,6.187B,5.768B,5.749B,5.399B,5.855B,5.569B,5.651B,5.199B,5.853B,5.789B,6.066B,5.944B,6.454B,6.216B,6.309B,6.044B,6.159B,6.036B,5.958B,5.582B,12.30B,3.741B,3.869B,3.646B,11.94B,3.657B,3.578B,3.327B,3.498B,3.348B,3.347B,3.778B,3.798B,3.499B,3.63B,3.419B,3.534B,3.11B,3.187B,2.986B,3.049B,2.822B,3.055B,2.901B,3.052B,2.936B,3.075B,2.979B,3.004B,2.877B,3.047B,2.903B,3.143B,2.961B,3.184B,3.055B,3.058B,2.827B,3.115B,2.942B,3.007B,2.864B,3.096B,2.942B,2.954B,2.679B,2.846B,2.637B,3.035B,2.907B,2.943B,2.909B,2.615B,1.631B,2.41B,2.459B,2.303B,2.275B,2.43B,2.454B
Revenue,9.496B,9.086B,9.243B,8.884B,9.729B,10.76B,10.92B,10.39B,10.84B,10.12B,10.08B,9.492B,9.985B,9.804B,9.991B,9.522B,9.982B,9.611B,9.775B,9.213B,10.27B,10.11B,10.25B,9.679B,10.39B,9.647B,9.693B,9.328B,9.581B,9.342B,9.435B,9.307B,9.473B,9.298B,9.086B,8.672B,8.749B,8.139B,7.926B,7.776B,8.072B,7.70B,7.566B,7.57B,8.712B,9.275B,9.674B,8.895B,9.275B,8.735B,8.538B,8.041B,8.276B,7.952B,7.898B,7.241B,7.276B,6.90B,7.028B,6.449B,6.632B,6.395B,6.388B,6.178B,6.187B,5.768B,5.749B,5.399B,5.855B,5.569B,5.651B,5.199B,5.853B,5.789B,6.066B,5.944B,6.454B,6.216B,6.309B,6.044B,6.159B,6.036B,5.958B,5.582B,12.30B,3.741B,3.869B,3.646B,11.94B,3.657B,3.578B,3.327B,3.498B,3.348B,3.347B,3.778B,3.798B,3.499B,3.63B,3.419B,3.534B,3.11B,3.187B,2.986B,3.049B,2.822B,3.055B,2.901B,3.052B,2.936B,3.075B,2.979B,3.004B,2.877B,3.047B,2.903B,3.143B,2.961B,3.184B,3.055B,3.058B,2.827B,3.115B,2.942B,3.007B,2.864B,3.096B,2.942B,2.954B,2.679B,2.846B,2.637B,3.035B,2.907B,2.943B,2.909B,2.615B,1.631B,2.41B,2.459B,2.303B,2.275B,2.43B,2.454B
Cost of Goods Sold,6.328B,6.038B,6.094B,5.879B,6.685B,7.556B,7.614B,7.191B,7.54B,7.054B,7.024B,6.529B,7.406B,6.903B,6.821B,6.547B,6.917B,6.654B,6.814B,6.362B,7.566B,7.128B,7.296B,6.967B,7.612B,6.942B,7.027B,6.783B,7.681B,6.808B,6.922B,6.88B,8.435B,7.033B,6.664B,6.424B,6.917B,6.17B,5.967B,5.858B,6.777B,5.797B,5.682B,5.756B,6.523B,7.476B,7.323B,6.672B,7.013B,6.646B,6.491B,6.15B,6.358B,6.111B,6.027B,5.60B,5.637B,5.302B,5.503B,5.082B,5.507B,5.087B,5.228B,4.93B,4.972B,4.509B,4.514B,4.24B,4.832B,4.236B,4.431B,4.116B,5.021B,5.368B,5.067B,4.973B,5.124B,4.845B,4.671B,4.45B,5.104B,4.574B,4.625B,4.192B,9.093B,2.838B,2.949B,2.809B,9.235B,2.84B,2.764B,2.605B,2.761B,2.598B,3.235B,3.012B,3.09B,2.80B,2.902B,2.747B,2.853B,2.503B,2.541B,2.402B,2.872B,2.136B,2.325B,2.218B,2.413B,2.27B,2.383B,2.328B,2.36B,2.275B,2.426B,2.347B,2.537B,2.348B,2.509B,2.372B,2.394B,2.167B,,,,,,,,,,,,,,,,,,,,,,
Gross Profit,3.168B,3.048B,3.149B,3.005B,3.044B,3.206B,3.305B,3.201B,3.303B,3.067B,3.054B,2.963B,2.579B,2.901B,3.17B,2.975B,3.065B,2.957B,2.961B,2.851B,2.70B,2.98B,2.957B,2.712B,2.775B,2.705B,2.666B,2.545B,1.90B,2.534B,2.513B,2.427B,1.038B,2.265B,2.422B,2.248B,1.832B,1.969B,1.959B,1.918B,1.295B,1.903B,1.884B,1.814B,2.189B,1.799B,2.351B,2.223B,2.262B,2.089B,2.047B,1.891B,1.918B,1.841B,1.871B,1.641B,1.639B,1.598B,1.525B,1.367B,1.125B,1.308B,1.16B,1.248B,1.215B,1.259B,1.235B,1.159B,1.023B,1.333B,1.22B,1.083B,832.00M,421.00M,999.00M,971.00M,1.33B,1.371B,1.638B,1.594B,1.055B,1.462B,1.333B,1.39B,3.206B,903.00M,920.00M,837.00M,2.702B,817.00M,814.00M,722.00M,737.00M,750.00M,112.00M,766.00M,708.00M,699.00M,728.00M,672.00M,681.00M,607.00M,646.00M,584.00M,177.00M,686.00M,730.00M,683.00M,639.00M,666.00M,692.00M,651.00M,644.00M,602.00M,621.00M,556.00M,606.00M,613.00M,675.00M,683.00M,664.00M,660.00M,,,,,,,,,,,,,,,,,,,,,,
SG&A Expense,1.473B,1.296B,1.387B,1.363B,1.524B,1.524B,1.528B,1.475B,1.684B,1.524B,1.456B,1.422B,1.598B,1.367B,1.329B,1.28B,1.332B,1.202B,1.242B,1.23B,1.46B,1.344B,1.375B,1.339B,1.438B,1.242B,1.281B,1.229B,1.523B,1.238B,1.226B,1.231B,1.616B,1.303B,1.248B,1.232B,1.289B,1.129B,1.11B,1.111B,1.173B,1.034B,1.084B,1.152B,1.179B,1.309B,1.29B,1.255B,1.205B,1.144B,1.127B,1.089B,1.085B,1.037B,1.086B,1.002B,936.00M,982.00M,935.00M,854.00M,865.00M,820.00M,823.00M,808.00M,756.00M,729.00M,762.00M,703.00M,782.00M,698.00M,660.00M,617.00M,656.00M,803.00M,837.00M,768.00M,822.00M,791.00M,763.00M,758.00M,1.073B,699.00M,745.00M,699.00M,1.808B,396.00M,406.00M,398.00M,1.795B,394.00M,386.00M,365.00M,365.00M,379.00M,366.00M,401.00M,402.00M,369.00M,374.00M,358.00M,381.00M,325.00M,346.00M,314.00M,370.00M,325.00M,332.00M,311.00M,720.00M,320.00M,337.00M,327.00M,345.00M,1.154B,372.00M,339.00M,364.00M,333.00M,346.00M,344.00M,336.00M,324.00M,,,,,,,,,,,,,,,,,,,,,,
Special Income and Charges,-2.00M,0.00,1.00M,0.00,-87.00M,-116.00M,-63.00M,-55.00M,-23.00M,0.00,0.00,0.00,,,,,,,,,,,,,-20.00M,0.00,0.00,,2.00M,4.00M,-1.00M,,44.00M,-2.00M,4.00M,15.00M,48.00M,-58.00M,9.00M,0.00,85.00M,29.00M,-66.00M,-14.00M,-23.00M,612.00M,8.00M,-15.00M,-23.00M,,,-6.00M,,-6.00M,-2.00M,8.00M,-25.00M,21.00M,-15.00M,32.00M,-101.00M,55.00M,251.00M,42.00M,-37.00M,-2.00M,55.00M,3.00M,-2.59B,4.00M,-160.00M,141.00M,-27.00M,,14.00M,4.00M,-36.00M,35.00M,115.00M,10.00M,-18.00M,104.00M,279.00M,18.00M,16.00M,-8.00M,,-1.00M,268.00M,14.00M,14.00M,34.00M,-48.00M,26.00M,688.00M,,-44.00M,-3.00M,1.00M,-19.00M,-7.00M,-3.00M,-3.00M,-13.00M,-88.00M,23.00M,22.00M,-29.00M,406.00M,26.00M,33.00M,42.00M,27.00M,-25.00M,91.00M,65.00M,49.00M,33.00M,31.00M,37.00M,8.00M,29.00M,,,,,,,,,,,,,,,,,,,,,,
Operating Interest Expense,91.00M,96.00M,85.00M,85.00M,90.00M,99.00M,95.00M,83.00M,81.00M,81.00M,79.00M,75.00M,86.00M,82.00M,85.00M,85.00M,84.00M,72.00M,77.00M,77.00M,82.00M,77.00M,80.00M,79.00M,83.00M,80.00M,80.00M,84.00M,87.00M,88.00M,87.00M,89.00M,91.00M,90.00M,96.00M,99.00M,92.00M,96.00M,91.00M,107.00M,109.00M,110.00M,123.00M,117.00M,114.00M,112.00M,115.00M,115.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Interest Income,61.00M,64.00M,63.00M,67.00M,63.00M,55.00M,49.00M,50.00M,45.00M,39.00M,36.00M,31.00M,,,,,,,,,,,,,22.00M,15.00M,15.00M,17.00M,16.00M,14.00M,14.00M,14.00M,16.00M,15.00M,14.00M,13.00M,9.00M,14.00M,,9.00M,,7.00M,6.00M,12.00M,27.00M,21.00M,29.00M,25.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Operating Interest Income,-30.00M,-32.00M,-22.00M,-18.00M,-27.00M,-44.00M,-46.00M,-33.00M,-36.00M,-42.00M,-43.00M,-44.00M,20.00M,-82.00M,-85.00M,-85.00M,20.00M,-72.00M,-77.00M,-77.00M,20.00M,-77.00M,-80.00M,-79.00M,-61.00M,-65.00M,-65.00M,-67.00M,-71.00M,-74.00M,-73.00M,-75.00M,-75.00M,-75.00M,-82.00M,-86.00M,-83.00M,-82.00M,-91.00M,-98.00M,-134.00M,-103.00M,-117.00M,-105.00M,-87.00M,-91.00M,-86.00M,-90.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Operating Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,-655.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
