Assets (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03,1993-12,1993-09,1993-06,1993-03,1992-12,1992-09,1992-06,1992-03,1991-12,1991-09,1991-06,1991-03,1990-12,1990-09,1990-06,1990-03,1989-12,1989-09,1988-12,1987-12,1986-12,1985-12,1984-12
Cash and Equivalents,9.067B,10.91B,8.225B,8.625B,9.287B,9.803B,8.082B,7.897B,7.059B,7.389B,7.877B,7.71B,7.843B,6.431B,5.045B,4.473B,5.455B,6.563B,5.954B,6.575B,6.959B,6.428B,6.582B,6.672B,6.422B,5.499B,4.549B,4.539B,4.634B,4.76B,4.221B,3.988B,3.698B,3.885B,3.548B,3.076B,2.65B,2.64B,2.451B,2.851B,2.801B,2.604B,2.606B,2.052B,2.065B,2.292B,2.204B,2.234B,1.829B,1.787B,1.633B,1.378B,1.224B,1.415B,1.424B,1.442B,1.234B,1.452B,1.929B,4.096B,3.586B,3.433B,3.232B,3.20B,2.95B,2.87B,2.626B,2.29B,2.021B,2.002B,1.976B,1.592B,1.393B,1.324B,1.23B,1.074B,1.196B,2.065B,959.00M,1.00B,1.991B,981.00M,648.00M,795.00M,1.018B,566.00M,507.00M,483.00M,611.00M,485.00M,1.00B,1.265B,1.465B,1.801B,1.714B,558.00M,540.00M,545.00M,575.00M,512.00M,508.00M,790.00M,688.00M,811.00M,892.00M,802.00M,877.00M,802.00M,931.00M,539.00M,400.00M,316.00M,238.00M,335.00M,286.00M,270.00M,382.00M,276.00M,292.00M,335.00M,525.00M,512.00M,397.00M,349.00M,193.00M,1.125B,136.00M
Short Term Investments,1.349B,1.456B,1.718B,2.059B,1.623B,1.85B,1.768B,2.383B,3.758B,2.781B,1.944B,1.885B,1.52B,,,,,,,,,,,,,,,,,,,,,,,,,593.00M,1.46B,706.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.00M,54.00M,430.00M,474.00M,465.00M,400.00M,301.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash and Short Term Investments,10.42B,12.36B,9.943B,10.68B,10.91B,11.65B,9.85B,10.28B,10.82B,10.17B,9.821B,9.595B,9.363B,6.431B,5.045B,4.473B,5.455B,6.563B,5.954B,6.575B,6.959B,6.428B,6.582B,6.672B,6.422B,5.499B,4.549B,4.539B,4.634B,4.76B,4.221B,3.988B,3.698B,3.885B,3.548B,3.076B,2.65B,3.233B,3.911B,3.557B,2.801B,2.604B,2.606B,2.052B,2.065B,2.292B,2.204B,2.234B,1.829B,1.787B,1.633B,1.378B,1.224B,1.415B,1.424B,1.442B,1.234B,1.452B,1.929B,4.096B,3.586B,3.433B,3.232B,3.20B,2.95B,2.87B,2.626B,2.29B,2.021B,2.002B,1.976B,1.592B,1.393B,1.324B,1.23B,1.074B,1.196B,2.065B,959.00M,1.00B,1.991B,981.00M,648.00M,795.00M,1.018B,566.00M,529.00M,537.00M,1.041B,959.00M,1.465B,1.665B,1.766B,1.801B,1.714B,558.00M,540.00M,545.00M,575.00M,512.00M,508.00M,790.00M,688.00M,811.00M,892.00M,802.00M,877.00M,802.00M,931.00M,539.00M,400.00M,316.00M,238.00M,335.00M,286.00M,270.00M,382.00M,276.00M,292.00M,335.00M,525.00M,512.00M,397.00M,349.00M,193.00M,1.125B,136.00M
Accounts Receivable,7.493B,7.583B,7.407B,7.307B,7.508B,8.568B,8.60B,8.778B,8.866B,8.587B,8.442B,8.155B,8.177B,8.333B,8.338B,8.238B,7.901B,7.765B,8.016B,7.868B,7.788B,8.021B,7.949B,7.732B,7.53B,7.647B,7.342B,7.217B,6.94B,6.734B,7.475B,6.723B,6.926B,7.316B,,,,,,,,,,,,6.329B,7.047B,5.99B,5.889B,5.90B,5.605B,5.873B,5.156B,5.723B,5.426B,5.175B,5.017B,4.772B,4.559B,4.424B,4.243B,4.074B,3.905B,3.888B,3.643B,3.354B,3.353B,3.297B,3.264B,3.476B,3.594B,3.43B,3.62B,3.981B,4.122B,4.153B,4.623B,4.162B,4.039B,3.926B,3.896B,1.984B,1.838B,1.817B,3.899B,1.707B,1.809B,1.942B,1.886B,1.629B,1.594B,1.636B,1.661B,1.725B,1.947B,1.832B,1.751B,1.78B,1.847B,1.861B,1.697B,1.539B,1.531B,1.451B,1.343B,,,,,,,,,,,,,,,,,,,,,,
Other Receivables,,,,,,,,,,,,,,583.00M,667.00M,450.00M,436.00M,426.00M,482.00M,557.00M,445.00M,553.00M,653.00M,598.00M,646.00M,547.00M,551.00M,609.00M,737.00M,654.00M,,545.00M,555.00M,,,,,,,,,,,,,621.00M,,614.00M,498.00M,561.00M,513.00M,,584.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Receivables,7.493B,7.583B,7.407B,7.307B,7.508B,8.568B,8.60B,8.778B,8.866B,8.587B,8.442B,8.155B,8.177B,8.627B,8.73B,8.397B,8.075B,7.936B,8.237B,8.158B,7.96B,8.315B,8.35B,8.081B,7.929B,7.95B,7.655B,7.585B,7.429B,7.388B,7.475B,7.268B,7.228B,7.316B,7.344B,7.201B,7.068B,6.916B,6.495B,6.184B,6.274B,6.464B,6.285B,5.667B,6.129B,6.95B,7.047B,6.604B,6.387B,6.461B,6.118B,5.873B,5.74B,5.723B,5.426B,5.175B,5.017B,4.772B,4.559B,4.424B,4.243B,4.074B,3.905B,3.888B,3.643B,3.354B,3.353B,3.297B,3.264B,3.476B,3.594B,3.43B,3.62B,3.981B,4.122B,4.153B,4.623B,4.162B,4.039B,3.926B,3.896B,1.984B,1.838B,1.817B,3.899B,1.707B,1.809B,1.942B,1.886B,1.629B,1.594B,1.636B,1.661B,1.725B,1.947B,1.832B,1.751B,1.78B,1.847B,1.861B,1.697B,1.539B,1.531B,1.451B,1.343B,1.349B,1.512B,1.532B,1.529B,1.629B,1.652B,1.559B,1.445B,1.456B,1.558B,1.542B,1.452B,1.60B,1.613B,1.558B,1.443B,1.401B,1.492B,1.493B,1.501B,1.407B,1.02B
Raw Materials Inventory,1.056B,1.083B,1.121B,1.17B,1.109B,1.334B,1.238B,1.216B,1.193B,1.186B,1.187B,1.193B,1.104B,1.16B,1.179B,1.195B,1.12B,1.068B,1.044B,1.088B,1.124B,1.115B,1.156B,1.173B,1.121B,1.117B,1.109B,1.102B,1.152B,1.199B,1.222B,1.215B,1.222B,1.311B,1.225B,1.303B,1.158B,1.148B,1.037B,1.03B,988.00M,1.333B,1.383B,1.421B,1.644B,1.93B,1.88B,1.80B,1.692B,1.779B,1.681B,1.623B,1.625B,1.765B,1.812B,1.747B,1.438B,1.462B,1.40B,1.381B,1.153B,1.123B,996.00M,968.00M,972.00M,1.00B,1.05B,939.00M,936.00M,971.00M,1.055B,1.207B,1.024B,1.227B,1.174B,1.218B,1.262B,1.244B,1.094B,1.095B,1.027B,636.00M,628.00M,624.00M,996.00M,593.00M,623.00M,628.00M,605.00M,630.00M,581.00M,580.00M,538.00M,585.00M,622.00M,649.00M,650.00M,645.00M,588.00M,550.00M,488.00M,471.00M,467.00M,494.00M,504.00M,,,,,,,,,,,,,,,,,,,,,,
Work in Process Inventory,817.00M,829.00M,849.00M,847.00M,811.00M,860.00M,801.00M,827.00M,790.00M,853.00M,795.00M,787.00M,775.00M,799.00M,854.00M,871.00M,826.00M,843.00M,818.00M,828.00M,815.00M,844.00M,861.00M,853.00M,841.00M,895.00M,844.00M,866.00M,859.00M,936.00M,887.00M,990.00M,958.00M,918.00M,861.00M,858.00M,810.00M,852.00M,807.00M,820.00M,796.00M,854.00M,811.00M,903.00M,952.00M,922.00M,904.00M,890.00M,870.00M,869.00M,777.00M,838.00M,808.00M,919.00M,796.00M,817.00M,695.00M,735.00M,736.00M,777.00M,779.00M,788.00M,747.00M,807.00M,802.00M,832.00M,840.00M,844.00M,804.00M,911.00M,806.00M,835.00M,869.00M,951.00M,915.00M,906.00M,809.00M,910.00M,978.00M,952.00M,973.00M,628.00M,604.00M,637.00M,1.095B,733.00M,807.00M,753.00M,722.00M,825.00M,861.00M,831.00M,762.00M,846.00M,820.00M,836.00M,769.00M,855.00M,862.00M,824.00M,706.00M,689.00M,683.00M,657.00M,635.00M,,,,,,,,,,,,,,,,,,,,,,
Finished Goods Inventory,2.593B,2.734B,2.675B,2.577B,2.445B,2.904B,2.79B,2.761B,2.669B,2.75B,2.707B,2.71B,2.552B,2.693B,2.736B,2.768B,2.59B,2.646B,2.701B,2.708B,2.634B,2.693B,2.661B,2.547B,2.497B,2.608B,2.507B,2.494B,2.421B,2.376B,2.432B,2.362B,2.253B,2.306B,2.276B,2.298B,2.144B,2.184B,1.909B,1.874B,1.823B,1.554B,1.568B,1.648B,1.415B,1.392B,1.375B,1.623B,1.501B,1.437B,1.519B,1.46B,1.342B,1.217B,1.238B,1.233B,1.427B,1.35B,1.389B,1.384B,1.382B,1.302B,1.404B,1.462B,1.412B,1.235B,1.301B,1.401B,1.361B,1.404B,1.498B,1.457B,1.603B,1.796B,1.827B,1.888B,1.797B,1.854B,1.826B,1.853B,1.589B,1.101B,1.17B,1.137B,1.555B,1.204B,1.081B,1.085B,905.00M,886.00M,841.00M,802.00M,814.00M,806.00M,765.00M,814.00M,747.00M,711.00M,720.00M,743.00M,766.00M,777.00M,780.00M,822.00M,824.00M,,,,,,,,,,,,,,,,,,,,,,
Other Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.00M,90.00M,91.00M,,97.00M,91.00M,89.00M,89.00M,91.00M,91.00M,89.00M,88.00M,83.00M,84.00M,96.00M,98.00M,77.00M,76.00M,69.00M,70.00M,53.00M,53.00M,52.00M,51.00M,,,,,,,,,,,,,,,,,,,,,,
