Cash Flow - Operations (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1995-03
Net Income,-3.613B,-1.616B,-2.549B,136.00M,-6.869B,567.00M,-980.00M,445.00M,118.00M,553.00M,410.00M,579.00M,696.00M,391.00M,210.00M,110.00M,138.00M,310.00M,406.00M,34.00M,135.00M,814.00M,271.00M,230.00M,90.00M,164.00M,332.00M,242.00M,-9.00M,364.00M,239.00M,236.00M,87.00M,203.00M,366.00M,202.00M,254.00M,261.00M,337.00M,261.00M,277.00M,321.00M,392.00M,244.00M,531.00M,297.00M,297.00M,227.00M,203.00M,278.00M,269.00M,256.00M,152.00M,393.00M,229.00M,217.00M,193.00M,239.00M,267.00M,218.00M,871.00M,228.00M,372.00M,3.033B,408.00M,510.00M,227.00M,-354.00M,408.00M,466.00M,218.00M,631.00M,529.00M,771.00M,750.00M,-951.00M,-4.117B,225.00M,248.00M,280.00M,-611.00M,185.00M,182.00M,159.00M,196.00M,210.00M,174.00M,139.00M,94.00M,257.00M,192.00M,173.00M,328.70M
Operating Gains Losses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-61.00M,107.00M,5.00M,-51.00M,2.00M,-495.00M,382.00M,111.00M,-13.00M,-32.00M,6.00M,-7.00M,-16.00M,-149.00M,125.00M,15.00M,203.00M,-95.00M,7.00M,-45.00M,-933.00M,-177.00M,-227.00M,-4.679B,-169.00M,566.00M,60.00M,460.00M,892.00M,-773.00M,825.00M,-840.00M,-22.00M,-363.00M,-80.00M,-124.00M,2.807B,-1.618B,-380.00M,-9.00M,2.204B,-328.00M,-264.00M,-137.00M,1.143B,-464.00M,-282.00M,-304.00M,23.00M,118.00M,-131.00M,29.00M,142.80M
Total Depreciation and Amortization,801.00M,840.00M,796.00M,797.00M,779.00M,759.00M,746.00M,752.00M,720.00M,710.00M,712.00M,712.00M,665.00M,694.00M,699.00M,697.00M,677.00M,653.00M,651.00M,631.00M,667.00M,671.00M,557.00M,538.00M,535.00M,523.00M,516.00M,503.00M,465.00M,617.00M,606.00M,584.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total Depreciation, Amortization, Depletion",801.00M,840.00M,796.00M,797.00M,779.00M,759.00M,746.00M,752.00M,720.00M,710.00M,712.00M,712.00M,665.00M,694.00M,699.00M,697.00M,677.00M,653.00M,651.00M,631.00M,667.00M,671.00M,557.00M,538.00M,535.00M,523.00M,516.00M,503.00M,465.00M,617.00M,606.00M,584.00M,567.00M,566.00M,591.00M,491.00M,485.00M,382.00M,532.00M,506.00M,492.00M,511.00M,481.00M,463.00M,526.00M,435.00M,465.00M,437.00M,476.00M,505.00M,460.00M,454.00M,413.00M,475.00M,467.00M,401.00M,403.00M,456.00M,454.00M,385.00M,441.00M,405.00M,339.00M,312.00M,312.00M,214.00M,386.00M,310.00M,315.00M,213.00M,348.00M,320.00M,218.00M,270.00M,259.00M,255.00M,1.391B,1.852B,69.00M,347.00M,96.00M,686.00M,560.00M,438.00M,,,,,,,,,
Deferred Taxes,-1.40B,-633.00M,-919.00M,4.00M,-2.542B,155.00M,-323.00M,178.00M,406.00M,332.00M,264.00M,252.00M,386.00M,294.00M,233.00M,117.00M,433.00M,41.00M,106.00M,113.00M,481.00M,158.00M,36.00M,15.00M,548.00M,181.00M,180.00M,166.00M,24.00M,390.00M,88.00M,146.00M,-8.00M,155.00M,298.00M,99.00M,428.00M,331.00M,-140.00M,137.00M,508.00M,-76.00M,142.00M,235.00M,108.00M,136.00M,179.00M,167.00M,88.00M,-135.00M,-40.00M,142.00M,-113.00M,-241.00M,96.00M,-27.00M,-1.00M,-543.00M,-52.00M,-63.00M,247.00M,307.00M,127.00M,1.926B,-149.00M,492.00M,-138.00M,-15.00M,-457.00M,354.00M,-96.00M,-82.00M,-715.00M,60.00M,647.00M,-527.00M,-1.312B,434.00M,256.00M,-145.00M,-102.00M,-22.00M,-452.00M,-178.00M,202.00M,-278.00M,74.00M,-105.00M,37.00M,-90.00M,-62.10M,-43.90M,-65.60M
Other Noncash Items,440.00M,279.00M,88.00M,10.00M,62.00M,55.00M,43.00M,-2.00M,77.00M,54.00M,145.00M,-11.00M,48.00M,176.00M,417.00M,133.00M,189.00M,213.00M,147.00M,77.00M,116.00M,93.00M,59.00M,34.00M,58.00M,287.00M,74.00M,31.00M,385.00M,67.00M,38.00M,46.00M,16.00M,85.00M,94.00M,44.00M,-20.00M,203.00M,-26.00M,26.00M,41.00M,-23.00M,-21.00M,-23.00M,-92.00M,121.00M,-13.00M,-22.00M,-89.00M,151.00M,62.00M,68.00M,188.00M,-37.00M,-55.00M,55.00M,-118.00M,81.00M,37.00M,,26.00M,218.00M,-1.123B,-33.00M,12.00M,-297.00M,383.00M,-14.00M,-1.269B,1.396B,-1.134B,-300.00M,447.00M,271.00M,27.00M,-143.00M,-426.00M,36.00M,-34.00M,26.00M,-823.00M,,57.00M,-57.00M,-2.139B,593.00M,612.00M,587.00M,525.00M,504.00M,492.00M,493.00M,385.60M
Change in Receivables,160.00M,-210.00M,-13.00M,-6.00M,-1.682B,18.00M,-472.00M,317.00M,270.00M,-389.00M,-201.00M,366.00M,-502.00M,-208.00M,-548.00M,210.00M,145.00M,-81.00M,-477.00M,236.00M,190.00M,-147.00M,-351.00M,321.00M,8.00M,-138.00M,-231.00M,209.00M,286.00M,-339.00M,-208.00M,221.00M,-102.00M,-104.00M,-117.00M,35.00M,202.00M,-199.00M,-161.00M,114.00M,136.00M,-178.00M,-103.00M,301.00M,94.00M,-113.00M,-157.00M,89.00M,74.00M,-222.00M,-93.00M,235.00M,-109.00M,-134.00M,70.00M,303.00M,-303.00M,2.00M,-113.00M,169.00M,-127.00M,50.00M,-360.00M,352.00M,-582.00M,-656.00M,231.00M,402.00M,-21.00M,288.00M,-483.00M,428.00M,-165.00M,-283.00M,-1.103B,2.551B,-1.512B,-305.00M,-517.00M,12.00M,595.00M,-512.00M,-46.00M,333.00M,-1.664B,857.00M,150.00M,315.00M,-266.00M,-101.00M,-4.60M,55.60M,437.80M
Change in Inventories,-12.00M,-27.00M,-59.00M,18.00M,-49.00M,-18.00M,-34.00M,28.00M,17.00M,3.00M,-36.00M,-2.00M,14.00M,-8.00M,-16.00M,-14.00M,32.00M,-15.00M,-38.00M,58.00M,21.00M,-36.00M,-69.00M,62.00M,46.00M,-25.00M,-86.00M,55.00M,10.00M,-39.00M,-45.00M,50.00M,-3.00M,-61.00M,-64.00M,65.00M,22.00M,-45.00M,-79.00M,59.00M,31.00M,-35.00M,-53.00M,166.00M,94.00M,-96.00M,-164.00M,107.00M,51.00M,-70.00M,-97.00M,75.00M,40.00M,-68.00M,-86.00M,146.00M,37.00M,-89.00M,-98.00M,90.00M,49.00M,-66.00M,-77.00M,82.00M,79.00M,-86.00M,-81.00M,71.00M,33.00M,11.00M,-102.00M,120.00M,72.00M,-38.00M,-131.00M,22.00M,-82.00M,-35.00M,103.00M,55.00M,-13.00M,-29.00M,-32.00M,97.00M,-134.00M,-87.00M,-36.00M,78.00M,42.00M,-43.00M,-30.10M,27.10M,36.60M
Change in Payables and Accrued Expense,145.00M,212.00M,339.00M,-180.00M,164.00M,206.00M,15.00M,24.00M,97.00M,57.00M,76.00M,-57.00M,-330.00M,-18.00M,593.00M,-65.00M,-150.00M,17.00M,124.00M,-46.00M,-4.00M,44.00M,-132.00M,31.00M,29.00M,56.00M,84.00M,-56.00M,51.00M,70.00M,88.00M,-213.00M,43.00M,-206.00M,12.00M,216.00M,-221.00M,-196.00M,309.00M,156.00M,-368.00M,642.00M,-236.00M,93.00M,-99.00M,109.00M,40.00M,-249.00M,144.00M,-108.00M,-128.00M,-86.00M,192.00M,57.00M,-108.00M,-124.00M,337.00M,141.00M,-106.00M,-115.00M,195.00M,-92.00M,427.00M,-257.00M,141.00M,542.00M,-361.00M,81.00M,59.00M,-196.00M,-9.00M,344.00M,338.00M,-43.00M,-168.00M,1.086B,3.25B,150.00M,619.00M,165.00M,-924.00M,251.00M,335.00M,45.00M,365.00M,69.00M,-207.00M,20.00M,304.00M,34.00M,-347.50M,219.50M,-37.50M
