Income (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03,1993-12,1993-09,1993-06,1993-03,1992-12,1992-09,1992-06,1992-03,1991-12,1991-09,1991-06,1991-03,1990-12,1990-09,1990-06,1990-03,1989-12,1989-09,1989-06,1989-03,1988-12,1988-09,1988-06,1988-03,1987-12,1987-09,1987-06,1987-03,1986-12,1986-09,1986-06,1986-03,1985-12,1985-09,1985-06,1985-03,1984-12,1984-09,1984-06,1984-03
Operating Revenue,4.743B,4.432B,3.943B,4.011B,4.088B,4.381B,4.234B,4.056B,4.10B,4.517B,4.25B,4.268B,4.713B,4.81B,4.169B,3.974B,4.167B,4.55B,4.217B,3.899B,4.308B,4.939B,3.952B,3.891B,3.975B,4.175B,3.776B,3.672B,3.83B,3.976B,3.593B,3.641B,3.815B,3.86B,3.684B,3.597B,3.621B,3.513B,3.232B,3.475B,3.539B,3.235B,3.194B,3.431B,3.643B,3.674B,3.578B,3.733B,3.416B,3.279B,3.187B,3.356B,3.206B,3.168B,3.017B,3.148B,3.733B,2.804B,2.498B,2.669B,2.98B,2.623B,2.749B,2.722B,2.477B,3.062B,2.926B,2.133B,2.397B,2.947B,2.937B,2.935B,565.00M,3.719B,5.013B,6.673B,-5.582B,7.504B,5.638B,5.008B,4.794B,6.217B,4.682B,5.126B,5.13B,5.307B,4.787B,4.353B,4.744B,4.063B,3.083B,3.365B,2.701B,2.522B,2.139B,2.249B,2.221B,2.645B,2.448B,2.307B,2.638B,2.855B,2.440B,2.514B,2.707B,2.947B,2.464B,2.464B,2.558B,2.799B,2.520B,2.420B,2.635B,2.520B,2.352B,2.271B,2.452B,2.598B,2.173B,2.248B,2.147B,2.246B,2.086B,2.109B,2.044B,1.966B,1.767B,1.870B,1.831B,1.828B,1.775B,1.752B,1.928B,2.001B,1.877B,2.012B,2.067B,2.167B,2.024B,2.172B,2.105B,2.027B,1.813B,1.885B
Revenue,4.743B,4.432B,3.943B,4.011B,4.088B,4.381B,4.234B,4.056B,4.10B,4.517B,4.25B,4.268B,4.713B,4.81B,4.169B,3.974B,4.167B,4.55B,4.217B,3.899B,4.308B,4.939B,3.952B,3.891B,3.975B,4.175B,3.776B,3.672B,3.83B,3.976B,3.593B,3.641B,3.815B,3.86B,3.684B,3.597B,3.621B,3.513B,3.232B,3.475B,3.539B,3.235B,3.194B,3.431B,3.643B,3.674B,3.578B,3.733B,3.416B,3.279B,3.187B,3.356B,3.206B,3.168B,3.017B,3.148B,3.733B,2.804B,2.498B,2.669B,2.98B,2.623B,2.749B,2.722B,2.477B,3.062B,2.926B,2.133B,2.397B,2.947B,2.937B,2.935B,565.00M,3.719B,5.013B,6.673B,-5.582B,7.504B,5.638B,5.008B,4.794B,6.217B,4.682B,5.126B,5.13B,5.307B,4.787B,4.353B,4.744B,4.063B,3.083B,3.365B,2.701B,2.522B,2.139B,2.249B,2.221B,2.645B,2.448B,2.307B,2.638B,2.855B,2.440B,2.514B,2.707B,2.947B,2.464B,2.464B,2.558B,2.799B,2.520B,2.420B,2.635B,2.520B,2.352B,2.271B,2.452B,2.598B,2.173B,2.248B,2.147B,2.246B,2.086B,2.109B,2.044B,1.966B,1.767B,1.870B,1.831B,1.828B,1.775B,1.752B,1.928B,2.001B,1.877B,2.012B,2.067B,2.167B,2.024B,2.172B,2.105B,2.027B,1.813B,1.885B
Cost of Goods Sold,3.298B,3.344B,2.887B,3.025B,3.176B,2.936B,2.828B,2.712B,2.963B,2.868B,2.849B,2.689B,2.979B,3.476B,3.069B,3.182B,3.285B,3.352B,2.879B,3.197B,3.258B,3.203B,2.877B,2.869B,3.107B,3.361B,2.624B,2.667B,3.24B,2.745B,2.52B,2.57B,6.845B,1.394B,1.164B,1.396B,5.819B,1.284B,1.11B,1.415B,1.36B,1.131B,1.071B,1.44B,1.496B,1.633B,1.584B,1.802B,1.435B,1.279B,1.28B,1.477B,1.285B,1.182B,1.149B,1.403B,1.682B,1.068B,834.00M,1.016B,,1.031B,963.00M,1.139B,923.00M,895.00M,890.00M,1.015B,882.00M,658.00M,789.00M,455.00M,-679.00M,1.159B,2.402B,7.072B,-4.168B,6.852B,4.204B,3.268B,3.138B,4.258B,664.00M,3.452B,3.668B,3.271B,,,3.249B,2.191B,1.394B,1.742B,,,,,,,,542.40M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross Profit,1.445B,1.088B,1.056B,986.00M,912.00M,1.445B,1.406B,1.344B,1.137B,1.649B,1.401B,1.579B,1.734B,1.334B,1.10B,792.00M,882.00M,1.198B,1.338B,702.00M,1.05B,1.736B,1.075B,1.022B,868.00M,814.00M,1.152B,1.005B,590.00M,1.231B,1.073B,1.071B,-3.03B,2.466B,2.52B,2.201B,-2.198B,2.229B,2.122B,2.06B,2.179B,2.104B,2.123B,1.991B,2.147B,2.041B,1.994B,1.931B,1.981B,2.00B,1.907B,1.879B,1.921B,1.986B,1.868B,1.745B,2.051B,1.736B,1.664B,1.653B,,1.592B,1.786B,1.583B,1.554B,2.167B,2.036B,1.118B,1.515B,2.289B,2.148B,2.48B,1.244B,2.56B,2.611B,-399.00M,-1.414B,652.00M,1.434B,1.74B,1.656B,1.959B,4.018B,1.674B,1.462B,2.036B,,,1.495B,1.872B,1.689B,1.623B,,,,,,,,1.765B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG&A Expense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208.20M,200.30M,,,,,,,,,261.10M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Income and Charges,-5.077B,-2.621B,-3.956B,-127.00M,-9.663B,10.00M,-2.125B,7.00M,0.00,-53.00M,46.00M,,,,,,,,,,,,,,,,,,,,,,,18.00M,21.00M,17.00M,,29.00M,2.00M,-6.00M,4.00M,23.00M,22.00M,18.00M,10.00M,-17.00M,5.00M,5.00M,7.00M,7.00M,10.00M,4.00M,-19.00M,-22.00M,28.00M,,-3.00M,-14.00M,,-1.00M,,4.00M,-14.00M,-27.00M,-30.00M,7.00M,,8.00M,-9.00M,60.00M,-17.00M,20.00M,0.00,-38.00M,4.00M,-9.00M,14.00M,-14.00M,-14.00M,15.00M,-44.00M,20.00M,40.00M,21.00M,41.00M,8.00M,,,98.00M,9.40M,71.70M,20.00M,,,,,,,,16.90M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non Income Taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.40M,80.60M,,,,,,,,,73.90M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Interest Expense,719.00M,52.00M,60.00M,103.00M,251.00M,232.00M,226.00M,220.00M,225.00M,220.00M,225.00M,218.00M,208.00M,211.00M,207.00M,203.00M,198.00M,194.00M,192.00M,189.00M,187.00M,174.00M,188.00M,185.00M,183.00M,179.00M,177.00M,176.00M,175.00M,178.00M,176.00M,174.00M,173.00M,176.00M,174.00M,177.00M,174.00M,167.00M,175.00M,168.00M,172.00M,174.00M,178.00M,181.00M,,,185.00M,187.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Interest Income,20.00M,18.00M,22.00M,22.00M,41.00M,14.00M,12.00M,9.00M,9.00M,9.00M,8.00M,5.00M,6.00M,8.00M,5.00M,4.00M,3.00M,2.00M,3.00M,1.00M,2.00M,2.00M,2.00M,3.00M,3.00M,2.00M,2.00M,2.00M,1.00M,2.00M,3.00M,1.00M,0.00,2.00M,3.00M,2.00M,2.00M,3.00M,2.00M,2.00M,6.00M,1.00M,17.00M,9.00M,,,33.00M,26.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Operating Interest Income,-699.00M,-34.00M,-38.00M,-81.00M,-210.00M,-218.00M,-214.00M,-211.00M,-216.00M,-211.00M,-217.00M,-213.00M,-202.00M,-203.00M,-202.00M,-199.00M,-195.00M,-192.00M,-189.00M,-188.00M,-185.00M,-172.00M,-186.00M,-182.00M,-180.00M,-177.00M,-175.00M,-174.00M,-174.00M,-176.00M,-173.00M,-173.00M,-173.00M,-174.00M,-171.00M,-175.00M,-172.00M,-164.00M,-173.00M,-166.00M,-166.00M,-173.00M,-161.00M,-172.00M,,,-152.00M,-161.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Operating Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00M,,,,4.00M,-4.898B,80.00M,7.00M,78.00M,35.00M,138.00M,24.00M,264.00M,16.00M,128.00M,-7.00M,8.00M,,3.263B,-2.176B,,,,,2.224B,,,-24.00M,,,,-23.30M,8.30M,-34.00M,,,,,,,,13.30M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Operating Expenses,801.00M,840.00M,796.00M,797.00M,779.00M,759.00M,746.00M,752.00M,720.00M,710.00M,712.00M,712.00M,665.00M,694.00M,699.00M,697.00M,677.00M,653.00M,651.00M,631.00M,667.00M,671.00M,557.00M,538.00M,535.00M,523.00M,516.00M,503.00M,465.00M,617.00M,606.00M,584.00M,-3.388B,2.058B,1.828B,1.717B,-2.69B,1.726B,1.427B,1.442B,1.656B,1.497B,1.467B,1.478B,1.602B,1.402B,1.41B,1.438B,1.532B,1.418B,1.352B,1.35B,1.482B,1.251B,1.403B,1.276B,1.635B,1.221B,1.126B,1.152B,,1.083B,1.114B,-3.771B,1.242B,997.00M,1.316B,1.056B,1.031B,1.203B,1.346B,1.179B,354.00M,976.00M,1.164B,941.00M,5.442B,23.00M,812.00M,1.064B,2.235B,1.443B,3.538B,1.213B,931.00M,1.494B,,,1.196B,1.252B,1.326B,1.159B,,,,,,,,1.035B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Income,644.00M,248.00M,260.00M,189.00M,133.00M,686.00M,660.00M,592.00M,417.00M,939.00M,689.00M,867.00M,1.069B,640.00M,401.00M,95.00M,205.00M,545.00M,687.00M,71.00M,383.00M,1.065B,518.00M,484.00M,333.00M,291.00M,636.00M,502.00M,125.00M,614.00M,467.00M,487.00M,358.00M,408.00M,692.00M,484.00M,492.00M,503.00M,695.00M,618.00M,523.00M,607.00M,656.00M,513.00M,545.00M,639.00M,584.00M,493.00M,449.00M,582.00M,555.00M,529.00M,439.00M,735.00M,465.00M,469.00M,416.00M,515.00M,538.00M,501.00M,4.53B,509.00M,672.00M,5.354B,312.00M,1.17B,720.00M,62.00M,484.00M,1.086B,802.00M,1.301B,890.00M,1.584B,1.447B,-1.34B,-6.856B,629.00M,622.00M,676.00M,-579.00M,516.00M,480.00M,461.00M,531.00M,542.00M,4.787B,4.353B,299.00M,620.10M,362.70M,464.00M,-5.032B,2.522B,2.139B,2.249B,-4.637B,2.645B,2.448B,730.30M,2.638B,2.855B,2.440B,2.514B,2.707B,2.947B,2.464B,2.464B,2.558B,2.799B,2.520B,2.420B,2.635B,2.520B,2.352B,2.271B,2.452B,2.598B,2.173B,2.248B,2.147B,2.246B,2.086B,2.109B,2.044B,1.966B,1.767B,1.870B,1.831B,1.828B,1.775B,1.752B,1.928B,2.001B,1.877B,2.012B,2.067B,2.167B,2.024B,2.172B,2.105B,2.027B,1.813B,1.885B
Non-Operating Interest Income,20.00M,18.00M,22.00M,22.00M,41.00M,14.00M,12.00M,9.00M,9.00M,9.00M,8.00M,5.00M,6.00M,8.00M,5.00M,4.00M,3.00M,2.00M,3.00M,1.00M,2.00M,2.00M,2.00M,3.00M,3.00M,2.00M,2.00M,2.00M,1.00M,2.00M,3.00M,1.00M,0.00,2.00M,3.00M,2.00M,2.00M,3.00M,2.00M,2.00M,6.00M,1.00M,17.00M,9.00M,,,33.00M,26.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
