Assets (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1995-12,1995-03
Cash and Equivalents,1.57B,2.97B,3.459B,2.964B,1.668B,430.00M,517.00M,144.00M,449.00M,191.00M,178.00M,164.00M,177.00M,71.00M,189.00M,142.00M,123.00M,154.00M,249.00M,145.00M,151.00M,139.00M,132.00M,108.00M,296.00M,281.00M,281.00M,278.00M,401.00M,296.00M,292.00M,257.00M,513.00M,277.00M,350.00M,240.00M,291.00M,347.00M,265.00M,258.00M,527.00M,700.00M,338.00M,271.00M,219.00M,251.00M,297.00M,253.00M,345.00M,2.23B,1.794B,1.896B,456.00M,1.867B,1.919B,903.00M,713.00M,1.233B,1.494B,1.381B,972.00M,1.856B,1.42B,3.46B,3.658B,4.675B,4.864B,4.568B,3.532B,4.88B,5.10B,5.787B,5.616B,976.00M,683.00M,650.00M,2.43B,304.00M,307.00M,260.00M,281.00M,269.00M,284.00M,245.00M,286.00M,278.00M,311.00M,214.00M,237.00M,566.70M,207.20M,120.30M,143.40M,734.30M,392.70M
Short Term Investments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash and Short Term Investments,1.57B,2.97B,3.459B,2.964B,1.668B,430.00M,517.00M,144.00M,449.00M,191.00M,178.00M,164.00M,177.00M,71.00M,189.00M,142.00M,123.00M,154.00M,249.00M,145.00M,151.00M,139.00M,132.00M,108.00M,296.00M,281.00M,281.00M,278.00M,401.00M,296.00M,292.00M,257.00M,513.00M,277.00M,350.00M,240.00M,291.00M,347.00M,265.00M,258.00M,527.00M,700.00M,338.00M,271.00M,219.00M,251.00M,297.00M,253.00M,345.00M,2.23B,1.794B,1.896B,456.00M,1.867B,1.919B,903.00M,713.00M,1.233B,1.494B,1.381B,972.00M,1.856B,1.42B,3.46B,3.658B,4.675B,4.864B,4.568B,3.532B,4.88B,5.10B,5.787B,5.616B,976.00M,683.00M,650.00M,2.43B,304.00M,307.00M,260.00M,281.00M,269.00M,284.00M,245.00M,286.00M,278.00M,311.00M,214.00M,237.00M,566.70M,207.20M,120.30M,143.40M,734.30M,392.70M
Accounts Receivable,1.287B,1.397B,1.26B,1.319B,1.148B,1.297B,1.169B,1.222B,1.243B,1.368B,1.208B,1.197B,1.252B,1.233B,1.039B,1.01B,1.106B,1.194B,1.049B,905.00M,960.00M,1.121B,1.009B,877.00M,1.091B,1.099B,1.034B,943.00M,937.00M,1.185B,937.00M,926.00M,992.00M,1.011B,894.00M,922.00M,944.00M,989.00M,2.215B,2.996B,859.00M,3.298B,2.785B,2.862B,3.633B,2.53B,3.774B,3.439B,3.12B,3.025B,3.087B,3.003B,2.95B,2.704B,3.018B,3.12B,3.149B,2.603B,2.889B,2.884B,3.106B,2.807B,2.851B,2.614B,2.687B,2.049B,2.204B,2.433B,2.019B,3.441B,3.25B,2.66B,3.223B,3.135B,2.94B,3.041B,4.562B,2.828B,3.522B,2.006B,2.018B,2.401B,2.14B,2.167B,2.363B,2.735B,2.834B,3.107B,2.802B,2.626B,2.151B,2.147B,1.983B,2.015B,2.389B
Other Receivables,4.731B,4.546B,4.494B,4.192B,4.121B,2.228B,2.59B,2.019B,2.083B,2.47B,2.325B,2.454B,2.301B,1.95B,2.264B,2.049B,2.046B,2.16B,2.556B,2.541B,2.643B,2.283B,2.049B,2.03B,1.436B,1.29B,1.477B,1.539B,1.301B,665.00M,412.00M,817.00M,1.921B,820.00M,864.00M,,794.00M,786.00M,759.00M,,750.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Receivables,6.987B,6.981B,6.763B,6.349B,6.292B,4.487B,4.754B,4.092B,4.272B,4.835B,4.614B,4.584B,4.811B,4.357B,4.494B,3.974B,4.162B,4.417B,4.733B,4.292B,4.577B,4.446B,4.541B,4.147B,3.867B,3.575B,3.642B,3.248B,3.21B,2.648B,2.128B,2.511B,3.859B,2.716B,2.624B,1.573B,2.434B,2.527B,3.696B,3.746B,2.407B,3.356B,3.713B,3.552B,3.753B,2.53B,3.774B,3.439B,3.12B,3.025B,3.087B,3.003B,2.95B,2.704B,3.018B,3.12B,3.149B,2.603B,2.889B,2.884B,3.106B,2.807B,2.851B,2.614B,2.687B,2.049B,2.204B,2.433B,2.019B,3.441B,3.25B,2.66B,3.223B,3.135B,2.94B,3.041B,4.562B,2.828B,3.522B,2.006B,2.018B,2.401B,2.14B,2.167B,2.363B,2.735B,2.834B,3.107B,2.802B,2.626B,2.151B,2.147B,1.983B,2.015B,2.389B
Other Inventory,97.00M,110.00M,99.00M,72.00M,111.00M,116.00M,107.00M,79.00M,115.00M,138.00M,132.00M,96.00M,117.00M,134.00M,123.00M,109.00M,126.00M,149.00M,141.00M,108.00M,172.00M,189.00M,141.00M,78.00M,137.00M,184.00M,148.00M,73.00M,135.00M,,,,159.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inventories,647.00M,635.00M,608.00M,536.00M,554.00M,505.00M,487.00M,453.00M,481.00M,498.00M,501.00M,465.00M,463.00M,477.00M,469.00M,453.00M,439.00M,471.00M,456.00M,418.00M,476.00M,497.00M,461.00M,392.00M,454.00M,500.00M,475.00M,389.00M,444.00M,454.00M,415.00M,370.00M,420.00M,417.00M,356.00M,292.00M,357.00M,379.00M,334.00M,255.00M,314.00M,345.00M,311.00M,257.00M,423.00M,505.00M,428.00M,264.00M,371.00M,422.00M,352.00M,255.00M,330.00M,372.00M,304.00M,218.00M,364.00M,401.00M,312.00M,214.00M,304.00M,353.00M,287.00M,210.00M,292.00M,371.00M,357.00M,240.00M,275.00M,491.00M,444.00M,342.00M,462.00M,539.00M,501.00M,370.00M,392.00M,987.00M,660.00M,543.00M,433.00M,799.00M,770.00M,738.00M,671.00M,792.00M,638.00M,600.00M,626.00M,693.00M,513.10M,490.80M,530.10M,545.10M,501.70M
Prepaid Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,807.00M,734.00M,733.00M,,640.00M,781.00M,833.00M,718.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Restricted Cash,,,,,,,,,,7.00M,7.00M,7.00M,,168.00M,235.00M,234.00M,234.00M,287.00M,287.00M,298.00M,298.00M,299.00M,299.00M,299.00M,301.00M,301.00M,305.00M,304.00M,330.00M,418.00M,381.00M,385.00M,380.00M,393.00M,367.00M,431.00M,563.00M,573.00M,583.00M,629.00M,633.00M,569.00M,1.285B,1.284B,1.29B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
