date,sustainable_growth_rate
"Dec. 31, 2019",133.8%
"Sept. 30, 2019",150.8%
"June 30, 2019",210.6%
"March 31, 2019",317.1%
"Dec. 31, 2018",784.1%
"Sept. 30, 2018",155.1%
"June 30, 2018",52.60%
"March 31, 2018",16.52%
"Dec. 31, 2017",-18.16%
"Sept. 30, 2017",83.24%
"June 30, 2017",152.2%
"March 31, 2017",130.8%
"Dec. 31, 2016",119.2%
"Sept. 30, 2016",111.9%
"June 30, 2016",56.95%
"March 31, 2016",53.18%
"Dec. 31, 2015",52.90%
"Sept. 30, 2015",48.44%
"June 30, 2015",46.26%
"March 31, 2015",42.33%
"Dec. 31, 2014",42.12%
"Sept. 30, 2014",37.31%
"June 30, 2014",47.48%
"March 31, 2014",64.20%
"Dec. 31, 2013",99.63%
"Sept. 30, 2013",165.8%
"June 30, 2013",129.8%
"March 31, 2013",109.9%
"Dec. 31, 2012",95.95%
"Sept. 30, 2012",76.50%
"June 30, 2012",73.03%
"March 31, 2012",64.98%
"Dec. 31, 2011",53.72%
"Sept. 30, 2011",54.31%
"June 30, 2011",48.58%
"March 31, 2011",49.50%
"Dec. 31, 2010",49.44%
"Sept. 30, 2010",46.26%
"June 30, 2010",56.02%
"March 31, 2010",56.71%
"Dec. 31, 2009",65.46%
"Sept. 30, 2009",49.53%
"June 30, 2009",39.05%
"March 31, 2009",34.52%
"Dec. 31, 2008",30.11%
"Sept. 30, 2008",27.41%
"June 30, 2008",29.20%
"March 31, 2008",28.02%
"Dec. 31, 2007",31.56%
"Sept. 30, 2007",32.45%
"June 30, 2007",30.62%
"March 31, 2007",29.56%
"Dec. 31, 2006",25.91%
"Sept. 30, 2006",23.54%
"June 30, 2006",21.30%
"March 31, 2006",20.11%
"Dec. 31, 2005",17.96%
"Sept. 30, 2005",15.89%
"June 30, 2005",14.72%
"March 31, 2005",12.96%
"Dec. 31, 2004",12.27%
"Sept. 30, 2004",12.31%
"June 30, 2004",12.05%
"March 31, 2004",12.32%
"Dec. 31, 2003",12.84%
"Sept. 30, 2003",2.34%
"June 30, 2003",3.44%
"March 31, 2003",4.86%
"Dec. 31, 2002",4.39%
"Sept. 30, 2002",-11.84%
"June 30, 2002",-12.98%
"March 31, 2002",-15.71%
"Dec. 31, 2001",-17.14%
"Sept. 30, 2001",4.84%
"June 30, 2001",-7.88%
"March 31, 2001",-9.52%
"Dec. 31, 2000",-10.47%
"Sept. 30, 2000",-8.22%
"June 30, 2000",5.48%
"March 31, 2000",3.57%
"Dec. 31, 1999",0.60%
"Sept. 30, 1999",-2.06%
"June 30, 1999",-0.22%
"March 31, 1999",5.55%
"Dec. 31, 1998",12.13%
"Sept. 30, 1998",16.13%
"June 30, 1998",16.01%
"March 31, 1998",15.85%
"Dec. 31, 1997",15.74%
"Sept. 30, 1997",16.69%
"June 30, 1997",16.69%
"March 31, 1997",16.76%
"Dec. 31, 1996",16.96%
"Sept. 30, 1996",14.59%
"June 30, 1996",15.08%
"March 31, 1996",9.18%
"Dec. 31, 1995",7.07%
"Sept. 30, 1995",6.90%
"June 30, 1995",6.28%
