date,return_on_equity
"Dec. 31, 2019",226.9%
"Sept. 30, 2019",259.2%
"June 30, 2019",362.5%
"March 31, 2019",555.3%
"Dec. 31, 2018",1.47K%
"Sept. 30, 2018",628.7%
"June 30, 2018",462.1%
"March 31, 2018",305.6%
"Dec. 31, 2017",178.2%
"Sept. 30, 2017",205.4%
"June 30, 2017",260.9%
"March 31, 2017",220.3%
"Dec. 31, 2016",197.4%
"Sept. 30, 2016",182.1%
"June 30, 2016",123.4%
"March 31, 2016",116.3%
"Dec. 31, 2015",114.0%
"Sept. 30, 2015",103.4%
"June 30, 2015",95.74%
"March 31, 2015",86.33%
"Dec. 31, 2014",82.10%
"Sept. 30, 2014",80.40%
"June 30, 2014",99.42%
"March 31, 2014",131.5%
"Dec. 31, 2013",206.1%
"Sept. 30, 2013",321.9%
"June 30, 2013",256.6%
"March 31, 2013",216.2%
"Dec. 31, 2012",189.1%
"Sept. 30, 2012",140.7%
"June 30, 2012",128.6%
"March 31, 2012",110.9%
"Dec. 31, 2011",91.43%
"Sept. 30, 2011",84.10%
"June 30, 2011",76.61%
"March 31, 2011",75.79%
"Dec. 31, 2010",74.54%
"Sept. 30, 2010",71.06%
"June 30, 2010",82.07%
"March 31, 2010",83.85%
"Dec. 31, 2009",94.24%
"Sept. 30, 2009",70.39%
"June 30, 2009",54.35%
"March 31, 2009",46.11%
"Dec. 31, 2008",39.06%
"Sept. 30, 2008",34.90%
"June 30, 2008",36.86%
"March 31, 2008",37.67%
"Dec. 31, 2007",39.59%
"Sept. 30, 2007",40.50%
"June 30, 2007",38.38%
"March 31, 2007",34.96%
"Dec. 31, 2006",32.91%
"Sept. 30, 2006",30.14%
"June 30, 2006",27.71%
"March 31, 2006",26.34%
"Dec. 31, 2005",24.05%
"Sept. 30, 2005",21.82%
"June 30, 2005",20.60%
"March 31, 2005",18.79%
"Dec. 31, 2004",18.05%
"Sept. 30, 2004",18.02%
"June 30, 2004",17.29%
"March 31, 2004",17.09%
"Dec. 31, 2003",17.07%
"Sept. 30, 2003",5.69%
"June 30, 2003",6.61%
"March 31, 2003",7.90%
"Dec. 31, 2002",7.30%
"Sept. 30, 2002",-9.12%
"June 30, 2002",-10.27%
"March 31, 2002",-13.03%
"Dec. 31, 2001",-14.49%
"Sept. 30, 2001",7.50%
"June 30, 2001",-5.18%
"March 31, 2001",-6.80%
"Dec. 31, 2000",-7.74%
"Sept. 30, 2000",-4.85%
"June 30, 2000",9.66%
"March 31, 2000",8.44%
"Dec. 31, 1999",6.23%
"Sept. 30, 1999",3.53%
"June 30, 1999",5.27%
"March 31, 1999",10.98%
"Dec. 31, 1998",17.57%
"Sept. 30, 1998",21.49%
"June 30, 1998",21.48%
"March 31, 1998",21.54%
"Dec. 31, 1997",21.59%
"Sept. 30, 1997",22.40%
"June 30, 1997",22.61%
"March 31, 1997",22.98%
"Dec. 31, 1996",23.19%
"Sept. 30, 1996",20.97%
"June 30, 1996",21.40%
"March 31, 1996",15.37%
"Dec. 31, 1995",13.11%
"Sept. 30, 1995",12.46%
"June 30, 1995",11.90%
