date,revenues_growth
"Dec. 31, 2019",10.18%
"Sept. 30, 2019",5.96%
"June 30, 2019",7.68%
"March 31, 2019",23.21%
"Dec. 31, 2018",4.10%
"Sept. 30, 2018",16.02%
"June 30, 2018",6.65%
"March 31, 2018",3.77%
"Dec. 31, 2017",0.36%
"Sept. 30, 2017",6.84%
"June 30, 2017",8.52%
"March 31, 2017",8.14%
"Dec. 31, 2016",19.74%
"Sept. 30, 2016",14.82%
"June 30, 2016",-0.57%
"March 31, 2016",2.54%
"Dec. 31, 2015",67.54%
"Sept. 30, 2015",-9.48%
"June 30, 2015",2.98%
"March 31, 2015",-5.06%
"Dec. 31, 2014",-40.38%
"Sept. 30, 2014",-2.05%
"June 30, 2014",-0.89%
"March 31, 2014",-3.79%
"Dec. 31, 2013",-4.68%
"Sept. 30, 2013",-4.40%
"June 30, 2013",-4.30%
"March 31, 2013",-1.97%
"Dec. 31, 2012",-0.92%
"Sept. 30, 2012",-2.06%
"June 30, 2012",3.27%
"March 31, 2012",6.28%
"Dec. 31, 2011",-4.31%
"Sept. 30, 2011",6.84%
"June 30, 2011",2.33%
"March 31, 2011",2.80%
"Dec. 31, 2010",5.68%
"Sept. 30, 2010",5.35%
"June 30, 2010",1.88%
"March 31, 2010",-0.35%
"Dec. 31, 2009",23.55%
"Sept. 30, 2009",1.80%
"June 30, 2009",0.30%
"March 31, 2009",3.91%
"Dec. 31, 2008",-9.85%
"Sept. 30, 2008",-4.67%
"June 30, 2008",3.64%
"March 31, 2008",7.63%
"Dec. 31, 2007",0.01%
"Sept. 30, 2007",15.51%
"June 30, 2007",6.93%
"March 31, 2007",0.66%
"Dec. 31, 2006",5.97%
"Sept. 30, 2006",4.39%
"June 30, 2006",7.17%
"March 31, 2006",8.55%
"Dec. 31, 2005",2.65%
"Sept. 30, 2005",9.04%
"June 30, 2005",5.91%
"March 31, 2005",1.69%
"Dec. 31, 2004",10.99%
"Sept. 30, 2004",4.46%
"June 30, 2004",13.84%
"March 31, 2004",18.25%
"Dec. 31, 2003",15.40%
"Sept. 30, 2003",23.48%
"June 30, 2003",22.56%
"March 31, 2003",18.32%
"Dec. 31, 2002",6.08%
"Sept. 30, 2002",5.16%
"June 30, 2002",5.52%
"March 31, 2002",25.68%
"Dec. 31, 2001",7.74%
"Sept. 30, 2001",4.38%
"June 30, 2001",-4.04%
"March 31, 2001",-14.65%
"Dec. 31, 2000",-2.51%
"Sept. 30, 2000",-3.20%
"June 30, 2000",0.15%
"March 31, 2000",-10.12%
"Dec. 31, 1999",-2.76%
"Sept. 30, 1999",-3.02%
"June 30, 1999",-4.86%
"March 31, 1999",-0.47%
"Dec. 31, 1998",-8.86%
"Sept. 30, 1998",-4.08%
"June 30, 1998",-5.48%
"March 31, 1998",-6.85%
"Dec. 31, 1997",2.82%
"Sept. 30, 1997",-5.82%
"June 30, 1997",-2.52%
"March 31, 1997",30.63%
"Dec. 31, 1996",26.60%
"Sept. 30, 1996",26.61%
"June 30, 1996",26.22%
"March 31, 1996",-9.48%
"Dec. 31, 1995",-8.36%
"Sept. 30, 1995",-2.68%
"June 30, 1995",0.79%
"March 31, 1995",12.07%
