date,eps_growth
"Dec. 31, 2019",20.50%
"Sept. 30, 2019",10.12%
"June 30, 2019",23.46%
"March 31, 2019",49.00%
"Dec. 31, 2018",
"Sept. 30, 2018",54.82%
"June 30, 2018",23.48%
"March 31, 2018",49.44%
"Dec. 31, 2017",
"Sept. 30, 2017",-58.13%
"June 30, 2017",-1.20%
"March 31, 2017",-7.56%
"Dec. 31, 2016",11.30%
"Sept. 30, 2016",186.3%
"June 30, 2016",12.93%
"March 31, 2016",6.20%
"Dec. 31, 2015",6.74%
"Sept. 30, 2015",0.36%
"June 30, 2015",6.52%
"March 31, 2015",-4.53%
"Dec. 31, 2014",88.00%
"Sept. 30, 2014",3.76%
"June 30, 2014",4.55%
"March 31, 2014",23.18%
"Dec. 31, 2013",-13.29%
"Sept. 30, 2013",20.36%
"June 30, 2013",10.92%
"March 31, 2013",14.78%
"Dec. 31, 2012",-16.83%
"Sept. 30, 2012",5.24%
"June 30, 2012",11.22%
"March 31, 2012",35.33%
"Dec. 31, 2011",-21.21%
"Sept. 30, 2011",36.36%
"June 30, 2011",-3.60%
"March 31, 2011",6.38%
"Dec. 31, 2010",30.05%
"Sept. 30, 2010",-25.60%
"June 30, 2010",18.09%
"March 31, 2010",-16.07%
"Dec. 31, 2009",-0.49%
"Sept. 30, 2009",7.81%
"June 30, 2009",-12.56%
"March 31, 2009",-4.00%
"Dec. 31, 2008",7.94%
"Sept. 30, 2008",6.67%
"June 30, 2008",18.13%
"March 31, 2008",9.38%
"Dec. 31, 2007",12.50%
"Sept. 30, 2007",23.29%
"June 30, 2007",35.82%
"March 31, 2007",19.40%
"Dec. 31, 2006",30.23%
"Sept. 30, 2006",52.08%
"June 30, 2006",31.37%
"March 31, 2006",61.45%
"Dec. 31, 2005",55.42%
"Sept. 30, 2005",39.13%
"June 30, 2005",54.55%
"March 31, 2005",27.69%
"Dec. 31, 2004",7.79%
"Sept. 30, 2004",43.75%
"June 30, 2004",22.22%
"March 31, 2004",18.18%
"Dec. 31, 2003",
"Sept. 30, 2003",-25.00%
"June 30, 2003",-28.00%
"March 31, 2003",12.24%
"Dec. 31, 2002",
"Sept. 30, 2002",28.00%
"June 30, 2002",127.3%
"March 31, 2002",96.00%
"Dec. 31, 2001",
"Sept. 30, 2001",
"June 30, 2001",200.0%
"March 31, 2001",78.57%
"Dec. 31, 2000",-67.11%
"Sept. 30, 2000",
"June 30, 2000",
"March 31, 2000",
"Dec. 31, 1999",130.3%
"Sept. 30, 1999",-31.33%
"June 30, 1999",
"March 31, 1999",
"Dec. 31, 1998",
"Sept. 30, 1998",9.93%
"June 30, 1998",7.04%
"March 31, 1998",5.19%
"Dec. 31, 1997",
"Sept. 30, 1997",9.42%
"June 30, 1997",6.77%
"March 31, 1997",10.66%
"Dec. 31, 1996",51.41%
"Sept. 30, 1996",6.98%
"June 30, 1996",
"March 31, 1996",96.77%
"Dec. 31, 1995",15.45%
"Sept. 30, 1995",11.21%
"June 30, 1995",
"March 31, 1995",-42.59%
