date,six_month_return
"March 19, 2020",-20.14%
"March 18, 2020",-16.03%
"March 17, 2020",-19.07%
"March 16, 2020",-26.67%
"March 13, 2020",-14.62%
"March 12, 2020",-19.46%
"March 11, 2020",-6.45%
"March 10, 2020",-3.71%
"March 9, 2020",-7.41%
"March 6, 2020",-1.06%
"March 5, 2020",-0.12%
"March 4, 2020",3.33%
"March 3, 2020",-1.90%
"March 2, 2020",-0.72%
"Feb. 28, 2020",-2.91%
"Feb. 27, 2020",1.21%
"Feb. 26, 2020",5.41%
"Feb. 25, 2020",6.23%
"Feb. 24, 2020",11.27%
"Feb. 21, 2020",11.70%
"Feb. 20, 2020",11.58%
"Feb. 19, 2020",14.20%
"Feb. 18, 2020",15.53%
"Feb. 14, 2020",18.68%
"Feb. 13, 2020",15.24%
"Feb. 12, 2020",15.81%
"Feb. 11, 2020",16.67%
"Feb. 10, 2020",16.64%
"Feb. 7, 2020",18.92%
"Feb. 6, 2020",19.68%
"Feb. 5, 2020",21.42%
"Feb. 4, 2020",19.03%
"Feb. 3, 2020",17.12%
"Jan. 31, 2020",18.21%
"Jan. 30, 2020",19.10%
"Jan. 29, 2020",17.37%
"Jan. 28, 2020",18.33%
"Jan. 27, 2020",17.03%
"Jan. 24, 2020",17.24%
"Jan. 23, 2020",19.84%
"Jan. 22, 2020",18.68%
"Jan. 21, 2020",19.38%
"Jan. 17, 2020",18.74%
"Jan. 16, 2020",16.52%
"Jan. 15, 2020",14.48%
"Jan. 14, 2020",12.64%
"Jan. 13, 2020",13.42%
"Jan. 10, 2020",12.40%
"Jan. 9, 2020",12.23%
"Jan. 8, 2020",11.34%
"Jan. 7, 2020",12.05%
"Jan. 6, 2020",11.68%
"Jan. 3, 2020",11.71%
"Jan. 2, 2020",8.65%
"Dec. 31, 2019",7.11%
"Dec. 30, 2019",7.80%
"Dec. 27, 2019",9.61%
"Dec. 26, 2019",9.12%
"Dec. 24, 2019",8.39%
"Dec. 23, 2019",9.06%
"Dec. 20, 2019",6.52%
"Dec. 19, 2019",7.71%
"Dec. 18, 2019",7.65%
"Dec. 17, 2019",10.96%
"Dec. 16, 2019",10.23%
"Dec. 13, 2019",10.71%
"Dec. 12, 2019",11.15%
"Dec. 11, 2019",12.27%
"Dec. 10, 2019",9.34%
"Dec. 9, 2019",7.91%
"Dec. 6, 2019",9.74%
"Dec. 5, 2019",9.42%
"Dec. 4, 2019",10.08%
"Dec. 3, 2019",10.75%
"Dec. 2, 2019",13.32%
"Nov. 29, 2019",15.23%
"Nov. 27, 2019",16.37%
"Nov. 26, 2019",15.86%
"Nov. 25, 2019",15.11%
"Nov. 22, 2019",14.49%
"Nov. 21, 2019",13.46%
"Nov. 20, 2019",14.82%
"Nov. 19, 2019",15.63%
"Nov. 18, 2019",16.20%
"Nov. 15, 2019",17.78%
"Nov. 14, 2019",16.06%
"Nov. 13, 2019",15.60%
"Nov. 12, 2019",13.17%
"Nov. 11, 2019",11.73%
"Nov. 8, 2019",14.27%
"Nov. 7, 2019",14.46%
"Nov. 6, 2019",13.13%
"Nov. 5, 2019",11.84%
"Nov. 4, 2019",12.10%
"Nov. 1, 2019",14.26%
"Oct. 31, 2019",13.01%
"Oct. 30, 2019",13.59%
"Oct. 29, 2019",12.94%
"Oct. 28, 2019",13.25%
"Oct. 25, 2019",12.73%
"Oct. 24, 2019",13.52%
"Oct. 23, 2019",12.01%
"Oct. 22, 2019",18.53%
"Oct. 21, 2019",19.03%
"Oct. 18, 2019",18.53%
"Oct. 17, 2019",21.44%
"Oct. 16, 2019",23.47%
"Oct. 15, 2019",23.98%
"Oct. 14, 2019",23.54%
"Oct. 11, 2019",24.83%
"Oct. 10, 2019",29.34%
"Oct. 9, 2019",27.07%
"Oct. 8, 2019",25.01%
"Oct. 7, 2019",26.84%
"Oct. 4, 2019",28.46%
"Oct. 3, 2019",27.85%
"Oct. 2, 2019",24.76%
"Oct. 1, 2019",26.26%
"Sept. 30, 2019",29.95%
"Sept. 27, 2019",31.95%
"Sept. 26, 2019",33.23%
"Sept. 25, 2019",32.75%
