Cash Flow - Operations (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03,1993-12,1993-09,1993-06,1993-03,1992-12,1992-09,1992-06,1992-03,1991-12,1991-09,1991-06,1991-03,1990-12,1990-09,1990-06,1990-03
Net Income,-1.036B,-737.00M,635.00M,631.00M,706.00M,1.869B,848.00M,708.00M,497.00M,190.00M,507.00M,117.00M,-268.00M,-238.00M,-136.00M,-360.00M,-5.505B,-2.606B,180.00M,-215.00M,-3.426B,998.00M,1.161B,1.137B,658.00M,1.588B,1.327B,1.359B,-442.00M,1.379B,1.332B,1.56B,1.641B,1.775B,1.819B,1.405B,1.206B,1.225B,1.089B,1.121B,1.183B,943.00M,696.00M,380.00M,541.00M,2.229B,2.366B,1.819B,1.13B,1.324B,1.412B,1.212B,930.00M,1.17B,860.00M,1.231B,1.164B,1.747B,1.532B,850.00M,736.00M,759.00M,584.00M,489.00M,388.00M,446.00M,374.00M,393.00M,323.00M,476.00M,241.00M,123.00M,-247.00M,442.00M,473.00M,511.00M,333.00M,401.00M,564.00M,271.00M,487.00M,126.00M,12.00M,-57.00M,-38.00M,38.00M,186.00M,177.00M,-884.00M,157.00M,158.00M,179.00M,159.00M,194.00M,181.00M,164.00M,7.00M,139.00M,187.00M,178.00M,0.00,23.00M,-19.00M,-40.00M,57.00M,80.00M,75.00M,83.00M,-629.00M,69.00M,43.00M,21.00M,3.00M,96.00M,135.00M,83.00M,-1.978B,111.00M,69.00M,110.00M
Gain/Loss on Sale Business,,,,,,,,,,,,,,,,,,,,,,,,,-1.044B,0.00,-131.00M,,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gain and Loss on Sale of PPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-27.00M,25.00M,-25.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Earnings Loss from Eq. Investments,0.00,14.00M,-64.00M,,-27.00M,4.00M,-20.00M,,2.00M,57.00M,-127.00M,,7.00M,-4.00M,,,9.00M,-3.00M,,,16.00M,22.00M,-3.00M,3.00M,37.00M,-9.00M,-9.00M,-22.00M,-16.00M,-6.00M,1.00M,-9.00M,35.00M,-43.00M,23.00M,-48.00M,0.00,5.00M,-14.00M,-51.00M,-73.00M,-66.00M,-46.00M,-42.00M,-213.00M,111.00M,-65.00M,-46.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Gains Losses,-472.00M,-114.00M,-79.00M,-7.00M,-32.00M,-922.00M,-30.00M,-33.00M,-67.00M,-29.00M,-639.00M,,3.00M,-64.00M,0.00,-138.00M,2.00M,-102.00M,-19.00M,24.00M,-1.969B,27.00M,-528.00M,3.00M,-1.007B,-9.00M,-140.00M,-22.00M,-16.00M,-6.00M,1.00M,-9.00M,57.00M,-43.00M,-160.00M,113.00M,1.00M,-1.00M,13.00M,-73.00M,-76.00M,-66.00M,-53.00M,-42.00M,-181.00M,77.00M,-96.00M,-40.00M,-212.00M,68.00M,-349.00M,-463.00M,-191.00M,-110.00M,-115.00M,-119.00M,-310.00M,-668.00M,-476.00M,108.00M,-507.00M,69.00M,86.00M,117.00M,163.00M,70.00M,87.00M,56.00M,267.00M,55.00M,22.00M,65.00M,681.00M,-90.00M,5.00M,103.00M,-320.00M,-56.00M,-379.00M,-12.00M,-975.00M,-11.00M,83.00M,-20.00M,-237.00M,-131.00M,-212.00M,-129.00M,729.00M,-6.00M,33.00M,-27.00M,114.00M,35.00M,8.00M,-4.00M,110.00M,30.00M,-222.00M,105.00M,153.00M,69.00M,6.00M,-14.00M,44.00M,60.00M,-71.00M,-125.00M,-40.00M,-18.00M,-126.00M,-192.00M,8.00M,-277.00M,-167.00M,-22.00M,2.233B,63.00M,11.00M,44.00M
Total Depreciation and Amortization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.957B,1.957B,,,-1.74B,602.00M,564.00M,574.00M,562.00M,516.00M,467.00M,463.00M,337.00M,362.00M,329.00M,344.00M,282.00M,321.00M,324.00M,324.00M,307.00M,297.00M,286.00M,285.00M,260.00M,245.00M,253.00M,261.00M,248.00M,240.00M,237.00M,245.00M,221.00M,268.00M,234.00M,185.00M,219.00M,198.00M,203.00M,197.00M,204.00M,202.00M,221.00M,230.00M,235.00M,110.00M,284.00M,204.00M,81.00M,236.00M,227.00M,224.00M,92.00M,235.00M,235.00M,238.00M,237.00M,229.00M,224.00M,207.00M,236.00M,228.00M,222.00M,221.00M,281.00M,206.00M,201.00M,199.00M,308.00M,175.00M,239.00M,233.00M,340.00M,258.00M,255.00M,253.00M
"Total Depreciation, Amortization, Depletion",2.271B,1.706B,1.031B,973.00M,1.086B,1.023B,947.00M,921.00M,1.076B,995.00M,989.00M,942.00M,1.05B,1.046B,1.07B,1.102B,1.276B,1.123B,1.116B,1.029B,1.204B,1.056B,1.024B,977.00M,307.00M,1.334B,1.303B,1.259B,265.00M,1.148B,1.087B,1.085B,938.00M,924.00M,839.00M,890.00M,800.00M,792.00M,798.00M,763.00M,390.00M,769.00M,742.00M,786.00M,753.00M,683.00M,621.00M,653.00M,639.00M,602.00M,564.00M,574.00M,562.00M,516.00M,467.00M,463.00M,337.00M,362.00M,329.00M,344.00M,282.00M,321.00M,324.00M,324.00M,307.00M,297.00M,286.00M,285.00M,260.00M,245.00M,253.00M,261.00M,248.00M,240.00M,237.00M,245.00M,221.00M,268.00M,234.00M,185.00M,219.00M,198.00M,203.00M,197.00M,204.00M,202.00M,221.00M,230.00M,235.00M,110.00M,284.00M,204.00M,81.00M,236.00M,227.00M,224.00M,92.00M,235.00M,235.00M,238.00M,237.00M,229.00M,224.00M,207.00M,236.00M,228.00M,222.00M,221.00M,281.00M,206.00M,201.00M,199.00M,308.00M,175.00M,239.00M,233.00M,340.00M,258.00M,255.00M,253.00M
Deferred Taxes,23.00M,-1.097B,37.00M,10.00M,-179.00M,379.00M,77.00M,94.00M,-608.00M,-87.00M,84.00M,-108.00M,-355.00M,-238.00M,-1.00M,77.00M,-955.00M,-556.00M,202.00M,-63.00M,-1.398B,277.00M,-182.00M,125.00M,-102.00M,381.00M,361.00M,274.00M,-675.00M,461.00M,444.00M,350.00M,437.00M,482.00M,241.00M,276.00M,133.00M,114.00M,65.00M,94.00M,412.00M,119.00M,79.00M,49.00M,-129.00M,249.00M,82.00M,66.00M,60.00M,32.00M,-55.00M,-2.00M,114.00M,52.00M,-108.00M,40.00M,-3.00M,-9.00M,-72.00M,30.00M,86.00M,7.00M,55.00M,25.00M,-47.00M,62.00M,18.00M,32.00M,124.00M,-379.00M,86.00M,28.00M,-86.00M,-163.00M,26.00M,40.00M,42.00M,127.00M,177.00M,67.00M,130.00M,-21.00M,51.00M,23.00M,-44.00M,82.00M,234.00M,3.00M,-105.00M,19.00M,35.00M,42.00M,-10.00M,-96.00M,63.00M,40.00M,16.00M,34.00M,8.00M,12.00M,,,,,,,,,,,,,,,,,,,,
Asset Impairment Charge,1.003B,325.00M,0.00,0.00,305.00M,214.00M,12.00M,30.00M,521.00M,11.00M,0.00,13.00M,526.00M,61.00M,0.00,78.00M,6.32B,3.128B,0.00,236.00M,6.908B,0.00,471.00M,0.00,621.00M,0.00,0.00,,,,,,-109.00M,15.00M,45.00M,49.00M,154.00M,52.00M,37.00M,32.00M,70.00M,40.00M,42.00M,48.00M,244.00M,-96.00M,53.00M,43.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
