Assets (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03,1993-12,1993-09,1993-06,1993-03,1992-12,1992-09,1992-06,1992-03,1991-12,1991-09,1991-06,1991-03,1990-12,1990-09,1990-06,1990-03,1989-12,1989-09,1988-12,1987-12,1986-12,1985-12,1984-12
Cash and Equivalents,3.032B,4.84B,1.751B,1.752B,3.033B,2.954B,1.362B,1.606B,1.672B,1.806B,2.218B,1.494B,2.233B,3.18B,3.751B,3.176B,3.201B,2.547B,2.756B,2.153B,3.789B,2.897B,2.391B,2.332B,3.393B,3.771B,3.069B,2.14B,1.592B,3.76B,4.41B,3.76B,3.781B,4.039B,1.994B,2.10B,2.578B,2.109B,2.322B,1.895B,1.224B,1.608B,1.755B,1.126B,1.777B,1.452B,1.506B,1.495B,1.964B,1.455B,1.505B,1.292B,1.339B,1.214B,1.356B,1.804B,2.188B,1.411B,630.00M,1.092B,1.199B,998.00M,383.00M,470.00M,683.00M,529.00M,115.00M,146.00M,146.00M,298.00M,430.00M,95.00M,198.00M,569.00M,163.00M,299.00M,97.00M,268.00M,97.00M,128.00M,214.00M,151.00M,267.00M,571.00M,96.00M,118.00M,134.00M,255.00M,113.00M,170.00M,331.00M,342.00M,258.00M,135.00M,113.00M,118.00M,520.00M,118.00M,315.00M,118.00M,129.00M,92.00M,51.00M,99.00M,157.00M,93.00M,133.00M,87.00M,85.00M,210.00M,84.00M,28.00M,191.00M,21.00M,126.00M,156.00M,285.00M,185.00M,195.00M,201.00M,209.00M,173.00M,567.00M,542.00M,654.70M,509.60M,1.195B
Short Term Investments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.15B,911.00M,874.00M,,849.00M,813.00M,998.00M,900.00M,899.00M,872.00M,1.077B,1.075B,622.00M,749.00M,999.00M,1.012B,,,,416.00M,,,213.00M,240.00M,225.00M,227.00M,227.00M,252.00M,305.00M,240.00M,270.00M,250.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash and Short Term Investments,3.032B,4.84B,1.751B,1.752B,3.033B,2.954B,1.362B,1.606B,1.672B,1.806B,2.218B,1.494B,2.233B,3.18B,3.751B,3.176B,3.201B,2.547B,2.756B,2.153B,3.789B,2.897B,2.391B,2.332B,3.393B,3.771B,3.069B,2.14B,1.592B,4.91B,5.321B,4.634B,3.781B,4.888B,2.807B,3.098B,3.478B,3.008B,3.194B,2.972B,2.299B,2.23B,2.504B,2.125B,2.789B,1.452B,1.506B,1.495B,2.38B,1.455B,1.505B,1.505B,1.579B,1.439B,1.583B,2.031B,2.44B,1.716B,870.00M,1.362B,1.449B,998.00M,383.00M,470.00M,683.00M,529.00M,115.00M,146.00M,146.00M,298.00M,430.00M,95.00M,198.00M,569.00M,163.00M,299.00M,97.00M,268.00M,97.00M,128.00M,214.00M,151.00M,267.00M,571.00M,96.00M,118.00M,134.00M,255.00M,113.00M,170.00M,331.00M,342.00M,258.00M,135.00M,113.00M,118.00M,520.00M,118.00M,315.00M,118.00M,129.00M,92.00M,51.00M,99.00M,157.00M,93.00M,133.00M,87.00M,85.00M,210.00M,84.00M,28.00M,191.00M,21.00M,126.00M,156.00M,285.00M,185.00M,195.00M,201.00M,209.00M,173.00M,567.00M,542.00M,654.70M,509.60M,1.195B
Accounts Receivable,6.373B,5.854B,5.273B,5.31B,4.893B,6.00B,5.521B,5.184B,4.145B,3.749B,3.913B,4.316B,3.989B,3.521B,3.113B,2.78B,2.97B,3.507B,3.973B,3.068B,4.206B,4.96B,5.826B,5.233B,5.674B,5.653B,5.221B,4.995B,4.916B,5.354B,4.959B,5.712B,5.395B,4.829B,5.542B,6.009B,5.032B,4.367B,4.335B,4.616B,4.092B,3.33B,2.776B,2.483B,3.117B,6.878B,7.30B,6.055B,4.973B,4.18B,3.942B,3.771B,3.324B,3.358B,3.664B,3.453B,3.099B,3.393B,2.859B,2.561B,2.235B,2.178B,1.995B,1.466B,1.154B,1.053B,1.016B,1.277B,929.00M,910.00M,886.00M,941.00M,661.00M,1.017B,1.223B,1.404B,1.326B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Receivables,6.373B,5.854B,5.273B,5.31B,4.893B,6.00B,5.521B,5.184B,4.145B,3.749B,3.913B,4.316B,3.989B,3.521B,3.113B,2.78B,2.97B,3.507B,3.973B,3.068B,4.206B,4.96B,5.826B,5.233B,5.674B,5.653B,5.221B,4.995B,4.916B,5.354B,4.959B,5.712B,5.395B,4.829B,5.542B,6.009B,5.032B,4.367B,4.335B,4.616B,4.092B,3.33B,2.776B,2.483B,3.117B,6.878B,7.30B,6.055B,4.973B,4.18B,3.942B,3.771B,3.324B,3.358B,3.664B,3.453B,3.099B,3.393B,2.859B,2.561B,2.235B,2.178B,1.995B,1.466B,1.154B,1.053B,1.016B,1.277B,929.00M,910.00M,886.00M,941.00M,661.00M,1.017B,1.223B,1.404B,1.326B,1.336B,1.196B,745.00M,774.00M,674.00M,753.00M,408.00M,2.018B,629.00M,602.00M,696.00M,822.00M,802.00M,825.00M,784.00M,757.00M,938.00M,1.008B,987.00M,891.00M,946.00M,987.00M,1.038B,965.00M,879.00M,787.00M,768.00M,667.00M,776.00M,829.00M,931.00M,987.00M,1.754B,1.671B,1.726B,1.704B,2.392B,2.376B,2.599B,2.764B,2.631B,2.227B,2.306B,2.301B,2.10B,2.152B,1.918B,1.952B,1.575B,1.524B
Raw Materials Inventory,954.00M,983.00M,599.00M,541.00M,519.00M,503.00M,534.00M,538.00M,513.00M,523.00M,532.00M,518.00M,511.00M,580.00M,575.00M,581.00M,641.00M,670.00M,712.00M,690.00M,656.00M,737.00M,721.00M,711.00M,702.00M,721.00M,716.00M,717.00M,682.00M,650.00M,599.00M,545.00M,512.00M,527.00M,502.00M,495.00M,477.00M,547.00M,563.00M,588.00M,505.00M,603.00M,612.00M,594.00M,535.00M,511.00M,100.00M,446.00M,441.00M,451.00M,444.00M,424.00M,374.00M,81.00M,74.00M,318.00M,83.00M,72.00M,,60.00M,62.00M,57.00M,55.00M,50.00M,46.00M,59.00M,56.00M,59.00M,54.00M,44.00M,51.00M,51.00M,53.00M,59.00M,199.00M,190.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Work in Process Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,378.00M,,,,,,,,,,,,,,,,,,,,,,,1.00M,2.00M,2.00M,,2.00M,2.00M,2.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finished Goods Inventory,533.00M,665.00M,1.03B,990.00M,788.00M,549.00M,858.00M,562.00M,776.00M,519.00M,429.00M,526.00M,395.00M,397.00M,381.00M,466.00M,395.00M,541.00M,497.00M,533.00M,485.00M,713.00M,693.00M,688.00M,589.00M,708.00M,725.00M,690.00M,763.00M,745.00M,998.00M,803.00M,655.00M,794.00M,772.00M,668.00M,636.00M,661.00M,738.00M,559.00M,574.00M,600.00M,528.00M,484.00M,494.00M,548.00M,571.00M,485.00M,571.00M,575.00M,501.00M,388.00M,525.00M,624.00M,506.00M,517.00M,573.00M,402.00M,,360.00M,380.00M,303.00M,262.00M,221.00M,342.00M,333.00M,306.00M,274.00M,319.00M,292.00M,240.00M,244.00M,252.00M,288.00M,271.00M,281.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,284.00M,258.00M,,177.00M,197.00M,,165.00M,157.00M,160.00M,154.00M,146.00M,143.00M,145.00M,142.00M,129.00M,125.00M,133.00M,129.00M,126.00M,119.00M,131.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inventories,1.447B,1.601B,1.582B,1.484B,1.26B,1.009B,1.347B,1.057B,1.246B,1.007B,920.00M,1.005B,866.00M,927.00M,906.00M,997.00M,986.00M,1.122B,1.12B,1.133B,1.052B,1.359B,1.323B,1.308B,1.20B,1.328B,1.34B,1.306B,1.344B,1.297B,1.499B,1.25B,1.069B,1.249B,1.202B,1.091B,1.041B,1.127B,1.22B,1.066B,998.00M,1.132B,1.069B,1.007B,958.00M,957.00M,947.00M,829.00M,910.00M,952.00M,871.00M,738.00M,825.00M,872.00M,721.00M,718.00M,716.00M,617.00M,603.00M,531.00M,545.00M,499.00M,449.00M,396.00M,510.00M,530.00M,497.00M,455.00M,491.00M,471.00M,420.00M,421.00M,414.00M,445.00M,436.00M,437.00M,485.00M,530.00M,510.00M,486.00M,503.00M,498.00M,498.00M,495.00M,500.00M,481.00M,481.00M,669.00M,604.00M,650.00M,632.00M,558.00M,582.00M,610.00M,573.00M,588.00M,647.00M,773.00M,721.00M,750.00M,748.00M,757.00M,686.00M,688.00M,791.00M,860.00M,750.00M,755.00M,817.00M,923.00M,851.00M,793.00M,818.00M,816.00M,1.096B,1.091B,1.123B,1.156B,1.136B,1.058B,1.102B,1.208B,1.043B,792.00M,955.90M,610.60M,582.30M
