Cash Flow - Operations (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03
Net Income,50.78M,5.09M,25.02M,115.88M,45.87M,10.13M,25.64M,54.96M,27.62M,4.458M,21.72M,62.14M,40.10M,12.26M,27.29M,57.66M,38.54M,13.04M,25.27M,46.46M,32.24M,10.47M,100.58M,48.98M,31.53M,11.93M,25.73M,43.10M,16.09M,5.962M,18.53M,38.21M,25.97M,11.64M,23.53M,42.40M,26.25M,13.33M,26.05M,29.32M,22.30M,8.634M,26.29M,31.42M,18.01M,7.828M,23.55M,25.36M,14.07M,-3.875M,14.18M,14.09M,17.84M,10.07M,13.46M,31.57M,25.41M,-9.037M,18.60M,10.19M,22.58M,-9.782M,10.13M,12.22M,15.08M,4.32M,8.969M,16.13M,11.48M,-1.615M,10.34M,11.10M,-7.662M,-32.31M,22.72M,29.40M,68.11M,34.54M,-21.49M,10.52M,-29.50M,27.60M,8.50M,19.40M,21.50M,8.70M,15.70M,32.20M,23.30M,13.20M,48.50M,29.80M,14.20M,18.40M,9.00M,41.90M,32.60M,10.80M,15.20M,28.50M,26.70M,8.10M,15.70M,26.70M
Gain/Loss on Sale Business,-0.973M,0.00,-6.477M,,0.00,0.00,0.00,,,,,,,,,,-0.067M,-0.547M,-0.163M,,0.488M,0.00,-161.10M,,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Earnings Loss from Eq. Investments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.60M,-0.368M,-1.232M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pension and Employee Expense,9.278M,9.099M,8.956M,9.084M,8.037M,7.955M,7.855M,8.17M,9.258M,9.277M,9.191M,9.348M,9.71M,9.761M,9.84M,9.475M,8.871M,9.393M,9.569M,9.217M,5.562M,5.796M,4.17M,7.415M,10.17M,10.42M,10.53M,10.95M,10.05M,10.03M,10.03M,9.727M,58.07M,-8.75M,-8.75M,-8.50M,45.76M,-7.00M,-7.00M,-7.00M,0.00,-16.00M,-16.00M,-16.00M,0.00,-14.00M,-14.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Gains Losses,8.305M,9.099M,2.479M,9.084M,8.037M,7.955M,7.855M,8.17M,9.258M,9.277M,9.191M,9.348M,9.71M,9.761M,9.84M,9.475M,8.804M,8.846M,9.406M,9.217M,6.05M,5.796M,-156.93M,7.415M,10.17M,10.42M,10.53M,10.95M,10.05M,10.03M,10.03M,9.727M,58.07M,-8.75M,-8.75M,-8.50M,45.76M,-7.00M,-7.00M,-7.00M,1.60M,-16.37M,-17.23M,-16.00M,0.00,-14.00M,-14.00M,,-3.40M,-5.12M,-0.303M,1.076M,-0.837M,-65.88M,36.35M,10.42M,15.58M,-8.031M,-0.897M,27.38M,11.29M,23.48M,10.82M,11.32M,23.28M,-27.32M,18.12M,0.22M,-47.76M,37.24M,53.84M,54.95M,11.42M,-33.17M,-67.43M,-77.47M,-118.58M,-104.12M,-5.432M,0.629M,-8.10M,-41.80M,-19.50M,-12.40M,2.00M,4.70M,-10.10M,-7.70M,-7.10M,0.70M,-16.30M,-12.90M,-13.10M,0.30M,2.40M,9.80M,13.90M,-0.40M,5.50M,6.20M,3.10M,-1.20M,-2.10M,0.90M
Depreciation Expense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24.28M,24.28M,-68.92M,23.50M,22.97M,22.45M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amortization Expense CF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20.78M,20.78M,-31.42M,7.472M,-3.649M,27.60M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Depreciation and Amortization,51.05M,50.19M,55.63M,49.12M,47.58M,47.15M,46.76M,45.82M,44.85M,44.01M,43.71M,43.08M,42.51M,41.34M,40.78M,40.29M,38.31M,37.39M,36.75M,35.38M,35.44M,34.36M,33.96M,34.58M,34.40M,33.90M,33.27M,31.62M,33.11M,31.65M,31.32M,30.32M,29.33M,28.30M,28.25M,27.72M,28.43M,26.65M,26.40M,26.15M,25.78M,25.16M,3.774M,45.06M,-7.709M,30.97M,19.32M,50.05M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total Depreciation, Amortization, Depletion",51.05M,50.19M,55.63M,49.12M,47.58M,47.15M,46.76M,45.82M,44.85M,44.01M,43.71M,43.08M,42.51M,41.34M,40.78M,40.29M,38.31M,37.39M,36.75M,35.38M,35.44M,34.36M,33.96M,34.58M,34.40M,33.90M,33.27M,31.62M,33.11M,31.65M,31.32M,30.32M,29.33M,28.30M,28.25M,27.72M,28.43M,26.65M,26.40M,26.15M,25.78M,25.16M,3.774M,45.06M,-7.709M,30.97M,19.32M,50.05M,30.49M,14.45M,49.32M,22.36M,39.31M,67.99M,21.42M,22.43M,17.22M,42.98M,21.39M,22.71M,20.40M,19.66M,21.75M,24.91M,25.69M,12.80M,32.18M,18.94M,89.47M,23.64M,15.69M,20.42M,17.87M,18.13M,18.01M,17.97M,8.274M,19.77M,18.74M,19.15M,,,,,,,,,,,,,,,,,,,,,,,,
