Assets (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03
Cash,7.044M,,,,7.595M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash and Equivalents,9.896M,14.45M,17.23M,14.86M,14.66M,21.17M,35.33M,26.27M,16.17M,14.72M,13.41M,26.18M,8.507M,7.084M,13.52M,12.77M,10.48M,9.314M,16.24M,22.08M,22.14M,10.39M,207.97M,103.79M,98.72M,106.13M,103.79M,115.51M,89.33M,82.95M,93.42M,72.70M,74.66M,78.10M,69.92M,61.84M,69.41M,56.68M,38.53M,39.60M,37.04M,35.02M,34.46M,35.65M,24.31M,15.03M,5.384M,13.11M,15.91M,6.508M,103.30M,83.21M,28.24M,31.60M,35.85M,94.85M,25.92M,62.96M,72.46M,59.22M,88.32M,106.55M,133.62M,160.99M,128.13M,187.18M,219.54M,222.07M,186.27M,198.21M,142.48M,250.54M,171.22M,161.90M,249.86M,205.18M,197.24M,78.49M,62.97M,49.29M,40.00M,163.10M,47.40M,80.80M,72.80M,35.50M,30.40M,32.50M,30.60M,23.00M,29.90M,35.00M,8.20M,9.00M,3.20M,17.20M,5.20M,3.90M,4.00M,4.50M,5.20M,5.90M,19.00M,9.10M
Short Term Investments,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,82.23M,80.54M,78.72M,73.97M,77.08M,74.40M,0.00,0.00,0.00,118.54M,0.00,0.00,0.00,100.54M,,,64.43M,0.00,60.60M,55.82M,65.56M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash and Short Term Investments,9.896M,14.45M,17.23M,14.86M,14.66M,21.17M,35.33M,26.27M,16.17M,14.72M,13.41M,26.18M,8.507M,7.084M,13.52M,12.77M,10.48M,9.314M,16.24M,22.08M,22.14M,10.39M,207.97M,186.02M,179.26M,184.85M,177.76M,192.59M,163.74M,82.95M,93.42M,72.70M,193.20M,78.10M,69.92M,61.84M,169.96M,56.68M,38.53M,104.03M,37.04M,95.63M,90.28M,101.21M,24.31M,15.03M,5.384M,13.11M,15.91M,6.508M,103.30M,83.21M,28.24M,31.60M,35.85M,94.85M,25.92M,62.96M,72.46M,59.22M,88.32M,106.55M,133.62M,160.99M,128.13M,187.18M,219.54M,222.07M,186.27M,198.21M,142.48M,250.54M,171.22M,161.90M,249.86M,205.18M,197.24M,78.49M,62.97M,49.29M,40.00M,163.10M,47.40M,80.80M,72.80M,35.50M,30.40M,32.50M,30.60M,23.00M,29.90M,35.00M,8.20M,9.00M,3.20M,17.20M,5.20M,3.90M,4.00M,4.50M,5.20M,5.90M,19.00M,9.10M
Accounts Receivable,166.66M,108.58M,115.49M,170.20M,165.82M,104.89M,117.83M,168.53M,185.66M,125.60M,133.95M,179.40M,180.26M,116.05M,121.28M,149.54M,169.41M,110.84M,136.32M,162.20M,171.92M,124.55M,127.61M,202.82M,221.34M,139.51M,147.85M,190.20M,193.68M,141.66M,148.08M,188.73M,203.45M,155.07M,165.32M,218.44M,230.23M,168.98M,218.38M,209.01M,210.64M,149.49M,127.93M,215.54M,218.85M,93.33M,149.38M,223.72M,105.44M,112.72M,187.64M,258.93M,286.15M,188.04M,211.16M,347.58M,502.95M,334.84M,233.34M,268.68M,313.90M,227.97M,255.12M,238.48M,318.85M,261.80M,245.17M,351.28M,320.84M,289.76M,293.43M,279.75M,388.08M,384.99M,417.42M,536.40M,859.15M,965.66M,668.22M,382.73M,530.80M,558.40M,594.20M,443.20M,456.90M,437.80M,227.80M,185.80M,176.90M,80.20M,117.30M,102.50M,148.70M,99.40M,94.10M,97.70M,102.40M,62.90M,67.70M,74.90M,74.50M,44.40M,45.30M,62.30M
Total Receivables,177.70M,108.58M,115.49M,170.20M,166.65M,104.89M,117.83M,168.53M,185.66M,167.71M,169.75M,213.56M,228.53M,165.40M,146.85M,162.45M,193.53M,111.46M,137.26M,162.76M,215.82M,132.98M,127.61M,202.82M,229.13M,151.86M,147.98M,193.75M,196.46M,157.57M,153.63M,188.73M,218.83M,189.45M,176.58M,218.82M,249.30M,172.44M,174.06M,212.19M,227.08M,149.49M,127.93M,218.00M,218.85M,93.33M,149.38M,223.72M,105.44M,112.72M,187.64M,258.93M,286.15M,188.04M,211.16M,347.58M,502.95M,334.84M,233.34M,268.68M,313.90M,227.97M,255.12M,238.48M,318.85M,261.80M,245.17M,351.28M,320.84M,289.76M,293.43M,279.75M,388.08M,384.99M,417.42M,536.40M,859.15M,965.66M,668.22M,382.73M,530.80M,558.40M,594.20M,443.20M,456.90M,437.80M,227.80M,185.80M,176.90M,80.20M,117.30M,102.50M,148.70M,99.40M,94.10M,97.70M,102.40M,62.90M,67.70M,74.90M,74.50M,44.40M,45.30M,62.30M
Other Inventory,14.31M,15.49M,14.44M,8.719M,11.61M,12.25M,6.608M,1.259M,11.74M,19.38M,13.77M,0.709M,8.029M,13.84M,7.802M,0.913M,12.77M,19.98M,10.10M,5.006M,28.73M,33.54M,13.48M,0.007M,13.03M,23.76M,10.89M,0.329M,17.28M,,,,23.61M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inventories,66.58M,67.73M,67.66M,61.35M,63.88M,62.77M,56.90M,49.26M,58.08M,65.96M,61.19M,47.18M,53.31M,58.08M,51.64M,43.88M,54.15M,59.74M,50.87M,43.78M,66.36M,69.94M,49.44M,32.80M,44.95M,56.84M,45.32M,30.32M,47.46M,51.07M,51.14M,36.35M,52.01M,64.88M,47.68M,38.40M,48.53M,56.43M,53.46M,31.68M,37.28M,42.02M,42.51M,24.72M,53.53M,70.54M,46.09M,21.42M,34.98M,37.57M,29.44M,19.50M,42.42M,55.09M,58.39M,44.68M,54.12M,50.01M,55.85M,30.86M,43.40M,30.74M,20.61M,14.02M,22.43M,26.24M,19.11M,14.18M,21.75M,27.41M,20.30M,15.58M,21.78M,24.49M,22.60M,23.24M,20.92M,39.00M,32.54M,22.11M,28.40M,29.40M,44.70M,38.00M,42.10M,50.70M,48.60M,39.10M,42.10M,43.40M,34.60M,29.30M,31.70M,33.20M,38.00M,36.40M,38.00M,29.20M,30.60M,23.60M,21.40M,23.50M,23.00M,16.90M
Prepaid Expenses,19.65M,19.38M,24.52M,16.65M,17.54M,,,,11.78M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Restricted Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.23M,129.08M,164.36M,,104.52M,67.10M,52.91M,,,,,51.65M,12.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
