Assets (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03,1993-12,1993-09,1993-06,1993-03,1992-12,1992-09,1992-06,1992-03,1991-12,1991-09,1991-06,1991-03,1990-12,1990-09,1990-06,1990-03,1989-12,1988-12,1987-12,1986-12,1985-12,1984-12
Cash and Equivalents,2.583B,2.137B,2.033B,2.777B,2.982B,3.551B,4.451B,4.658B,5.85B,5.176B,5.207B,4.463B,4.816B,5.949B,4.925B,3.778B,4.114B,5.301B,5.764B,4.87B,3.689B,4.191B,3.48B,3.647B,4.292B,1.908B,2.398B,1.857B,1.723B,2.549B,1.295B,1.559B,1.024B,2.829B,4.107B,4.133B,3.334B,2.352B,2.001B,1.887B,825.00M,1.605B,1.623B,1.715B,940.00M,2.767B,1.644B,1.431B,2.464B,3.109B,2.336B,1.696B,1.59B,1.029B,937.00M,436.00M,436.00M,737.00M,949.00M,686.00M,864.00M,680.80M,330.20M,239.00M,369.20M,309.60M,697.50M,740.90M,378.90M,319.60M,360.90M,232.80M,269.40M,91.16M,42.46M,125.74M,14.60M,12.98M,10.38M,8.509M,60.09M,7.80M,5.80M,13.30M,11.20M,8.20M,6.60M,9.80M,9.90M,21.90M,3.20M,16.10M,,14.10M,19.20M,16.90M,28.10M,23.30M,21.30M,15.00M,26.20M,9.70M,48.00M,126.30M,7.30M,39.80M,7.80M,8.10M,8.20M,7.50M,41.90M,9.70M,13.90M,89.20M,142.70M,172.90M,51.70M,9.00M,6.10M,7.60M,15.10M,20.90M,23.30M,19.60M,71.50M,43.80M
Cash and Short Term Investments,2.583B,2.137B,2.033B,2.777B,2.982B,3.551B,4.451B,4.658B,5.85B,5.176B,5.207B,4.463B,4.816B,5.949B,4.925B,3.778B,4.114B,5.301B,5.764B,4.87B,3.689B,4.191B,3.48B,3.647B,4.292B,1.908B,2.398B,1.857B,1.723B,2.549B,1.295B,1.559B,1.024B,2.829B,4.107B,4.133B,3.334B,2.352B,2.001B,1.887B,825.00M,1.605B,1.623B,1.715B,940.00M,2.767B,1.644B,1.431B,2.464B,3.109B,2.336B,1.696B,1.59B,1.029B,937.00M,436.00M,436.00M,737.00M,949.00M,686.00M,864.00M,680.80M,330.20M,239.00M,369.20M,309.60M,697.50M,740.90M,378.90M,319.60M,360.90M,232.80M,269.40M,91.16M,42.46M,125.74M,14.60M,12.98M,10.38M,8.509M,60.09M,7.80M,5.80M,13.30M,11.20M,8.20M,6.60M,9.80M,9.90M,21.90M,3.20M,16.10M,,14.10M,19.20M,16.90M,28.10M,23.30M,21.30M,15.00M,26.20M,9.70M,48.00M,126.30M,7.30M,39.80M,7.80M,8.10M,8.20M,7.50M,41.90M,9.70M,13.90M,89.20M,142.70M,172.90M,51.70M,9.00M,6.10M,7.60M,15.10M,20.90M,23.30M,19.60M,71.50M,43.80M
Accounts Receivable,8.094B,7.994B,9.05B,8.289B,6.984B,8.249B,7.535B,6.814B,6.784B,5.959B,4.573B,5.104B,5.687B,4.672B,4.88B,4.518B,4.105B,4.691B,5.799B,4.924B,5.509B,8.175B,7.952B,7.783B,8.582B,9.126B,7.486B,7.658B,8.061B,7.451B,6.624B,7.418B,8.366B,7.509B,6.027B,5.858B,4.583B,4.24B,4.122B,3.947B,3.779B,3.923B,4.217B,3.156B,2.895B,6.581B,7.721B,6.009B,7.691B,6.463B,4.693B,4.173B,4.384B,3.605B,4.234B,3.115B,3.564B,3.553B,2.64B,2.153B,1.839B,2.138B,1.941B,1.679B,1.328B,1.183B,1.069B,1.696B,1.558B,1.027B,939.90M,1.012B,770.80M,780.01M,676.89M,586.65M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes Receivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.00M,,,,214.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Receivables,846.00M,,,,395.00M,,,,171.00M,,,,246.00M,,,,394.00M,,,,407.00M,,,,215.00M,,,,136.00M,,,,174.00M,,,,,,,,,,,,,,,,,,,,32.00M,67.00M,,,70.00M,,,,,,,,,,,,,6.90M,30.10M,78.00M,176.70M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Receivables,8.904B,7.994B,9.05B,8.289B,7.345B,8.249B,7.535B,6.814B,6.922B,5.959B,4.573B,5.104B,5.901B,4.722B,4.928B,4.692B,4.682B,4.698B,5.812B,4.977B,5.976B,8.254B,8.045B,7.887B,8.823B,9.234B,7.542B,7.748B,8.336B,7.491B,6.911B,7.644B,8.918B,7.514B,6.145B,6.174B,4.926B,4.34B,4.201B,4.005B,4.666B,4.004B,4.244B,3.242B,3.092B,6.581B,7.721B,6.009B,7.691B,6.463B,4.693B,4.173B,4.416B,3.672B,4.234B,3.115B,3.634B,3.553B,2.64B,2.153B,1.839B,2.138B,1.941B,1.679B,1.328B,1.183B,1.069B,1.696B,1.558B,1.034B,970.00M,1.09B,947.50M,780.01M,676.89M,586.65M,585.89M,651.58M,651.87M,403.56M,372.54M,352.20M,302.40M,296.90M,283.50M,272.60M,324.00M,271.80M,366.30M,352.40M,378.90M,344.90M,162.50M,296.60M,329.50M,308.30M,339.20M,227.10M,197.90M,201.90M,232.30M,202.00M,,77.10M,64.50M,82.60M,99.00M,112.00M,99.80M,106.30M,98.90M,84.80M,56.30M,58.80M,64.70M,72.30M,69.90M,103.60M,63.10M,76.30M,81.50M,47.20M,46.90M,178.30M,249.00M,224.10M
Raw Materials Inventory,2.719B,2.377B,2.417B,2.604B,2.581B,2.867B,2.472B,2.728B,2.683B,2.61B,2.506B,2.568B,2.318B,2.494B,2.64B,2.823B,2.648B,2.971B,2.841B,2.881B,2.502B,3.33B,3.612B,3.73B,2.361B,3.333B,2.861B,2.804B,2.675B,206.00M,223.00M,219.00M,2.692B,213.00M,195.00M,,187.00M,198.00M,193.00M,189.00M,176.00M,205.00M,198.00M,186.00M,166.00M,179.00M,179.00M,176.00M,172.00M,168.00M,165.00M,171.00M,158.00M,165.00M,164.00M,161.00M,162.00M,218.00M,158.00M,,157.00M,,158.70M,,,,,,,128.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Work in Process Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.423B,2.14B,2.73B,,2.502B,2.188B,,2.225B,2.65B,2.572B,2.549B,2.004B,1.936B,2.065B,2.186B,2.14B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finished Goods Inventory,4.294B,3.999B,3.864B,3.95B,3.951B,4.634B,3.948B,3.827B,3.701B,3.527B,3.168B,3.457B,3.391B,3.485B,3.497B,3.688B,4.016B,3.586B,3.777B,3.785B,4.121B,3.53B,2.914B,3.376B,3.397B,3.73B,3.585B,4.133B,3.298B,3.158B,3.08B,3.196B,2.931B,2.449B,1.605B,,2.535B,1.956B,2.002B,1.986B,2.398B,2.334B,2.198B,2.297B,2.314B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.00M,100.00M,,,4.68B,4.725B,4.467B,4.012B,4.448B,4.413B,4.664B,3.821B,4.501B,4.462B,4.22B,3.877B,4.257B,2.93B,,2.161B,,2.484B,,,,,,,1.339B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
