Cash Flow - Operations (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03,1993-12,1993-09,1993-06,1993-03,1992-12,1992-09,1992-06,1992-03,1991-12,1991-09,1991-06,1991-03,1990-12,1990-09,1990-06,1990-03
Net Income,1.33B,639.00M,648.00M,167.00M,1.022B,874.00M,875.00M,582.00M,2.40B,863.00M,572.00M,321.00M,416.00M,645.00M,843.00M,513.00M,395.00M,1.373B,1.365B,968.00M,1.22B,1.062B,593.00M,836.00M,1.287B,324.00M,465.00M,652.00M,1.009B,673.00M,830.00M,-432.00M,45.00M,1.203B,743.00M,98.00M,-438.00M,292.00M,583.00M,-113.00M,-1.408B,-629.00M,-254.00M,309.00M,-3.278B,1.152B,734.00M,261.00M,567.00M,1.274B,2.249B,1.144B,1.114B,1.603B,1.897B,849.00M,1.347B,862.00M,847.00M,534.00M,489.00M,434.00M,633.00M,248.00M,131.60M,191.10M,128.40M,170.40M,89.00M,29.80M,11.30M,-38.60M,51.60M,101.06M,274.82M,136.08M,93.34M,127.36M,87.68M,30.74M,16.50M,22.60M,-22.08M,-2.716M,-85.70M,4.30M,40.00M,-5.90M,12.40M,51.50M,16.80M,15.40M,41.30M,13.20M,20.80M,19.90M,71.10M,22.60M,20.50M,3.80M,3.90M,12.50M,4.20M,6.30M,-15.20M,11.30M,24.70M,15.60M,8.20M,28.10M,27.50M,20.10M,22.80M,30.00M,25.30M,20.60M,33.30M,31.80M,19.90M,9.70M
Operating Gains Losses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,925.00M,0.00,-92.00M,,,,,,0.00,-305.00M,,,0.00,-827.00M,,,-189.00M,-132.00M,-23.00M,23.00M,-84.00M,39.00M,21.00M,,49.00M,-2.00M,11.00M,,0.00,-0.90M,-6.10M,5.70M,-19.10M,1.80M,8.50M,0.10M,-5.461M,-28.59M,2.241M,3.559M,-17.47M,,0.271M,-0.271M,-5.10M,,-1.579M,1.579M,183.10M,-15.00M,15.30M,35.40M,-9.30M,-8.70M,13.20M,,-27.00M,20.40M,-20.40M,,,,,,,,,,0.90M,12.80M,-19.30M,-1.30M,,4.80M,-4.80M,,-2.70M,-13.90M,-8.30M,1.90M,-14.70M,-1.20M,3.90M,-3.90M
Depreciation Expense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.86M,100.88M,-31.80M,31.80M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amortization Expense CF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.57M,81.05M,-23.40M,23.40M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Depreciation and Amortization,571.00M,567.00M,566.00M,551.00M,531.00M,517.00M,523.00M,498.00M,490.00M,497.00M,499.00M,500.00M,468.00M,470.00M,471.00M,485.00M,494.00M,482.00M,425.00M,441.00M,425.00M,430.00M,414.00M,421.00M,437.00M,448.00M,405.00M,430.00M,402.00M,402.00M,386.00M,384.00M,393.00M,390.00M,386.00M,365.00M,377.00M,372.00M,367.00M,357.00M,371.00M,389.00M,389.00M,378.00M,370.00M,370.00M,369.00M,367.00M,357.00M,344.00M,341.00M,334.00M,308.00M,294.00M,293.00M,260.00M,287.00M,205.00M,197.00M,186.00M,154.00M,164.00M,159.00M,141.00M,148.50M,125.20M,119.70M,117.10M,114.40M,107.90M,112.70M,114.30M,70.43M,71.72M,55.00M,55.20M,53.34M,47.84M,39.28M,32.60M,32.80M,35.10M,34.22M,36.88M,-8.80M,32.50M,29.40M,25.60M,-5.00M,22.20M,13.40M,34.60M,-44.90M,56.50M,9.20M,34.20M,-41.30M,33.80M,33.90M,30.80M,28.90M,31.70M,19.00M,22.80M,20.90M,33.10M,8.40M,17.10M,12.20M,11.70M,13.00M,11.30M,9.50M,9.20M,9.20M,8.70M,9.40M,8.80M,8.70M,8.70M
"Total Depreciation, Amortization, Depletion",571.00M,567.00M,566.00M,551.00M,531.00M,517.00M,523.00M,498.00M,490.00M,497.00M,499.00M,500.00M,468.00M,470.00M,471.00M,485.00M,494.00M,482.00M,425.00M,441.00M,425.00M,430.00M,414.00M,421.00M,437.00M,448.00M,405.00M,430.00M,402.00M,402.00M,386.00M,384.00M,393.00M,390.00M,386.00M,365.00M,377.00M,372.00M,367.00M,357.00M,371.00M,389.00M,389.00M,378.00M,370.00M,370.00M,369.00M,367.00M,357.00M,344.00M,341.00M,334.00M,308.00M,294.00M,293.00M,260.00M,287.00M,205.00M,197.00M,186.00M,154.00M,164.00M,159.00M,141.00M,148.50M,125.20M,119.70M,117.10M,114.40M,107.90M,112.70M,114.30M,70.43M,71.72M,55.00M,55.20M,53.34M,47.84M,39.28M,32.60M,32.80M,35.10M,34.22M,36.88M,-8.80M,32.50M,29.40M,25.60M,-5.00M,22.20M,13.40M,34.60M,-44.90M,56.50M,9.20M,34.20M,-41.30M,33.80M,33.90M,30.80M,28.90M,31.70M,19.00M,22.80M,20.90M,33.10M,8.40M,17.10M,12.20M,11.70M,13.00M,11.30M,9.50M,9.20M,9.20M,8.70M,9.40M,8.80M,8.70M,8.70M
Deferred Taxes,215.00M,31.00M,10.00M,-22.00M,265.00M,-38.00M,-26.00M,2.00M,-2.623B,56.00M,28.00M,-4.00M,37.00M,-2.00M,74.00M,121.00M,88.00M,159.00M,-21.00M,-61.00M,254.00M,118.00M,-15.00M,88.00M,13.00M,147.00M,168.00M,173.00M,387.00M,96.00M,419.00M,61.00M,68.00M,227.00M,210.00M,-44.00M,62.00M,202.00M,66.00M,17.00M,-41.00M,-177.00M,-294.00M,169.00M,415.00M,353.00M,-101.00M,8.00M,-56.00M,-228.00M,109.00M,44.00M,115.00M,59.00M,-4.00M,120.00M,221.00M,-153.00M,85.00M,102.00M,9.00M,109.00M,129.00M,98.00M,61.50M,117.80M,49.70M,58.20M,36.20M,10.40M,-45.10M,,96.80M,65.70M,55.50M,52.70M,3.90M,56.50M,31.50M,11.20M,-1.30M,5.70M,-12.50M,-1.30M,-40.10M,5.40M,10.70M,-7.70M,11.40M,11.10M,8.50M,1.30M,-8.50M,13.00M,0.50M,4.00M,25.90M,-1.90M,3.20M,2.00M,3.30M,5.00M,2.50M,1.40M,-11.30M,14.30M,7.70M,4.60M,4.80M,4.40M,8.30M,8.70M,9.50M,13.90M,12.20M,9.90M,19.30M,14.10M,8.90M,4.30M
Asset Impairment Charge,,,,,,,,,,,,,0.00,0.00,-398.00M,-293.00M,790.00M,,0.00,0.00,,,,,,,,,58.00M,345.00M,0.00,611.00M,0.00,0.00,0.00,0.00,0.00,0.00,2.00M,,32.00M,416.00M,122.00M,37.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stock Based Compensation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.00M,9.00M,10.00M,10.00M,24.00M,11.00M,11.00M,12.00M,22.00M,10.00M,10.00M,12.00M,31.00M,12.00M,11.00M,12.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
