Assets (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03,1993-12,1993-09,1993-06,1993-03,1992-12,1992-09,1992-06,1992-03,1991-12,1991-09,1991-06,1991-03,1990-12,1990-09,1990-06,1990-03,1989-12,1989-09,1989-06,1988-12,1987-12,1986-12,1985-12,1984-12
Cash and Equivalents,9.485B,9.763B,9.167B,6.836B,7.637B,8.034B,8.121B,9.235B,8.813B,8.569B,8.737B,8.19B,8.801B,8.986B,8.605B,7.886B,11.30B,9.383B,9.157B,8.655B,11.73B,6.655B,7.533B,6.942B,9.088B,10.04B,8.694B,8.335B,10.34B,6.582B,6.305B,6.718B,10.05B,5.954B,5.05B,5.67B,5.359B,4.468B,4.517B,9.215B,6.095B,4.599B,4.237B,3.268B,4.186B,5.619B,7.707B,7.042B,8.948B,7.156B,4.836B,6.118B,5.198B,7.567B,6.781B,5.412B,4.547B,4.961B,3.33B,3.204B,4.312B,6.184B,3.95B,4.633B,1.733B,1.879B,1.993B,2.333B,1.702B,816.00M,643.00M,633.00M,1.572B,1.502B,1.552B,1.01B,6.162B,4.772B,2.628B,3.354B,2.673B,2.777B,2.398B,2.183B,2.435B,3.154B,4.092B,4.42B,4.82B,5.413B,4.542B,5.469B,4.616B,4.857B,4.387B,3.73B,4.201B,3.483B,2.788B,2.084B,1.861B,2.438B,2.905B,2.342B,2.298B,3.057B,3.106B,2.711B,3.714B,3.658B,3.215B,2.938B,3.465B,3.065B,3.111B,3.326B,3.854B,3.613B,2.899B,1.863B,3.114B,3.659B,3.963B,3.435B,4.172B,3.209B,1.595B
Short Term Investments,545.00M,1.15B,439.00M,893.00M,927.00M,1.956B,1.649B,656.00M,1.179B,1.463B,1.589B,1.015B,1.228B,682.00M,660.00M,466.00M,750.00M,474.00M,468.00M,976.00M,1.359B,3.422B,3.797B,5.282B,6.17B,5.87B,5.631B,3.518B,3.217B,4.59B,4.002B,3.798B,1.223B,3.279B,3.752B,2.102B,5.158B,5.558B,5.845B,2.008B,351.00M,171.00M,213.00M,11.00M,591.00M,1.752B,1.881B,2.266B,516.00M,475.00M,441.00M,268.00M,423.00M,567.00M,576.00M,554.00M,527.00M,207.00M,167.00M,319.00M,96.00M,,,0.00,,,,,,,,,,,,,100.00M,100.00M,99.00M,100.00M,100.00M,225.00M,276.00M,279.00M,279.00M,302.00M,454.00M,729.00M,730.00M,968.00M,972.00M,883.00M,939.00M,783.00M,145.00M,,,,,559.00M,735.00M,971.00M,935.00M,,,,,,,,,,,,,,,,,,,,,,,,
Cash and Short Term Investments,10.03B,10.91B,9.606B,7.729B,8.564B,9.99B,9.77B,9.891B,9.992B,10.03B,10.33B,9.205B,10.03B,9.668B,9.265B,8.352B,12.05B,9.857B,9.625B,9.631B,13.09B,10.08B,11.33B,12.22B,15.26B,15.91B,14.32B,11.85B,13.56B,11.17B,10.31B,10.52B,11.27B,9.233B,8.802B,7.772B,10.52B,10.03B,10.36B,11.22B,6.446B,4.77B,4.45B,3.279B,4.777B,7.371B,9.588B,9.308B,9.464B,7.631B,5.277B,6.386B,5.621B,8.134B,7.357B,5.966B,5.074B,5.168B,3.497B,3.523B,4.408B,6.184B,3.95B,4.633B,1.733B,1.879B,1.993B,2.333B,1.702B,816.00M,643.00M,633.00M,1.572B,1.502B,1.552B,1.01B,6.262B,4.872B,2.727B,3.454B,2.773B,3.002B,2.674B,2.462B,2.714B,3.456B,4.546B,5.149B,5.55B,6.381B,5.514B,6.352B,5.555B,5.64B,4.532B,3.73B,4.201B,3.483B,2.788B,2.643B,2.596B,3.409B,3.84B,2.342B,2.298B,3.057B,3.106B,2.711B,3.714B,3.658B,3.215B,2.938B,3.465B,3.065B,3.111B,3.326B,3.854B,3.613B,2.899B,1.863B,3.114B,3.659B,3.963B,3.435B,4.172B,3.209B,1.595B
Accounts Receivable,3.337B,3.564B,3.291B,3.669B,3.933B,2.893B,2.823B,2.802B,2.956B,10.64B,9.503B,9.335B,7.804B,9.524B,9.809B,9.711B,8.003B,8.854B,7.927B,8.087B,7.048B,7.799B,7.694B,7.341B,5.749B,6.652B,6.406B,6.351B,4.887B,5.437B,5.894B,6.475B,4.877B,6.296B,6.162B,6.036B,5.422B,6.565B,6.359B,5.785B,6.718B,6.588B,6.238B,5.602B,5.814B,5.809B,5.784B,5.74B,5.634B,6.038B,5.505B,5.285B,5.256B,4.577B,5.019B,5.246B,4.997B,5.066B,5.316B,4.653B,5.204B,4.598B,4.844B,4.466B,4.422B,5.235B,4.929B,5.007B,5.207B,5.713B,5.696B,5.156B,4.804B,4.71B,4.524B,5.519B,3.693B,3.552B,3.422B,3.453B,3.20B,3.698B,3.491B,3.288B,3.255B,3.235B,3.299B,3.121B,3.312B,2.056B,2.219B,2.87B,1.269B,1.305B,1.427B,1.47B,1.406B,1.636B,1.614B,1.664B,1.585B,1.51B,1.477B,1.615B,,,,,,,,,,,,,,,,,,,,,,,
Other Receivables,9.207B,11.24B,10.42B,10.55B,10.49B,10.37B,10.16B,10.07B,8.503B,435.00M,549.00M,580.00M,1.521B,365.00M,251.00M,258.00M,1.016B,227.00M,209.00M,184.00M,998.00M,257.00M,237.00M,256.00M,1.245B,316.00M,320.00M,460.00M,1.167B,,,,1.445B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Receivables,12.47B,14.81B,13.71B,14.22B,14.36B,13.26B,12.98B,12.87B,11.40B,11.08B,10.05B,9.915B,9.26B,9.889B,10.06B,9.969B,8.925B,9.081B,8.136B,8.271B,7.919B,8.056B,7.931B,7.597B,6.89B,6.968B,6.726B,6.811B,5.972B,5.437B,5.894B,6.475B,6.269B,6.296B,6.162B,6.036B,5.422B,6.565B,6.359B,5.785B,6.718B,6.588B,6.238B,5.602B,5.814B,5.809B,5.784B,5.74B,5.634B,6.038B,5.505B,5.285B,5.256B,4.577B,5.019B,5.246B,4.997B,5.066B,5.316B,4.653B,5.204B,4.598B,4.844B,4.665B,4.422B,5.235B,4.929B,5.007B,5.207B,5.713B,5.696B,5.156B,4.804B,4.71B,4.524B,5.519B,3.693B,3.552B,3.422B,3.453B,3.20B,3.698B,3.491B,3.288B,3.255B,3.235B,3.299B,3.121B,3.312B,2.056B,2.219B,2.87B,1.269B,1.305B,1.427B,1.47B,1.406B,1.636B,1.614B,1.664B,1.585B,1.51B,1.477B,1.615B,1.616B,1.688B,1.474B,1.428B,1.639B,1.782B,2.011B,2.085B,1.943B,1.831B,1.819B,2.044B,1.827B,1.802B,1.87B,1.809B,1.755B,1.583B,1.559B,1.546B,1.201B,885.00M,777.00M
Raw Materials Inventory,1.187B,966.00M,857.00M,1.159B,2.129B,1.908B,2.027B,1.926B,1.854B,13.61B,13.96B,13.68B,12.80B,12.46B,12.52B,12.99B,13.86B,14.28B,14.87B,14.13B,13.38B,12.82B,13.25B,13.26B,12.61B,13.87B,14.98B,15.25B,15.13B,6.658B,6.749B,6.685B,13.59B,7.027B,6.356B,6.397B,5.788B,5.147B,5.488B,5.004B,4.919B,4.688B,4.493B,4.34B,,,,3.401B,,,,2.888B,,,,2.235B,,,,1.89B,,,,2.596B,3.831B,3.886B,2.939B,2.713B,2.727B,2.646B,2.546B,2.629B,2.018B,1.973B,2.02B,2.075B,1.951B,1.912B,1.979B,2.042B,2.191B,2.158B,2.204B,2.162B,2.283B,2.414B,1.836B,1.869B,1.949B,1.236B,1.184B,1.476B,1.032B,966.00M,970.00M,894.00M,901.00M,913.00M,880.00M,917.00M,906.00M,882.00M,912.00M,,,,,,,,,,,,,,,,,,,,,,,,
Work in Process Inventory,9.419B,8.795B,8.944B,8.72B,7.685B,6.562B,6.393B,6.369B,6.673B,6.068B,5.356B,5.41B,5.446B,5.521B,6.123B,6.369B,6.673B,6.506B,6.585B,7.50B,7.421B,7.757B,7.295B,7.641B,7.793B,7.115B,7.206B,7.042B,7.206B,15.08B,14.55B,51.62B,7.832B,14.58B,14.76B,14.21B,14.40B,14.91B,14.63B,14.67B,14.83B,14.96B,14.62B,14.05B,,14.38B,13.64B,13.16B,12.67B,12.65B,12.50B,12.33B,14.52B,14.40B,16.97B,14.19B,14.79B,14.18B,14.25B,13.00B,10.50B,10.53B,10.19B,10.23B,9.332B,9.928B,9.578B,9.79B,9.317B,8.879B,8.467B,7.307B,,,,8.456B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finished Goods Inventory,66.02B,63.52B,58.69B,55.49B,52.75B,53.57B,52.83B,53.01B,52.86B,52.87B,53.24B,53.49B,52.05B,53.11B,53.77B,56.84B,55.23B,56.28B,56.87B,56.55B,55.22B,54.89B,54.26B,51.79B,48.06B,47.06B,45.88B,44.34B,40.39B,,,,35.08B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.913B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.14B,38.59B,,,33.38B,32.59B,29.94B,26.55B,22.56B,20.55B,18.57B,18.16B,19.20B,18.64B,19.31B,,16.45B,16.54B,11.71B,14.26B,13.50B,12.67B,8.743B,11.31B,10.31B,7.708B,7.745B,9.55B,8.083B,8.93B,6.072B,8.558B,8.28B,8.987B,6.448B,6.715B,6.455B,7.466B,7.379B,7.704B,,8.902B,11.08B,20.36B,19.72B,20.33B,10.90B,19.35B,19.17B,21.19B,19.54B,22.57B,22.50B,23.98B,21.81B,28.06B,26.87B,27.05B,26.57B,25.80B,17.01B,16.67B,23.29B,5.153B,5.299B,6.253B,6.039B,4.999B,4.466B,4.429B,4.062B,3.52B,2.997B,2.331B,,,,,,,,,,,,,,,,,,,,,,,,
Inventories,76.62B,73.28B,68.49B,65.37B,62.57B,62.04B,61.25B,61.30B,61.39B,43.03B,42.45B,43.25B,43.20B,42.68B,44.18B,47.27B,47.26B,48.62B,49.03B,48.50B,46.76B,47.06B,46.25B,44.94B,42.91B,41.24B,40.23B,40.80B,37.75B,36.82B,35.03B,32.74B,32.24B,30.49B,29.09B,26.91B,24.32B,20.37B,18.77B,16.93B,15.98B,17.20B,15.65B,15.61B,11.15B,10.14B,10.16B,9.563B,8.194B,8.48B,8.40B,8.105B,8.173B,7.562B,7.627B,7.878B,6.877B,5.508B,6.079B,6.508B,4.28B,4.255B,5.324B,5.338B,6.63B,6.384B,6.426B,6.184B,5.902B,5.446B,6.084B,7.559B,7.776B,7.407B,8.016B,6.852B,6.071B,6.193B,7.974B,6.539B,8.729B,8.631B,8.997B,8.584B,10.53B,10.19B,9.155B,8.967B,10.54B,7.497B,7.30B,9.151B,6.185B,6.265B,7.223B,6.933B,5.90B,5.379B,5.309B,4.979B,4.426B,3.879B,3.243B,3.434B,3.291B,2.412B,3.026B,2.701B,3.682B,3.061B,3.355B,3.277B,4.095B,3.887B,3.956B,3.332B,2.881B,3.436B,4.112B,4.942B,3.447B,3.342B,2.947B,3.509B,3.105B,2.672B,3.798B
Current Deferred Tax Assets,,,,,,,,,,,,,,,,,,14.00M,17.00M,17.00M,,27.00M,15.00M,15.00M,14.00M,43.00M,25.00M,29.00M,28.00M,34.00M,30.00M,30.00M,29.00M,31.00M,35.00M,37.00M,31.00M,1.052B,1.03B,966.00M,741.00M,1.099B,1.114B,1.046B,2.408B,2.414B,2.447B,2.341B,2.94B,2.924B,2.868B,2.837B,2.962B,2.545B,2.406B,2.449B,1.757B,2.037B,1.988B,1.991B,1.67B,1.729B,1.716B,1.716B,2.042B,2.042B,2.042B,2.042B,2.544B,2.544B,2.543B,2.444B,2.176B,2.161B,2.153B,2.137B,1.757B,1.906B,1.708B,1.467B,1.423B,1.503B,1.488B,1.495B,1.674B,1.715B,1.974B,1.765B,1.393B,368.00M,580.00M,1.362B,648.00M,651.00M,748.00M,840.00M,720.00M,1.008B,905.00M,878.00M,1.074B,1.124B,948.00M,,,,,,,,,,,,,,,,,,,,,,,,
