Cash Flow - Operations (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03,1993-12,1993-09,1993-06,1993-03,1992-12,1992-09,1992-06,1992-03,1991-12,1991-09,1991-06,1991-03,1990-12,1990-09,1990-06,1990-03
Net Income,-1.01B,1.167B,-2.942B,2.149B,3.424B,2.363B,2.196B,2.477B,3.32B,1.81B,1.749B,1.579B,1.77B,2.279B,-234.00M,1.219B,1.026B,1.704B,1.11B,1.336B,1.466B,1.362B,1.654B,964.00M,1.233B,1.16B,1.087B,1.106B,978.00M,1.035B,967.00M,925.00M,,,,,1.17B,837.00M,787.00M,519.00M,-44.00M,-1.571B,1.005B,610.00M,-2.73B,677.00M,850.00M,1.203B,-3.025B,1.098B,1.05B,877.00M,-1.226B,694.00M,-160.00M,692.00M,-2.112B,1.011B,566.00M,535.00M,-1.686B,456.00M,607.00M,623.00M,414.00M,256.00M,-192.00M,-478.00M,98.00M,372.00M,779.00M,-1.249B,-2.727B,650.00M,840.00M,1.237B,-1.647B,609.00M,620.00M,418.00M,662.00M,477.00M,701.00M,469.00M,465.00M,347.00M,258.00M,50.00M,-498.00M,-696.00M,476.00M,540.00M,444.00M,787.00M,468.00M,119.00M,-211.00M,225.00M,-231.00M,181.00M,157.00M,185.00M,222.00M,292.00M,304.00M,189.00M,426.00M,325.00M,296.00M,364.00M,453.00M,441.00M,403.00M,401.00M,454.00M,309.00M,318.00M,378.00M,387.00M,302.00M
Gain/Loss on Sale Business,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,-60.00M,22.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Gains Losses,-395.00M,4.00M,-192.00M,-108.00M,1.00M,-69.00M,-3.00M,-4.00M,-21.00M,,2.00M,-2.00M,-3.00M,1.00M,13.00M,-4.00M,1.00M,1.00M,0.00,-1.00M,12.00M,0.00,-2.00M,,1.00M,1.00M,0.00,-22.00M,-7.00M,1.00M,2.00M,,-3.00M,-5.00M,-19.00M,3.00M,0.00,-14.00M,4.00M,4.00M,40.00M,14.00M,-5.00M,11.00M,-30.00M,0.00,4.00M,-6.00M,-85.00M,-554.00M,257.00M,319.00M,53.00M,516.00M,-4.00M,393.00M,-538.00M,203.00M,533.00M,519.00M,-507.00M,249.00M,247.00M,257.00M,-1.582B,114.00M,96.00M,1.227B,-3.12B,528.00M,83.00M,1.939B,-1.137B,132.00M,96.00M,86.00M,-116.00M,59.00M,62.00M,61.00M,113.00M,-28.00M,63.00M,46.00M,104.00M,34.00M,41.00M,22.00M,-77.00M,40.00M,100.00M,-98.00M,129.00M,4.00M,,,1.838B,600.00M,,,,,,,,,,,0.00,-1.00M,-12.00M,,-3.00M,-3.00M,-5.00M,-2.00M,-1.00M,-3.00M,-78.00M,-8.00M
Depreciation Expense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.101B,358.00M,393.00M,350.00M,412.00M,381.00M,331.00M,335.00M,373.00M,309.00M,321.00M,322.00M,359.00M,299.00M,357.00M,319.00M,388.00M,343.00M,364.00M,350.00M,351.00M,350.00M,379.00M,332.00M,478.00M,300.00M,321.00M,313.00M,294.00M,274.00M,395.00M,343.00M,470.00M,341.00M,304.00M,294.00M,564.00M,277.00M,285.00M,315.00M,347.00M,329.00M,318.00M,323.00M,1.538B,-749.00M,749.00M,,,,,,,,,,316.00M,925.00M,,,,,,,,,,,,,,,,,,,,,,,,,,
Amortization Expense CF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-169.00M,58.00M,56.00M,55.00M,55.00M,53.00M,50.00M,49.00M,44.00M,41.00M,41.00M,40.00M,36.00M,33.00M,43.00M,40.00M,22.00M,28.00M,28.00M,22.00M,3.00M,28.00M,30.00M,30.00M,13.00M,30.00M,27.00M,27.00M,15.00M,25.00M,27.00M,27.00M,23.00M,13.00M,24.00M,28.00M,87.00M,74.00M,72.00M,69.00M,73.00M,32.00M,28.00M,29.00M,107.00M,-53.00M,53.00M,,,,,,,,,,12.00M,13.00M,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Depreciation and Amortization,628.00M,576.00M,546.00M,521.00M,583.00M,523.00M,507.00M,501.00M,577.00M,514.00M,488.00M,468.00M,525.00M,474.00M,447.00M,443.00M,484.00M,437.00M,453.00M,459.00M,528.00M,478.00M,452.00M,448.00M,521.00M,458.00M,436.00M,429.00M,498.00M,465.00M,422.00M,426.00M,438.00M,421.00M,816.00M,,476.00M,416.00M,449.00M,405.00M,467.00M,434.00M,381.00M,384.00M,417.00M,350.00M,362.00M,362.00M,395.00M,332.00M,400.00M,359.00M,410.00M,371.00M,392.00M,372.00M,354.00M,378.00M,409.00M,362.00M,491.00M,330.00M,348.00M,340.00M,309.00M,299.00M,422.00M,370.00M,493.00M,354.00M,328.00M,322.00M,651.00M,351.00M,357.00M,384.00M,420.00M,361.00M,346.00M,352.00M,442.00M,401.00M,400.00M,402.00M,397.00M,421.00M,396.00M,408.00M,352.00M,375.00M,383.00M,348.00M,328.00M,442.00M,256.00M,240.00M,497.00M,270.00M,274.00M,265.00M,398.00M,261.00M,257.00M,226.00M,291.00M,250.00M,231.00M,253.00M,278.00M,242.00M,225.00M,216.00M,232.00M,216.00M,212.00M,166.00M,192.00M,143.00M,191.00M,152.00M
"Total Depreciation, Amortization, Depletion",628.00M,576.00M,546.00M,521.00M,583.00M,523.00M,507.00M,501.00M,577.00M,514.00M,488.00M,468.00M,525.00M,474.00M,447.00M,443.00M,484.00M,437.00M,453.00M,459.00M,528.00M,478.00M,452.00M,448.00M,521.00M,458.00M,436.00M,429.00M,498.00M,465.00M,422.00M,426.00M,438.00M,421.00M,432.00M,384.00M,476.00M,416.00M,449.00M,405.00M,467.00M,434.00M,381.00M,384.00M,417.00M,350.00M,362.00M,362.00M,395.00M,332.00M,400.00M,359.00M,410.00M,371.00M,392.00M,372.00M,354.00M,378.00M,409.00M,362.00M,491.00M,330.00M,348.00M,340.00M,309.00M,299.00M,422.00M,370.00M,493.00M,354.00M,328.00M,322.00M,651.00M,351.00M,357.00M,384.00M,420.00M,361.00M,346.00M,352.00M,442.00M,401.00M,400.00M,402.00M,397.00M,421.00M,396.00M,408.00M,352.00M,375.00M,383.00M,348.00M,328.00M,442.00M,256.00M,240.00M,497.00M,270.00M,274.00M,265.00M,398.00M,261.00M,257.00M,226.00M,291.00M,250.00M,231.00M,253.00M,278.00M,242.00M,225.00M,216.00M,232.00M,216.00M,212.00M,166.00M,192.00M,143.00M,191.00M,152.00M
Deferred Taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.00M,-174.00M,7.00M,-45.00M,28.00M,-8.00M,-55.00M,9.00M,122.00M,35.00M,-9.00M,-39.00M,-10.00M,-41.00M,-57.00M,1.00M
Amortization of Securities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-15.00M,5.00M,5.00M,5.00M,5.00M,3.00M,2.00M,2.00M,3.00M,4.00M,2.00M,2.00M,-8.00M,7.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
