Assets (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03,1993-12,1993-09,1993-06,1993-03,1992-12,1992-09,1992-06,1992-03,1991-12,1991-09,1991-06,1991-03,1990-12,1990-09,1990-06,1990-03,1989-12,1989-09,1989-06,1989-03,1988-12,1987-12,1986-12,1985-12,1984-12
Cash and Equivalents,2.548B,2.488B,2.446B,2.344B,1.854B,2.104B,2.114B,1.822B,1.495B,1.46B,1.537B,1.851B,1.68B,1.966B,2.04B,2.388B,1.583B,1.74B,1.772B,2.025B,1.282B,1.832B,1.882B,1.741B,1.355B,1.333B,1.489B,1.338B,1.113B,1.168B,1.083B,1.558B,829.00M,1.016B,1.595B,2.039B,1.261B,1.031B,989.00M,1.11B,1.114B,902.00M,946.00M,1.145B,1.368B,2.39B,4.653B,2.982B,2.213B,1.05B,1.605B,1.618B,1.39B,1.947B,2.592B,2.60B,2.28B,2.428B,2.269B,1.908B,1.305B,1.876B,1.768B,1.824B,,2.034B,2.204B,1.889B,1.815B,1.944B,2.118B,2.114B,2.280B,1.489B,968.35M,684.68M,,580.61M,636.65M,542.56M,418.82M,266.70M,487.60M,405.60M,378.51M,452.20M,567.20M,506.90M,623.34M,554.10M,577.80M,652.40M,581.84M,594.00M,478.30M,324.70M,317.40M,365.80M,400.90M,172.70M,174.50M,270.90M,116.60M,240.20M,295.60M,249.00M,334.60M,346.80M,411.00M,261.20M,194.80M,303.10M,260.90M,211.10M,128.70M,152.80M,87.50M,124.50M,56.80M,85.70M,146.40M,175.10M,153.30M,184.90M,210.00M,142.70M,74.90M,69.30M,26.50M
Short Term Investments,1.524B,1.528B,1.54B,1.517B,1.835B,1.716B,1.572B,1.421B,1.778B,1.58B,1.615B,1.631B,1.625B,1.48B,1.375B,1.194B,1.468B,1.356B,1.36B,1.413B,1.706B,1.728B,2.112B,1.757B,1.797B,1.995B,1.904B,1.797B,1.857B,2.067B,2.173B,2.226B,2.315B,2.64B,2.779B,2.426B,2.277B,2.348B,2.135B,1.663B,1.479B,1.352B,1.252B,989.00M,435.00M,1.041B,1.185B,140.00M,566.00M,507.00M,509.00M,315.00M,369.00M,354.00M,396.00M,320.00M,251.00M,185.00M,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash and Short Term Investments,4.072B,4.016B,3.986B,3.861B,3.689B,3.82B,3.686B,3.243B,3.273B,3.04B,3.152B,3.482B,3.305B,3.446B,3.415B,3.582B,3.051B,3.096B,3.132B,3.438B,2.988B,3.56B,3.994B,3.498B,3.152B,3.328B,3.393B,3.135B,2.97B,3.235B,3.256B,3.784B,3.144B,3.656B,4.374B,4.465B,3.538B,3.379B,3.124B,2.773B,2.593B,2.254B,2.198B,2.134B,1.803B,3.431B,5.838B,3.122B,2.779B,1.557B,2.114B,1.933B,1.759B,2.301B,2.988B,2.92B,2.531B,2.613B,2.269B,1.908B,1.305B,1.876B,1.768B,1.824B,,2.034B,2.204B,1.889B,1.815B,1.944B,2.118B,2.114B,2.280B,1.489B,968.35M,684.68M,,580.61M,636.65M,542.56M,418.82M,266.70M,487.60M,405.60M,378.51M,452.20M,567.20M,506.90M,623.34M,554.10M,577.80M,652.40M,581.84M,594.00M,478.30M,324.70M,317.40M,365.80M,400.90M,172.70M,174.50M,270.90M,116.60M,240.20M,295.60M,249.00M,334.60M,346.80M,411.00M,261.20M,194.80M,303.10M,260.90M,211.10M,128.70M,152.80M,87.50M,124.50M,56.80M,85.70M,146.40M,175.10M,153.30M,184.90M,210.00M,142.70M,74.90M,69.30M,26.50M
Accounts Receivable,1.086B,867.00M,777.00M,784.00M,568.00M,784.00M,765.00M,680.00M,662.00M,579.00M,576.00M,585.00M,546.00M,848.00M,524.00M,511.00M,474.00M,465.00M,462.00M,499.00M,365.00M,468.00M,447.00M,457.00M,419.00M,463.00M,514.00M,429.00M,332.00M,,,,299.00M,369.00M,,,195.00M,289.00M,277.00M,235.00M,169.00M,225.00M,237.00M,231.00M,209.00M,385.00M,447.00M,,279.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.05M,117.55M,122.12M,,,,,88.80M,,,,76.53M,,,,73.44M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Receivables,1.086B,867.00M,777.00M,784.00M,568.00M,784.00M,765.00M,680.00M,662.00M,579.00M,576.00M,585.00M,546.00M,848.00M,524.00M,511.00M,474.00M,465.00M,462.00M,499.00M,365.00M,468.00M,447.00M,457.00M,419.00M,463.00M,514.00M,429.00M,332.00M,430.00M,502.00M,367.00M,299.00M,369.00M,389.00M,282.00M,195.00M,289.00M,277.00M,235.00M,169.00M,225.00M,237.00M,231.00M,209.00M,385.00M,447.00M,350.00M,279.00M,326.00M,321.00M,278.00M,241.00M,266.00M,269.00M,250.00M,258.00M,334.00M,292.00M,334.00M,248.00M,252.00M,222.00M,178.00M,,143.00M,128.00M,159.00M,175.00M,125.16M,129.84M,133.14M,71.28M,95.28M,153.51M,144.47M,,121.05M,117.55M,122.12M,75.04M,113.00M,116.80M,116.10M,88.80M,109.80M,112.10M,116.50M,76.53M,106.00M,88.40M,84.50M,73.44M,84.30M,99.00M,97.50M,79.80M,120.30M,93.40M,96.60M,75.70M,103.50M,89.30M,94.90M,70.50M,74.90M,84.70M,82.20M,51.80M,81.40M,84.60M,73.30M,47.50M,62.50M,62.20M,52.40M,43.90M,57.80M,56.20M,56.70M,38.00M,49.20M,55.70M,46.30M,37.00M,44.10M,33.50M,31.90M,19.50M
Inventories,529.00M,528.00M,510.00M,484.00M,461.00M,483.00M,459.00M,430.00M,420.00M,438.00M,365.00M,356.00M,337.00M,331.00M,328.00M,289.00M,311.00M,308.00M,326.00M,304.00M,342.00M,429.00M,435.00M,438.00M,467.00M,521.00M,461.00M,480.00M,469.00M,544.00M,446.00M,432.00M,401.00M,459.00M,394.00M,320.00M,243.00M,231.00M,226.00M,227.00M,221.00M,196.00M,200.00M,171.00M,203.00M,286.00M,301.00M,265.00M,259.00M,204.00M,182.00M,174.00M,181.00M,181.00M,189.00M,158.00M,150.00M,153.00M,140.00M,128.00M,137.00M,112.00M,108.00M,105.00M,,96.00M,87.00M,95.00M,86.00M,79.23M,69.88M,73.18M,70.56M,78.47M,79.57M,78.82M,,82.05M,70.13M,66.53M,65.15M,53.60M,60.80M,52.10M,50.04M,48.80M,47.20M,47.90M,52.38M,52.30M,49.90M,50.20M,51.09M,52.40M,49.90M,47.90M,41.00M,38.20M,39.80M,36.90M,37.60M,35.30M,28.50M,28.00M,31.70M,30.20M,30.60M,31.30M,30.80M,32.40M,28.20M,23.90M,23.00M,20.50M,17.40M,16.60M,15.50M,15.00M,13.10M,12.60M,12.50M,10.60M,10.40M,9.00M,8.80M,7.70M,11.20M,8.60M,4.60M
Prepaid Expenses,287.00M,239.00M,281.00M,354.00M,310.00M,514.00M,498.00M,448.00M,460.00M,223.00M,250.00M,235.00M,310.00M,214.00M,202.00M,192.00M,188.00M,239.00M,255.00M,270.00M,232.00M,291.00M,276.00M,241.00M,250.00M,228.00M,209.00M,215.00M,210.00M,224.00M,203.00M,318.00M,238.00M,110.00M,264.00M,262.00M,89.00M,80.00M,92.00M,95.00M,84.00M,87.00M,94.00M,95.00M,73.00M,77.00M,65.00M,65.00M,57.00M,86.00M,56.00M,56.00M,51.00M,53.00M,59.00M,59.00M,40.00M,65.00M,64.00M,75.00M,54.00M,74.00M,58.00M,62.00M,,50.00M,51.00M,36.00M,,,109.02M,79.06M,52.11M,35.49M,40.24M,44.55M,,,53.36M,52.89M,,,,,36.08M,,,,35.32M,,,,33.06M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Deferred Tax Assets,,,,,,,,,,,,,,,,,,465.00M,421.00M,452.00M,,237.00M,165.00M,180.00M,168.00M,233.00M,287.00M,255.00M,246.00M,219.00M,284.00M,219.00M,263.00M,0.00,0.00,0.00,214.00M,63.00M,252.00M,291.00M,291.00M,365.00M,365.00M,365.00M,365.00M,,,,0.00,,,,,,,,,,,,,,,,,,,,,46.44M,46.44M,46.40M,46.40M,28.19M,28.19M,28.13M,,21.83M,21.50M,21.36M,20.93M,21.50M,21.30M,21.00M,20.73M,20.00M,19.60M,19.20M,18.84M,12.30M,12.10M,11.80M,11.56M,11.50M,11.30M,,10.50M,,,9.80M,9.80M,11.50M,11.50M,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Current Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.122B,2.278B,1.248B,1.069B,697.00M,633.00M,558.00M,369.00M,500.00M,853.00M,705.00M,641.00M,944.00M,717.00M,790.00M,428.00M,558.00M,315.00M,231.00M,,102.00M,111.00M,97.00M,156.00M,165.77M,,,,25.64M,59.51M,63.77M,,54.33M,,,52.66M,33.70M,32.50M,24.60M,,28.40M,31.00M,30.70M,,32.30M,31.00M,24.20M,,31.80M,26.10M,32.90M,24.40M,39.60M,33.00M,21.40M,17.30M,22.50M,24.70M,37.30M,34.20M,23.50M,24.60M,23.50M,12.50M,14.00M,10.50M,9.00M,8.60M,8.40M,9.50M,7.40M,10.90M,5.90M,6.60M,14.30M,7.00M,5.40M,8.30M,10.00M,9.20M,6.60M,8.40M,8.10M,12.20M
Total Current Assets,5.974B,5.65B,5.554B,5.483B,5.028B,5.601B,5.408B,4.801B,4.815B,4.28B,4.343B,4.658B,4.498B,4.839B,4.469B,4.574B,4.024B,4.573B,4.596B,4.963B,3.927B,4.985B,5.317B,4.814B,4.456B,4.773B,4.864B,4.514B,4.227B,4.652B,4.691B,5.12B,4.345B,4.594B,5.421B,5.329B,4.279B,4.042B,3.971B,3.621B,3.358B,3.127B,3.094B,2.996B,2.653B,5.301B,8.929B,5.05B,4.443B,2.87B,3.306B,2.999B,2.601B,3.301B,4.358B,4.092B,3.62B,4.109B,3.482B,3.235B,2.172B,2.872B,2.471B,2.40B,,2.425B,2.581B,2.276B,2.232B,2.361B,2.473B,2.445B,2.520B,1.752B,1.329B,1.044B,,859.87M,899.19M,805.46M,632.60M,488.50M,719.00M,619.40M,574.16M,659.20M,777.10M,721.20M,806.42M,757.00M,759.20M,823.10M,750.99M,774.00M,664.60M,503.00M,473.10M,563.90M,567.10M,337.40M,314.90M,443.70M,270.60M,400.40M,432.00M,377.60M,474.50M,483.80M,506.10M,389.00M,318.10M,409.30M,340.00M,302.50M,217.80M,229.20M,157.80M,203.20M,132.70M,169.30M,203.90M,240.30M,227.70M,250.20M,265.00M,201.10M,128.00M,117.90M,62.80M
