Cash Flow - Operations (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03,1993-12,1993-09,1993-06,1993-03,1992-12,1992-09,1992-06,1992-03,1991-12,1991-09,1991-06,1991-03,1990-12,1990-09,1990-06,1990-03,1989-12,1989-09,1989-06,1989-03
Net Income,513.00M,659.00M,741.00M,387.00M,654.00M,616.00M,732.00M,463.00M,1.747B,528.00M,743.00M,339.00M,461.00M,389.00M,820.00M,513.00M,536.00M,584.00M,608.00M,453.00M,190.00M,329.00M,465.00M,152.00M,212.00M,259.00M,224.00M,59.00M,78.00M,16.00M,229.00M,98.00M,152.00M,-140.00M,161.00M,5.00M,131.00M,205.00M,112.00M,11.00M,115.00M,-16.00M,91.00M,-91.00M,-56.00M,-121.00M,321.00M,34.00M,112.00M,162.00M,278.00M,93.00M,57.00M,48.00M,333.00M,61.00M,70.00M,210.00M,145.00M,59.00M,55.00M,119.00M,113.00M,26.00M,66.00M,106.00M,246.00M,24.00M,42.00M,76.00M,102.00M,21.00M,63.50M,150.96M,175.63M,121.04M,132.53M,184.30M,190.62M,95.64M,93.80M,127.00M,157.80M,95.80M,100.43M,129.60M,133.40M,70.00M,80.57M,92.50M,93.80M,50.90M,28.14M,60.90M,85.30M,33.00M,43.30M,67.70M,59.80M,11.80M,20.30M,58.60M,58.60M,41.80M,45.80M,43.90M,41.90M,22.70M,27.10M,26.90M,23.50M,13.50M,8.80M,15.70M,10.60M,-8.20M,-4.60M,23.10M,23.50M,5.10M,8.20M,24.50M,19.30M,19.60M
Gain (Loss) on Investment Securities,,,,,-1.00M,-2.00M,-4.00M,-7.00M,-30.00M,-41.00M,-6.00M,27.00M,-99.00M,-67.00M,-122.00M,88.00M,-59.00M,87.00M,74.00M,11.00M,283.00M,63.00M,-7.00M,-60.00M,19.00M,-57.00M,54.00M,-21.00M,-35.00M,-16.00M,63.00M,-201.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Gains Losses,,,,,-1.00M,-2.00M,-4.00M,-7.00M,-30.00M,-41.00M,-6.00M,27.00M,-99.00M,-67.00M,-122.00M,88.00M,-59.00M,87.00M,74.00M,11.00M,283.00M,63.00M,-7.00M,-60.00M,19.00M,-57.00M,54.00M,-21.00M,-35.00M,-16.00M,63.00M,-201.00M,,,,,,,,,185.00M,0.00,-185.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-30.74M,30.74M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depreciation Expense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-139.00M,139.00M,138.00M,393.00M,,,-348.00M,121.00M,227.00M,,431.00M,,-103.00M,103.00M,99.00M,97.00M,188.00M,,93.00M,92.00M,86.00M,85.00M,80.20M,237.63M,-77.69M,77.69M,74.54M,206.73M,,,82.30M,63.80M,59.50M,56.80M,59.61M,59.60M,54.00M,52.00M,49.77M,49.90M,47.50M,48.40M,47.17M,46.20M,46.10M,44.00M,35.40M,38.80M,38.30M,37.30M,20.30M,36.30M,33.80M,32.50M,36.10M,29.60M,27.40M,26.20M,27.10M,27.20M,24.60M,22.30M,23.40M,21.70M,20.80M,20.30M,20.30M,20.10M,19.90M,19.10M,19.00M,18.70M,17.70M,16.90M
Amortization Expense CF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.00M,4.00M,4.00M,12.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Depreciation and Amortization,313.00M,308.00M,301.00M,297.00M,331.00M,301.00M,292.00M,277.00M,279.00M,302.00M,319.00M,318.00M,318.00M,315.00M,298.00M,290.00M,264.00M,257.00M,250.00M,244.00M,251.00M,238.00M,228.00M,221.00M,224.00M,221.00M,212.00M,210.00M,224.00M,217.00M,202.00M,201.00M,192.00M,191.00M,177.00M,155.00M,159.00M,161.00M,154.00M,154.00M,154.00M,162.00M,150.00M,150.00M,154.00M,152.00M,148.00M,145.00M,144.00M,139.00M,137.00M,135.00M,134.00M,131.00M,126.00M,124.00M,121.00M,121.00M,115.00M,112.00M,113.00M,109.00M,106.00M,103.00M,99.00M,97.00M,95.00M,93.00M,93.00M,92.00M,86.00M,85.00M,80.20M,237.63M,-77.69M,77.69M,74.54M,206.73M,,,82.30M,63.80M,59.50M,56.80M,59.61M,59.60M,54.00M,52.00M,49.77M,49.90M,47.50M,48.40M,47.17M,46.20M,46.10M,44.00M,35.40M,38.80M,38.30M,37.30M,20.30M,36.30M,33.80M,32.50M,36.10M,29.60M,27.40M,26.20M,27.10M,27.20M,24.60M,22.30M,23.40M,21.70M,20.80M,20.30M,20.30M,20.10M,19.90M,19.10M,19.00M,18.70M,17.70M,16.90M
"Total Depreciation, Amortization, Depletion",313.00M,308.00M,301.00M,297.00M,331.00M,301.00M,292.00M,277.00M,279.00M,302.00M,319.00M,318.00M,318.00M,315.00M,298.00M,290.00M,264.00M,257.00M,250.00M,244.00M,251.00M,238.00M,228.00M,221.00M,224.00M,221.00M,212.00M,210.00M,224.00M,217.00M,202.00M,201.00M,192.00M,191.00M,177.00M,155.00M,159.00M,161.00M,154.00M,154.00M,154.00M,162.00M,150.00M,150.00M,154.00M,152.00M,148.00M,145.00M,144.00M,139.00M,137.00M,135.00M,134.00M,131.00M,126.00M,124.00M,121.00M,121.00M,115.00M,112.00M,113.00M,109.00M,106.00M,103.00M,99.00M,97.00M,95.00M,93.00M,93.00M,92.00M,86.00M,85.00M,80.20M,237.63M,-77.69M,77.69M,74.54M,206.73M,,,82.30M,63.80M,59.50M,56.80M,59.61M,59.60M,54.00M,52.00M,49.77M,49.90M,47.50M,48.40M,47.17M,46.20M,46.10M,44.00M,35.40M,38.80M,38.30M,37.30M,20.30M,36.30M,33.80M,32.50M,36.10M,29.60M,27.40M,26.20M,27.10M,27.20M,24.60M,22.30M,23.40M,21.70M,20.80M,20.30M,20.30M,20.10M,19.90M,19.10M,19.00M,18.70M,17.70M,16.90M
Deferred Taxes,-279.00M,174.00M,37.00M,13.00M,-7.00M,105.00M,131.00M,72.00M,-1.285B,98.00M,67.00M,54.00M,24.00M,315.00M,54.00M,26.00M,-69.00M,-83.00M,24.00M,19.00M,29.00M,391.00M,-11.00M,92.00M,-2.00M,29.00M,21.00M,2.00M,131.00M,82.00M,24.00M,14.00M,90.00M,-90.00M,95.00M,28.00M,37.00M,21.00M,63.00M,12.00M,69.00M,8.00M,16.00M,-21.00M,-25.00M,-48.00M,134.00M,-5.00M,56.00M,105.00M,125.00M,42.00M,39.00M,24.00M,179.00M,35.00M,44.00M,131.00M,86.00M,30.00M,-87.00M,190.00M,65.00M,16.00M,6.00M,29.00M,136.00M,12.00M,47.00M,47.00M,62.00M,14.00M,-2.072M,209.99M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amortization of Securities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.00M,-3.00M,-4.00M,-3.00M,10.00M,-3.00M,-4.00M,-3.00M,-1.00M,-4.00M,-4.00M,-3.00M,-3.00M,-3.00M,-3.00M,-3.00M,-3.00M,-4.00M,-7.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asset Impairment Charge,,,,,,,,,,,,,0.00,0.00,21.00M,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
