date,profit_margin
"Dec. 31, 2019",10.44%
"Sept. 30, 2019",17.49%
"June 30, 2019",9.24%
"March 31, 2019",10.03%
"Dec. 31, 2018",7.43%
"Sept. 30, 2018",16.11%
"June 30, 2018",9.97%
"March 31, 2018",9.86%
"Dec. 31, 2017",6.76%
"Sept. 30, 2017",16.31%
"June 30, 2017",8.58%
"March 31, 2017",8.11%
"Dec. 31, 2016",8.13%
"Sept. 30, 2016",15.06%
"June 30, 2016",7.87%
"March 31, 2016",8.70%
"Dec. 31, 2015",7.88%
"Sept. 30, 2015",14.70%
"June 30, 2015",7.83%
"March 31, 2015",5.13%
"Dec. 31, 2014",6.70%
"Sept. 30, 2014",12.84%
"June 30, 2014",7.27%
"March 31, 2014",8.16%
"Dec. 31, 2013",5.49%
"Sept. 30, 2013",12.92%
"June 30, 2013",7.63%
"March 31, 2013",8.50%
"Dec. 31, 2012",5.49%
"Sept. 30, 2012",14.61%
"June 30, 2012",8.05%
"March 31, 2012",7.13%
"Dec. 31, 2011",5.47%
"Sept. 30, 2011",11.95%
"June 30, 2011",6.51%
"March 31, 2011",7.23%
"Dec. 31, 2010",5.32%
"Sept. 30, 2010",11.88%
"June 30, 2010",6.06%
"March 31, 2010",5.95%
"Dec. 31, 2009",6.45%
"Sept. 30, 2009",9.54%
"June 30, 2009",5.81%
"March 31, 2009",6.46%
"Dec. 31, 2008",6.06%
"Sept. 30, 2008",7.81%
"June 30, 2008",4.04%
"March 31, 2008",5.06%
"Dec. 31, 2007",4.99%
"Sept. 30, 2007",10.49%
"June 30, 2007",2.99%
"March 31, 2007",4.33%
"Dec. 31, 2006",3.96%
"Sept. 30, 2006",9.31%
"June 30, 2006",4.74%
"March 31, 2006",5.24%
"Dec. 31, 2005",3.88%
"Sept. 30, 2005",8.57%
"June 30, 2005",4.04%
"March 31, 2005",5.08%
"Dec. 31, 2004",3.27%
"Sept. 30, 2004",2.37%
"June 30, 2004",4.90%
"March 31, 2004",6.63%
"Dec. 31, 2003",24.38%
"Sept. 30, 2003",14.36%
"June 30, 2003",-16.50%
"March 31, 2003",6.75%
"Dec. 31, 2002",
"Sept. 30, 2002",-89.12%
"June 30, 2002",3.92%
"March 31, 2002",3.12%
"Dec. 31, 2001",-56.75%
"Sept. 30, 2001",9.15%
"June 30, 2001",4.54%
"March 31, 2001",4.98%
"Dec. 31, 2000",2.97%
"Sept. 30, 2000",3.61%
"June 30, 2000",5.92%
"March 31, 2000",6.05%
"Dec. 31, 1999",7.18%
"Sept. 30, 1999",13.68%
"June 30, 1999",1.83%
"March 31, 1999",7.04%
"Dec. 31, 1998",9.55%
"Sept. 30, 1998",13.27%
"June 30, 1998",5.48%
"March 31, 1998",8.14%
"Dec. 31, 1997",9.35%
"Sept. 30, 1997",12.60%
"June 30, 1997",3.08%
"March 31, 1997",8.86%
"Dec. 31, 1996",11.23%
"Sept. 30, 1996",13.30%
"June 30, 1996",7.33%
"March 31, 1996",9.35%
"Dec. 31, 1995",9.04%
"Sept. 30, 1995",13.36%
"June 30, 1995",10.14%
"March 31, 1995",10.31%
"Dec. 31, 1994",8.02%
"Sept. 30, 1994",12.43%
"June 30, 1994",9.07%
"March 31, 1994",9.63%
"Dec. 31, 1993",9.76%
"Sept. 30, 1993",10.19%
"June 30, 1993",6.58%
"March 31, 1993",8.50%
"Dec. 31, 1992",5.21%
"Sept. 30, 1992",10.64%
"June 30, 1992",6.22%
"March 31, 1992",15.93%
"Dec. 31, 1991",6.94%
"Sept. 30, 1991",15.17%
"June 30, 1991",4.91%
"March 31, 1991",12.63%
"Dec. 31, 1990",-0.88%
"Sept. 30, 1990",15.28%
"June 30, 1990",9.80%
"March 31, 1990",11.29%
"Dec. 31, 1989",8.17%
"Sept. 30, 1989",15.18%
"June 30, 1989",8.26%
"March 31, 1989",12.66%
"Dec. 31, 1988",4.61%
"Sept. 30, 1988",15.95%
"June 30, 1988",9.94%
"March 31, 1988",11.63%
"Dec. 31, 1987",6.72%
"Sept. 30, 1987",16.59%
"June 30, 1987",8.80%
"March 31, 1987",13.33%
"Dec. 31, 1986",9.55%
"Sept. 30, 1986",14.58%
"June 30, 1986",7.80%
"March 31, 1986",13.58%
"Dec. 31, 1985",9.32%
"Sept. 30, 1985",12.59%
"June 30, 1985",10.24%
"March 31, 1985",12.05%
"Dec. 31, 1984",7.00%
"Sept. 30, 1984",12.51%
"June 30, 1984",10.96%
"March 31, 1984",12.61%
