date,sustainable_growth_rate
"Dec. 31, 2019",4.59%
"Sept. 30, 2019",4.19%
"June 30, 2019",4.12%
"March 31, 2019",4.53%
"Dec. 31, 2018",4.50%
"Sept. 30, 2018",4.37%
"June 30, 2018",4.47%
"March 31, 2018",4.20%
"Dec. 31, 2017",3.80%
"Sept. 30, 2017",4.26%
"June 30, 2017",4.10%
"March 31, 2017",3.94%
"Dec. 31, 2016",4.09%
"Sept. 30, 2016",4.13%
"June 30, 2016",4.06%
"March 31, 2016",4.28%
"Dec. 31, 2015",3.64%
"Sept. 30, 2015",3.66%
"June 30, 2015",3.24%
"March 31, 2015",3.37%
"Dec. 31, 2014",4.64%
"Sept. 30, 2014",4.35%
"June 30, 2014",4.50%
"March 31, 2014",4.77%
"Dec. 31, 2013",4.67%
"Sept. 30, 2013",4.72%
"June 30, 2013",5.29%
"March 31, 2013",5.30%
"Dec. 31, 2012",4.83%
"Sept. 30, 2012",4.89%
"June 30, 2012",4.31%
"March 31, 2012",4.10%
"Dec. 31, 2011",4.42%
"Sept. 30, 2011",4.64%
"June 30, 2011",4.56%
"March 31, 2011",4.54%
"Dec. 31, 2010",4.29%
"Sept. 30, 2010",4.89%
"June 30, 2010",3.76%
"March 31, 2010",3.54%
"Dec. 31, 2009",3.74%
"Sept. 30, 2009",4.09%
"June 30, 2009",4.25%
"March 31, 2009",4.20%
"Dec. 31, 2008",4.01%
"Sept. 30, 2008",3.29%
"June 30, 2008",3.93%
"March 31, 2008",3.51%
"Dec. 31, 2007",3.15%
"Sept. 30, 2007",2.78%
"June 30, 2007",2.47%
"March 31, 2007",3.12%
"Dec. 31, 2006",3.81%
"Sept. 30, 2006",4.20%
"June 30, 2006",3.81%
"March 31, 2006",3.66%
"Dec. 31, 2005",3.21%
"Sept. 30, 2005",2.54%
"June 30, 2005",-0.23%
"March 31, 2005",-0.02%
"Dec. 31, 2004",0.68%
"Sept. 30, 2004",8.77%
"June 30, 2004",14.09%
"March 31, 2004",6.78%
"Dec. 31, 2003",6.73%
"Sept. 30, 2003",-7.64%
"June 30, 2003",-55.40%
"March 31, 2003",-45.62%
"Dec. 31, 2002",-44.98%
"Sept. 30, 2002",-38.14%
"June 30, 2002",1.19%
"March 31, 2002",2.72%
"Dec. 31, 2001",4.63%
"Sept. 30, 2001",5.56%
"June 30, 2001",2.04%
"March 31, 2001",0.37%
"Dec. 31, 2000",-1.70%
"Sept. 30, 2000",-1.72%
"June 30, 2000",2.15%
"March 31, 2000",2.34%
"Dec. 31, 1999",2.56%
"Sept. 30, 1999",15.34%
"June 30, 1999",15.25%
"March 31, 1999",16.47%
"Dec. 31, 1998",16.81%
"Sept. 30, 1998",1.62%
"June 30, 1998",1.23%
"March 31, 1998",0.70%
"Dec. 31, 1997",1.33%
"Sept. 30, 1997",2.30%
"June 30, 1997",2.23%
"March 31, 1997",3.46%
"Dec. 31, 1996",3.67%
"Sept. 30, 1996",2.78%
"June 30, 1996",3.14%
"March 31, 1996",4.10%
"Dec. 31, 1995",4.31%
"Sept. 30, 1995",3.92%
"June 30, 1995",3.37%
"March 31, 1995",3.10%
"Dec. 31, 1994",3.04%
"Sept. 30, 1994",6.26%
