Ex-Date,Record Date,Pay Date,Declared Date,Type,Amoun
03/12/2020,03/13/2020,04/20/2020,02/19/2020,Normal,0.43
12/24/2019,12/26/2019,01/20/2020,12/11/2019,Normal,0.405
09/12/2019,09/13/2019,10/20/2019,08/21/2019,Normal,0.405
06/13/2019,06/14/2019,07/20/2019,05/15/2019,Normal,0.405
03/14/2019,03/15/2019,04/20/2019,02/20/2019,Normal,0.405
12/27/2018,12/28/2018,01/20/2019,12/12/2018,Normal,0.38
09/13/2018,09/14/2018,10/20/2018,08/22/2018,Normal,0.38
06/14/2018,06/15/2018,07/20/2018,05/16/2018,Normal,0.38
03/14/2018,03/15/2018,04/20/2018,02/21/2018,Normal,0.38
12/27/2017,12/28/2017,01/20/2018,12/13/2017,Normal,0.36
09/14/2017,09/15/2017,10/20/2017,08/23/2017,Normal,0.36
06/13/2017,06/15/2017,07/20/2017,05/17/2017,Normal,0.36
03/13/2017,03/15/2017,04/20/2017,02/22/2017,Normal,0.36
12/22/2016,12/27/2016,01/20/2017,12/14/2016,Normal,0.34
09/13/2016,09/15/2016,10/20/2016,08/24/2016,Normal,0.34
06/14/2016,06/16/2016,07/20/2016,05/18/2016,Normal,0.34
03/11/2016,03/15/2016,04/20/2016,02/17/2016,Normal,0.34
12/22/2015,12/24/2015,01/20/2016,12/09/2015,Normal,0.32
09/15/2015,09/17/2015,10/20/2015,08/19/2015,Normal,0.32
06/16/2015,06/18/2015,07/20/2015,05/20/2015,Normal,0.32
03/13/2015,03/17/2015,04/20/2015,02/18/2015,Normal,0.32
12/23/2014,12/26/2014,01/30/2015,12/09/2014,Normal,0.30
09/16/2014,09/18/2014,10/20/2014,08/20/2014,Normal,0.30
06/17/2014,06/19/2014,07/20/2014,05/21/2014,Normal,0.30
03/18/2014,03/20/2014,04/20/2014,02/19/2014,Normal,0.30
12/24/2013,12/27/2013,01/20/2014,12/11/2013,Normal,0.28
09/17/2013,09/19/2013,10/20/2013,08/21/2013,Normal,0.28
06/18/2013,06/20/2013,07/20/2013,05/21/2013,Normal,0.28
03/19/2013,03/21/2013,04/20/2013,02/20/2013,Normal,0.27
12/24/2012,12/27/2012,01/20/2013,12/12/2012,Normal,0.27
09/18/2012,09/20/2012,10/20/2012,08/23/2012,Normal,0.27
06/19/2012,06/21/2012,07/20/2012,05/17/2012,Normal,0.27
03/20/2012,03/22/2012,04/20/2012,02/23/2012,Normal,0.26
12/22/2011,12/27/2011,01/20/2012,12/15/2011,Normal,0.26
