date,dividend_yield
"March 19, 2020",4.54%
"March 18, 2020",4.45%
"March 17, 2020",4.08%
"March 16, 2020",4.82%
"March 13, 2020",4.04%
"March 12, 2020",4.17%
"March 11, 2020",3.69%
"March 10, 2020",3.41%
"March 9, 2020",3.51%
"March 6, 2020",3.25%
"March 5, 2020",3.19%
"March 4, 2020",3.14%
"March 3, 2020",3.33%
"March 2, 2020",3.24%
"Feb. 28, 2020",3.41%
"Feb. 27, 2020",3.26%
"Feb. 26, 2020",3.12%
"Feb. 25, 2020",3.09%
"Feb. 24, 2020",3.01%
"Feb. 21, 2020",2.96%
"Feb. 20, 2020",2.95%
"Feb. 19, 2020",2.96%
"Feb. 18, 2020",2.88%
"Feb. 14, 2020",2.91%
"Feb. 13, 2020",2.93%
"Feb. 12, 2020",2.94%
"Feb. 11, 2020",2.94%
"Feb. 10, 2020",3.00%
"Feb. 7, 2020",3.01%
"Feb. 6, 2020",3.00%
"Feb. 5, 2020",3.00%
"Feb. 4, 2020",3.02%
"Feb. 3, 2020",3.01%
"Jan. 31, 2020",3.05%
"Jan. 30, 2020",3.02%
"Jan. 29, 2020",3.03%
"Jan. 28, 2020",3.04%
"Jan. 27, 2020",3.07%
"Jan. 24, 2020",3.04%
"Jan. 23, 2020",3.02%
"Jan. 22, 2020",3.04%
"Jan. 21, 2020",3.05%
"Jan. 17, 2020",3.06%
"Jan. 16, 2020",3.10%
"Jan. 15, 2020",3.11%
"Jan. 14, 2020",3.17%
"Jan. 13, 2020",3.14%
"Jan. 10, 2020",3.13%
"Jan. 9, 2020",3.14%
"Jan. 8, 2020",3.15%
"Jan. 7, 2020",3.17%
"Jan. 6, 2020",3.18%
"Jan. 3, 2020",3.18%
"Jan. 2, 2020",3.19%
"Dec. 31, 2019",3.18%
"Dec. 30, 2019",3.20%
"Dec. 27, 2019",3.19%
"Dec. 26, 2019",3.20%
"Dec. 24, 2019",3.20%
"Dec. 23, 2019",3.21%
"Dec. 20, 2019",3.19%
"Dec. 19, 2019",3.22%
"Dec. 18, 2019",3.20%
"Dec. 17, 2019",3.22%
"Dec. 16, 2019",3.24%
"Dec. 13, 2019",3.31%
"Dec. 12, 2019",3.29%
"Dec. 11, 2019",3.28%
"Dec. 10, 2019",3.24%
"Dec. 9, 2019",3.23%
"Dec. 6, 2019",3.23%
"Dec. 5, 2019",3.23%
"Dec. 4, 2019",3.26%
"Dec. 3, 2019",3.28%
"Dec. 2, 2019",3.30%
"Nov. 29, 2019",3.27%
"Nov. 27, 2019",3.28%
"Nov. 26, 2019",3.29%
"Nov. 25, 2019",3.28%
"Nov. 22, 2019",3.26%
"Nov. 21, 2019",3.27%
"Nov. 20, 2019",3.20%
"Nov. 19, 2019",3.20%
"Nov. 18, 2019",3.19%
"Nov. 15, 2019",3.22%
"Nov. 14, 2019",3.25%
"Nov. 13, 2019",3.22%
"Nov. 12, 2019",3.23%
"Nov. 11, 2019",3.25%
"Nov. 8, 2019",3.20%
"Nov. 7, 2019",3.20%
"Nov. 6, 2019",3.20%
"Nov. 5, 2019",3.20%
"Nov. 4, 2019",3.22%
"Nov. 1, 2019",3.16%
"Oct. 31, 2019",3.15%
"Oct. 30, 2019",3.07%
"Oct. 29, 2019",3.12%
"Oct. 28, 2019",3.14%
"Oct. 25, 2019",3.12%
"Oct. 24, 2019",3.10%
"Oct. 23, 2019",3.14%
"Oct. 22, 2019",3.17%
"Oct. 21, 2019",3.20%
"Oct. 18, 2019",3.21%
"Oct. 17, 2019",3.25%
"Oct. 16, 2019",3.19%
"Oct. 15, 2019",3.04%
"Oct. 14, 2019",3.04%
"Oct. 11, 2019",3.02%
"Oct. 10, 2019",3.02%
"Oct. 9, 2019",2.99%
"Oct. 8, 2019",3.00%
"Oct. 7, 2019",2.96%
"Oct. 4, 2019",2.96%
"Oct. 3, 2019",3.00%
"Oct. 2, 2019",3.01%
"Oct. 1, 2019",2.99%
"Sept. 30, 2019",2.97%
"Sept. 27, 2019",2.95%
"Sept. 26, 2019",2.91%
"Sept. 25, 2019",2.92%
"Sept. 24, 2019",2.94%
"Sept. 23, 2019",2.97%
"Sept. 20, 2019",2.96%
"Sept. 19, 2019",3.00%
"Sept. 18, 2019",2.99%
"Sept. 17, 2019",3.03%
"Sept. 16, 2019",3.02%
"Sept. 13, 2019",3.03%
"Sept. 12, 2019",2.99%
"Sept. 11, 2019",2.94%
"Sept. 10, 2019",2.96%
