date,profit_margin
"Dec. 31, 2019",9.25%
"Sept. 30, 2019",8.65%
"June 30, 2019",6.29%
"March 31, 2019",9.57%
"Dec. 31, 2018",1.67%
"Sept. 30, 2018",7.80%
"June 30, 2018",6.67%
"March 31, 2018",6.04%
"Dec. 31, 2017",22.34%
"Sept. 30, 2017",9.39%
"June 30, 2017",1.24%
"March 31, 2017",11.32%
"Dec. 31, 2016",2.42%
"Sept. 30, 2016",5.44%
"June 30, 2016",3.86%
"March 31, 2016",2.28%
"Dec. 31, 2015",4.63%
"Sept. 30, 2015",8.50%
"June 30, 2015",9.79%
"March 31, 2015",7.85%
"Dec. 31, 2014",0.26%
"Sept. 30, 2014",14.37%
"June 30, 2014",8.67%
"March 31, 2014",1.24%
"Dec. 31, 2013",8.03%
"Sept. 30, 2013",11.35%
"June 30, 2013",7.98%
"March 31, 2013",-0.07%
"Dec. 31, 2012",6.04%
"Sept. 30, 2012",4.50%
"June 30, 2012",4.79%
"March 31, 2012",4.26%
"Dec. 31, 2011",13.91%
"Sept. 30, 2011",11.44%
"June 30, 2011",13.79%
"March 31, 2011",13.48%
"Dec. 31, 2010",11.66%
"Sept. 30, 2010",15.97%
"June 30, 2010",10.12%
"March 31, 2010",16.79%
"Dec. 31, 2009",14.12%
"Sept. 30, 2009",17.45%
"June 30, 2009",15.87%
"March 31, 2009",15.08%
"Dec. 31, 2008",15.74%
"Sept. 30, 2008",13.39%
"June 30, 2008",16.18%
"March 31, 2008",12.86%
"Dec. 31, 2007",12.36%
"Sept. 30, 2007",15.50%
"June 30, 2007",15.60%
"March 31, 2007",14.31%
"Dec. 31, 2006",16.02%
"Sept. 30, 2006",-1.00%
"June 30, 2006",17.42%
"March 31, 2006",10.36%
"Dec. 31, 2005",-21.81%
"Sept. 30, 2005",16.21%
"June 30, 2005",14.78%
"March 31, 2005",14.63%
"Dec. 31, 2004",10.96%
"Sept. 30, 2004",15.15%
"June 30, 2004",15.15%
"March 31, 2004",11.33%
"Dec. 31, 2003",9.41%
"Sept. 30, 2003",-2.30%
"June 30, 2003",10.00%
"March 31, 2003",8.86%
"Dec. 31, 2002",10.70%
"Sept. 30, 2002",12.61%
"June 30, 2002",13.78%
"March 31, 2002",0.24%
"Dec. 31, 2001",10.26%
"Sept. 30, 2001",8.98%
"June 30, 2001",8.71%
"March 31, 2001",10.44%
"Dec. 31, 2000",1.47%
"Sept. 30, 2000",14.24%
"June 30, 2000",8.38%
"March 31, 2000",14.12%
"Dec. 31, 1999",8.90%
"Sept. 30, 1999",13.36%
"June 30, 1999",5.84%
"March 31, 1999",12.46%
"Dec. 31, 1998",-3.42%
"Sept. 30, 1998",15.33%
"June 30, 1998",12.47%
"March 31, 1998",9.54%
"Dec. 31, 1997",-165.3%
"Sept. 30, 1997",12.36%
"June 30, 1997",11.90%
"March 31, 1997",9.71%
"Dec. 31, 1996",11.67%
"Sept. 30, 1996",13.49%
"June 30, 1996",9.99%
"March 31, 1996",12.84%
"Dec. 31, 1995",11.48%
"Sept. 30, 1995",16.38%
"June 30, 1995",16.02%
"March 31, 1995",14.36%
"Dec. 31, 1994",14.04%
"Sept. 30, 1994",2.13%
"June 30, 1994",12.19%
"March 31, 1994",14.13%
"Dec. 31, 1993",14.75%
"Sept. 30, 1993",16.93%
"June 30, 1993",11.94%
"March 31, 1993",15.16%
"Dec. 31, 1992",15.64%
"Sept. 30, 1992",14.29%
"June 30, 1992",10.44%
"March 31, 1992",8.19%
"Dec. 31, 1991",9.63%
"Sept. 30, 1991",16.24%
"June 30, 1991",13.04%
"March 31, 1991",14.53%
"Dec. 31, 1990",3.29%
"Sept. 30, 1990",1.57%
"June 30, 1990",14.30%
"March 31, 1990",-6.29%
"Dec. 31, 1989",15.74%
"Sept. 30, 1989",22.95%
"June 30, 1989",14.01%
"March 31, 1989",16.09%
"Dec. 31, 1988",12.54%
"Sept. 30, 1988",21.90%
"June 30, 1988",15.74%
"March 31, 1988",18.96%
"Dec. 31, 1987",16.64%
"Sept. 30, 1987",16.84%
"June 30, 1987",14.81%
"March 31, 1987",19.49%
"Dec. 31, 1986",14.55%
"Sept. 30, 1986",20.91%
"June 30, 1986",18.71%
"March 31, 1986",18.59%
"Dec. 31, 1985",18.03%
"Sept. 30, 1985",16.54%
"June 30, 1985",17.40%
"March 31, 1985",17.74%
"Dec. 31, 1984",16.63%
"Sept. 30, 1984",17.51%
"June 30, 1984",15.39%
"March 31, 1984",16.48%
