date,peg_ratio
"March 19, 2020",0.2408
"March 18, 2020",0.2455
"March 17, 2020",0.2675
"March 16, 2020",0.2267
"March 13, 2020",0.2702
"March 12, 2020",0.2621
"March 11, 2020",0.2958
"March 10, 2020",0.3204
"March 9, 2020",0.3114
"March 6, 2020",0.3356
"March 5, 2020",0.3428
"March 4, 2020",0.3479
"March 3, 2020",0.3284
"March 2, 2020",0.3376
"Feb. 28, 2020",0.3203
"Feb. 27, 2020",0.3354
"Feb. 26, 2020",0.3496
"Feb. 25, 2020",0.3539
"Feb. 24, 2020",0.3628
"Feb. 21, 2020",0.3694
"Feb. 20, 2020",0.3704
"Feb. 19, 2020",0.3685
"Feb. 18, 2020",0.3743
"Feb. 14, 2020",0.3697
"Feb. 13, 2020",0.3683
"Feb. 12, 2020",0.366
"Feb. 11, 2020",0.3666
"Feb. 10, 2020",0.359
"Feb. 7, 2020",0.3581
"Feb. 6, 2020",0.3586
"Feb. 5, 2020",0.3591
"Feb. 4, 2020",0.3573
"Feb. 3, 2020",0.3581
"Jan. 31, 2020",0.3536
"Jan. 30, 2020",0.3571
"Jan. 29, 2020",0.3552
"Jan. 28, 2020",0.3547
"Jan. 27, 2020",0.3512
"Jan. 24, 2020",0.3547
"Jan. 23, 2020",0.3563
"Jan. 22, 2020",0.3541
"Jan. 21, 2020",0.3535
"Jan. 17, 2020",0.3521
"Jan. 16, 2020",0.3473
"Jan. 15, 2020",0.3459
"Jan. 14, 2020",0.3404
"Jan. 13, 2020",0.3432
"Jan. 10, 2020",0.3437
"Jan. 9, 2020",0.3429
"Jan. 8, 2020",0.3418
"Jan. 7, 2020",0.3394
"Jan. 6, 2020",0.3391
"Jan. 3, 2020",0.3386
"Jan. 2, 2020",0.3376
"Dec. 31, 2019",0.3388
"Dec. 30, 2019",
"Dec. 27, 2019",
"Dec. 26, 2019",
"Dec. 24, 2019",
"Dec. 23, 2019",
"Dec. 20, 2019",
"Dec. 19, 2019",
"Dec. 18, 2019",
"Dec. 17, 2019",
"Dec. 16, 2019",
"Dec. 13, 2019",
"Dec. 12, 2019",
"Dec. 11, 2019",
"Dec. 10, 2019",
"Dec. 9, 2019",
"Dec. 6, 2019",
"Dec. 5, 2019",
"Dec. 4, 2019",
"Dec. 3, 2019",
"Dec. 2, 2019",
"Nov. 29, 2019",
"Nov. 27, 2019",
"Nov. 26, 2019",
"Nov. 25, 2019",
"Nov. 22, 2019",
"Nov. 21, 2019",
"Nov. 20, 2019",
"Nov. 19, 2019",
"Nov. 18, 2019",
"Nov. 15, 2019",
"Nov. 14, 2019",
"Nov. 13, 2019",
"Nov. 12, 2019",
"Nov. 11, 2019",
"Nov. 8, 2019",
"Nov. 7, 2019",
"Nov. 6, 2019",
"Nov. 5, 2019",
"Nov. 4, 2019",
"Nov. 1, 2019",
"Oct. 31, 2019",
"Oct. 30, 2019",
"Oct. 29, 2019",
"Oct. 28, 2019",
"Oct. 25, 2019",
"Oct. 24, 2019",
"Oct. 23, 2019",
"Oct. 22, 2019",
"Oct. 21, 2019",
"Oct. 18, 2019",
"Oct. 17, 2019",
"Oct. 16, 2019",
"Oct. 15, 2019",
"Oct. 14, 2019",
"Oct. 11, 2019",
"Oct. 10, 2019",
"Oct. 9, 2019",
"Oct. 8, 2019",
"Oct. 7, 2019",
"Oct. 4, 2019",
"Oct. 3, 2019",
"Oct. 2, 2019",
"Oct. 1, 2019",
"Sept. 30, 2019",
"Sept. 27, 2019",
"Sept. 26, 2019",
"Sept. 25, 2019",
"Sept. 24, 2019",
"Sept. 23, 2019",
"Sept. 20, 2019",
"Sept. 19, 2019",
"Sept. 18, 2019",
"Sept. 17, 2019",
"Sept. 16, 2019",
"Sept. 13, 2019",
"Sept. 12, 2019",
"Sept. 11, 2019",
"Sept. 10, 2019",
"Sept. 9, 2019",
"Sept. 6, 2019",
"Sept. 5, 2019",
"Sept. 4, 2019",
"Sept. 3, 2019",
"Aug. 30, 2019",
"Aug. 29, 2019",
"Aug. 28, 2019",
"Aug. 27, 2019",
"Aug. 26, 2019",
"Aug. 23, 2019",
"Aug. 22, 2019",
"Aug. 21, 2019",
"Aug. 20, 2019",
"Aug. 19, 2019",
"Aug. 16, 2019",
"Aug. 15, 2019",
"Aug. 14, 2019",
"Aug. 13, 2019",
"Aug. 12, 2019",
"Aug. 9, 2019",
"Aug. 8, 2019",
"Aug. 7, 2019",
"Aug. 6, 2019",
"Aug. 5, 2019",
"Aug. 2, 2019",
"Aug. 1, 2019",
"July 31, 2019",
"July 30, 2019",
"July 29, 2019",
"July 26, 2019",
"July 25, 2019",
"July 24, 2019",
"July 23, 2019",
"July 22, 2019",
"July 19, 2019",
"July 18, 2019",
"July 17, 2019",
"July 16, 2019",
"July 15, 2019",
"July 12, 2019",
"July 11, 2019",
"July 10, 2019",
"July 9, 2019",
"July 8, 2019",
"July 5, 2019",
"July 3, 2019",
"July 2, 2019",
"July 1, 2019",
"June 30, 2019",
"June 28, 2019",
"June 27, 2019",
