date,sustainable_growth_rate
"Dec. 31, 2019",4.84%
"Sept. 30, 2019",2.94%
"June 30, 2019",2.90%
"March 31, 2019",3.17%
"Dec. 31, 2018",2.20%
"Sept. 30, 2018",8.06%
"June 30, 2018",8.63%
"March 31, 2018",7.41%
"Dec. 31, 2017",9.22%
"Sept. 30, 2017",3.30%
"June 30, 2017",2.18%
"March 31, 2017",2.91%
"Dec. 31, 2016",-0.17%
"Sept. 30, 2016",0.31%
"June 30, 2016",0.90%
"March 31, 2016",2.53%
"Dec. 31, 2015",4.82%
"Sept. 30, 2015",3.77%
"June 30, 2015",5.51%
"March 31, 2015",5.05%
"Dec. 31, 2014",2.44%
"Sept. 30, 2014",4.55%
"June 30, 2014",3.50%
"March 31, 2014",3.41%
"Dec. 31, 2013",2.17%
"Sept. 30, 2013",0.85%
"June 30, 2013",-2.08%
"March 31, 2013",-3.97%
"Dec. 31, 2012",-2.74%
"Sept. 30, 2012",-1.26%
"June 30, 2012",0.99%
"March 31, 2012",4.02%
"Dec. 31, 2011",7.83%
"Sept. 30, 2011",7.36%
"June 30, 2011",9.36%
"March 31, 2011",8.26%
"Dec. 31, 2010",9.13%
"Sept. 30, 2010",
"June 30, 2010",
"March 31, 2010",10.81%
"Dec. 31, 2009",10.94%
"Sept. 30, 2009",12.20%
"June 30, 2009",12.40%
"March 31, 2009",13.92%
"Dec. 31, 2008",13.35%
"Sept. 30, 2008",12.65%
"June 30, 2008",13.85%
"March 31, 2008",13.66%
"Dec. 31, 2007",15.00%
"Sept. 30, 2007",15.64%
"June 30, 2007",8.01%
"March 31, 2007",8.03%
"Dec. 31, 2006",5.46%
"Sept. 30, 2006",-9.46%
"June 30, 2006",-1.43%
"March 31, 2006",-2.77%
"Dec. 31, 2005",-1.50%
"Sept. 30, 2005",10.77%
"June 30, 2005",8.45%
"March 31, 2005",11.36%
"Dec. 31, 2004",11.41%
"Sept. 30, 2004",11.92%
"June 30, 2004",6.56%
"March 31, 2004",3.58%
"Dec. 31, 2003",3.48%
"Sept. 30, 2003",5.18%
"June 30, 2003",13.58%
"March 31, 2003",15.09%
"Dec. 31, 2002",10.77%
"Sept. 30, 2002",10.12%
"June 30, 2002",8.23%
"March 31, 2002",6.29%
"Dec. 31, 2001",11.11%
"Sept. 30, 2001",10.45%
"June 30, 2001",12.07%
"March 31, 2001",12.84%
"Dec. 31, 2000",15.20%
"Sept. 30, 2000",27.75%
"June 30, 2000",27.41%
"March 31, 2000",21.84%
"Dec. 31, 1999",17.20%
"Sept. 30, 1999",8.15%
"June 30, 1999",8.80%
"March 31, 1999",10.67%
"Dec. 31, 1998",9.07%
"Sept. 30, 1998",-50.46%
"June 30, 1998",-50.63%
"March 31, 1998",-47.96%
"Dec. 31, 1997",-44.68%
"Sept. 30, 1997",2.15%
"June 30, 1997",1.88%
"March 31, 1997",1.44%
"Dec. 31, 1996",2.33%
"Sept. 30, 1996",2.51%
"June 30, 1996",3.35%
"March 31, 1996",4.73%
"Dec. 31, 1995",5.08%
"Sept. 30, 1995",5.10%
"June 30, 1995",1.70%
"March 31, 1995",0.86%
"Dec. 31, 1994",1.06%
"Sept. 30, 1994",3.79%
