date,revenues_growth
"Dec. 31, 2019",-4.69%
"Sept. 30, 2019",0.45%
"June 30, 2019",4.41%
"March 31, 2019",2.44%
"Dec. 31, 2018",15.65%
"Sept. 30, 2018",14.09%
"June 30, 2018",8.38%
"March 31, 2018",9.18%
"Dec. 31, 2017",6.67%
"Sept. 30, 2017",4.20%
"June 30, 2017",11.66%
"March 31, 2017",7.37%
"Dec. 31, 2016",-1.06%
"Sept. 30, 2016",-9.92%
"June 30, 2016",-9.24%
"March 31, 2016",-13.62%
"Dec. 31, 2015",-21.01%
"Sept. 30, 2015",-17.29%
"June 30, 2015",-21.88%
"March 31, 2015",-18.61%
"Dec. 31, 2014",-5.10%
"Sept. 30, 2014",4.57%
"June 30, 2014",0.51%
"March 31, 2014",0.19%
"Dec. 31, 2013",-0.67%
"Sept. 30, 2013",-4.44%
"June 30, 2013",-6.99%
"March 31, 2013",-4.00%
"Dec. 31, 2012",-1.51%
"Sept. 30, 2012",-2.10%
"June 30, 2012",7.55%
"March 31, 2012",14.67%
"Dec. 31, 2011",22.32%
"Sept. 30, 2011",27.62%
"June 30, 2011",21.15%
"March 31, 2011",14.80%
"Dec. 31, 2010",12.29%
"Sept. 30, 2010",11.97%
"June 30, 2010",24.67%
"March 31, 2010",13.84%
"Dec. 31, 2009",-22.53%
"Sept. 30, 2009",-32.24%
"June 30, 2009",-32.06%
"March 31, 2009",-25.47%
"Dec. 31, 2008",12.94%
"Sept. 30, 2008",35.93%
"June 30, 2008",28.85%
"March 31, 2008",31.69%
"Dec. 31, 2007",16.65%
"Sept. 30, 2007",-0.06%
"June 30, 2007",-0.70%
"March 31, 2007",-3.64%
"Dec. 31, 2006",-2.83%
"Sept. 30, 2006",13.09%
"June 30, 2006",15.84%
"March 31, 2006",21.65%
"Dec. 31, 2005",20.52%
"Sept. 30, 2005",17.59%
"June 30, 2005",13.09%
"March 31, 2005",8.13%
"Dec. 31, 2004",14.13%
"Sept. 30, 2004",11.69%
"June 30, 2004",2.91%
"March 31, 2004",2.94%
"Dec. 31, 2003",4.25%
"Sept. 30, 2003",5.13%
"June 30, 2003",9.72%
"March 31, 2003",12.51%
"Dec. 31, 2002",3.91%
"Sept. 30, 2002",-3.52%
"June 30, 2002",-4.29%
"March 31, 2002",-13.21%
"Dec. 31, 2001",4.20K%
"Sept. 30, 2001",0.32%
"June 30, 2001",3.44%
"March 31, 2001",8.21%
"Dec. 31, 2000",
"Sept. 30, 2000",13.60%
"June 30, 2000",11.75%
"March 31, 2000",14.10%
"Dec. 31, 1999",
"Sept. 30, 1999",4.03%
"June 30, 1999",2.52%
"March 31, 1999",-6.05%
"Dec. 31, 1998",-0.75%
"Sept. 30, 1998",1.86%
"June 30, 1998",0.08%
"March 31, 1998",4.37%
"Dec. 31, 1997",4.05%
"Sept. 30, 1997",0.60%
"June 30, 1997",3.77%
"March 31, 1997",10.12%
"Dec. 31, 1996",8.35%
"Sept. 30, 1996",9.29%
"June 30, 1996",8.53%
"March 31, 1996",6.53%
"Dec. 31, 1995",4.10%
"Sept. 30, 1995",5.55%
"June 30, 1995",12.44%
"March 31, 1995",15.50%
"Dec. 31, 1994",13.49%
"Sept. 30, 1994",6.58%
"June 30, 1994",1.03%
"March 31, 1994",-5.08%
"Dec. 31, 1993",30.84%
"Sept. 30, 1993",2.36%
"June 30, 1993",12.24%
"March 31, 1993",13.31%
"Dec. 31, 1992",-17.98%
"Sept. 30, 1992",6.75%
"June 30, 1992",-3.69%
"March 31, 1992",-14.02%
"Dec. 31, 1991",-4.72%
"Sept. 30, 1991",12.57%
"June 30, 1991",2.48%
"March 31, 1991",20.66%
"Dec. 31, 1990",20.99%
"Sept. 30, 1990",1.46%
"June 30, 1990",17.20%
"March 31, 1990",18.74%
"Dec. 31, 1989",16.71%
"Sept. 30, 1989",22.64%
"June 30, 1989",25.01%
"March 31, 1989",17.71%
"Dec. 31, 1988",-11.48%
"Sept. 30, 1988",30.12%
"June 30, 1988",24.73%
"March 31, 1988",35.78%
"Dec. 31, 1987",66.21%
"Sept. 30, 1987",16.68%
"June 30, 1987",3.57%
"March 31, 1987",-22.86%
"Dec. 31, 1986",-18.50%
"Sept. 30, 1986",-18.83%
"June 30, 1986",-17.61%
"March 31, 1986",-0.92%
"Dec. 31, 1985",-4.35%
"Sept. 30, 1985",-6.70%
"June 30, 1985",-0.67%
"March 31, 1985",1.87%
