date,revenues_growth
"Dec. 31, 2019",-6.11%
"Sept. 30, 2019",-5.50%
"June 30, 2019",-6.78%
"March 31, 2019",12.97%
"Dec. 31, 2018",2.05%
"Sept. 30, 2018",0.12%
"June 30, 2018",2.09%
"March 31, 2018",2.50%
"Dec. 31, 2017",4.10%
"Sept. 30, 2017",9.75%
"June 30, 2017",5.57%
"March 31, 2017",7.68%
"Dec. 31, 2016",2.87%
"Sept. 30, 2016",0.78%
"June 30, 2016",-6.21%
"March 31, 2016",0.56%
"Dec. 31, 2015",-1.53%
"Sept. 30, 2015",-3.41%
"June 30, 2015",5.84%
"March 31, 2015",-4.55%
"Dec. 31, 2014",-2.16%
"Sept. 30, 2014",0.29%
"June 30, 2014",4.55%
"March 31, 2014",10.49%
"Dec. 31, 2013",18.11%
"Sept. 30, 2013",14.10%
"June 30, 2013",19.34%
"March 31, 2013",9.86%
"Dec. 31, 2012",8.74%
"Sept. 30, 2012",7.88%
"June 30, 2012",8.39%
"March 31, 2012",-4.12%
"Dec. 31, 2011",-0.56%
"Sept. 30, 2011",0.09%
"June 30, 2011",-2.80%
"March 31, 2011",-0.58%
"Dec. 31, 2010",-8.35%
"Sept. 30, 2010",-4.67%
"June 30, 2010",-0.77%
"March 31, 2010",10.67%
"Dec. 31, 2009",16.61%
"Sept. 30, 2009",8.27%
"June 30, 2009",5.82%
"March 31, 2009",7.09%
"Dec. 31, 2008",9.92%
"Sept. 30, 2008",14.63%
"June 30, 2008",7.70%
"March 31, 2008",3.26%
"Dec. 31, 2007",6.85%
"Sept. 30, 2007",13.42%
"June 30, 2007",-11.90%
"March 31, 2007",-22.97%
"Dec. 31, 2006",-9.48%
"Sept. 30, 2006",-6.25%
"June 30, 2006",20.54%
"March 31, 2006",36.78%
"Dec. 31, 2005",12.71%
"Sept. 30, 2005",-0.31%
"June 30, 2005",-4.99%
"March 31, 2005",4.25%
"Dec. 31, 2004",5.57%
"Sept. 30, 2004",3.11%
"June 30, 2004",5.79%
"March 31, 2004",-11.20%
"Dec. 31, 2003",-21.94%
"Sept. 30, 2003",-7.63%
"June 30, 2003",-67.75%
"March 31, 2003",-67.55%
"Dec. 31, 2002",-10.03%
"Sept. 30, 2002",-34.43%
"June 30, 2002",-60.65%
"March 31, 2002",126.7%
"Dec. 31, 2001",-89.05%
"Sept. 30, 2001",24.85%
"June 30, 2001",503.9%
"March 31, 2001",54.61%
"Dec. 31, 2000",139.4%
"Sept. 30, 2000",95.32%
"June 30, 2000",58.29%
"March 31, 2000",6.96%
"Dec. 31, 1999",395.2%
"Sept. 30, 1999",-29.64%
"June 30, 1999",-1.23%
"March 31, 1999",4.06%
"Dec. 31, 1998",186.9%
"Sept. 30, 1998",6.00%
"June 30, 1998",0.09%
"March 31, 1998",7.66%
"Dec. 31, 1997",-53.74%
"Sept. 30, 1997",45.12%
"June 30, 1997",18.94%
"March 31, 1997",6.01%
"Dec. 31, 1996",4.79%
"Sept. 30, 1996",0.62%
"June 30, 1996",7.78%
"March 31, 1996",11.64%
"Dec. 31, 1995",0.02%
"Sept. 30, 1995",-1.53%
"June 30, 1995",1.33%
"March 31, 1995",1.96%
"Dec. 31, 1994",-0.17%
"Sept. 30, 1994",12.21%
"June 30, 1994",-0.74%
"March 31, 1994",-8.52%
"Dec. 31, 1993",4.31%
"Sept. 30, 1993",4.34%
"June 30, 1993",3.85%
"March 31, 1993",22.97%
"Dec. 31, 1992",6.39%
"Sept. 30, 1992",-0.46%
"June 30, 1992",12.44%
"March 31, 1992",-5.06%
"Dec. 31, 1991",3.56%
"Sept. 30, 1991",3.18%
"June 30, 1991",1.37%
"March 31, 1991",7.68%
"Dec. 31, 1990",1.20%
"Sept. 30, 1990",-2.03%
"June 30, 1990",-8.14%
"March 31, 1990",-15.41%
"Dec. 31, 1989",17.20%
"Sept. 30, 1989",14.87%
"June 30, 1989",21.04%
"March 31, 1989",28.67%
"Dec. 31, 1988",8.99%
"Sept. 30, 1988",3.43%
"June 30, 1988",4.46%
"March 31, 1988",1.58%
"Dec. 31, 1987",0.88%
"Sept. 30, 1987",4.66%
"June 30, 1987",-4.17%
"March 31, 1987",-13.49%
"Dec. 31, 1986",-14.96%
"Sept. 30, 1986",-11.80%
"June 30, 1986",-7.61%
"March 31, 1986",-3.70%
"Dec. 31, 1985",-3.71%
"Sept. 30, 1985",0.00%
"June 30, 1985",12.12%
"March 31, 1985",15.15%
