date,profit_margin
"Dec. 31, 2019",16.10%
"Sept. 30, 2019",23.26%
"June 30, 2019",16.77%
"March 31, 2019",12.18%
"Dec. 31, 2018",8.38%
"Sept. 30, 2018",25.01%
"June 30, 2018",18.32%
"March 31, 2018",11.65%
"Dec. 31, 2017",12.71%
"Sept. 30, 2017",22.20%
"June 30, 2017",14.96%
"March 31, 2017",10.94%
"Dec. 31, 2016",11.31%
"Sept. 30, 2016",22.34%
"June 30, 2016",17.83%
"March 31, 2016",9.16%
"Dec. 31, 2015",11.15%
"Sept. 30, 2015",19.87%
"June 30, 2015",19.65%
"March 31, 2015",8.39%
"Dec. 31, 2014",11.96%
"Sept. 30, 2014",22.73%
"June 30, 2014",14.02%
"March 31, 2014",9.36%
"Dec. 31, 2013",9.32%
"Sept. 30, 2013",19.19%
"June 30, 2013",15.30%
"March 31, 2013",13.28%
"Dec. 31, 2012",8.26%
"Sept. 30, 2012",27.56%
"June 30, 2012",13.86%
"March 31, 2012",10.34%
"Dec. 31, 2011",5.32%
"Sept. 30, 2011",34.58%
"June 30, 2011",8.89%
"March 31, 2011",11.83%
"Dec. 31, 2010",8.79%
"Sept. 30, 2010",21.70%
"June 30, 2010",16.22%
"March 31, 2010",6.35%
"Dec. 31, 2009",9.29%
"Sept. 30, 2009",16.79%
"June 30, 2009",11.28%
"March 31, 2009",8.26%
"Dec. 31, 2008",3.43%
"Sept. 30, 2008",17.26%
"June 30, 2008",7.61%
"March 31, 2008",10.17%
"Dec. 31, 2007",5.21%
"Sept. 30, 2007",11.06%
"June 30, 2007",8.64%
"March 31, 2007",11.92%
"Dec. 31, 2006",9.79%
"Sept. 30, 2006",19.08%
"June 30, 2006",10.51%
"March 31, 2006",9.49%
"Dec. 31, 2005",3.69%
"Sept. 30, 2005",9.60%
"June 30, 2005",7.82%
"March 31, 2005",11.76%
"Dec. 31, 2004",5.21%
"Sept. 30, 2004",11.83%
"June 30, 2004",6.13%
"March 31, 2004",10.45%
"Dec. 31, 2003",2.19%
"Sept. 30, 2003",19.55%
"June 30, 2003",-0.44%
"March 31, 2003",-1.04%
"Dec. 31, 2002",-1.51%
"Sept. 30, 2002",14.29%
"June 30, 2002",0.48%
"March 31, 2002",3.83%
"Dec. 31, 2001",8.27%
"Sept. 30, 2001",8.61%
"June 30, 2001",2.28%
"March 31, 2001",12.15%
"Dec. 31, 2000",1.07%
"Sept. 30, 2000",13.14%
"June 30, 2000",12.45%
"March 31, 2000",22.59%
"Dec. 31, 1999",1.96%
"Sept. 30, 1999",13.59%
"June 30, 1999",12.87%
"March 31, 1999",16.94%
"Dec. 31, 1998",9.81%
"Sept. 30, 1998",9.69%
"June 30, 1998",12.18%
"March 31, 1998",16.76%
"Dec. 31, 1997",23.69%
"Sept. 30, 1997",9.73%
"June 30, 1997",12.00%
"March 31, 1997",19.54%
"Dec. 31, 1996",7.59%
"Sept. 30, 1996",12.80%
"June 30, 1996",16.41%
"March 31, 1996",20.60%
"Dec. 31, 1995",18.35%
"Sept. 30, 1995",15.98%
"June 30, 1995",13.50%
"March 31, 1995",15.78%
"Dec. 31, 1994",17.26%
"Sept. 30, 1994",10.79%
"June 30, 1994",13.25%
"March 31, 1994",14.18%
"Dec. 31, 1993",20.89%
"Sept. 30, 1993",12.18%
"June 30, 1993",14.29%
"March 31, 1993",15.13%
"Dec. 31, 1992",14.70%
"Sept. 30, 1992",11.71%
"June 30, 1992",9.94%
"March 31, 1992",11.70%
"Dec. 31, 1991",12.61%
"Sept. 30, 1991",12.89%
"June 30, 1991",9.02%
"March 31, 1991",13.10%
"Dec. 31, 1990",17.47%
"Sept. 30, 1990",14.01%
"June 30, 1990",12.98%
"March 31, 1990",15.09%
"Dec. 31, 1989",17.34%
"Sept. 30, 1989",15.37%
"June 30, 1989",16.96%
"March 31, 1989",18.58%
"Dec. 31, 1988",19.52%
"Sept. 30, 1988",12.28%
"June 30, 1988",5.89%
"March 31, 1988",9.91%
"Dec. 31, 1987",6.14%
"Sept. 30, 1987",16.59%
"June 30, 1987",8.70%
"March 31, 1987",16.29%
"Dec. 31, 1986",19.03%
"Sept. 30, 1986",21.44%
"June 30, 1986",15.67%
"March 31, 1986",20.24%
"Dec. 31, 1985",17.22%
"Sept. 30, 1985",16.60%
"June 30, 1985",16.45%
"March 31, 1985",24.34%
"Dec. 31, 1984",22.10%
"Sept. 30, 1984",19.25%
"June 30, 1984",25.08%
"March 31, 1984",27.75%
