Assets (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03,1993-12
Cash and Equivalents,5.686B,11.70B,8.513B,8.699B,9.342B,9.686B,7.628B,6.466B,4.813B,6.641B,4.762B,6.983B,6.988B,7.351B,8.764B,8.562B,11.02B,12.93B,12.16B,12.68B,12.78B,14.22B,13.96B,15.61B,16.24B,17.01B,20.63B,17.37B,20.94B,21.31B,21.21B,18.87B,15.86B,14.23B,13.34B,13.15B,14.06B,11.00B,9.396B,7.376B,8.716B,7.568B,7.236B,9.15B,9.347B,10.64B,8.18B,8.208B,7.362B,7.95B,11.22B,11.80B,10.49B,11.23B,10.08B,10.70B,10.04B,9.808B,12.32B,10.69B,9.291B,10.04B,8.339B,5.858B,4.266B,4.383B,3.092B,3.804B,2.957B,2.767B,2.652B,3.525B,2.117B,3.417B,2.895B,2.315B,2.328B,1.342B,1.102B,1.185B,1.997B,703.00M,752.00M,538.00M,569.00M,1.152B,1.185B,1.265B,1.015B,991.00M,1.28B,1.385B,892.00M,1.091B,1.052B,980.00M,621.00M,783.00M,824.00M,608.00M,413.00M,1.275B,1.203B,1.201B,1.644B
Short Term Investments,63.00M,58.00M,58.00M,56.00M,1.003B,60.00M,58.00M,38.00M,9.00M,13.00M,13.00M,11.00M,13.00M,321.00M,320.00M,317.00M,310.00M,306.00M,365.00M,432.00M,430.00M,275.00M,276.00M,571.00M,271.00M,1.566B,1.666B,1.674B,974.00M,261.00M,246.00M,239.00M,4.207B,248.00M,221.00M,145.00M,155.00M,66.00M,66.00M,84.00M,106.00M,121.00M,108.00M,154.00M,213.00M,347.00M,427.00M,473.00M,732.00M,794.00M,887.00M,903.00M,953.00M,1.047B,1.053B,1.061B,1.101B,1.172B,1.16B,1.164B,1.451B,1.005B,998.00M,1.023B,1.001B,844.00M,835.00M,760.00M,824.00M,811.00M,763.00M,811.00M,1.033B,1.691B,1.521B,1.471B,913.00M,1.318B,622.00M,627.00M,971.00M,762.00M,955.00M,947.00M,844.00M,616.00M,525.00M,501.00M,655.00M,573.00M,447.00M,421.00M,745.00M,436.00M,437.00M,449.00M,773.00M,534.00M,532.00M,642.00M,893.00M,383.00M,373.00M,371.00M,372.00M
Cash and Short Term Investments,5.749B,11.76B,8.571B,8.755B,10.34B,9.746B,7.686B,6.504B,4.822B,6.654B,4.775B,6.994B,7.001B,7.672B,9.084B,8.879B,11.33B,13.24B,12.52B,13.11B,13.22B,14.49B,14.24B,16.18B,16.52B,18.58B,22.30B,19.05B,21.91B,21.57B,21.46B,19.11B,20.07B,14.48B,13.56B,13.29B,14.22B,11.06B,9.462B,7.46B,8.822B,7.689B,7.344B,9.304B,9.56B,10.98B,8.607B,8.681B,8.094B,8.744B,12.10B,12.70B,11.45B,12.27B,11.13B,11.76B,11.14B,10.98B,13.48B,11.85B,10.74B,11.04B,9.337B,6.881B,5.267B,5.227B,3.927B,4.564B,3.781B,3.578B,3.415B,4.336B,3.15B,5.108B,4.416B,3.786B,3.241B,2.66B,1.724B,1.812B,2.968B,1.465B,1.707B,1.485B,1.413B,1.768B,1.71B,1.766B,1.67B,1.564B,1.727B,1.806B,1.637B,1.527B,1.489B,1.429B,1.394B,1.317B,1.356B,1.25B,1.306B,1.658B,1.576B,1.572B,2.016B
Accounts Receivable,13.32B,12.97B,14.38B,14.93B,15.05B,16.79B,16.67B,15.77B,15.35B,14.12B,13.17B,13.75B,14.09B,12.52B,13.49B,12.46B,12.86B,14.24B,16.15B,15.24B,16.74B,19.97B,21.58B,20.28B,21.62B,21.64B,20.27B,21.97B,21.00B,,,,21.79B,,,,20.94B,,,,17.93B,,16.62B,,16.10B,24.92B,30.59B,23.87B,22.45B,19.76B,19.36B,17.46B,17.63B,18.74B,18.37B,17.44B,17.18B,17.78B,14.84B,13.66B,12.43B,12.55B,11.67B,11.22B,9.722B,9.623B,9.705B,10.20B,9.385B,9.00B,8.937B,9.021B,8.279B,,,,10.76B,,,,9.205B,,,,,,,,,3.464B,3.436B,3.718B,,,,,,,,,,,,,3.808B
Total Receivables,13.32B,12.97B,14.38B,14.93B,15.05B,16.79B,16.67B,15.77B,15.35B,14.12B,13.17B,13.75B,14.09B,12.52B,13.49B,12.46B,12.86B,14.24B,16.15B,15.24B,16.74B,19.97B,21.58B,20.28B,21.62B,21.64B,20.27B,21.97B,21.00B,21.46B,20.71B,22.00B,21.79B,20.88B,23.61B,22.08B,20.76B,17.99B,17.89B,17.92B,17.70B,17.07B,16.62B,14.42B,15.86B,24.92B,30.59B,23.87B,22.45B,19.76B,19.36B,17.46B,17.63B,18.74B,18.37B,17.44B,17.18B,17.78B,14.84B,13.66B,12.43B,12.55B,11.67B,11.22B,9.722B,9.623B,9.705B,10.20B,9.385B,9.00B,8.937B,9.021B,8.279B,3.119B,3.553B,3.424B,10.76B,3.727B,4.161B,4.013B,9.205B,3.342B,3.027B,2.773B,2.813B,3.029B,2.95B,3.111B,3.374B,3.464B,3.436B,3.718B,4.035B,4.391B,4.332B,4.244B,4.014B,3.79B,4.379B,3.957B,3.923B,4.075B,4.222B,3.828B,3.808B
Raw Materials Inventory,1.634B,1.749B,1.785B,1.754B,1.834B,1.916B,1.946B,1.948B,1.967B,2.089B,2.142B,2.169B,2.244B,2.305B,2.316B,2.336B,2.309B,2.377B,2.345B,2.221B,2.184B,2.131B,2.13B,2.064B,2.01B,1.922B,1.893B,1.803B,1.746B,2.192B,2.128B,2.049B,1.621B,2.111B,2.054B,2.019B,1.904B,1.99B,1.925B,1.865B,1.849B,1.671B,1.656B,1.625B,1.679B,1.129B,1.14B,1.074B,1.017B,958.00M,910.00M,815.00M,812.00M,770.00M,768.00M,709.00M,694.00M,534.00M,466.00M,462.00M,486.00M,488.00M,458.00M,442.00M,472.00M,486.00M,497.00M,500.00M,551.00M,531.00M,537.00M,553.00M,532.00M,442.00M,460.00M,439.00M,485.00M,426.00M,818.00M,789.00M,548.00M,831.00M,843.00M,845.00M,,830.00M,876.00M,884.00M,,804.00M,772.00M,746.00M,,778.00M,732.00M,754.00M,,736.00M,705.00M,652.00M,,657.00M,679.00M,668.00M,1.783B
Finished Goods Inventory,4.214B,4.202B,5.024B,4.969B,3.87B,4.113B,4.698B,4.18B,3.618B,3.672B,3.933B,3.752B,3.175B,3.671B,4.111B,4.172B,4.025B,4.487B,4.771B,4.616B,4.321B,5.173B,5.085B,5.408B,4.37B,4.971B,5.53B,4.861B,4.398B,5.803B,5.058B,5.298B,3.922B,3.961B,5.232B,4.213B,3.589B,4.147B,3.986B,4.213B,3.68B,4.652B,4.828B,4.803B,5.175B,5.16B,5.231B,4.578B,4.293B,4.701B,4.24B,3.857B,3.844B,4.437B,4.064B,3.519B,3.427B,3.021B,2.887B,2.634B,2.497B,2.466B,2.743B,2.46B,2.176B,2.228B,2.43B,2.331B,2.212B,2.486B,2.407B,2.476B,2.416B,611.00M,582.00M,694.00M,2.169B,631.00M,694.00M,659.00M,2.659B,641.00M,573.00M,584.00M,,534.00M,569.00M,555.00M,,605.00M,686.00M,589.00M,,669.00M,847.00M,629.00M,,815.00M,759.00M,623.00M,,1.09B,1.243B,1.126B,18.00M
Inventories,5.848B,5.951B,6.809B,6.723B,5.704B,6.029B,6.644B,6.128B,5.585B,5.761B,6.075B,5.921B,5.419B,5.976B,6.427B,6.508B,6.334B,6.864B,7.116B,6.837B,6.505B,7.304B,7.215B,7.472B,6.38B,6.893B,7.423B,6.664B,6.144B,7.995B,7.186B,7.347B,5.543B,6.072B,7.286B,6.232B,5.493B,6.137B,5.911B,6.078B,5.529B,6.323B,6.484B,6.428B,6.854B,6.289B,6.371B,5.652B,5.31B,5.659B,5.15B,4.672B,4.656B,5.207B,4.832B,4.228B,4.121B,3.555B,3.353B,3.096B,2.983B,2.954B,3.201B,2.902B,2.648B,2.714B,2.927B,2.831B,2.763B,3.017B,2.944B,3.029B,2.948B,1.053B,1.042B,1.133B,2.654B,1.057B,1.512B,1.448B,3.207B,1.472B,1.416B,1.429B,1.455B,1.364B,1.445B,1.439B,1.378B,1.409B,1.458B,1.335B,1.431B,1.447B,1.579B,1.383B,1.598B,1.551B,1.464B,1.275B,1.71B,1.747B,1.922B,1.794B,1.801B
Prepaid Expenses,3.407B,3.316B,3.324B,3.265B,2.922B,3.02B,3.254B,3.323B,2.80B,2.859B,2.608B,2.899B,3.107B,2.703B,3.47B,3.867B,3.904B,5.476B,4.948B,6.087B,5.776B,5.315B,5.892B,5.809B,5.732B,6.389B,6.112B,7.015B,6.666B,7.424B,6.648B,6.102B,5.827B,5.74B,5.143B,5.667B,5.519B,5.818B,5.375B,5.672B,5.162B,4.459B,4.271B,3.926B,4.20B,5.153B,4.14B,3.281B,3.527B,3.35B,3.21B,3.157B,2.574B,2.206B,2.219B,1.818B,1.887B,2.666B,2.269B,2.547B,2.349B,2.272B,1.841B,1.838B,1.789B,1.589B,1.796B,1.927B,1.847B,2.18B,2.408B,2.119B,1.769B,657.00M,646.00M,868.00M,1.255B,1.227B,1.169B,1.244B,1.663B,1.056B,1.007B,772.00M,616.00M,678.00M,774.00M,748.00M,584.00M,804.00M,804.00M,842.00M,839.00M,884.00M,898.00M,864.00M,861.00M,929.00M,772.00M,766.00M,652.00M,1.231B,1.277B,1.083B,1.057B
Other Current Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.00M,8.00M,658.00M,,5.858B,4.408B,3.58B,2.855B,3.473B,3.753B,3.695B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.00M,2.181B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
