Cash Flow - Operations (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03,1993-12,1993-09,1993-06,1993-03
Net Income,-6.667B,2.58B,4.29B,2.642B,3.723B,4.056B,3.422B,3.659B,3.118B,1.986B,1.466B,2.699B,438.00M,1.301B,-1.463B,-707.00M,-555.00M,2.057B,608.00M,2.60B,3.472B,5.627B,5.69B,4.521B,4.958B,4.996B,5.404B,6.239B,7.297B,5.308B,7.232B,6.499B,5.152B,7.857B,7.76B,6.239B,5.32B,3.792B,5.444B,4.58B,3.102B,3.846B,1.761B,1.854B,4.995B,7.893B,5.975B,5.168B,4.875B,3.718B,5.38B,4.715B,3.772B,5.017B,4.353B,3.996B,4.144B,3.594B,3.684B,2.677B,3.44B,3.201B,4.125B,2.562B,1.735B,1.975B,1.60B,1.92B,904.00M,-904.00M,407.00M,725.00M,-804.00M,1.168B,1.324B,1.60B,4.036B,1.531B,1.116B,1.044B,1.988B,582.00M,350.00M,329.00M,-206.00M,461.00M,577.00M,507.00M,875.00M,727.00M,823.00M,831.00M,,,,,-418.00M,282.00M,607.00M,459.00M,623.00M,425.00M,257.00M,388.00M,294.00M,420.00M,50.00M,501.00M
Net Foreign Currency Exchange Gain/Loss,218.00M,-26.00M,-61.00M,141.00M,-207.00M,305.00M,-38.00M,63.00M,-14.00M,-98.00M,112.00M,131.00M,-135.00M,19.00M,90.00M,212.00M,-48.00M,-135.00M,188.00M,-87.00M,-216.00M,-162.00M,87.00M,14.00M,-148.00M,183.00M,-29.00M,-109.00M,20.00M,163.00M,-118.00M,142.00M,57.00M,-187.00M,-30.00M,57.00M,48.00M,204.00M,-46.00M,45.00M,-15.00M,38.00M,331.00M,112.00M,-281.00M,-104.00M,-158.00M,188.00M,,,,,,,,,,,,,,,,,,,,,,,,,37.00M,-19.00M,20.00M,-38.00M,80.00M,-39.00M,-14.00M,-27.00M,,-28.00M,13.00M,15.00M,23.00M,0.00,-39.00M,16.00M,23.00M,-8.00M,-8.00M,-7.00M,10.00M,-10.00M,-6.00M,6.00M,-53.00M,53.00M,-31.00M,31.00M,-38.00M,29.00M,11.00M,-2.00M,-10.00M,2.00M,-23.00M,4.00M
Gain (Loss) on Investment Securities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-105.00M,63.00M,42.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Earnings Loss from Eq. Investments,-176.00M,-610.00M,-774.00M,-513.00M,-1.054B,-727.00M,-801.00M,-998.00M,-96.00M,-764.00M,-862.00M,-658.00M,-841.00M,-222.00M,-267.00M,-219.00M,-184.00M,-393.00M,1.025B,-1.208B,-697.00M,-666.00M,-382.00M,-457.00M,-188.00M,128.00M,-540.00M,-578.00M,-200.00M,-82.00M,-891.00M,-178.00M,-456.00M,-563.00M,248.00M,201.00M,-348.00M,172.00M,-326.00M,1.00M,407.00M,256.00M,-326.00M,-440.00M,-162.00M,-278.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,205.00M,-89.00M,-102.00M,-14.00M,247.00M,-175.00M,57.00M,-129.00M,244.00M,-80.00M,-62.00M,-102.00M,120.00M,32.00M,-152.00M,,271.00M,-97.00M,-174.00M,,-66.00M,-42.00M,108.00M,,,,,,,,,,,,,
Pension and Employee Expense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.359B,-802.00M,-386.00M,-171.00M,895.00M,-548.00M,-41.00M,-306.00M,-879.00M,-712.00M,-57.00M,-91.00M,-670.00M,-169.00M,78.00M,-78.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Gains Losses,42.00M,-636.00M,-835.00M,-372.00M,-1.261B,-422.00M,-839.00M,-935.00M,-110.00M,-862.00M,-750.00M,-527.00M,-976.00M,-203.00M,-177.00M,-7.00M,-232.00M,-528.00M,1.213B,-1.295B,-913.00M,-828.00M,-295.00M,-443.00M,-336.00M,311.00M,-569.00M,-687.00M,-180.00M,81.00M,-1.009B,-36.00M,2.024B,-2.196B,-447.00M,-54.00M,954.00M,-230.00M,-549.00M,-425.00M,-659.00M,-877.00M,-201.00M,-894.00M,-1.714B,-1.29B,-86.00M,98.00M,-2.214B,3.288B,-895.00M,-1.004B,-433.00M,-863.00M,-480.00M,206.00M,-591.00M,22.00M,-255.00M,-284.00M,-750.00M,-1.262B,-1.422B,-345.00M,-137.00M,-535.00M,-37.00M,142.00M,161.00M,1.66B,925.00M,-148.00M,1.348B,-153.00M,38.00M,2.00M,181.00M,-305.00M,98.00M,-167.00M,-192.00M,-121.00M,-191.00M,-195.00M,143.00M,32.00M,-117.00M,-58.00M,472.00M,-96.00M,-214.00M,-162.00M,-56.00M,-52.00M,171.00M,-63.00M,-53.00M,53.00M,114.00M,-114.00M,-9.00M,48.00M,34.00M,-73.00M,160.00M,-54.00M,-34.00M,-99.00M
Total Depreciation and Amortization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.094B,2.496B,2.155B,1.963B,1.988B,1.923B,1.807B,1.788B,1.725B,1.534B,1.32B,1.334B,1.283B,1.199B,1.263B,1.19B,1.264B,1.409B,1.411B,1.242B,1.209B,1.514B,1.241B,1.205B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total Depreciation, Amortization, Depletion",16.43B,4.361B,4.334B,4.094B,5.252B,5.38B,4.498B,4.289B,4.735B,5.109B,5.311B,4.194B,4.203B,4.13B,6.721B,4.403B,5.40B,4.268B,6.958B,4.411B,4.873B,3.948B,3.842B,4.13B,3.635B,3.658B,3.412B,3.481B,3.554B,3.37B,3.284B,3.205B,3.313B,3.215B,3.257B,3.126B,3.439B,3.401B,3.141B,3.082B,3.156B,2.988B,3.099B,2.867B,2.589B,2.449B,2.275B,2.215B,2.094B,2.496B,2.155B,1.963B,1.988B,1.923B,1.807B,1.788B,1.725B,1.534B,1.32B,1.334B,1.283B,1.199B,1.263B,1.19B,1.264B,1.409B,1.411B,1.242B,1.209B,1.514B,1.241B,1.205B,4.974B,713.00M,690.00M,682.00M,3.17B,801.00M,699.00M,651.00M,2.968B,767.00M,633.00M,566.00M,646.00M,563.00M,557.00M,554.00M,657.00M,548.00M,549.00M,546.00M,603.00M,558.00M,524.00M,531.00M,1.679B,560.00M,566.00M,576.00M,598.00M,626.00M,615.00M,592.00M,652.00M,615.00M,596.00M,589.00M
Deferred Taxes,-2.952B,592.00M,321.00M,73.00M,244.00M,296.00M,127.00M,383.00M,-2.739B,782.00M,-683.00M,-563.00M,-696.00M,-899.00M,-1.151B,-1.089B,-1.383B,249.00M,194.00M,-921.00M,1.098B,-31.00M,218.00M,287.00M,907.00M,937.00M,-95.00M,127.00M,566.00M,455.00M,503.00M,491.00M,379.00M,862.00M,275.00M,73.00M,619.00M,177.00M,-133.00M,-104.00M,,,,,,381.00M,-381.00M,,156.00M,332.00M,-189.00M,-38.00M,-151.00M,349.00M,72.00M,344.00M,660.00M,219.00M,339.00M,175.00M,-36.00M,-482.00M,52.00M,242.00M,164.00M,-124.00M,142.00M,-18.00M,173.00M,-53.00M,3.00M,-204.00M,-815.00M,-27.00M,-1.00M,75.00M,236.00M,52.00M,139.00M,94.00M,143.00M,-62.00M,-118.00M,60.00M,-111.00M,146.00M,99.00M,132.00M,322.00M,110.00M,22.00M,168.00M,116.00M,1.00M,156.00M,86.00M,-455.00M,56.00M,59.00M,82.00M,-38.00M,72.00M,11.00M,65.00M,139.00M,98.00M,-260.00M,23.00M
