date,eps_growth
"Dec. 31, 2019",35.71%
"Sept. 30, 2019",1.38%
"June 30, 2019",-25.77%
"March 31, 2019",25.81%
"Dec. 31, 2018",
"Sept. 30, 2018",22.88%
"June 30, 2018",22.78%
"March 31, 2018",47.62%
"Dec. 31, 2017",
"Sept. 30, 2017",-22.37%
"June 30, 2017",29.51%
"March 31, 2017",-2.33%
"Dec. 31, 2016",8.33%
"Sept. 30, 2016",7.80%
"June 30, 2016",0.00%
"March 31, 2016",-4.44%
"Dec. 31, 2015",-40.00%
"Sept. 30, 2015",17.50%
"June 30, 2015",0.00%
"March 31, 2015",12.50%
"Dec. 31, 2014",33.33%
"Sept. 30, 2014",-3.23%
"June 30, 2014",56.41%
"March 31, 2014",
"Dec. 31, 2013",
"Sept. 30, 2013",-19.48%
"June 30, 2013",-55.17%
"March 31, 2013",
"Dec. 31, 2012",
"Sept. 30, 2012",30.51%
"June 30, 2012",52.63%
"March 31, 2012",
"Dec. 31, 2011",-52.38%
"Sept. 30, 2011",
"June 30, 2011",-10.94%
"March 31, 2011",-32.56%
"Dec. 31, 2010",-30.00%
"Sept. 30, 2010",
"June 30, 2010",-16.88%
"March 31, 2010",-34.85%
"Dec. 31, 2009",11.11%
"Sept. 30, 2009",7.22%
"June 30, 2009",-21.43%
"March 31, 2009",0.00%
"Dec. 31, 2008",-48.08%
"Sept. 30, 2008",-17.80%
"June 30, 2008",42.03%
"March 31, 2008",11.86%
"Dec. 31, 2007",79.31%
"Sept. 30, 2007",-16.90%
"June 30, 2007",15.00%
"March 31, 2007",73.53%
"Dec. 31, 2006",262.5%
"Sept. 30, 2006",3.65%
"June 30, 2006",-35.48%
"March 31, 2006",-45.16%
"Dec. 31, 2005",-80.00%
"Sept. 30, 2005",14.17%
"June 30, 2005",43.08%
"March 31, 2005",12.73%
"Dec. 31, 2004",73.91%
"Sept. 30, 2004",-29.41%
"June 30, 2004",-4.41%
"March 31, 2004",-12.70%
"Dec. 31, 2003",
"Sept. 30, 2003",4.29%
"June 30, 2003",-15.00%
"March 31, 2003",50.00%
"Dec. 31, 2002",
"Sept. 30, 2002",-15.98%
"June 30, 2002",15.94%
"March 31, 2002",-2.33%
"Dec. 31, 2001",78.95%
"Sept. 30, 2001",3.74%
"June 30, 2001",-16.87%
"March 31, 2001",-4.44%
"Dec. 31, 2000",
"Sept. 30, 2000",2.75%
"June 30, 2000",31.75%
"March 31, 2000",12.50%
"Dec. 31, 1999",
"Sept. 30, 1999",5.20%
"June 30, 1999",3.28%
"March 31, 1999",37.93%
"Dec. 31, 1998",
"Sept. 30, 1998",10.19%
"June 30, 1998",5.17%
"March 31, 1998",-12.12%
