Assets (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03
Cash and Equivalents,587.00M,1.992B,987.00M,1.103B,1.349B,1.918B,694.00M,787.00M,1.105B,1.203B,536.00M,609.00M,635.00M,1.897B,1.647B,960.00M,6.502B,7.265B,6.014B,1.825B,1.878B,2.763B,1.362B,914.00M,1.609B,1.644B,991.00M,772.00M,1.486B,1.70B,1.349B,721.00M,1.016B,1.071B,562.00M,487.00M,1.612B,2.524B,2.01B,2.374B,1.838B,2.149B,1.271B,182.00M,332.00M,162.00M,311.00M,514.00M,233.00M,380.00M,224.00M,279.00M,282.00M,174.00M,140.00M,153.00M,545.00M,360.00M,499.00M,584.00M,794.00M,499.00M,493.00M,604.00M,464.00M,503.00M,469.00M,461.00M,713.00M,696.00M,485.00M,1.377B,1.16B,825.00M,840.00M,169.00M,263.00M,110.00M,228.00M,641.80M,899.60M,2.703B,48.00M,43.90M,105.30M,55.00M,33.40M,67.70M,42.00M,39.70M,29.20M,60.80M,24.60M,71.50M,20.60M,198.60M,130.10M,66.40M,47.00M,46.60M,52.10M,52.80M
Short Term Investments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,,,480.00M,,,,247.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash and Short Term Investments,587.00M,1.992B,987.00M,1.103B,1.349B,1.918B,694.00M,787.00M,1.105B,1.203B,536.00M,609.00M,635.00M,1.897B,1.647B,960.00M,6.502B,7.265B,6.014B,1.825B,1.878B,2.763B,1.362B,914.00M,1.609B,1.644B,991.00M,772.00M,1.486B,1.70B,1.349B,721.00M,1.016B,1.071B,562.00M,487.00M,1.612B,2.524B,2.01B,2.374B,1.838B,2.149B,1.751B,182.00M,332.00M,162.00M,558.00M,514.00M,233.00M,380.00M,224.00M,279.00M,282.00M,174.00M,140.00M,153.00M,545.00M,360.00M,499.00M,584.00M,794.00M,499.00M,493.00M,604.00M,464.00M,503.00M,469.00M,461.00M,713.00M,696.00M,485.00M,1.377B,1.16B,825.00M,840.00M,169.00M,263.00M,110.00M,228.00M,641.80M,899.60M,2.703B,48.00M,43.90M,105.30M,55.00M,33.40M,67.70M,42.00M,39.70M,29.20M,60.80M,24.60M,71.50M,20.60M,198.60M,130.10M,66.40M,47.00M,46.60M,52.10M,52.80M
Accounts Receivable,4.592B,4.188B,4.125B,4.564B,4.607B,4.239B,4.094B,4.19B,4.445B,3.854B,3.825B,3.886B,4.158B,4.061B,3.671B,3.594B,3.187B,3.215B,3.227B,3.702B,3.482B,2.815B,2.973B,3.455B,2.981B,2.761B,2.861B,3.12B,3.087B,3.06B,3.069B,3.109B,1.613B,1.685B,1.766B,1.80B,1.932B,2.067B,1.563B,1.86B,2.028B,2.185B,2.252B,2.217B,2.427B,2.397B,2.652B,2.557B,2.469B,2.477B,2.209B,1.989B,1.874B,1.898B,2.195B,2.097B,1.921B,2.285B,2.058B,2.027B,2.048B,1.934B,2.243B,2.222B,2.149B,2.384B,2.399B,2.257B,2.281B,2.035B,2.112B,2.63B,2.441B,2.48B,2.552B,776.00M,728.00M,594.00M,704.00M,632.10M,589.30M,445.50M,311.00M,467.40M,400.40M,288.40M,313.30M,193.70M,172.80M,107.20M,93.60M,107.40M,118.60M,139.90M,147.20M,164.70M,125.80M,123.90M,146.80M,183.30M,154.40M,191.30M
Other Receivables,1.583B,1.134B,1.048B,1.062B,1.256B,1.246B,1.407B,1.103B,1.132B,950.00M,958.00M,1.133B,1.201B,1.013B,988.00M,1.138B,912.00M,1.107B,1.304B,1.077B,1.227B,898.00M,1.005B,871.00M,1.175B,1.232B,1.224B,1.11B,1.141B,1.216B,1.252B,1.339B,1.00B,930.00M,697.00M,547.00M,1.196B,,486.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Receivables,6.222B,5.322B,5.18B,5.675B,5.911B,5.527B,5.547B,5.348B,5.637B,4.885B,4.867B,5.122B,5.447B,5.20B,4.728B,4.817B,4.185B,4.457B,4.687B,4.988B,4.963B,3.938B,4.242B,4.652B,4.53B,4.453B,4.658B,4.957B,5.114B,4.276B,4.321B,4.448B,2.629B,2.615B,2.463B,2.347B,3.128B,2.067B,2.049B,1.86B,2.028B,2.185B,2.252B,2.217B,2.427B,2.397B,2.652B,2.557B,2.469B,2.477B,2.209B,1.989B,1.874B,1.898B,2.195B,2.097B,1.921B,2.285B,2.058B,2.027B,2.048B,1.934B,2.243B,2.222B,2.149B,2.384B,2.399B,2.257B,2.281B,2.035B,2.112B,2.63B,2.441B,2.48B,2.552B,776.00M,728.00M,594.00M,704.00M,632.10M,589.30M,445.50M,311.00M,467.40M,400.40M,288.40M,313.30M,193.70M,172.80M,107.20M,93.60M,107.40M,118.60M,139.90M,147.20M,164.70M,125.80M,123.90M,146.80M,183.30M,154.40M,191.30M
Inventories,1.768B,1.783B,1.67B,1.559B,1.685B,1.665B,1.59B,1.471B,1.651B,1.668B,1.601B,1.561B,1.638B,1.562B,1.50B,1.514B,1.566B,1.516B,1.432B,1.301B,1.603B,1.591B,1.45B,1.023B,1.105B,1.109B,1.019B,913.00M,1.014B,1.031B,999.00M,942.00M,864.00M,851.00M,786.00M,728.00M,806.00M,692.00M,757.00M,784.00M,750.00M,699.00M,843.00M,866.00M,774.00M,656.00M,723.00M,731.00M,669.00M,598.00M,731.00M,696.00M,663.00M,605.00M,662.00M,598.00M,516.00M,468.00M,542.00M,517.00M,483.00M,426.00M,522.00M,487.00M,481.00M,480.00M,481.00M,501.00M,514.00M,457.00M,471.00M,491.00M,466.00M,394.00M,454.00M,232.00M,208.00M,176.00M,206.00M,180.70M,171.70M,168.00M,174.00M,171.60M,166.80M,158.10M,175.80M,192.70M,176.40M,171.00M,204.40M,197.20M,186.60M,193.50M,201.70M,235.90M,195.50M,179.50M,191.00M,208.00M,188.70M,179.70M
Prepaid Expenses,,,,,,,,,,1.25B,1.25B,1.25B,1.25B,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Restricted Cash,358.00M,,,,247.00M,240.00M,206.00M,209.00M,,320.00M,252.00M,254.00M,253.00M,321.00M,201.00M,218.00M,205.00M,341.00M,274.00M,297.00M,271.00M,318.00M,207.00M,207.00M,167.00M,147.00M,114.00M,148.00M,133.00M,140.00M,117.00M,110.00M,40.00M,565.00M,35.00M,22.00M,30.00M,239.00M,40.00M,43.00M,46.00M,52.00M,75.00M,,,,118.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Deferred Tax Assets,,,,,,,,,,,,,,,,,,211.00M,173.00M,231.00M,,38.00M,426.00M,454.00M,573.00M,292.00M,288.00M,331.00M,131.00M,254.00M,63.00M,,0.00,183.00M,69.00M,90.00M,0.00,,,,,,,,,,102.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
