Cash Flow - Operations (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03
Net Income,808.00M,760.00M,494.00M,966.00M,100.00M,800.00M,543.00M,636.00M,1.941B,862.00M,95.00M,971.00M,240.00M,526.00M,307.00M,123.00M,291.00M,587.00M,634.00M,738.00M,95.00M,1.074B,558.00M,93.00M,494.00M,737.00M,497.00M,1.00M,384.00M,297.00M,290.00M,200.00M,607.00M,602.00M,621.00M,669.00M,524.00M,845.00M,445.00M,749.00M,581.00M,757.00M,657.00M,712.00M,707.00M,940.00M,509.00M,581.00M,563.00M,780.00M,702.00M,691.00M,592.00M,-44.00M,644.00M,400.00M,-837.00M,725.00M,514.00M,521.00M,363.00M,1.113B,-24.00M,412.00M,274.00M,-102.00M,372.00M,361.00M,397.00M,551.00M,484.00M,8.00M,338.00M,376.00M,315.00M,399.00M,46.00M,232.00M,117.00M,191.00M,86.00M,231.00M,97.00M,156.00M,-18.80M,273.70M,151.50M,113.60M,-57.20M,158.00M,122.80M,113.00M,118.30M,149.80M,98.80M,150.30M,119.80M,184.30M,153.60M,152.00M,129.10M,22.20M,116.00M,159.40M
Gain and Loss on Sale of PPE,,,,,,,,,,,,,89.00M,-1.00M,-31.00M,-9.00M,-8.00M,-2.00M,-7.00M,-1.00M,-81.00M,-338.00M,-13.00M,-5.00M,4.00M,-17.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gain (Loss) on Investment Securities,-70.00M,-74.00M,-20.00M,-277.00M,551.00M,-185.00M,-96.00M,327.00M,-185.00M,-226.00M,74.00M,-128.00M,-62.00M,-223.00M,242.00M,-162.00M,-94.00M,367.00M,-371.00M,-138.00M,125.00M,-202.00M,-121.00M,704.00M,-291.00M,-269.00M,-377.00M,322.00M,-242.00M,-126.00M,-217.00M,-176.00M,215.00M,90.00M,,,,,,,-207.00M,43.00M,-43.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Gains Losses,-82.00M,-56.00M,-53.00M,-277.00M,550.00M,-180.00M,-100.00M,271.00M,-396.00M,-226.00M,73.00M,-132.00M,27.00M,-224.00M,211.00M,-171.00M,-102.00M,365.00M,-378.00M,-139.00M,44.00M,-540.00M,-134.00M,699.00M,-287.00M,-286.00M,-377.00M,322.00M,-235.00M,-126.00M,-217.00M,-176.00M,215.00M,90.00M,,,,,,,-207.00M,43.00M,-43.00M,,363.00M,222.00M,-118.00M,-104.00M,,-120.00M,4.00M,116.00M,-83.00M,79.00M,-100.00M,21.00M,1.374B,-9.00M,-4.00M,13.00M,128.00M,-14.00M,28.00M,21.00M,170.00M,987.00M,96.00M,93.00M,-78.00M,7.00M,-5.00M,266.00M,252.00M,103.00M,-50.00M,-12.00M,246.00M,-6.00M,-26.00M,6.00M,-34.00M,66.00M,15.00M,116.00M,113.30M,-9.40M,8.10M,19.00M,121.00M,-2.60M,-60.70M,6.40M,-43.60M,-23.00M,8.50M,-8.10M,7.20M,-28.80M,-54.70M,-10.60M,295.80M,6.00M,9.10M,-28.10M
Total Depreciation and Amortization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.114B,562.00M,552.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total Depreciation, Amortization, Depletion",1.387B,1.471B,1.462B,1.46B,1.46B,1.511B,1.499B,1.501B,1.428B,1.408B,1.317B,1.274B,1.567B,1.613B,1.333B,1.063B,1.057B,973.00M,1.009B,948.00M,1.012B,931.00M,1.017B,908.00M,935.00M,872.00M,955.00M,1.017B,1.17B,1.014B,1.119B,776.00M,614.00M,588.00M,562.00M,552.00M,688.00M,800.00M,737.00M,718.00M,666.00M,682.00M,631.00M,622.00M,583.00M,1.285B,-112.00M,552.00M,540.00M,577.00M,533.00M,533.00M,511.00M,561.00M,536.00M,524.00M,490.00M,516.00M,483.00M,478.00M,484.00M,1.244B,-240.00M,445.00M,428.00M,444.00M,423.00M,423.00M,417.00M,436.00M,421.00M,427.00M,353.00M,542.00M,449.00M,490.00M,272.00M,107.00M,121.00M,107.00M,123.00M,93.00M,72.00M,70.00M,,,,,,,,,-404.20M,404.20M,,,184.10M,390.10M,,,,,,
Deferred Taxes,269.00M,128.00M,97.00M,187.00M,-205.00M,99.00M,12.00M,-14.00M,-806.00M,331.00M,-72.00M,185.00M,33.00M,362.00M,134.00M,127.00M,511.00M,30.00M,82.00M,129.00M,43.00M,326.00M,181.00M,-48.00M,283.00M,304.00M,142.00M,-610.00M,352.00M,36.00M,126.00M,101.00M,449.00M,418.00M,250.00M,340.00M,741.00M,613.00M,-369.00M,-4.00M,16.00M,591.00M,229.00M,-80.00M,263.00M,-33.00M,93.00M,51.00M,-71.00M,95.00M,-53.00M,-75.00M,93.00M,61.00M,-46.00M,-35.00M,6.00M,-41.00M,-106.00M,634.00M,-112.00M,228.00M,46.00M,40.00M,26.00M,-263.00M,-36.00M,-64.00M,-15.00M,303.00M,-77.00M,67.00M,33.00M,-108.00M,-58.00M,65.00M,185.00M,-2.00M,5.00M,5.00M,22.00M,23.00M,-15.00M,-23.00M,-60.20M,-26.50M,-22.50M,-6.80M,-16.20M,10.70M,-7.00M,-4.70M,59.90M,25.00M,42.40M,39.50M,74.50M,43.30M,33.40M,32.30M,1.10M,-62.60M,7.40M,30.80M
Asset Impairment Charge,27.00M,165.00M,2.00M,7.00M,1.00M,8.00M,41.00M,0.00,85.00M,36.00M,435.00M,-216.00M,32.00M,35.00M,120.00M,119.00M,11.00M,1.00M,24.00M,0.00,525.00M,50.00M,111.00M,1.00M,0.00,171.00M,,,6.00M,278.00M,,,,0.00,,,,,,,0.00,0.00,0.00,223.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unrealized Gain (Loss) on Investment Securities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-360.00M,96.00M,116.00M,148.00M,281.00M,-158.00M,110.00M,-233.00M,-21.00M,-102.00M,-40.00M,68.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Noncash Items,153.00M,183.00M,150.00M,127.00M,327.00M,325.00M,239.00M,240.00M,125.00M,188.00M,297.00M,118.00M,109.00M,168.00M,252.00M,804.00M,253.00M,277.00M,235.00M,344.00M,328.00M,225.00M,-71.00M,276.00M,134.00M,8.00M,345.00M,231.00M,129.00M,276.00M,429.00M,530.00M,67.00M,376.00M,144.00M,183.00M,190.00M,82.00M,301.00M,36.00M,371.00M,-130.00M,295.00M,116.00M,327.00M,283.00M,-36.00M,296.00M,148.00M,249.00M,199.00M,170.00M,150.00M,750.00M,15.00M,176.00M,-188.00M,215.00M,59.00M,-10.00M,0.00,-24.00M,22.00M,-22.00M,29.00M,-29.00M,-82.00M,82.00M,,,,,,,,,,,,,,,,,-539.00M,191.70M,222.70M,182.60M,226.90M,172.80M,195.70M,167.90M,528.20M,-238.10M,149.40M,175.70M,-61.10M,-233.40M,135.00M,133.50M,-72.00M,341.60M,121.00M,118.00M
