Assets (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12
Cash and Equivalents,16.00M,20.00M,6.00M,8.00M,16.00M,11.00M,29.00M,30.00M,10.00M,9.00M,10.00M,8.00M,9.00M,18.00M,13.00M,13.00M,292.00M,72.00M,2.00M,6.00M,5.00M,13.00M,46.00M,26.00M,30.00M,169.00M,150.00M,161.00M,184.00M,298.00M,117.00M,208.00M,255.00M,522.00M,378.00M,573.00M,545.00M,506.00M,360.00M,622.00M,563.00M,251.00M,304.00M,92.00M,206.00M,205.00M,186.00M,355.00M,170.00M,687.00M,161.00M,137.00M,34.00M,51.00M,29.00M,96.00M,278.00M,27.00M,30.00M,69.00M,647.00M,511.00M,633.00M,111.00M,100.00M,101.00M,294.00M,628.00M,629.00M,150.00M,60.00M,67.00M,112.11M,72.53M,91.47M,125.97M,237.54M,48.90M,39.69M,194.88M,331.10M,54.00M,74.20M,76.90M,62.30M,47.10M,45.80M,9.70M
Short Term Investments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,166.00M,233.00M,0.00,239.00M,277.00M,324.00M,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash and Short Term Investments,16.00M,20.00M,6.00M,8.00M,16.00M,11.00M,29.00M,30.00M,10.00M,9.00M,10.00M,8.00M,9.00M,18.00M,13.00M,13.00M,292.00M,72.00M,2.00M,6.00M,5.00M,13.00M,46.00M,26.00M,30.00M,169.00M,150.00M,161.00M,184.00M,298.00M,117.00M,208.00M,255.00M,522.00M,378.00M,573.00M,545.00M,672.00M,593.00M,622.00M,802.00M,528.00M,628.00M,92.00M,206.00M,205.00M,186.00M,355.00M,170.00M,687.00M,161.00M,137.00M,34.00M,51.00M,29.00M,96.00M,278.00M,27.00M,30.00M,69.00M,647.00M,511.00M,633.00M,111.00M,100.00M,101.00M,294.00M,628.00M,629.00M,150.00M,60.00M,67.00M,112.11M,72.53M,91.47M,125.97M,237.54M,48.90M,39.69M,194.88M,331.10M,54.00M,74.20M,76.90M,62.30M,47.10M,45.80M,9.70M
Accounts Receivable,393.00M,478.00M,461.00M,517.00M,463.00M,605.00M,560.00M,514.00M,445.00M,507.00M,446.00M,457.00M,437.00M,543.00M,445.00M,428.00M,388.00M,508.00M,456.00M,524.00M,423.00M,467.00M,454.00M,553.00M,404.00M,469.00M,425.00M,479.00M,354.00M,523.00M,417.00M,446.00M,473.00M,575.00M,507.00M,517.00M,517.00M,466.00M,500.00M,424.00M,416.00M,450.00M,554.00M,516.00M,506.00M,529.00M,656.00M,570.00M,949.00M,784.00M,864.00M,578.00M,463.00M,480.00M,609.00M,583.00M,501.00M,441.00M,501.00M,480.00M,466.00M,343.00M,326.00M,326.00M,362.00M,355.00M,360.00M,266.00M,350.00M,301.00M,434.00M,389.00M,514.10M,487.16M,422.35M,474.42M,331.93M,267.96M,225.65M,237.01M,387.00M,362.30M,303.30M,275.10M,409.50M,349.20M,302.20M,316.10M
Notes Receivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,315.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Receivables,63.00M,56.00M,91.00M,74.00M,79.00M,84.00M,74.00M,98.00M,70.00M,85.00M,77.00M,67.00M,63.00M,49.00M,65.00M,56.00M,98.00M,113.00M,112.00M,100.00M,81.00M,117.00M,213.00M,201.00M,196.00M,109.00M,75.00M,70.00M,71.00M,82.00M,69.00M,65.00M,69.00M,147.00M,249.00M,291.00M,210.00M,208.00M,319.00M,318.00M,182.00M,337.00M,318.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Receivables,734.00M,807.00M,878.00M,829.00M,837.00M,949.00M,1.005B,870.00M,838.00M,854.00M,857.00M,752.00M,795.00M,832.00M,838.00M,670.00M,725.00M,855.00M,870.00M,836.00M,769.00M,787.00M,966.00M,990.00M,904.00M,804.00M,808.00M,811.00M,716.00M,870.00M,860.00M,743.00M,866.00M,1.014B,1.124B,1.118B,1.133B,1.088B,1.072B,1.109B,848.00M,1.152B,1.119B,1.258B,768.00M,918.00M,974.00M,929.00M,1.212B,1.088B,1.08B,887.00M,730.00M,835.00M,899.00M,965.00M,806.00M,819.00M,747.00M,816.00M,731.00M,601.00M,525.00M,547.00M,546.00M,612.00M,540.00M,442.00M,509.00M,534.00M,434.00M,460.00M,559.19M,538.38M,445.37M,530.95M,479.36M,457.08M,328.78M,391.11M,508.20M,504.00M,419.80M,425.60M,522.80M,489.10M,366.60M,419.00M
Other Inventory,,,,,,,,,,,,,,,,,268.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inventories,494.00M,488.00M,433.00M,402.00M,483.00M,525.00M,475.00M,453.00M,522.00M,547.00M,512.00M,467.00M,527.00M,551.00M,515.00M,483.00M,538.00M,548.00M,500.00M,449.00M,524.00M,561.00M,491.00M,424.00M,526.00M,581.00M,511.00M,461.00M,570.00M,756.00M,686.00M,625.00M,712.00M,734.00M,654.00M,572.00M,707.00M,676.00M,635.00M,782.00M,857.00M,733.00M,657.00M,842.00M,956.00M,719.00M,556.00M,735.00M,757.00M,612.00M,489.00M,647.00M,710.00M,549.00M,423.00M,572.00M,840.00M,649.00M,563.00M,497.00M,605.00M,458.00M,412.00M,487.00M,476.00M,420.00M,354.00M,299.00M,280.00M,263.00M,258.00M,295.00M,276.63M,268.26M,204.36M,227.05M,249.33M,236.73M,224.00M,253.22M,257.90M,255.70M,242.50M,245.80M,238.40M,233.80M,232.90M,227.60M
Current Deferred Tax Assets,,,,,,,,,,,,,,,,,,225.00M,286.00M,331.00M,,301.00M,177.00M,95.00M,106.00M,43.00M,157.00M,80.00M,170.00M,,,,20.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
