Cash Flow - Operations (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03
Net Income,95.00M,366.00M,180.00M,193.00M,69.00M,359.00M,240.00M,153.00M,-59.00M,290.00M,194.00M,104.00M,33.00M,371.00M,148.00M,107.00M,31.00M,345.00M,99.00M,110.00M,47.00M,296.00M,151.00M,99.00M,49.00M,307.00M,106.00M,56.00M,10.00M,311.00M,162.00M,39.00M,-63.00M,287.00M,139.00M,74.00M,54.00M,-164.00M,155.00M,106.00M,82.00M,229.00M,168.00M,145.00M,63.00M,215.00M,217.00M,149.00M,108.00M,244.00M,143.00M,123.00M,61.00M,293.00M,123.00M,70.00M,20.00M,280.00M,185.00M,121.00M,83.00M,232.00M,118.00M,97.00M,38.00M,275.00M,110.00M,101.00M,-32.00M,240.00M,115.00M,59.00M,49.00M,266.88M,94.63M,58.49M,25.98M,256.14M,113.58M,61.39M,-5.60M,249.80M,86.54M,54.36M,26.30M,236.60M,83.70M,39.90M
Gain and Loss on Sale of PPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.00M,-1.00M,-11.00M,,-5.00M,0.00,-5.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gain (Loss) on Investment Securities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.00M,30.00M,-5.00M,-51.00M,42.00M,52.00M,-78.00M,-16.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Gains Losses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.00M,4.00M,-16.00M,,7.00M,-27.00M,-5.00M,,26.00M,30.00M,-5.00M,-51.00M,44.00M,52.00M,-78.00M,-18.00M,5.00M,5.00M,5.00M,13.00M,-76.00M,2.00M,7.00M,10.00M,-26.00M,3.00M,-5.00M,6.00M,-20.00M,-52.00M,28.00M,36.00M,-12.00M,-45.00M,-23.00M,-12.00M,88.00M,1.00M,-3.00M,-6.00M,2.00M,-19.21M,-3.453M,0.661M,31.30M,-5.546M,-5.813M,-3.149M,-4.90M,-4.40M,-6.469M,-6.531M,-5.70M,-5.60M,-6.70M,-5.50M
Depreciation Expense,280.00M,274.00M,259.00M,268.00M,263.00M,259.00M,257.00M,254.00M,228.00M,243.00M,240.00M,241.00M,235.00M,231.00M,223.00M,234.00M,221.00M,219.00M,216.00M,218.00M,195.00M,200.00M,196.00M,200.00M,191.00M,183.00M,177.00M,186.00M,187.00M,174.00M,178.00M,177.00M,,,,,,,,,-557.00M,168.00M,201.00M,188.00M,-528.00M,178.00M,170.00M,180.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amortization Expense CF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-40.00M,40.00M,,,-31.00M,11.00M,9.00M,11.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Depreciation and Amortization,280.00M,274.00M,259.00M,268.00M,263.00M,259.00M,257.00M,254.00M,228.00M,243.00M,240.00M,241.00M,235.00M,231.00M,223.00M,234.00M,221.00M,219.00M,216.00M,218.00M,195.00M,200.00M,196.00M,200.00M,191.00M,183.00M,177.00M,186.00M,187.00M,174.00M,178.00M,177.00M,105.00M,185.00M,186.00M,187.00M,212.00M,201.00M,197.00M,190.00M,151.00M,208.00M,201.00M,188.00M,146.00M,189.00M,179.00M,191.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total Depreciation, Amortization, Depletion",280.00M,274.00M,259.00M,268.00M,263.00M,259.00M,257.00M,254.00M,228.00M,243.00M,240.00M,241.00M,235.00M,231.00M,223.00M,234.00M,221.00M,219.00M,216.00M,218.00M,195.00M,200.00M,196.00M,200.00M,191.00M,183.00M,177.00M,186.00M,187.00M,174.00M,178.00M,177.00M,105.00M,185.00M,186.00M,187.00M,212.00M,201.00M,197.00M,190.00M,151.00M,208.00M,201.00M,188.00M,146.00M,189.00M,179.00M,191.00M,234.00M,175.00M,186.00M,196.00M,111.00M,182.00M,194.00M,169.00M,216.00M,160.00M,188.00M,135.00M,174.00M,147.00M,139.00M,141.00M,141.00M,144.00M,153.00M,124.00M,117.00M,119.00M,122.00M,111.00M,94.00M,122.59M,101.18M,104.23M,68.24M,102.82M,99.38M,99.35M,376.40M,-192.80M,95.36M,97.44M,,,,
Deferred Taxes,23.00M,90.00M,22.00M,32.00M,12.00M,131.00M,55.00M,26.00M,173.00M,191.00M,124.00M,51.00M,22.00M,230.00M,92.00M,42.00M,51.00M,202.00M,57.00M,59.00M,81.00M,192.00M,94.00M,84.00M,152.00M,188.00M,30.00M,40.00M,8.00M,139.00M,80.00M,30.00M,-40.00M,159.00M,159.00M,-16.00M,1.00M,234.00M,105.00M,70.00M,101.00M,224.00M,45.00M,32.00M,37.00M,23.00M,84.00M,23.00M,-46.00M,26.00M,4.00M,-12.00M,84.00M,26.00M,-27.00M,8.00M,-24.00M,17.00M,65.00M,1.00M,296.00M,54.00M,13.00M,-24.00M,-18.00M,39.00M,-12.00M,3.00M,63.00M,17.00M,-3.00M,-3.00M,14.00M,1.172M,19.62M,-6.794M,-10.28M,-7.52M,26.66M,-7.169M,-6.10M,-7.60M,-0.60M,-8.30M,-9.60M,-3.70M,-4.70M,-6.80M
