date,cash_dividend_payout_ratio
"Dec. 31, 2019",33.57%
"Sept. 30, 2019",26.51%
"June 30, 2019",21.64%
"March 31, 2019",20.91%
"Dec. 31, 2018",22.04%
"Sept. 30, 2018",26.66%
"June 30, 2018",42.00%
"March 31, 2018",51.94%
"Dec. 31, 2017",52.49%
"Sept. 30, 2017",66.07%
"June 30, 2017",54.55%
"March 31, 2017",72.30%
"Dec. 31, 2016",-268.9%
"Sept. 30, 2016",-128.4%
"June 30, 2016",-120.2%
"March 31, 2016",-117.3%
"Dec. 31, 2015",-147.9%
"Sept. 30, 2015",-104.8%
"June 30, 2015",-91.77%
"March 31, 2015",-84.81%
"Dec. 31, 2014",-683.1%
"Sept. 30, 2014",470.3%
"June 30, 2014",350.4%
"March 31, 2014",197.8%
"Dec. 31, 2013",552.0%
"Sept. 30, 2013",250.6%
"June 30, 2013",159.6%
"March 31, 2013",448.3%
"Dec. 31, 2012",-1.31K%
"Sept. 30, 2012",124.8%
"June 30, 2012",73.15%
"March 31, 2012",36.28%
"Dec. 31, 2011",43.07%
"Sept. 30, 2011",35.20%
"June 30, 2011",35.09%
"March 31, 2011",44.38%
"Dec. 31, 2010",33.39%
"Sept. 30, 2010",45.24%
"June 30, 2010",57.91%
"March 31, 2010",79.82%
"Dec. 31, 2009",175.0%
"Sept. 30, 2009",-44.70%
"June 30, 2009",-97.56%
"March 31, 2009",-387.9%
"Dec. 31, 2008",80.19%
"Sept. 30, 2008",23.34%
"June 30, 2008",23.52%
"March 31, 2008",22.65%
"Dec. 31, 2007",20.86%
"Sept. 30, 2007",23.07%
"June 30, 2007",24.11%
"March 31, 2007",25.41%
"Dec. 31, 2006",38.46%
"Sept. 30, 2006",35.25%
"June 30, 2006",33.47%
"March 31, 2006",44.38%
"Dec. 31, 2005",27.28%
"Sept. 30, 2005",56.79%
"June 30, 2005",46.03%
"March 31, 2005",31.08%
"Dec. 31, 2004",50.02%
"Sept. 30, 2004",27.35%
"June 30, 2004",55.75%
"March 31, 2004",57.45%
"Dec. 31, 2003",34.73%
"Sept. 30, 2003",35.42%
"June 30, 2003",27.99%
"March 31, 2003",33.10%
"Dec. 31, 2002",115.9%
"Sept. 30, 2002",-264.4%
"June 30, 2002",-125.7%
"March 31, 2002",-372.1%
"Dec. 31, 2001",74.22%
"Sept. 30, 2001",18.50%
"June 30, 2001",20.88%
"March 31, 2001",16.33%
"Dec. 31, 2000",17.33%
"Sept. 30, 2000",22.20%
"June 30, 2000",24.35%
"March 31, 2000",37.35%
"Dec. 31, 1999",137.1%
"Sept. 30, 1999",-71.88%
"June 30, 1999",-35.19%
"March 31, 1999",-41.37%
"Dec. 31, 1998",-83.65%
"Sept. 30, 1998",-128.5%
"June 30, 1998",241.2%
"March 31, 1998",214.4%
"Dec. 31, 1997",174.8%
"Sept. 30, 1997",46.09%
"June 30, 1997",43.31%
"March 31, 1997",81.22%
"Dec. 31, 1996",60.81%
"Sept. 30, 1996",300.0%
"June 30, 1996",5.33K%
"March 31, 1996",74.94%
"Dec. 31, 1995",223.6%
"Sept. 30, 1995",86.93%
"June 30, 1995",92.02%
"March 31, 1995",166.5%
"Dec. 31, 1994",598.0%
"Sept. 30, 1994",-1.05K%
"June 30, 1994",-1.04K%
"March 31, 1994",365.0%
"Dec. 31, 1993",317.4%
"Sept. 30, 1993",-679.1%
"June 30, 1993",-310.6%
"March 31, 1993",-606.2%
"Dec. 31, 1992",-119.3%
"Sept. 30, 1992",-71.32%
"June 30, 1992",-73.67%
"March 31, 1992",-43.78%
"Dec. 31, 1991",-81.97%
"Sept. 30, 1991",-116.0%
"June 30, 1991",-64.14%
"March 31, 1991",-97.45%
"Dec. 31, 1990",-91.76%
