date,one_year_return
"March 19, 2020",-62.00%
"March 18, 2020",-66.47%
"March 17, 2020",-61.16%
"March 16, 2020",-61.41%
"March 13, 2020",-53.41%
"March 12, 2020",-57.03%
"March 11, 2020",-50.57%
"March 10, 2020",-46.69%
"March 9, 2020",-47.93%
"March 6, 2020",-33.62%
"March 5, 2020",-30.88%
"March 4, 2020",-29.28%
"March 3, 2020",-30.19%
"March 2, 2020",-28.58%
"Feb. 28, 2020",-28.64%
"Feb. 27, 2020",-31.91%
"Feb. 26, 2020",-25.75%
"Feb. 25, 2020",-22.27%
"Feb. 24, 2020",-19.42%
"Feb. 21, 2020",-16.80%
"Feb. 20, 2020",-16.66%
"Feb. 19, 2020",-14.72%
"Feb. 18, 2020",-16.93%
"Feb. 14, 2020",-15.17%
"Feb. 13, 2020",-13.22%
"Feb. 12, 2020",-11.40%
"Feb. 11, 2020",-12.03%
"Feb. 10, 2020",-12.66%
"Feb. 7, 2020",-14.06%
"Feb. 6, 2020",-15.48%
"Feb. 5, 2020",-15.13%
"Feb. 4, 2020",-19.22%
"Feb. 3, 2020",-13.83%
"Jan. 31, 2020",-12.20%
"Jan. 30, 2020",-7.31%
"Jan. 29, 2020",-7.37%
"Jan. 28, 2020",-6.38%
"Jan. 27, 2020",-8.88%
"Jan. 24, 2020",-5.29%
"Jan. 23, 2020",-4.13%
"Jan. 22, 2020",-4.17%
"Jan. 21, 2020",-5.70%
"Jan. 17, 2020",-2.97%
"Jan. 16, 2020",-0.90%
"Jan. 15, 2020",-1.56%
"Jan. 14, 2020",-0.72%
"Jan. 13, 2020",-1.90%
"Jan. 10, 2020",-3.71%
"Jan. 9, 2020",-0.57%
"Jan. 8, 2020",0.96%
"Jan. 7, 2020",4.74%
"Jan. 6, 2020",4.28%
"Jan. 3, 2020",5.66%
"Jan. 2, 2020",3.28%
"Dec. 31, 2019",4.30%
"Dec. 30, 2019",4.77%
"Dec. 27, 2019",4.42%
"Dec. 26, 2019",5.69%
"Dec. 24, 2019",13.44%
"Dec. 23, 2019",8.03%
"Dec. 20, 2019",6.20%
"Dec. 19, 2019",3.12%
"Dec. 18, 2019",2.08%
"Dec. 17, 2019",0.63%
"Dec. 16, 2019",-2.68%
"Dec. 13, 2019",-5.19%
"Dec. 12, 2019",-4.11%
"Dec. 11, 2019",-5.75%
"Dec. 10, 2019",-5.28%
"Dec. 9, 2019",-6.19%
"Dec. 6, 2019",-6.97%
"Dec. 5, 2019",-10.58%
"Dec. 4, 2019",-9.40%
"Dec. 3, 2019",-14.79%
"Dec. 2, 2019",-8.78%
"Nov. 29, 2019",-10.36%
"Nov. 27, 2019",-7.57%
"Nov. 26, 2019",-7.09%
"Nov. 25, 2019",-4.31%
"Nov. 22, 2019",-8.52%
"Nov. 21, 2019",-8.05%
"Nov. 20, 2019",-7.24%
"Nov. 19, 2019",-13.95%
"Nov. 18, 2019",-14.25%
"Nov. 15, 2019",-10.67%
"Nov. 14, 2019",-10.71%
"Nov. 13, 2019",-9.67%
"Nov. 12, 2019",-10.61%
"Nov. 11, 2019",-11.72%
"Nov. 8, 2019",-11.58%
"Nov. 7, 2019",-14.98%
"Nov. 6, 2019",-17.08%
"Nov. 5, 2019",-15.24%
"Nov. 4, 2019",-14.50%
"Nov. 1, 2019",-17.86%
"Oct. 31, 2019",-21.03%
"Oct. 30, 2019",-20.83%
"Oct. 29, 2019",-15.23%
"Oct. 28, 2019",-18.69%
"Oct. 25, 2019",-17.16%
"Oct. 24, 2019",-14.51%
"Oct. 23, 2019",-18.74%
"Oct. 22, 2019",-21.53%
"Oct. 21, 2019",-22.80%
"Oct. 18, 2019",-25.68%
