date,revenues_growth
"Dec. 31, 2019",-20.26%
"Sept. 30, 2019",-17.92%
"June 30, 2019",-6.48%
"March 31, 2019",4.00%
"Dec. 31, 2018",19.05%
"Sept. 30, 2018",41.28%
"June 30, 2018",25.41%
"March 31, 2018",17.03%
"Dec. 31, 2017",19.24%
"Sept. 30, 2017",4.26%
"June 30, 2017",26.80%
"March 31, 2017",46.81%
"Dec. 31, 2016",8.20%
"Sept. 30, 2016",-11.66%
"June 30, 2016",-35.51%
"March 31, 2016",-33.63%
"Dec. 31, 2015",-43.85%
"Sept. 30, 2015",-39.88%
"June 30, 2015",-40.00%
"March 31, 2015",-49.94%
"Dec. 31, 2014",-15.44%
"Sept. 30, 2014",-11.46%
"June 30, 2014",3.53%
"March 31, 2014",8.82%
"Dec. 31, 2013",-14.87%
"Sept. 30, 2013",-3.52%
"June 30, 2013",-2.30%
"March 31, 2013",-2.93%
"Dec. 31, 2012",9.84%
"Sept. 30, 2012",-12.99%
"June 30, 2012",-20.99%
"March 31, 2012",-74.50%
"Dec. 31, 2011",
"Sept. 30, 2011",-66.52%
"June 30, 2011",-64.74%
"March 31, 2011",27.48%
"Dec. 31, 2010",
"Sept. 30, 2010",20.84%
"June 30, 2010",38.34%
"March 31, 2010",43.72%
"Dec. 31, 2009",8.63%
"Sept. 30, 2009",-43.71%
"June 30, 2009",-51.67%
"March 31, 2009",-44.76%
"Dec. 31, 2008",-27.14%
"Sept. 30, 2008",48.90%
"June 30, 2008",48.50%
"March 31, 2008",36.86%
"Dec. 31, 2007",27.65%
"Sept. 30, 2007",-3.33%
"June 30, 2007",1.90%
"March 31, 2007",-13.79%
"Dec. 31, 2006",-18.47%
"Sept. 30, 2006",-0.15%
"June 30, 2006",13.76%
"March 31, 2006",23.15%
"Dec. 31, 2005",48.64%
"Sept. 30, 2005",64.05%
"June 30, 2005",33.64%
"March 31, 2005",28.80%
"Dec. 31, 2004",-2.71%
"Sept. 30, 2004",32.11%
"June 30, 2004",24.68%
"March 31, 2004",11.63%
"Dec. 31, 2003",35.28%
"Sept. 30, 2003",73.97%
"June 30, 2003",144.4%
"March 31, 2003",219.2%
"Dec. 31, 2002",169.0%
"Sept. 30, 2002",142.2%
"June 30, 2002",92.80%
"March 31, 2002",72.92%
"Dec. 31, 2001",39.37%
"Sept. 30, 2001",4.10%
"June 30, 2001",-0.11%
"March 31, 2001",2.85%
"Dec. 31, 2000",64.90%
"Sept. 30, 2000",38.63%
"June 30, 2000",68.18%
"March 31, 2000",87.79%
"Dec. 31, 1999",61.05%
"Sept. 30, 1999",29.39%
"June 30, 1999",7.70%
"March 31, 1999",-21.97%
"Dec. 31, 1998",-29.00%
"Sept. 30, 1998",-25.21%
"June 30, 1998",-20.28%
"March 31, 1998",-18.53%
"Dec. 31, 1997",-12.95%
"Sept. 30, 1997",-0.05%
"June 30, 1997",-5.33%
"March 31, 1997",10.88%
"Dec. 31, 1996",29.50%
"Sept. 30, 1996",14.11%
"June 30, 1996",9.32%
"March 31, 1996",15.30%
"Dec. 31, 1995",9.06%
"Sept. 30, 1995",2.03%
"June 30, 1995",20.08%
"March 31, 1995",6.84%
"Dec. 31, 1994",2.61%
"Sept. 30, 1994",4.86%
"June 30, 1994",-7.68%
"March 31, 1994",-5.16%
"Dec. 31, 1993",-5.29%
"Sept. 30, 1993",1.85%
"June 30, 1993",6.15%
"March 31, 1993",11.74%
"Dec. 31, 1992",-6.38%
"Sept. 30, 1992",0.80%
"June 30, 1992",-5.04%
"March 31, 1992",-21.71%
"Dec. 31, 1991",-24.00%
"Sept. 30, 1991",-9.25%
"June 30, 1991",9.19%
"March 31, 1991",12.52%
"Dec. 31, 1990",41.04%
"Sept. 30, 1990",13.07%
"June 30, 1990",-9.67%
"March 31, 1990",0.97%
"Dec. 31, 1989",10.00%
"Sept. 30, 1989",6.32%
"June 30, 1989",14.51%
"March 31, 1989",6.97%
"Dec. 31, 1988",4.53%
"Sept. 30, 1988",3.11%
"June 30, 1988",10.43%
"March 31, 1988",16.42%
"Dec. 31, 1987",27.49%
"Sept. 30, 1987",26.21%
"June 30, 1987",11.54%
"March 31, 1987",-19.98%
"Dec. 31, 1986",-42.60%
"Sept. 30, 1986",-45.08%
"June 30, 1986",-40.92%
"March 31, 1986",-21.93%
"Dec. 31, 1985",6.34%
"Sept. 30, 1985",3.04%
"June 30, 1985",-2.34%
"March 31, 1985",0.69%
