date,three_year_return
"March 19, 2020",-43.99%
"March 18, 2020",-50.38%
"March 17, 2020",-42.55%
"March 16, 2020",-43.11%
"March 13, 2020",-31.54%
"March 12, 2020",-38.25%
"March 11, 2020",-28.71%
"March 10, 2020",-23.63%
"March 9, 2020",-26.70%
"March 6, 2020",-6.19%
"March 5, 2020",-0.25%
"March 4, 2020",3.37%
"March 3, 2020",0.63%
"March 2, 2020",2.12%
"Feb. 28, 2020",1.79%
"Feb. 27, 2020",-0.49%
"Feb. 26, 2020",8.78%
"Feb. 25, 2020",14.43%
"Feb. 24, 2020",19.86%
"Feb. 21, 2020",21.42%
"Feb. 20, 2020",23.93%
"Feb. 19, 2020",24.73%
"Feb. 18, 2020",22.71%
"Feb. 14, 2020",16.91%
"Feb. 13, 2020",18.35%
"Feb. 12, 2020",19.19%
"Feb. 11, 2020",17.09%
"Feb. 10, 2020",15.42%
"Feb. 7, 2020",17.34%
"Feb. 6, 2020",16.61%
"Feb. 5, 2020",16.56%
"Feb. 4, 2020",12.02%
"Feb. 3, 2020",17.35%
"Jan. 31, 2020",21.88%
"Jan. 30, 2020",28.24%
"Jan. 29, 2020",22.38%
"Jan. 28, 2020",23.77%
"Jan. 27, 2020",23.49%
"Jan. 24, 2020",24.57%
"Jan. 23, 2020",26.43%
"Jan. 22, 2020",24.21%
"Jan. 21, 2020",26.22%
"Jan. 17, 2020",29.75%
"Jan. 16, 2020",28.62%
"Jan. 15, 2020",28.48%
"Jan. 14, 2020",28.76%
"Jan. 13, 2020",28.74%
"Jan. 10, 2020",31.74%
"Jan. 9, 2020",33.04%
"Jan. 8, 2020",27.99%
"Jan. 7, 2020",31.02%
"Jan. 6, 2020",31.02%
"Jan. 3, 2020",29.82%
"Jan. 2, 2020",30.55%
"Dec. 31, 2019",29.70%
"Dec. 30, 2019",28.86%
"Dec. 27, 2019",25.93%
"Dec. 26, 2019",26.53%
"Dec. 24, 2019",25.89%
"Dec. 23, 2019",25.75%
"Dec. 20, 2019",23.61%
"Dec. 19, 2019",21.57%
"Dec. 18, 2019",21.68%
"Dec. 17, 2019",22.30%
"Dec. 16, 2019",20.95%
"Dec. 13, 2019",19.11%
"Dec. 12, 2019",21.82%
"Dec. 11, 2019",21.49%
"Dec. 10, 2019",21.65%
"Dec. 9, 2019",21.78%
"Dec. 6, 2019",24.19%
"Dec. 5, 2019",22.42%
"Dec. 4, 2019",26.00%
"Dec. 3, 2019",22.38%
"Dec. 2, 2019",25.46%
"Nov. 29, 2019",35.52%
"Nov. 27, 2019",31.89%
"Nov. 26, 2019",31.39%
"Nov. 25, 2019",33.44%
"Nov. 22, 2019",30.02%
"Nov. 21, 2019",29.87%
"Nov. 20, 2019",32.62%
"Nov. 19, 2019",27.73%
"Nov. 18, 2019",26.68%
"Nov. 15, 2019",28.64%
"Nov. 14, 2019",29.73%
"Nov. 13, 2019",31.00%
"Nov. 12, 2019",32.52%
"Nov. 11, 2019",34.07%
"Nov. 8, 2019",33.45%
"Nov. 7, 2019",35.56%
"Nov. 6, 2019",34.78%
"Nov. 5, 2019",36.83%
"Nov. 4, 2019",35.64%
"Nov. 1, 2019",31.26%
"Oct. 31, 2019",27.04%
"Oct. 30, 2019",22.39%
"Oct. 29, 2019",26.95%
"Oct. 28, 2019",23.82%
"Oct. 25, 2019",34.78%
"Oct. 24, 2019",32.95%
"Oct. 23, 2019",35.41%
"Oct. 22, 2019",36.11%
"Oct. 21, 2019",34.71%
"Oct. 18, 2019",32.72%
"Oct. 17, 2019",32.68%
"Oct. 16, 2019",31.05%
"Oct. 15, 2019",34.27%
"Oct. 14, 2019",34.70%
"Oct. 11, 2019",30.23%
"Oct. 10, 2019",25.88%
"Oct. 9, 2019",24.24%
"Oct. 8, 2019",21.89%
"Oct. 7, 2019",23.47%
"Oct. 4, 2019",24.80%
"Oct. 3, 2019",23.56%
"Oct. 2, 2019",22.08%
"Oct. 1, 2019",26.87%
"Sept. 30, 2019",31.08%
"Sept. 27, 2019",46.84%
"Sept. 26, 2019",44.13%
"Sept. 25, 2019",48.92%
"Sept. 24, 2019",48.47%
"Sept. 23, 2019",50.68%
"Sept. 20, 2019",55.91%
"Sept. 19, 2019",52.67%
"Sept. 18, 2019",50.51%
"Sept. 17, 2019",53.55%
"Sept. 16, 2019",56.83%
"Sept. 13, 2019",39.82%
"Sept. 12, 2019",32.06%
"Sept. 11, 2019",35.38%
"Sept. 10, 2019",33.30%
"Sept. 9, 2019",30.11%
"Sept. 6, 2019",30.80%
"Sept. 5, 2019",30.60%
"Sept. 4, 2019",30.25%
"Sept. 3, 2019",27.18%
"Aug. 30, 2019",23.56%
"Aug. 29, 2019",23.47%
"Aug. 28, 2019",22.81%
"Aug. 27, 2019",20.52%
"Aug. 26, 2019",21.44%
"Aug. 23, 2019",16.66%
"Aug. 22, 2019",22.59%
"Aug. 21, 2019",21.49%
"Aug. 20, 2019",21.68%
"Aug. 19, 2019",24.52%
"Aug. 16, 2019",20.09%
"Aug. 15, 2019",20.70%
"Aug. 14, 2019",25.16%
"Aug. 13, 2019",30.22%
"Aug. 12, 2019",28.40%
"Aug. 9, 2019",30.97%
"Aug. 8, 2019",32.51%
"Aug. 7, 2019",31.33%
"Aug. 6, 2019",33.57%
"Aug. 5, 2019",34.68%
"Aug. 2, 2019",41.92%
"Aug. 1, 2019",48.45%
"July 31, 2019",44.73%
"July 30, 2019",45.79%
"July 29, 2019",42.55%
"July 26, 2019",44.03%
"July 25, 2019",46.72%
"July 24, 2019",47.40%
"July 23, 2019",47.89%
"July 22, 2019",48.28%
"July 19, 2019",43.95%
"July 18, 2019",41.23%
"July 17, 2019",39.22%
"July 16, 2019",39.15%
"July 15, 2019",41.24%
"July 12, 2019",41.00%
"July 11, 2019",44.78%
"July 10, 2019",44.70%
"July 9, 2019",41.58%
"July 8, 2019",41.58%
"July 5, 2019",43.65%
