Assets (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03,1993-12,1993-09,1993-06,1993-03,1992-12,1992-09,1992-06,1992-03,1991-12,1991-09,1991-06,1991-03,1990-12,1990-09,1990-06,1990-03,1989-12,1989-09,1989-06,1988-12,1987-12,1986-12,1985-12,1984-12
Cash,280.00M,312.00M,319.00M,337.00M,275.00M,303.00M,293.00M,297.00M,295.00M,340.00M,386.00M,374.00M,322.00M,381.00M,446.00M,495.00M,390.00M,1.016B,952.00M,1.048B,994.00M,1.178B,1.21B,1.259B,1.14B,717.00M,604.00M,606.00M,480.00M,508.00M,371.00M,375.00M,283.00M,304.00M,318.00M,286.00M,168.00M,202.00M,197.00M,189.00M,153.00M,171.00M,191.00M,187.00M,191.00M,273.00M,287.00M,203.00M,148.00M,161.00M,215.00M,145.00M,121.00M,114.00M,167.00M,144.00M,138.00M,127.00M,166.00M,148.00M,120.00M,117.00M,196.00M,152.00M,120.00M,158.00M,157.00M,157.00M,,123.00M,195.00M,134.00M,102.00M,69.00M,265.00M,172.00M,89.00M,171.00M,128.00M,76.00M,85.00M,,,,87.00M,,,,,,,,,,,,82.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash and Equivalents,280.00M,312.00M,319.00M,337.00M,275.00M,303.00M,293.00M,297.00M,295.00M,340.00M,386.00M,374.00M,322.00M,381.00M,446.00M,495.00M,390.00M,1.016B,952.00M,1.048B,994.00M,1.178B,1.21B,1.259B,1.14B,717.00M,604.00M,606.00M,480.00M,508.00M,371.00M,375.00M,283.00M,304.00M,318.00M,286.00M,168.00M,202.00M,197.00M,189.00M,153.00M,171.00M,191.00M,187.00M,191.00M,273.00M,287.00M,203.00M,148.00M,161.00M,215.00M,145.00M,121.00M,114.00M,167.00M,144.00M,138.00M,127.00M,166.00M,148.00M,120.00M,117.00M,196.00M,152.00M,120.00M,158.00M,157.00M,157.00M,104.00M,123.00M,195.00M,134.00M,102.00M,69.00M,265.00M,172.00M,89.00M,171.00M,128.00M,76.00M,85.00M,96.00M,79.00M,62.00M,87.00M,72.00M,108.00M,124.00M,62.00M,27.00M,22.00M,89.00M,68.00M,39.00M,80.00M,38.00M,82.00M,108.00M,89.00M,61.00M,23.00M,31.00M,65.00M,75.00M,63.00M,131.00M,80.00M,78.00M,45.00M,49.00M,74.00M,80.00M,94.00M,133.40M,209.60M,118.50M,113.50M,229.40M,128.60M,147.80M,120.30M,106.50M,68.90M,1.287B,1.012B,1.083B,1.357B,1.354B
Short Term Investments,3.546B,4.856B,5.234B,4.157B,4.485B,4.695B,4.381B,4.994B,4.771B,5.428B,6.50B,6.302B,6.037B,6.374B,6.672B,6.435B,5.864B,7.857B,7.967B,8.125B,6.309B,6.721B,8.249B,8.405B,8.111B,6.046B,5.606B,3.638B,3.412B,3.718B,4.609B,4.444B,3.718B,3.992B,4.858B,5.513B,4.328B,4.355B,4.887B,4.357B,4.246B,3.941B,2.617B,2.677B,2.916B,4.348B,4.782B,4.316B,4.387B,5.229B,5.685B,5.238B,4.594B,4.94B,4.986B,4.124B,3.676B,3.285B,3.233B,2.912B,2.809B,3.018B,3.168B,3.074B,2.486B,2.566B,1.67B,1.115B,1.846B,2.707B,2.368B,2.181B,2.386B,2.271B,1.222B,1.386B,2.144B,2.163B,2.269B,1.893B,1.706B,1.869B,1.486B,1.121B,1.448B,2.18B,2.124B,2.057B,2.37B,2.891B,2.177B,1.657B,1.743B,1.309B,808.00M,796.00M,819.00M,1.082B,810.00M,484.00M,754.00M,1.026B,568.00M,669.00M,,,,,,,,,,,,,,,,,,,,,,,,
Cash and Short Term Investments,3.826B,5.168B,5.553B,4.494B,4.76B,4.998B,4.674B,5.291B,5.066B,5.768B,6.886B,6.676B,6.359B,6.755B,7.118B,6.93B,6.254B,8.873B,8.919B,9.173B,7.303B,7.899B,9.459B,9.664B,9.251B,6.763B,6.21B,4.244B,3.892B,4.226B,4.98B,4.819B,4.001B,4.296B,5.176B,5.799B,4.496B,4.557B,5.084B,4.546B,4.399B,4.112B,2.808B,2.864B,3.107B,4.621B,5.069B,4.519B,4.535B,5.39B,5.90B,5.383B,4.715B,5.054B,5.153B,4.268B,3.814B,3.412B,3.399B,3.06B,2.929B,3.135B,3.364B,3.226B,2.606B,2.724B,1.827B,1.272B,1.95B,2.83B,2.563B,2.315B,2.488B,2.34B,1.487B,1.558B,2.233B,2.334B,2.397B,1.969B,1.791B,1.965B,1.565B,1.183B,1.535B,2.252B,2.232B,2.181B,2.432B,2.918B,2.199B,1.746B,1.811B,1.348B,888.00M,834.00M,901.00M,1.19B,899.00M,545.00M,777.00M,1.057B,633.00M,744.00M,63.00M,131.00M,80.00M,78.00M,45.00M,49.00M,74.00M,80.00M,94.00M,133.40M,209.60M,118.50M,113.50M,229.40M,128.60M,147.80M,120.30M,106.50M,68.90M,1.287B,1.012B,1.083B,1.357B,1.354B
Accounts Receivable,1.75B,1.85B,1.943B,1.876B,1.706B,2.17B,1.941B,1.809B,1.752B,1.70B,1.543B,1.397B,1.594B,1.703B,1.593B,1.45B,1.425B,1.828B,1.892B,1.826B,1.771B,1.961B,1.981B,2.008B,1.56B,1.34B,1.376B,1.243B,1.124B,,,,902.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Receivables,1.75B,1.85B,1.943B,1.876B,1.706B,2.17B,1.941B,1.809B,1.752B,1.70B,1.543B,1.397B,1.594B,1.703B,1.593B,1.45B,1.425B,1.828B,1.892B,1.826B,1.771B,1.961B,1.981B,2.008B,1.56B,1.34B,1.376B,1.243B,1.124B,1.16B,1.129B,1.056B,902.00M,925.00M,945.00M,922.00M,738.00M,889.00M,910.00M,842.00M,768.00M,814.00M,780.00M,785.00M,811.00M,1.104B,1.166B,1.109B,1.027B,1.166B,1.219B,1.124B,988.00M,1.16B,1.121B,1.073B,991.00M,1.111B,1.052B,1.033B,836.00M,903.00M,919.00M,965.00M,796.00M,936.00M,924.00M,924.00M,1.481B,1.563B,1.556B,1.839B,1.162B,1.829B,1.67B,1.383B,1.303B,1.496B,1.447B,1.493B,1.134B,1.742B,1.689B,1.704B,1.225B,1.732B,1.753B,1.596B,1.301B,1.546B,1.524B,1.493B,1.382B,1.439B,1.496B,1.378B,1.153B,1.56B,1.458B,1.483B,1.206B,1.114B,1.04B,1.056B,910.00M,951.00M,1.064B,1.128B,947.00M,1.015B,884.00M,1.036B,803.00M,962.80M,1.217B,1.089B,951.40M,1.224B,1.186B,1.126B,886.10M,1.056B,1.065B,833.60M,729.20M,690.30M,631.60M,587.30M
Inventories,1.851B,1.80B,1.708B,1.666B,1.522B,1.576B,1.522B,1.455B,1.359B,1.315B,1.206B,1.154B,1.094B,1.10B,999.00M,886.00M,863.00M,1.01B,1.069B,995.00M,1.004B,1.182B,1.093B,1.052B,1.012B,681.00M,589.00M,595.00M,580.00M,596.00M,593.00M,619.00M,617.00M,631.00M,641.00M,595.00M,594.00M,575.00M,569.00M,552.00M,557.00M,546.00M,535.00M,494.00M,525.00M,670.00M,702.00M,637.00M,601.00M,556.00M,532.00M,503.00M,506.00M,506.00M,510.00M,494.00M,515.00M,540.00M,488.00M,489.00M,488.00M,519.00M,505.00M,490.00M,516.00M,527.00M,557.00M,618.00M,627.00M,648.00M,743.00M,758.00M,822.00M,871.00M,883.00M,727.00M,757.00M,730.00M,713.00M,717.00M,708.00M,703.00M,657.00M,639.00M,596.00M,609.00M,651.00M,636.00M,626.00M,629.00M,613.00M,611.00M,633.00M,623.00M,605.00M,606.00M,589.00M,614.00M,615.00M,610.00M,678.00M,675.00M,680.00M,700.00M,688.00M,692.00M,707.00M,706.00M,685.00M,686.00M,669.00M,658.00M,620.00M,625.80M,625.00M,603.90M,608.50M,594.40M,563.20M,519.40M,490.40M,451.70M,438.40M,375.10M,299.40M,262.50M,224.60M,197.50M
Prepaid Expenses,621.00M,596.00M,635.00M,607.00M,495.00M,743.00M,856.00M,824.00M,651.00M,826.00M,827.00M,856.00M,639.00M,855.00M,834.00M,845.00M,748.00M,1.285B,1.482B,1.378B,898.00M,1.533B,1.551B,1.522B,1.465B,,,,626.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,304.00M,,,,,,,,,,,,268.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Restricted Cash,158.00M,158.00M,11.00M,11.00M,154.00M,11.00M,183.00M,294.00M,318.00M,393.00M,554.00M,543.00M,638.00M,635.00M,640.00M,691.00M,695.00M,710.00M,747.00M,757.00M,774.00M,875.00M,882.00M,947.00M,1.035B,935.00M,863.00M,853.00M,850.00M,847.00M,772.00M,771.00M,738.00M,474.00M,457.00M,455.00M,450.00M,447.00M,461.00M,460.00M,460.00M,459.00M,460.00M,462.00M,459.00M,456.00M,434.00M,426.00M,428.00M,,,,468.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Deferred Tax Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,792.00M,792.00M,793.00M,790.00M,693.00M,695.00M,694.00M,695.00M,612.00M,612.00M,612.00M,612.00M,476.00M,477.00M,476.00M,443.00M,404.00M,406.00M,406.00M,406.00M,403.00M,404.00M,404.00M,404.00M,358.00M,358.00M,358.00M,357.00M,,,,325.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,
