Cash Flow - Operations (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03,1993-12,1993-09,1993-06,1993-03,1992-12,1992-09,1992-06,1992-03,1991-12,1991-09,1991-06,1991-03,1990-12,1990-09,1990-06,1990-03
Net Income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-600.00M,-153.00M,58.00M,-162.00M,-761.00M,160.00M,-160.00M,,-111.00M,-1.117B,,,-529.00M,-1.912B,-495.00M,-575.00M,-798.00M,-414.00M,-507.00M,-43.00M,61.00M,322.00M,321.00M,132.00M,280.00M,279.00M,268.00M,158.00M,-18.00M,433.00M,409.00M,290.00M,208.00M,323.00M,302.00M,152.00M,373.00M,282.00M,293.00M,157.00M,-269.00M,235.00M,192.00M,38.00M,-123.00M,205.00M,153.00M,-7.00M,-260.00M,125.00M,47.00M,-22.00M,-244.00M,-85.00M,-166.00M,20.00M,-125.00M,70.30M,10.30M,-195.60M,-215.10M,65.60M,129.20M,-19.30M
Depreciation Expense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.122B,-665.00M,352.00M,313.00M,39.00M,307.00M,294.00M,288.00M,67.00M,276.00M,268.00M,253.00M,-136.00M,328.00M,320.00M,318.00M,121.00M,297.00M,310.00M,312.00M,286.00M,302.00M,297.00M,300.00M,312.00M,314.00M,318.00M,315.00M,315.00M,298.00M,320.00M,320.00M,334.00M,293.00M,304.00M,292.00M,275.00M,263.00M,259.00M,244.00M,244.90M,224.80M,211.80M,201.50M,199.50M,186.10M,173.50M,164.00M
Total Depreciation and Amortization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.404B,-665.00M,352.00M,313.00M,313.00M,307.00M,294.00M,288.00M,295.00M,276.00M,268.00M,253.00M,74.00M,328.00M,320.00M,318.00M,121.00M,297.00M,310.00M,312.00M,286.00M,302.00M,297.00M,300.00M,312.00M,314.00M,318.00M,315.00M,315.00M,298.00M,320.00M,320.00M,334.00M,293.00M,304.00M,292.00M,275.00M,263.00M,259.00M,244.00M,244.90M,224.80M,211.80M,201.50M,199.50M,186.10M,173.50M,164.00M
"Total Depreciation, Amortization, Depletion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296.00M,292.00M,286.00M,290.00M,1.292B,-646.00M,646.00M,,350.00M,1.027B,,,347.00M,340.00M,338.00M,341.00M,371.00M,368.00M,352.00M,313.00M,313.00M,307.00M,294.00M,288.00M,295.00M,276.00M,268.00M,253.00M,74.00M,328.00M,320.00M,318.00M,121.00M,297.00M,310.00M,312.00M,286.00M,302.00M,297.00M,300.00M,312.00M,314.00M,318.00M,315.00M,315.00M,298.00M,320.00M,320.00M,334.00M,293.00M,304.00M,292.00M,275.00M,263.00M,259.00M,244.00M,244.90M,224.80M,211.80M,201.50M,199.50M,186.10M,173.50M,164.00M
Other Noncash Items,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-707.00M,292.00M,286.00M,290.00M,10.00M,-646.00M,646.00M,,-1.067B,1.027B,,,1.786B,-816.00M,1.494B,341.00M,-965.00M,-1.067B,1.474B,626.00M,-1.777B,614.00M,588.00M,576.00M,-1.398B,552.00M,536.00M,506.00M,-1.581B,656.00M,640.00M,636.00M,369.00M,594.00M,620.00M,624.00M,559.00M,604.00M,594.00M,600.00M,-2.073B,628.00M,636.00M,630.00M,667.00M,596.00M,640.00M,640.00M,668.00M,586.00M,608.00M,584.00M,550.00M,526.00M,518.00M,488.00M,489.80M,449.60M,423.60M,403.00M,399.00M,372.20M,347.00M,328.00M
Change in Other Current Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-298.00M,106.00M,260.00M,-14.00M,258.00M,-77.00M,385.00M,-107.00M,-47.20M,132.60M,246.10M,-305.50M,104.40M,208.10M,180.60M,-220.40M
Change in Other Working Cap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.289B,121.00M,541.00M,627.00M,,-893.00M,893.00M,,-1.465B,1.71B,,,-2.51B,2.51B,-128.00M,128.00M,-2.105B,2.27B,251.00M,-251.00M,-1.068B,294.00M,673.00M,101.00M,-349.00M,175.00M,428.00M,-259.00M,-473.00M,513.00M,68.00M,-108.00M,-686.00M,703.00M,215.00M,-232.00M,-357.00M,276.00M,213.00M,-132.00M,-506.00M,262.00M,344.00M,-100.00M,-383.00M,177.00M,317.00M,-111.00M,,,,,,,,,,,,,,,,
Changes in Working Capital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-629.00M,121.00M,541.00M,627.00M,301.00M,-893.00M,893.00M,,-733.00M,1.71B,,,-2.526B,2.51B,-128.00M,128.00M,-1.921B,2.27B,251.00M,-251.00M,-331.00M,294.00M,673.00M,101.00M,-97.00M,175.00M,428.00M,-259.00M,-230.00M,513.00M,68.00M,-108.00M,-436.00M,703.00M,215.00M,-232.00M,36.00M,276.00M,213.00M,-132.00M,-192.00M,262.00M,344.00M,-100.00M,-740.00M,177.00M,317.00M,-111.00M,-254.00M,106.00M,260.00M,-14.00M,12.00M,-77.00M,385.00M,-107.00M,60.80M,132.60M,246.10M,-305.50M,-46.00M,208.10M,180.60M,-220.40M
Cash from Operations,600.00M,828.00M,736.00M,1.651B,716.00M,-77.00M,1.094B,1.80B,437.00M,369.00M,1.688B,2.25B,627.00M,1.064B,2.213B,2.62B,228.00M,1.18B,2.347B,2.494B,804.00M,-361.00M,1.381B,1.256B,-1.212B,17.00M,1.17B,700.00M,-282.00M,-155.00M,655.00M,1.067B,397.00M,-307.00M,-55.00M,708.00M,151.00M,-83.00M,717.00M,456.00M,4.00M,-12.00M,479.00M,459.00M,-1.364B,-1.184B,705.00M,449.00M,-10.00M,202.00M,841.00M,902.00M,210.00M,118.00M,822.00M,789.00M,-8.00M,-32.00M,599.00M,465.00M,-86.00M,70.00M,362.00M,371.00M,8.00M,425.00M,705.00M,-537.00M,-639.00M,-558.00M,533.00M,-447.00M,-764.00M,421.00M,866.00M,19.00M,410.00M,923.00M,1.288B,521.00M,418.00M,730.00M,964.00M,152.00M,226.00M,1.274B,797.00M,500.00M,141.00M,1.323B,827.00M,232.00M,700.00M,860.00M,803.00M,325.00M,267.00M,811.00M,854.00M,253.00M,-63.00M,680.00M,790.00M,202.00M,-14.00M,524.00M,611.00M,256.00M,107.00M,101.00M,478.00M,157.00M,147.70M,427.70M,468.20M,-299.60M,-181.60M,459.80M,483.30M,-75.70M
