Income (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03,1993-12,1993-09,1993-06,1993-03,1992-12,1992-09,1992-06,1992-03,1991-12,1991-09,1991-06,1991-03,1990-12,1990-09,1990-06,1990-03,1989-12,1989-09,1989-06,1989-03,1988-12,1988-09,1988-06,1988-03,1987-12,1987-09,1987-06,1987-03,1986-12,1986-09,1986-06,1986-03,1985-12,1985-09,1985-06,1985-03,1984-12,1984-09,1984-06,1984-03
Operating Revenue,6.103B,6.94B,5.873B,6.163B,6.115B,6.628B,5.643B,6.135B,5.799B,6.482B,5.555B,5.729B,5.577B,6.576B,5.213B,5.377B,4.234B,6.483B,5.589B,6.065B,4.143B,6.395B,5.708B,6.263B,5.624B,6.217B,5.879B,5.898B,3.983B,6.722B,3.577B,3.63B,3.368B,3.964B,3.534B,3.663B,3.445B,3.946B,3.287B,3.594B,3.11B,3.396B,2.913B,3.312B,3.133B,3.508B,3.229B,3.337B,3.031B,3.688B,2.966B,3.035B,2.805B,3.279B,2.903B,1.62B,-6.724B,3.028B,5.274B,5.328B,5.542B,5.081B,5.316B,5.636B,5.24B,5.549B,5.152B,6.172B,4.953B,3.982B,3.617B,3.308B,3.739B,4.729B,15.58B,16.49B,-18.16B,15.28B,10.93B,7.236B,6.221B,6.694B,4.691B,4.178B,4.235B,5.298B,4.014B,4.115B,4.590B,4.821B,3.113B,3.786B,3.751B,3.133B,2.559B,1.162B,6.151B,1.38B,1.052B,1.111B,1.034B,1.272B,1.083B,1.099B,996.90M,1.29B,987.20M,1.008B,941.40M,1.140B,899.30M,981.30M,940.30M,1.096B,893.60M,886.60M,850.80M,1.105B,870.30M,855.40M,887.50M,1.011B,877.30M,863.20M,850.10M,1.030B,830.00M,917.40M,898.70M,1.037B,857.80M,912.60M,842.90M,940.60M,784.00M,833.40M,718.00M,751.20M,678.30M,751.40M,680.20M,729.00M,629.50M,671.30M
Revenue,6.103B,6.94B,5.873B,6.163B,6.115B,6.628B,5.643B,6.135B,5.799B,6.482B,5.555B,5.729B,5.577B,6.576B,5.213B,5.377B,4.234B,6.483B,5.589B,6.065B,4.143B,6.395B,5.708B,6.263B,5.624B,6.217B,5.879B,5.898B,3.983B,6.722B,3.577B,3.63B,3.368B,3.964B,3.534B,3.663B,3.445B,3.946B,3.287B,3.594B,3.11B,3.396B,2.913B,3.312B,3.133B,3.508B,3.229B,3.337B,3.031B,3.688B,2.966B,3.035B,2.805B,3.279B,2.903B,1.62B,-6.724B,3.028B,5.274B,5.328B,5.542B,5.081B,5.316B,5.636B,5.24B,5.549B,5.152B,6.172B,4.953B,3.982B,3.617B,3.308B,3.739B,4.729B,15.58B,16.49B,-18.16B,15.28B,10.93B,7.236B,6.221B,6.694B,4.691B,4.178B,4.235B,5.298B,4.014B,4.115B,4.590B,4.821B,3.113B,3.786B,3.751B,3.133B,2.559B,1.162B,6.151B,1.38B,1.052B,1.111B,1.034B,1.272B,1.083B,1.099B,996.90M,1.29B,987.20M,1.008B,941.40M,1.140B,899.30M,981.30M,940.30M,1.096B,893.60M,886.60M,850.80M,1.105B,870.30M,855.40M,887.50M,1.011B,877.30M,863.20M,850.10M,1.030B,830.00M,917.40M,898.70M,1.037B,857.80M,912.60M,842.90M,940.60M,784.00M,833.40M,718.00M,751.20M,678.30M,751.40M,680.20M,729.00M,629.50M,671.30M
Cost of Goods Sold,3.503B,3.51B,3.151B,3.355B,3.758B,3.573B,3.207B,3.453B,3.286B,3.407B,3.058B,3.175B,3.683B,3.497B,2.881B,3.053B,2.545B,3.621B,3.287B,3.582B,2.638B,3.716B,3.368B,3.701B,3.373B,3.563B,3.672B,3.682B,2.613B,4.40B,2.149B,2.073B,4.903B,1.388B,1.285B,1.339B,4.985B,1.361B,1.117B,1.287B,1.104B,1.138B,983.00M,1.219B,1.252B,1.411B,1.126B,1.231B,1.043B,1.329B,1.051B,1.08B,1.076B,1.164B,1.083B,388.00M,-5.32B,804.00M,3.005B,3.099B,3.139B,2.811B,3.163B,3.553B,3.004B,3.444B,3.033B,4.04B,3.023B,1.788B,1.423B,1.317B,2.259B,1.563B,13.31B,14.00B,-19.94B,12.87B,8.814B,5.449B,4.464B,4.687B,3.167B,2.589B,2.594B,3.479B,2.474B,2.633B,3.094B,3.232B,1.781B,2.301B,2.288B,1.642B,1.258B,285.80M,3.426B,345.00M,289.30M,283.70M,285.20M,344.60M,323.00M,305.50M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross Profit,2.60B,3.43B,2.722B,2.808B,2.357B,3.055B,2.436B,2.682B,2.513B,3.075B,2.497B,2.554B,1.894B,3.079B,2.332B,2.324B,1.689B,2.862B,2.302B,2.483B,1.505B,2.679B,2.34B,2.562B,2.251B,2.654B,2.207B,2.216B,1.37B,2.322B,1.428B,1.557B,-1.535B,2.576B,2.249B,2.324B,-1.54B,2.585B,2.17B,2.307B,2.006B,2.258B,1.93B,2.093B,1.881B,2.097B,2.103B,2.106B,1.988B,2.359B,1.915B,1.955B,1.729B,2.115B,1.82B,1.232B,-1.404B,2.224B,2.269B,2.229B,2.403B,2.27B,2.153B,2.083B,2.236B,2.105B,2.119B,2.132B,1.93B,2.194B,2.194B,1.991B,1.48B,3.166B,2.274B,2.49B,1.777B,2.413B,2.112B,1.787B,1.757B,2.007B,1.524B,1.589B,1.641B,1.819B,1.540B,1.482B,1.496B,1.588B,1.332B,1.484B,1.463B,1.492B,1.301B,876.30M,2.726B,1.035B,763.10M,827.40M,748.90M,927.90M,760.30M,793.50M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Investment Write Off,-8.00M,20.00M,4.00M,0.00,63.00M,124.00M,172.00M,43.00M,66.00M,207.00M,9.00M,0.00,4.00M,10.00M,1.00M,3.00M,-5.00M,111.00M,0.00,0.00,0.00,1.00M,16.00M,96.00M,11.00M,2.00M,386.00M,0.00,-2.00M,266.00M,0.00,402.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Income and Charges,127.00M,20.00M,-1.00M,-3.00M,156.00M,-114.00M,-169.00M,-143.00M,175.00M,-201.00M,-2.00M,11.00M,202.00M,-4.00M,7.00M,4.00M,168.00M,-107.00M,13.00M,14.00M,134.00M,3.00M,22.00M,-95.00M,227.00M,-3.00M,-385.00M,2.00M,313.00M,-252.00M,3.00M,-404.00M,-55.00M,-220.00M,100.00M,129.00M,170.00M,71.00M,-568.00M,91.00M,53.00M,-332.00M,100.00M,22.00M,-88.00M,-53.00M,75.00M,74.00M,140.00M,120.00M,121.00M,42.00M,143.00M,356.00M,220.00M,79.00M,-1.853B,759.00M,92.00M,1.355B,89.00M,74.00M,137.00M,-219.00M,26.00M,60.00M,305.00M,76.00M,89.00M,126.00M,215.00M,102.00M,418.00M,37.00M,37.00M,87.00M,373.00M,462.00M,43.00M,101.00M,107.00M,24.00M,37.00M,38.00M,13.80M,45.10M,33.60M,69.50M,22.90M,25.90M,55.00M,34.30M,24.00M,44.40M,34.00M,31.80M,18.90M,34.70M,34.90M,33.60M,34.90M,32.90M,33.90M,24.70M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non Income Taxes,295.00M,335.00M,334.00M,343.00M,326.00M,323.00M,315.00M,316.00M,309.00M,313.00M,307.00M,304.00M,255.00M,302.00M,290.00M,295.00M,293.00M,293.00M,279.00M,264.00M,268.00M,275.00M,311.00M,350.00M,302.00M,319.00M,323.00M,343.00M,284.00M,326.00M,171.00M,184.00M,166.00M,183.00M,169.00M,186.00M,164.00M,182.00M,163.00M,193.00M,157.00M,175.00M,160.00M,193.00M,136.00M,170.00M,158.00M,175.00M,149.00M,173.00M,153.00M,174.00M,143.00M,151.00M,154.00M,86.00M,-105.00M,134.00M,145.00M,153.00M,125.00M,125.00M,124.00M,154.00M,126.00M,127.00M,134.00M,140.00M,135.00M,139.00M,132.00M,127.00M,102.00M,110.00M,104.00M,115.00M,103.00M,111.00M,102.00M,102.00M,80.00M,105.00M,87.00M,99.00M,80.70M,95.80M,91.50M,82.00M,87.40M,95.30M,89.20M,96.90M,82.20M,87.90M,83.30M,66.00M,145.10M,67.10M,61.20M,63.20M,60.10M,64.00M,61.90M,63.30M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Interest Expense,547.00M,572.00M,542.00M,543.00M,544.00M,517.00M,518.00M,515.00M,511.00M,498.00M,486.00M,491.00M,485.00M,464.00M,478.00M,489.00M,319.00M,402.00M,403.00M,403.00M,317.00M,405.00M,403.00M,404.00M,418.00M,378.00M,381.00M,367.00M,387.00M,401.00M,232.00M,224.00M,224.00M,213.00M,203.00M,219.00M,216.00M,202.00M,212.00M,210.00M,191.00M,190.00M,186.00M,184.00M,189.00M,176.00M,194.00M,182.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Operating Interest Income,-516.00M,-572.00M,-542.00M,-543.00M,-524.00M,-517.00M,-518.00M,-515.00M,-498.00M,-498.00M,-486.00M,-491.00M,-464.00M,-464.00M,-478.00M,-489.00M,-299.00M,-402.00M,-403.00M,-403.00M,-301.00M,-405.00M,-403.00M,-404.00M,-392.00M,-378.00M,-381.00M,-367.00M,-337.00M,-401.00M,-232.00M,-224.00M,-171.00M,-213.00M,-203.00M,-219.00M,-149.00M,-202.00M,-212.00M,-210.00M,-191.00M,-190.00M,-186.00M,-184.00M,-59.00M,-176.00M,-194.00M,-182.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Operating Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,866.00M,959.00M,880.00M,,881.00M,944.00M,899.00M,819.00M,805.00M,848.00M,811.00M,851.00M,838.00M,877.00M,785.00M,960.00M,782.00M,833.00M,749.00M,1.001B,897.00M,1.007B,535.00M,-71.00M,794.00M,896.00M,929.00M,1.098B,800.00M,827.00M,784.00M,4.237B,1.218B,881.00M,674.00M,918.00M,1.09B,823.00M,852.00M,1.00B,1.189B,964.00M,877.00M,982.00M,908.00M,865.00M,624.00M,1.768B,724.00M,634.00M,575.00M,958.00M,617.90M,633.40M,528.70M,754.80M,631.30M,570.10M,545.00M,700.60M,503.30M,385.60M,275.90M,1.196B,295.70M,274.50M,226.10M,342.00M,267.50M,300.60M,244.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
