Cash Flow - Operations (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03
Net Income,607.00M,1.323B,748.00M,893.00M,454.00M,1.066B,502.00M,622.00M,703.00M,955.00M,689.00M,717.00M,-222.00M,1.181B,512.00M,699.00M,482.00M,935.00M,547.00M,867.00M,100.00M,1.269B,613.00M,-93.00M,692.00M,1.008B,342.00M,634.00M,437.00M,598.00M,448.00M,299.00M,290.00M,470.00M,441.00M,513.00M,429.00M,666.00M,228.00M,,348.00M,106.00M,282.00M,349.00M,263.00M,213.00M,349.00M,466.00M,243.00M,607.00M,293.00M,357.00M,387.00M,763.00M,355.00M,358.00M,606.00M,41.00M,309.00M,868.00M,358.00M,389.00M,432.00M,311.00M,-2.021B,49.00M,424.00M,225.00M,-52.00M,230.00M,474.00M,382.00M,225.00M,796.00M,323.00M,554.00M,284.00M,770.00M,329.00M,393.00M,-189.00M,441.00M,288.00M,307.00M,223.70M,428.70M,279.50M,328.10M,184.60M,309.50M,168.60M,311.70M,209.60M,351.20M,338.90M,191.30M,394.10M,285.20M,137.50M,201.30M,93.60M,243.70M,128.00M,173.60M
Gain/Loss on Sale Business,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.00M,-42.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Earnings Loss from Eq. Investments,-25.00M,-50.00M,-44.00M,-43.00M,-34.00M,-37.00M,-36.00M,24.00M,-18.00M,-36.00M,-36.00M,-29.00M,49.00M,-11.00M,-15.00M,-8.00M,-16.00M,-17.00M,-23.00M,-13.00M,-33.00M,-28.00M,-33.00M,-36.00M,-31.00M,-33.00M,-22.00M,-36.00M,-30.00M,-33.00M,-40.00M,-45.00M,156.00M,-113.00M,-111.00M,-92.00M,143.00M,-84.00M,-91.00M,-84.00M,-117.00M,-17.00M,-83.00M,-6.00M,0.00,84.00M,61.00M,-43.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pension and Employee Expense,11.00M,9.00M,2.00M,2.00M,15.00M,15.00M,16.00M,15.00M,-11.00M,6.00M,7.00M,6.00M,9.00M,4.00M,4.00M,4.00M,18.00M,17.00M,18.00M,18.00M,27.00M,27.00M,27.00M,27.00M,48.00M,87.00M,85.00M,87.00M,87.00M,95.00M,29.00M,28.00M,104.00M,0.00,,,,,,,-300.00M,0.00,0.00,-500.00M,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Gains Losses,-10.00M,-41.00M,-45.00M,-38.00M,-18.00M,-32.00M,-23.00M,139.00M,-34.00M,-38.00M,-38.00M,-34.00M,562.00M,-16.00M,-20.00M,-13.00M,-2.00M,-15.00M,-18.00M,-11.00M,-12.00M,-26.00M,-8.00M,-9.00M,-70.00M,54.00M,73.00M,49.00M,34.00M,48.00M,-15.00M,-20.00M,260.00M,-105.00M,-125.00M,-105.00M,-75.00M,-107.00M,-68.00M,-17.00M,-387.00M,-72.00M,-91.00M,-517.00M,-19.00M,83.00M,33.00M,-90.00M,-54.00M,-95.00M,-403.00M,-5.00M,-18.00M,-392.00M,-617.00M,-210.00M,-526.00M,-321.00M,-115.00M,-837.00M,-398.00M,-60.00M,5.00M,100.00M,3.309B,152.00M,-196.00M,205.00M,264.00M,347.00M,-39.00M,67.00M,-158.00M,208.00M,571.00M,-571.00M,653.00M,-842.00M,54.00M,58.00M,858.00M,41.00M,49.00M,51.00M,-5.10M,17.00M,20.90M,19.20M,-19.10M,11.00M,14.80M,14.10M,85.00M,5.60M,2.70M,54.40M,50.50M,-32.30M,30.70M,-29.10M,-112.40M,-29.40M,-101.50M,-30.50M
Total Depreciation and Amortization,1.345B,1.348B,1.245B,1.238B,1.249B,1.197B,1.161B,1.089B,1.056B,1.037B,962.00M,991.00M,1.033B,979.00M,937.00M,931.00M,933.00M,896.00M,901.00M,883.00M,866.00M,893.00M,864.00M,884.00M,864.00M,821.00M,782.00M,762.00M,787.00M,788.00M,533.00M,544.00M,518.00M,517.00M,487.00M,504.00M,513.00M,502.00M,473.00M,506.00M,451.00M,478.00M,454.00M,463.00M,447.00M,479.00M,456.00M,452.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total Depreciation, Amortization, Depletion",1.345B,1.348B,1.245B,1.238B,1.249B,1.197B,1.161B,1.089B,1.056B,1.037B,962.00M,991.00M,1.033B,979.00M,937.00M,931.00M,933.00M,896.00M,901.00M,883.00M,866.00M,893.00M,864.00M,884.00M,864.00M,821.00M,782.00M,762.00M,787.00M,788.00M,533.00M,544.00M,518.00M,517.00M,487.00M,504.00M,513.00M,502.00M,473.00M,506.00M,451.00M,478.00M,454.00M,463.00M,447.00M,479.00M,456.00M,452.00M,394.00M,546.00M,487.00M,461.00M,563.00M,610.00M,604.00M,438.00M,421.00M,382.00M,531.00M,550.00M,513.00M,581.00M,467.00M,476.00M,494.00M,521.00M,488.00M,484.00M,423.00M,480.00M,410.00M,379.00M,301.00M,1.149B,-357.00M,357.00M,351.00M,343.00M,351.00M,303.00M,1.151B,-542.00M,272.00M,270.00M,,,,,,,,,,,,,,,,,,,,
Deferred Taxes,70.00M,209.00M,430.00M,97.00M,-20.00M,810.00M,90.00M,199.00M,417.00M,347.00M,327.00M,342.00M,252.00M,363.00M,104.00M,181.00M,140.00M,405.00M,331.00M,368.00M,587.00M,608.00M,132.00M,-178.00M,250.00M,617.00M,44.00M,353.00M,147.00M,207.00M,165.00M,65.00M,76.00M,65.00M,286.00M,175.00M,214.00M,282.00M,83.00M,162.00M,282.00M,-57.00M,551.00M,165.00M,242.00M,-43.00M,272.00M,14.00M,440.00M,244.00M,-44.00M,29.00M,46.00M,-97.00M,341.00M,-40.00M,534.00M,-496.00M,49.00M,195.00M,206.00M,585.00M,61.00M,15.00M,-650.00M,92.00M,62.00M,-38.00M,556.00M,-75.00M,67.00M,-53.00M,-54.00M,183.00M,-214.00M,214.00M,-94.00M,113.00M,44.00M,89.00M,-230.00M,1.00M,37.00M,-18.00M,-15.00M,9.80M,-15.70M,-14.10M,62.70M,7.30M,0.90M,34.80M,41.80M,5.70M,37.80M,-10.60M,-15.80M,9.60M,5.50M,6.70M,-8.20M,43.40M,54.80M,4.30M
Asset Impairment Charge,8.00M,-20.00M,4.00M,0.00,63.00M,124.00M,172.00M,43.00M,66.00M,207.00M,9.00M,0.00,-67.00M,81.00M,195.00M,3.00M,8.00M,108.00M,-6.00M,43.00M,67.00M,-540.00M,6.00M,1.382B,12.00M,2.00M,386.00M,0.00,-2.00M,180.00M,1.00M,407.00M,26.00M,300.00M,9.00M,0.00,35.00M,45.00M,658.00M,,20.00M,417.00M,12.00M,,7.00M,87.00M,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
