Assets (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03
Cash and Equivalents,311.00M,379.00M,336.00M,377.00M,442.00M,303.00M,304.00M,421.00M,358.00M,282.00M,298.00M,878.00M,392.00M,6.179B,676.00M,778.00M,383.00M,1.37B,960.00M,2.821B,2.036B,1.931B,2.008B,1.531B,1.501B,2.166B,1.571B,1.296B,1.424B,1.761B,1.526B,1.071B,2.11B,2.032B,1.362B,1.419B,1.67B,1.01B,1.08B,1.542B,1.606B,706.00M,1.201B,986.00M,1.876B,717.00M,642.00M,678.00M,675.00M,611.00M,570.00M,948.00M,820.00M,752.00M,785.00M,511.00M,377.00M,1.009B,1.001B,533.00M,2.858B,2.696B,1.50B,1.16B,1.751B,1.482B,1.109B,874.00M,473.00M,87.00M,151.00M,290.00M,617.00M,1.241B,489.00M,622.00M,761.00M,415.00M,375.00M,613.00M,1.06B,300.00M,583.00M,80.00M,448.20M,63.70M,56.90M,109.40M,52.10M,113.90M,23.10M,166.00M,38.20M,32.70M,36.30M,45.40M,35.70M,29.90M,33.00M,37.40M,10.00M,9.70M,20.70M
Short Term Investments,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,6.00M,44.00M,118.00M,280.00M,288.00M,333.00M,335.00M,234.00M,238.00M,190.00M,146.00M,9.00M,9.00M,0.00,,,,1.00M,4.00M,51.00M,51.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash and Short Term Investments,311.00M,379.00M,336.00M,377.00M,442.00M,303.00M,304.00M,421.00M,358.00M,282.00M,298.00M,878.00M,392.00M,6.179B,676.00M,778.00M,383.00M,1.37B,960.00M,2.821B,2.036B,1.931B,2.008B,1.537B,1.545B,2.284B,1.851B,1.584B,1.757B,2.096B,1.76B,1.309B,2.30B,2.178B,1.371B,1.428B,1.67B,1.01B,1.08B,1.542B,1.607B,710.00M,1.252B,1.037B,1.876B,717.00M,642.00M,678.00M,675.00M,611.00M,570.00M,948.00M,820.00M,752.00M,785.00M,511.00M,377.00M,1.009B,1.001B,533.00M,2.858B,2.696B,1.50B,1.16B,1.751B,1.482B,1.109B,874.00M,473.00M,87.00M,151.00M,290.00M,617.00M,1.241B,489.00M,622.00M,761.00M,415.00M,375.00M,613.00M,1.06B,300.00M,583.00M,80.00M,448.20M,63.70M,56.90M,109.40M,52.10M,113.90M,23.10M,166.00M,38.20M,32.70M,36.30M,45.40M,35.70M,29.90M,33.00M,37.40M,10.00M,9.70M,20.70M
Accounts Receivable,3.06B,3.077B,2.799B,2.756B,3.134B,3.079B,2.817B,2.743B,2.774B,2.617B,2.378B,2.305B,2.644B,2.722B,2.518B,2.323B,2.263B,2.759B,2.696B,2.766B,2.764B,2.923B,2.995B,2.796B,3.005B,2.843B,2.828B,2.807B,2.717B,,610.00M,,1.941B,1.99B,2.047B,,764.00M,1.974B,,,,,,,1.656B,1.845B,1.652B,1.767B,1.778B,1.486B,1.466B,2.256B,1.969B,2.253B,2.071B,2.58B,2.131B,2.905B,3.202B,3.184B,2.72B,2.982B,2.689B,2.89B,3.102B,6.111B,7.422B,4.861B,5.958B,6.597B,5.647B,5.301B,8.447B,8.31B,8.194B,8.648B,8.375B,5.595B,3.516B,3.248B,3.58B,2.427B,2.323B,2.318B,2.586B,1.993B,1.996B,2.281B,2.371B,1.718B,673.40M,1.888B,667.90M,646.70M,633.30M,689.70M,623.90M,546.00M,569.40M,552.90M,579.50M,572.20M,482.60M
Other Receivables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.233B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Receivables,3.06B,3.077B,2.799B,2.756B,3.134B,3.079B,2.817B,2.743B,2.774B,2.617B,2.378B,2.305B,2.644B,2.722B,2.518B,2.323B,2.263B,2.759B,2.696B,2.766B,2.764B,2.923B,2.995B,2.796B,3.005B,2.843B,2.828B,2.807B,2.717B,2.846B,1.843B,1.737B,1.941B,1.916B,1.969B,1.925B,764.00M,1.974B,1.924B,1.741B,1.489B,1.511B,1.465B,1.653B,1.656B,1.845B,1.652B,1.767B,1.778B,1.486B,1.466B,2.256B,1.969B,2.253B,2.071B,2.58B,2.131B,2.905B,3.202B,3.184B,2.72B,2.982B,2.689B,2.89B,3.102B,6.111B,7.422B,4.861B,5.958B,6.597B,5.647B,5.301B,8.447B,8.31B,8.194B,8.648B,8.375B,5.595B,3.516B,3.248B,3.58B,2.427B,2.323B,2.318B,2.586B,1.993B,1.996B,2.281B,2.371B,1.718B,673.40M,1.888B,667.90M,646.70M,633.30M,689.70M,623.90M,546.00M,569.40M,552.90M,579.50M,572.20M,482.60M
Other Inventory,349.00M,333.00M,313.00M,299.00M,355.00M,342.00M,322.00M,305.00M,354.00M,349.00M,336.00M,314.00M,374.00M,,,,298.00M,,,,360.00M,,,,,,,,345.00M,,,,3.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inventories,3.232B,3.107B,3.189B,3.102B,3.084B,3.14B,3.177B,3.149B,3.25B,3.265B,3.369B,3.366B,3.522B,3.351B,3.627B,3.721B,3.746B,3.537B,3.469B,3.413B,3.459B,3.20B,3.056B,2.908B,3.25B,3.10B,3.13B,3.096B,3.223B,3.041B,1.762B,1.754B,1.588B,1.421B,1.415B,1.347B,1.318B,1.302B,1.337B,1.515B,1.42B,1.368B,1.243B,1.135B,1.125B,1.026B,946.00M,1.012B,1.029B,1.027B,950.00M,1.358B,1.243B,1.201B,799.00M,863.00M,879.00M,957.00M,747.00M,942.00M,894.00M,837.00M,878.00M,941.00M,1.279B,1.179B,946.00M,1.134B,1.166B,1.174B,1.149B,1.017B,872.00M,875.00M,657.00M,739.00M,803.00M,750.00M,616.00M,599.00M,590.00M,548.00M,516.00M,543.00M,521.20M,521.70M,459.50M,440.10M,469.20M,466.80M,321.30M,433.50M,326.30M,319.90M,332.00M,341.80M,320.30M,354.60M,344.50M,319.40M,288.70M,283.00M,272.50M
Restricted Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.302B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Current Assets,2.56B,3.056B,3.185B,2.933B,3.054B,2.998B,2.178B,1.966B,2.071B,1.542B,1.628B,1.456B,1.481B,1.282B,1.276B,1.121B,1.184B,2.529B,2.473B,2.968B,2.952B,3.186B,3.047B,2.809B,2.716B,2.191B,2.066B,2.062B,2.425B,2.123B,1.122B,1.124B,1.051B,758.00M,879.00M,845.00M,1.169B,1.157B,1.15B,968.00M,1.299B,1.802B,1.36B,1.448B,1.195B,1.696B,967.00M,1.459B,1.788B,1.905B,2.146B,2.485B,4.15B,2.609B,1.555B,4.003B,4.722B,3.091B,3.327B,3.259B,2.176B,2.063B,2.673B,2.684B,3.139B,3.763B,3.411B,3.031B,3.94B,4.245B,4.747B,2.993B,3.189B,4.132B,5.752B,12.50B,6.103B,6.014B,1.956B,1.711B,1.042B,2.121B,1.621B,1.884B,1.132B,2.107B,984.70M,854.90M,1.186B,489.00M,98.60M,658.50M,99.20M,87.10M,109.60M,99.30M,118.30M,98.50M,144.50M,148.40M,167.60M,124.80M,131.40M
