Cash Flow - Operations (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03
Net Income,15.22M,5.621M,8.304M,28.66M,17.80M,5.538M,6.386M,26.86M,26.10M,6.833M,6.046M,19.14M,11.86M,4.416M,8.029M,20.37M,8.619M,5.118M,6.294M,21.11M,10.10M,3.18M,5.134M,17.68M,9.683M,3.879M,4.356M,14.87M,9.857M,3.219M,5.06M,10.73M,7.958M,19.66M,-13.75M,13.75M,7.114M,18.94M,-13.97M,13.97M,6.191M,0.307M,0.806M,8.593M,4.412M,-0.1983M,1.819M,7.574M,4.081M,-0.3559M,1.482M,7.991M,3.934M,-0.6566M,1.133M,6.096M,4.133M,-0.6938M,0.7959M,6.233M,3.715M,-0.6562M,0.6307M,5.739M,2.743M,-0.8599M,0.9341M,6.475M,1.163M,-0.9392M,0.5297M,2.967M,1.364M,-0.6750M,0.6667M,5.365M,2.545M,-1.045M,0.3195M,5.669M,3.30M,-0.70M,0.80M,4.90M,2.30M,-1.30M,0.30M,4.00M,2.50M,-0.80M,0.80M,3.40M,2.10M,-0.80M,0.50M,6.00M,2.20M,1.00M,0.70M,3.70M,1.10M,-0.20M,-0.10M,3.70M
Gain (Loss) on Investment Securities,1.087M,-0.515M,-0.209M,-0.363M,-4.015M,0.158M,0.441M,3.416M,2.817M,-5.04M,0.893M,1.33M,0.405M,-1.069M,0.185M,0.479M,0.411M,0.275M,0.154M,-0.84M,0.436M,-0.016M,-0.412M,-0.008M,0.979M,-0.516M,-0.18M,-0.283M,-0.127M,-0.105M,0.172M,0.06M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pension and Employee Expense,0.822M,0.399M,0.382M,0.382M,0.40M,0.00,0.228M,0.228M,0.365M,0.393M,0.396M,0.423M,0.67M,0.457M,0.38M,0.38M,0.334M,0.30M,0.301M,0.30M,0.208M,0.157M,0.157M,0.162M,0.411M,0.25M,0.249M,0.209M,-1.069M,0.727M,1.104M,0.437M,1.137M,0.252M,0.127M,0.444M,2.395M,-0.211M,-0.111M,-0.272M,-0.177M,0.417M,0.565M,0.412M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Gains Losses,-2.226M,-0.116M,0.173M,0.019M,1.882M,0.158M,0.669M,3.644M,6.361M,-4.647M,1.289M,1.753M,1.77M,-0.612M,0.565M,0.859M,0.405M,0.575M,0.455M,-0.54M,-6.649M,0.141M,-0.255M,0.154M,0.678M,-0.369M,0.038M,-0.082M,-1.209M,0.607M,1.345M,0.461M,1.092M,-0.291M,0.164M,0.501M,2.355M,-0.245M,-0.04M,-0.272M,-0.177M,0.417M,0.565M,0.412M,0.1480M,0.0006M,0.0016M,0.0018M,0.0018M,0.4852M,-0.6910M,-0.0008M,0.7592M,-0.6197M,-0.4450M,0.2869M,1.984M,-1.318M,0.5878M,0.0787M,2.012M,-1.051M,0.5135M,0.6411M,1.011M,0.2988M,0.5328M,0.6729M,0.0098M,0.5231M,0.4184M,3.206M,-0.9342M,0.8767M,0.0171M,1.058M,-1.660M,-0.0165M,1.252M,-0.8388M,0.10M,0.00,0.10M,0.10M,-1.80M,0.30M,0.10M,0.20M,0.30M,0.20M,0.50M,-0.30M,0.60M,-0.30M,0.10M,0.30M,-0.10M,-1.00M,0.10M,-0.20M,0.40M,0.50M,1.20M,0.30M
Total Depreciation and Amortization,14.22M,13.42M,13.80M,13.21M,12.70M,12.67M,11.99M,11.98M,11.46M,11.41M,11.09M,10.75M,10.64M,10.13M,9.57M,9.149M,9.515M,9.431M,9.34M,8.664M,7.595M,8.48M,8.40M,8.418M,7.513M,7.748M,7.531M,7.296M,6.565M,7.16M,7.173M,7.159M,6.578M,6.26M,6.355M,6.076M,5.578M,5.735M,5.599M,5.989M,5.155M,3.107M,3.067M,3.048M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total Depreciation, Amortization, Depletion",14.22M,13.42M,13.80M,13.21M,12.70M,12.67M,11.99M,11.98M,11.46M,11.41M,11.09M,10.75M,10.64M,10.13M,9.57M,9.149M,9.515M,9.431M,9.34M,8.664M,7.595M,8.48M,8.40M,8.418M,7.513M,7.748M,7.531M,7.296M,6.565M,7.16M,7.173M,7.159M,6.578M,6.26M,6.355M,6.076M,5.578M,5.735M,5.599M,5.989M,5.155M,3.107M,3.067M,3.048M,2.913M,3.002M,2.751M,2.579M,3.033M,2.997M,3.213M,3.153M,2.999M,2.829M,2.799M,2.719M,2.566M,2.568M,2.581M,2.559M,2.486M,2.523M,2.442M,2.440M,2.692M,2.570M,2.620M,2.615M,3.458M,2.257M,1.934M,2.775M,2.918M,1.236M,2.386M,2.554M,1.221M,2.319M,2.225M,2.280M,2.00M,1.80M,1.70M,2.00M,,,,,,,,,,,,,,,,,,,,
Deferred Taxes,15.69M,1.043M,4.316M,3.43M,10.18M,3.379M,1.199M,6.469M,-18.44M,17.49M,4.185M,7.849M,19.25M,5.842M,1.836M,4.326M,21.68M,0.211M,-0.87M,-0.496M,22.39M,-0.322M,0.397M,-0.231M,4.913M,4.151M,3.588M,2.208M,1.779M,3.54M,3.189M,5.373M,3.137M,1.734M,3.56M,8.889M,3.485M,6.164M,3.314M,0.369M,7.712M,-0.32M,3.463M,-0.79M,5.340M,3.939M,1.651M,0.5120M,0.2504M,-0.0103M,2.547M,-0.9565M,1.896M,0.2905M,-0.6601M,-1.934M,2.433M,0.5463M,-0.3633M,-1.105M,1.594M,1.795M,1.232M,-0.4096M,-0.5944M,2.035M,0.2335M,0.7237M,1.350M,-0.2448M,1.682M,-2.524M,0.5127M,0.4975M,-0.5017M,0.0003M,2.729M,0.0002M,0.1333M,0.0608M,1.00M,0.30M,-0.20M,-0.70M,2.70M,-0.10M,-0.90M,,1.70M,-0.10M,-0.20M,,1.60M,0.30M,0.10M,-0.20M,0.30M,0.80M,-0.40M,-0.40M,0.30M,0.10M,-0.50M,-0.60M
Unrealized Gain (Loss) on Investment Securities,-0.57M,0.064M,-0.368M,-0.721M,0.856M,-0.313M,-0.158M,0.044M,-0.306M,-0.879M,0.052M,0.132M,-0.142M,-0.201M,-0.06M,0.018M,0.036M,0.247M,-0.208M,0.021M,0.545M,0.046M,-0.121M,0.031M,-0.923M,0.259M,0.241M,-0.283M,0.289M,0.101M,-0.185M,-0.317M,-0.198M,0.017M,0.125M,-0.226M,0.275M,-0.142M,-0.048M,-0.266M,0.012M,0.266M,-0.272M,1.388M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stock Based Compensation,1.974M,1.21M,0.608M,0.487M,0.278M,0.288M,0.727M,1.52M,0.882M,0.796M,0.173M,0.639M,0.48M,0.623M,0.615M,0.649M,0.492M,0.498M,0.41M,0.537M,0.439M,0.454M,0.427M,0.638M,0.385M,0.385M,0.48M,0.381M,0.308M,0.414M,0.352M,0.345M,0.372M,0.373M,0.376M,0.329M,0.256M,0.287M,0.279M,0.333M,0.409M,0.312M,0.344M,0.241M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
