Assets (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12
Cash and Equivalents,1.514B,2.539B,1.167B,991.00M,772.00M,897.00M,1.181B,2.393B,2.861B,2.941B,2.452B,2.216B,1.837B,2.895B,1.269B,1.452B,1.09B,3.30B,3.202B,3.486B,1.446B,2.963B,3.436B,3.264B,2.617B,2.661B,2.845B,3.065B,1.898B,4.652B,3.802B,3.518B,3.582B,4.564B,3.268B,3.357B,2.261B,2.656B,2.722B,3.288B,2.391B,2.709B,2.672B,2.384B,2.168B,2.463B,3.214B,2.799B,2.648B,3.094B,3.008B,2.778B,1.912B,2.288B,2.956B,2.682B,2.244B,3.14B,3.062B,2.727B,1.06B,2.823B,2.243B,2.124B,1.01B,1.835B,1.909B,2.09B,2.738B,3.49B,2.429B,1.367B,912.00M,1.801B,1.222B,2.389B,1.505B,1.938B,1.249B,533.00M,455.00M,,,43.00M,285.00M,183.00M,,,0.00,110.00M,0.00,0.00,,323.00M,390.00M,156.00M,653.00M,122.00M,247.00M,513.00M,639.00M
Short Term Investments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00M,254.00M,504.00M,516.00M,767.00M,877.00M,,346.00M,,,,,71.00M,96.00M,148.00M,333.00M,335.00M,329.00M,296.00M,381.00M,395.00M,430.00M,457.00M,429.00M,426.00M,414.00M,406.00M,396.00M,87.00M,,,240.00M,247.00M,229.00M,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash and Short Term Investments,1.514B,2.539B,1.167B,991.00M,772.00M,897.00M,1.181B,2.393B,2.861B,2.941B,2.452B,2.216B,1.837B,2.895B,1.269B,1.452B,1.09B,3.30B,3.202B,3.486B,1.446B,2.963B,3.436B,3.264B,2.617B,2.661B,2.845B,3.065B,1.898B,4.652B,3.802B,3.518B,3.582B,4.567B,3.522B,3.861B,2.777B,3.423B,3.599B,3.288B,2.737B,2.709B,2.672B,2.384B,2.168B,2.534B,3.31B,2.947B,2.981B,3.429B,3.337B,3.074B,2.293B,2.683B,3.386B,3.139B,2.673B,3.566B,3.476B,3.133B,1.456B,2.91B,2.243B,2.124B,1.25B,2.082B,2.138B,2.09B,2.738B,3.49B,2.429B,1.367B,912.00M,1.801B,1.222B,2.389B,1.505B,1.938B,1.249B,533.00M,455.00M,,,43.00M,285.00M,183.00M,,,0.00,110.00M,0.00,0.00,,323.00M,390.00M,156.00M,653.00M,122.00M,247.00M,513.00M,639.00M
Accounts Receivable,2.337B,2.384B,2.546B,2.833B,2.444B,2.416B,2.482B,2.373B,2.265B,9.021B,8.762B,8.869B,8.202B,8.955B,9.275B,8.62B,7.254B,6.74B,7.064B,6.545B,5.877B,6.081B,6.434B,6.255B,5.834B,6.919B,6.826B,6.968B,6.563B,,,,6.064B,,,,5.692B,6.275B,6.383B,6.61B,6.061B,6.067B,6.131B,6.097B,5.296B,5.391B,5.218B,5.413B,4.925B,4.937B,5.239B,4.902B,4.595B,4.865B,4.367B,4.832B,4.579B,4.44B,4.287B,4.24B,4.094B,3.845B,3.677B,4.018B,4.039B,3.552B,3.405B,3.798B,3.655B,3.73B,3.555B,3.941B,4.049B,3.785B,3.818B,3.934B,3.986B,4.202B,4.182B,4.332B,4.348B,4.426B,4.666B,4.667B,4.178B,5.127B,5.233B,5.462B,5.009B,5.119B,5.411B,5.242B,4.999B,5.221B,5.428B,4.13B,3.876B,3.82B,3.583B,3.529B,3.473B
Other Receivables,9.094B,11.00B,10.39B,10.50B,9.472B,9.769B,9.281B,9.405B,7.992B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Receivables,11.43B,13.39B,12.93B,13.33B,11.92B,12.18B,11.76B,11.78B,10.26B,9.021B,8.762B,8.869B,8.202B,8.955B,9.275B,8.62B,7.254B,6.74B,7.064B,6.545B,5.877B,6.081B,6.434B,6.255B,5.834B,6.919B,6.826B,6.968B,6.563B,6.428B,6.569B,6.72B,6.064B,6.523B,6.547B,6.583B,5.692B,6.275B,6.383B,6.61B,6.061B,6.067B,6.131B,6.097B,5.296B,5.391B,5.218B,5.413B,4.925B,4.937B,5.239B,4.902B,4.595B,4.865B,4.367B,4.832B,4.579B,4.44B,4.287B,4.24B,4.094B,3.845B,3.677B,4.018B,4.039B,3.552B,3.405B,3.798B,3.655B,3.73B,3.555B,3.941B,4.049B,3.785B,3.818B,3.934B,3.986B,4.202B,4.182B,4.332B,4.348B,4.426B,4.666B,4.667B,4.178B,5.127B,5.233B,5.462B,5.009B,5.119B,5.411B,5.242B,4.999B,5.221B,5.428B,4.13B,3.876B,3.82B,3.583B,3.529B,3.473B
Raw Materials Inventory,532.00M,460.00M,452.00M,438.00M,446.00M,470.00M,446.00M,418.00M,563.00M,798.00M,790.00M,785.00M,833.00M,,,,1.03B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Work in Process Inventory,2.783B,2.696B,2.81B,2.495B,2.161B,2.089B,2.074B,2.298B,1.823B,7.72B,7.844B,8.09B,7.864B,8.668B,8.996B,8.801B,8.081B,7.28B,7.195B,7.306B,6.731B,7.365B,7.341B,7.08B,7.073B,7.186B,7.338B,7.188B,7.00B,7.00B,6.643B,6.574B,7.129B,6.801B,7.028B,6.958B,6.508B,6.491B,6.328B,5.897B,5.565B,5.791B,5.387B,5.019B,4.631B,4.163B,3.86B,4.017B,4.039B,3.687B,3.798B,3.911B,3.857B,4.846B,4.785B,5.005B,5.121B,4.924B,4.72B,4.463B,4.697B,5.047B,4.888B,5.131B,5.434B,5.721B,6.027B,6.076B,6.221B,4.87B,6.005B,5.721B,5.484B,5.867B,5.676B,5.338B,4.991B,,,5.206B,,,5.562B,5.623B,6.198B,6.23B,5.856B,5.547B,5.155B,5.933B,5.425B,4.968B,4.356B,5.011B,4.741B,3.891B,3.752B,4.023B,4.226B,3.837B,4.291B
Finished Goods Inventory,304.00M,318.00M,337.00M,352.00M,390.00M,491.00M,518.00M,480.00M,492.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Inventory,,,,,,,,,,767.00M,695.00M,819.00M,719.00M,1.468B,1.485B,1.574B,740.00M,592.00M,667.00M,807.00M,774.00M,501.00M,576.00M,735.00M,738.00M,610.00M,718.00M,831.00M,869.00M,822.00M,904.00M,937.00M,777.00M,305.00M,446.00M,608.00M,643.00M,319.00M,454.00M,548.00M,559.00M,310.00M,310.00M,522.00M,667.00M,539.00M,520.00M,485.00M,518.00M,395.00M,425.00M,426.00M,504.00M,341.00M,333.00M,315.00M,327.00M,219.00M,464.00M,516.00M,434.00M,326.00M,268.00M,246.00M,310.00M,221.00M,264.00M,212.00M,301.00M,1.312B,516.00M,446.00M,587.00M,515.00M,600.00M,700.00M,678.00M,,,422.00M,,,490.00M,562.00M,594.00M,606.00M,665.00M,675.00M,794.00M,964.00M,914.00M,975.00M,1.043B,967.00M,923.00M,906.00M,855.00M,775.00M,647.00M,698.00M,653.00M
Inventories,3.619B,3.474B,3.599B,3.285B,2.997B,3.05B,3.038B,3.196B,2.878B,4.803B,4.941B,5.074B,4.67B,4.852B,5.136B,5.223B,4.819B,3.237B,3.032B,3.087B,2.804B,2.898B,2.646B,2.949B,2.977B,2.92B,2.895B,2.895B,2.937B,2.878B,2.521B,2.38B,2.481B,1.789B,2.226B,2.277B,2.363B,2.093B,2.36B,2.476B,2.183B,2.079B,1.852B,1.921B,1.902B,1.736B,1.623B,1.619B,1.718B,1.387B,1.379B,1.375B,1.657B,2.034B,1.88B,1.916B,1.921B,1.648B,1.755B,1.781B,1.864B,1.795B,2.054B,2.223B,2.348B,2.158B,2.054B,2.067B,2.25B,2.254B,3.107B,3.149B,3.14B,3.337B,3.365B,3.571B,3.805B,4.216B,3.809B,3.782B,4.051B,3.939B,3.877B,3.959B,4.293B,4.34B,4.047B,3.621B,3.144B,4.104B,3.673B,3.411B,2.953B,3.101B,3.057B,2.862B,2.835B,3.183B,3.099B,2.975B,3.159B
Current Deferred Tax Assets,,,,,,,,,,,,,,,,,,1.263B,1.469B,1.468B,1.451B,1.183B,1.153B,1.135B,1.088B,1.167B,1.233B,1.261B,1.269B,1.281B,1.327B,1.332B,1.339B,1.184B,1.14B,1.156B,1.147B,930.00M,962.00M,839.00M,815.00M,747.00M,785.00M,726.00M,755.00M,653.00M,724.00M,732.00M,756.00M,834.00M,932.00M,964.00M,900.00M,747.00M,839.00M,830.00M,861.00M,900.00M,1.155B,1.079B,982.00M,1.014B,,960.00M,921.00M,1.286B,1.284B,1.281B,1.277B,1.524B,1.566B,1.584B,1.566B,1.122B,1.122B,1.124B,1.213B,,,1.192B,,,1.108B,1.108B,1.109B,1.196B,1.26B,1.261B,1.256B,1.066B,1.066B,1.074B,1.356B,1.007B,999.00M,572.00M,580.00M,582.00M,583.00M,610.00M,506.00M
Other Current Assets,531.00M,402.00M,400.00M,425.00M,418.00M,727.00M,522.00M,449.00M,1.509B,443.00M,411.00M,427.00M,399.00M,408.00M,393.00M,472.00M,441.00M,515.00M,520.00M,632.00M,744.00M,559.00M,494.00M,631.00M,813.00M,452.00M,580.00M,683.00M,1.188B,552.00M,581.00M,611.00M,628.00M,606.00M,519.00M,489.00M,518.00M,413.00M,409.00M,706.00M,681.00M,841.00M,473.00M,543.00M,562.00M,396.00M,433.00M,469.00M,560.00M,487.00M,611.00M,545.00M,719.00M,627.00M,491.00M,511.00M,495.00M,483.00M,503.00M,499.00M,557.00M,688.00M,1.645B,832.00M,843.00M,636.00M,705.00M,658.00M,706.00M,949.00M,1.002B,1.022B,1.111B,463.00M,492.00M,505.00M,2.83B,2.982B,1.737B,620.00M,1.842B,1.764B,721.00M,703.00M,746.00M,768.00M,761.00M,805.00M,696.00M,401.00M,401.00M,328.00M,1.038B,541.00M,364.00M,300.00M,264.00M,306.00M,349.00M,395.00M,366.00M
Total Current Assets,17.10B,19.80B,18.10B,18.03B,16.10B,16.86B,16.50B,17.82B,17.50B,17.21B,16.57B,16.59B,15.11B,17.11B,16.07B,15.77B,14.57B,15.06B,15.29B,15.22B,12.32B,13.68B,14.16B,14.23B,13.33B,14.12B,14.38B,14.87B,13.86B,15.79B,14.80B,14.56B,14.09B,14.67B,13.95B,14.74B,12.89B,13.94B,14.21B,13.92B,12.48B,12.44B,11.91B,11.67B,10.68B,10.71B,11.31B,11.18B,10.94B,11.07B,11.50B,10.86B,10.16B,10.96B,10.96B,11.23B,10.53B,11.04B,11.18B,10.73B,8.953B,10.25B,9.619B,10.16B,9.401B,9.714B,9.586B,9.894B,10.63B,11.95B,11.66B,11.06B,10.78B,10.51B,10.02B,11.52B,13.34B,13.34B,10.98B,10.46B,10.70B,10.13B,10.37B,10.48B,10.61B,11.61B,11.30B,11.15B,10.10B,10.80B,10.55B,10.06B,10.35B,10.19B,10.24B,8.02B,8.208B,8.013B,7.861B,8.022B,8.143B
Properties,0.00,,,,0.00,,,,0.00,,,,0.00,,,,0.00,,,,0.00,,,,0.00,,,,0.00,,,,0.00,,,,0.00,,,,0.00,,,,0.00,,,,0.00,,,,0.00,,,,0.00,,,,0.00,,,,0.00,,,,0.00,,,,0.00,,,0.00,0.00,,,,,,,,0.00,,,,0.00,,,,0.00,,,,0.00,,,,0.00
Land and Improvements,136.00M,,,,135.00M,,,,131.00M,,,,127.00M,,,,112.00M,,,,99.00M,,,,99.00M,,,,101.00M,,,,98.00M,,,,111.00M,,,,112.00M,,,,109.00M,,,,112.00M,,,,121.00M,,,,112.00M,,,,95.00M,,,,106.00M,,,,102.00M,,,,95.00M,,,3.334B,170.00M,,,,,,,,235.00M,,,,285.00M,,,,313.00M,,,,362.00M,,,,332.00M
Buildings and Improvements,7.013B,,,,6.553B,,,,6.401B,,,,6.385B,,,,6.007B,,,,5.723B,,,,5.602B,,,,5.388B,,,,5.159B,,,,5.005B,,,,5.01B,,,,4.756B,,,,4.574B,,,,4.258B,,,,3.828B,,,,3.593B,,,,3.365B,,,,3.197B,,,,3.117B,,,,2.884B,,,,,,,,2.979B,,,,3.013B,,,,2.876B,,,,2.463B,,,,2.419B
"Machine, Furniture & Equipment",8.128B,,,,7.871B,,,,7.624B,,,,7.389B,,,,7.261B,,,,7.031B,,,,7.043B,,,,6.728B,,,,6.408B,,,,6.172B,,,,6.283B,,,,6.034B,,,,5.619B,,,,5.25B,,,,5.384B,,,,4.972B,,,,5.198B,,,,5.017B,,,,4.83B,,,,4.823B,,,,,,,,5.459B,,,,5.346B,,,,5.263B,,,,5.329B,,,,5.425B
Construction in Progress,1.701B,,,,1.53B,,,,1.205B,,,,976.00M,,,,886.00M,,,,636.00M,,,,622.00M,,,,768.00M,,,,805.00M,,,,670.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross PP&E,16.98B,,,,16.09B,,,,15.36B,,,,14.88B,,,,14.27B,,,,13.49B,,,,13.37B,,,,12.98B,,,,12.47B,,,,11.96B,,,,11.40B,,,,10.90B,,10.24B,10.24B,10.30B,9.644B,9.583B,9.564B,9.629B,9.311B,9.291B,9.284B,9.324B,8.627B,8.613B,8.626B,8.66B,8.552B,8.618B,8.603B,8.669B,8.337B,8.317B,8.312B,8.316B,8.204B,8.068B,8.03B,8.042B,11.58B,11.64B,3.334B,7.877B,8.844B,8.951B,,8.907B,8.833B,,,8.673B,,,,8.644B,,,,8.452B,,,,8.154B,,,,8.176B
Accumulated D&A,-10.39B,,,,-9.965B,,,,-9.586B,,,,-9.328B,,,,-8.877B,,,,-8.738B,,,,-8.66B,,,,-8.31B,,,,-7.859B,,,,-7.404B,,,,-6.885B,,,,-6.411B,,-5.985B,-5.985B,-5.985B,-5.573B,-5.573B,-5.573B,-5.573B,-5.40B,-5.40B,-5.40B,-5.40B,-5.061B,-5.061B,-5.061B,-5.061B,-5.18B,-5.18B,-5.18B,-5.18B,-5.058B,-5.058B,-5.058B,-5.058B,-5.051B,-5.051B,-5.051B,-5.051B,-8.316B,-8.316B,,-4.936B,-5.405B,-5.401B,,-5.273B,-5.268B,,,-5.16B,,,,-4.975B,,,,-4.731B,,,,-5.02B,,,,-4.721B
Net PP&E,6.591B,6.24B,6.17B,6.14B,6.124B,5.902B,5.786B,5.749B,5.775B,5.511B,5.532B,5.481B,5.549B,5.369B,5.438B,5.417B,5.389B,4.677B,4.64B,4.654B,4.751B,4.59B,4.559B,4.612B,4.706B,4.598B,4.594B,4.617B,4.675B,4.486B,4.495B,4.53B,4.611B,4.428B,4.421B,4.461B,4.554B,4.347B,4.381B,4.436B,4.52B,4.43B,4.441B,4.443B,4.488B,4.294B,4.256B,4.258B,4.32B,4.071B,4.01B,3.991B,4.056B,3.911B,3.891B,3.884B,3.924B,3.566B,3.552B,3.565B,3.599B,3.372B,3.438B,3.423B,3.489B,3.279B,3.259B,3.254B,3.258B,3.153B,3.017B,2.979B,2.991B,3.264B,3.323B,3.334B,2.941B,3.439B,3.55B,3.586B,3.634B,3.565B,3.598B,3.587B,3.513B,3.608B,3.613B,3.606B,3.669B,3.61B,3.607B,3.703B,3.721B,4.322B,4.311B,3.116B,3.134B,3.431B,3.459B,3.482B,3.455B
Goodwill,10.60B,10.76B,10.78B,10.77B,10.77B,10.79B,10.78B,10.81B,10.81B,10.81B,10.78B,10.77B,10.76B,10.79B,13.62B,13.58B,10.70B,10.83B,10.87B,10.84B,10.86B,10.77B,10.50B,10.37B,10.35B,10.53B,10.35B,10.36B,10.37B,10.18B,10.16B,10.17B,10.15B,9.606B,9.615B,9.609B,9.605B,9.588B,9.797B,9.938B,9.948B,9.944B,9.725B,9.684B,9.526B,9.56B,9.484B,9.399B,9.387B,9.369B,9.38B,9.353B,9.25B,9.386B,8.827B,,8.447B,,,,7.892B,,,,7.879B,,,,7.38B,,,,7.371B,8.638B,8.726B,8.794B,7.479B,,,9.095B,,,9.394B,9.462B,9.521B,9.664B,9.732B,9.766B,9.856B,9.962B,10.03B,10.32B,10.39B,10.50B,10.57B,2.769B,2.794B,2.794B,2.813B,2.827B,2.831B
