Cash Flow - Operations (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03
Net Income,1.498B,1.608B,1.42B,1.704B,1.253B,1.473B,1.163B,1.157B,-744.00M,963.00M,955.00M,789.00M,859.00M,2.395B,1.021B,898.00M,933.00M,865.00M,929.00M,878.00M,904.00M,888.00M,889.00M,933.00M,488.00M,873.00M,859.00M,761.00M,569.00M,727.00M,781.00M,668.00M,683.00M,700.00M,742.00M,530.00M,704.00M,560.00M,824.00M,533.00M,776.00M,797.00M,734.00M,666.00M,823.00M,782.00M,882.00M,730.00M,799.00M,766.00M,778.00M,690.00M,729.00M,629.00M,580.00M,591.00M,568.00M,427.00M,461.00M,369.00M,372.00M,307.00M,296.00M,291.00M,344.00M,217.00M,242.00M,250.00M,-342.00M,300.00M,351.00M,224.00M,-146.00M,-60.00M,123.00M,126.00M,226.00M,-704.00M,96.00M,,293.00M,217.00M,227.00M,,-876.00M,876.00M,,,-929.00M,331.00M,308.00M,290.00M,465.00M,311.00M,299.00M,272.00M,311.00M,287.00M,-53.00M,137.00M,,,,
Gain/Loss on Sale Business,,,,,,,,,,,,,33.00M,-1.234B,,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gain and Loss on Sale of PPE,0.00,0.00,0.00,-51.00M,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Gains Losses,0.00,0.00,0.00,-51.00M,0.00,0.00,0.00,0.00,,,,,33.00M,-1.234B,,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-759.00M,220.00M,539.00M,,-580.00M,580.00M,,,,,,,,,,,,,,28.00M,-10.00M,-12.00M,-6.00M,-273.00M,273.00M,21.00M,-21.00M,,,,,,,,,,,,,,,,,,,,,,,,,,118.00M,0.00,-118.00M
Depreciation Expense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-539.00M,188.00M,179.00M,172.00M,-544.00M,188.00M,181.00M,175.00M,205.00M,187.00M,175.00M,160.00M,212.00M,166.00M,147.00M,141.00M,171.00M,145.00M,149.00M,135.00M,159.00M,138.00M,132.00M,126.00M,133.00M,133.00M,119.00M,126.00M,136.00M,120.00M,116.00M,108.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amortization Expense CF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-74.00M,25.00M,22.00M,27.00M,-81.00M,27.00M,27.00M,27.00M,28.00M,27.00M,27.00M,36.00M,36.00M,36.00M,37.00M,44.00M,46.00M,40.00M,39.00M,39.00M,37.00M,38.00M,38.00M,37.00M,38.00M,36.00M,35.00M,36.00M,35.00M,31.00M,32.00M,31.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Depreciation and Amortization,322.00M,302.00M,288.00M,277.00M,304.00M,291.00M,287.00M,279.00M,315.00M,299.00M,296.00M,285.00M,327.00M,295.00M,297.00M,296.00M,300.00M,236.00M,246.00M,244.00M,268.00M,247.00M,242.00M,237.00M,286.00M,232.00M,240.00M,232.00M,277.00M,247.00M,233.00M,231.00M,269.00M,247.00M,246.00M,246.00M,439.00M,213.00M,201.00M,199.00M,389.00M,215.00M,208.00M,202.00M,233.00M,214.00M,202.00M,196.00M,248.00M,202.00M,184.00M,185.00M,217.00M,185.00M,188.00M,174.00M,196.00M,176.00M,170.00M,163.00M,171.00M,169.00M,154.00M,162.00M,171.00M,151.00M,148.00M,139.00M,155.00M,131.00M,138.00M,134.00M,223.00M,141.00M,265.00M,194.00M,163.00M,253.00M,240.00M,231.00M,264.00M,242.00M,233.00M,230.00M,261.00M,250.00M,241.00M,253.00M,272.00M,256.00M,213.00M,311.00M,316.00M,285.00M,319.00M,214.00M,170.00M,200.00M,243.00M,222.00M,241.00M,184.00M,266.00M,226.00M
"Total Depreciation, Amortization, Depletion",322.00M,302.00M,288.00M,277.00M,304.00M,291.00M,287.00M,279.00M,315.00M,299.00M,296.00M,285.00M,327.00M,295.00M,297.00M,296.00M,300.00M,236.00M,246.00M,244.00M,268.00M,247.00M,242.00M,237.00M,286.00M,232.00M,240.00M,232.00M,277.00M,247.00M,233.00M,231.00M,269.00M,247.00M,246.00M,246.00M,439.00M,213.00M,201.00M,199.00M,389.00M,215.00M,208.00M,202.00M,233.00M,214.00M,202.00M,196.00M,248.00M,202.00M,184.00M,185.00M,217.00M,185.00M,188.00M,174.00M,196.00M,176.00M,170.00M,163.00M,171.00M,169.00M,154.00M,162.00M,171.00M,151.00M,148.00M,139.00M,155.00M,131.00M,138.00M,134.00M,223.00M,141.00M,265.00M,194.00M,163.00M,253.00M,240.00M,231.00M,264.00M,242.00M,233.00M,230.00M,261.00M,250.00M,241.00M,253.00M,272.00M,256.00M,213.00M,311.00M,316.00M,285.00M,319.00M,214.00M,170.00M,200.00M,243.00M,222.00M,241.00M,184.00M,266.00M,226.00M
Deferred Taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184.00M,320.00M,-87.00M,121.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
