Income (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03
Operating Revenue,15.88B,15.17B,14.43B,14.34B,14.41B,14.32B,13.40B,11.64B,13.84B,12.34B,12.56B,11.21B,13.79B,11.55B,11.58B,10.37B,11.52B,10.06B,11.64B,10.11B,6.876B,11.11B,11.31B,10.65B,11.53B,11.35B,11.41B,11.07B,12.10B,11.87B,11.92B,11.29B,12.21B,12.12B,11.54B,10.63B,12.76B,11.34B,11.28B,10.34B,12.08B,10.77B,11.07B,10.37B,9.773B,10.58B,11.04B,9.983B,10.84B,11.10B,10.65B,9.275B,10.84B,9.605B,9.961B,9.214B,10.23B,9.201B,9.295B,8.488B,9.965B,8.438B,8.776B,8.347B,8.978B,8.078B,7.709B,7.059B,7.78B,6.542B,6.29B,5.966B,7.334B,6.221B,5.961B,4.747B,6.807B,5.96B,6.212B,5.562B,6.982B,6.157B,6.203B,6.188B,7.18B,6.349B,6.52B,6.217B,7.878B,6.619B,6.898B,6.674B,7.662B,7.028B,7.076B,5.109B,6.052B,5.551B,5.606B,5.644B,6.604B,5.704B,5.562B,5.036B
Revenue,15.88B,15.17B,14.43B,14.34B,14.41B,14.32B,13.40B,11.64B,13.84B,12.34B,12.56B,11.21B,13.79B,11.55B,11.58B,10.37B,11.52B,10.06B,11.64B,10.11B,6.876B,11.11B,11.31B,10.65B,11.53B,11.35B,11.41B,11.07B,12.10B,11.87B,11.92B,11.29B,12.21B,12.12B,11.54B,10.63B,12.76B,11.34B,11.28B,10.34B,12.08B,10.77B,11.07B,10.37B,9.773B,10.58B,11.04B,9.983B,10.84B,11.10B,10.65B,9.275B,10.84B,9.605B,9.961B,9.214B,10.23B,9.201B,9.295B,8.488B,9.965B,8.438B,8.776B,8.347B,8.978B,8.078B,7.709B,7.059B,7.78B,6.542B,6.29B,5.966B,7.334B,6.221B,5.961B,4.747B,6.807B,5.96B,6.212B,5.562B,6.982B,6.157B,6.203B,6.188B,7.18B,6.349B,6.52B,6.217B,7.878B,6.619B,6.898B,6.674B,7.662B,7.028B,7.076B,5.109B,6.052B,5.551B,5.606B,5.644B,6.604B,5.704B,5.562B,5.036B
Cost of Goods Sold,13.76B,13.11B,12.43B,12.15B,12.47B,12.40B,11.55B,9.977B,12.14B,10.74B,10.91B,9.806B,12.10B,10.17B,10.35B,9.193B,10.32B,8.948B,10.27B,8.848B,6.18B,9.839B,9.965B,9.279B,10.43B,10.16B,10.18B,9.999B,11.08B,10.83B,10.75B,10.28B,11.05B,11.12B,10.64B,9.812B,11.43B,10.55B,10.24B,9.441B,10.90B,9.781B,10.06B,9.368B,8.581B,9.455B,9.848B,8.914B,9.717B,9.949B,9.597B,8.365B,9.809B,8.802B,9.121B,8.454B,9.508B,8.585B,8.637B,7.946B,9.515B,7.921B,8.243B,7.879B,8.422B,7.54B,7.299B,6.587B,7.305B,5.989B,5.807B,5.528B,6.978B,5.783B,5.568B,4.397B,7.02B,5.299B,5.544B,5.249B,6.159B,5.427B,5.839B,5.701B,7.523B,5.403B,5.882B,5.599B,7.551B,5.942B,6.261B,6.018B,7.221B,6.353B,6.383B,4.637B,5.514B,5.041B,5.136B,5.189B,6.123B,5.261B,5.109B,4.634B
Gross Profit,2.123B,2.063B,1.993B,2.188B,1.942B,1.921B,1.849B,1.658B,1.709B,1.60B,1.656B,1.406B,1.692B,1.384B,1.23B,1.175B,1.204B,1.112B,1.371B,1.263B,696.00M,1.275B,1.341B,1.371B,1.104B,1.184B,1.224B,1.071B,1.02B,1.043B,1.172B,1.009B,1.164B,996.00M,906.00M,814.00M,1.333B,789.00M,1.042B,896.00M,1.171B,986.00M,1.012B,1.005B,1.192B,1.122B,1.191B,1.069B,1.124B,1.146B,1.054B,910.00M,1.031B,803.00M,840.00M,760.00M,721.00M,616.00M,658.00M,542.00M,450.00M,517.00M,533.00M,468.00M,556.00M,538.00M,410.00M,472.00M,475.00M,553.00M,483.00M,438.00M,356.00M,438.00M,393.00M,350.00M,-213.00M,661.00M,668.00M,313.00M,823.00M,730.00M,364.00M,487.00M,-343.00M,946.00M,638.00M,618.00M,327.00M,677.00M,637.00M,656.00M,441.00M,675.00M,693.00M,472.00M,538.00M,510.00M,470.00M,455.00M,481.00M,443.00M,453.00M,402.00M
Special Income and Charges,0.00,0.00,0.00,,0.00,0.00,-96.00M,,0.00,0.00,,,0.00,0.00,0.00,-80.00M,-67.00M,-15.00M,0.00,0.00,0.00,0.00,,,-366.00M,0.00,0.00,-30.00M,-25.00M,-23.00M,0.00,0.00,-343.00M,42.00M,96.00M,69.00M,-469.00M,125.00M,54.00M,70.00M,246.00M,54.00M,46.00M,-3.00M,370.00M,-13.00M,34.00M,-7.00M,423.00M,-18.00M,177.00M,112.00M,103.00M,102.00M,103.00M,211.00M,165.00M,90.00M,106.00M,88.00M,,44.00M,11.00M,68.00M,,-110.00M,60.00M,33.00M,-893.00M,23.00M,43.00M,36.00M,,-380.00M,26.00M,43.00M,115.00M,-434.00M,-103.00M,13.00M,109.00M,70.00M,3.00M,129.00M,65.00M,34.00M,41.00M,29.00M,339.00M,70.00M,52.00M,21.00M,360.00M,61.00M,1.00M,30.00M,6.00M,24.00M,-483.00M,-143.00M,17.00M,9.00M,51.00M,123.00M
Operating Interest Expense,157.00M,162.00M,163.00M,171.00M,171.00M,177.00M,165.00M,155.00M,174.00M,162.00M,160.00M,155.00M,171.00M,162.00M,165.00M,165.00M,142.00M,104.00M,104.00M,93.00M,87.00M,82.00M,85.00M,86.00M,86.00M,84.00M,88.00M,92.00M,94.00M,97.00M,96.00M,96.00M,96.00M,89.00M,84.00M,85.00M,87.00M,85.00M,86.00M,87.00M,86.00M,74.00M,74.00M,76.00M,68.00M,85.00M,92.00M,87.00M,87.00M,79.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227.00M,,,,192.00M,,,221.00M,213.00M,227.00M,213.00M,201.00M,201.00M,214.00M,226.00M,189.00M,71.00M,66.00M,70.00M,73.00M,79.00M,73.00M,76.00M,78.00M,77.00M
Net Operating Interest Income,-157.00M,-162.00M,-163.00M,-171.00M,-171.00M,-177.00M,-165.00M,-155.00M,-174.00M,-162.00M,-160.00M,-155.00M,-171.00M,-162.00M,-165.00M,-165.00M,-142.00M,-104.00M,-104.00M,-93.00M,-87.00M,-82.00M,-85.00M,-86.00M,-86.00M,-84.00M,-88.00M,-92.00M,-94.00M,-97.00M,-96.00M,-96.00M,-96.00M,-89.00M,-84.00M,-85.00M,-87.00M,-85.00M,-86.00M,-87.00M,-86.00M,-74.00M,-74.00M,-76.00M,-68.00M,-85.00M,-92.00M,-87.00M,-87.00M,-79.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-227.00M,,,,-192.00M,,,-221.00M,-213.00M,-227.00M,-213.00M,-201.00M,-201.00M,-214.00M,-226.00M,-189.00M,-71.00M,-66.00M,-70.00M,-73.00M,-79.00M,-73.00M,-76.00M,-78.00M,-77.00M
Other Operating Expenses,-26.00M,-42.00M,-15.00M,-95.00M,91.00M,-42.00M,-42.00M,-67.00M,-240.00M,-77.00M,-60.00M,4.00M,-75.00M,-204.00M,-145.00M,-63.00M,37.00M,-95.00M,-74.00M,-93.00M,-66.00M,-117.00M,-85.00M,-61.00M,-96.00M,-70.00M,-74.00M,-78.00M,-66.00M,-117.00M,-20.00M,-35.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Operating Expenses,-26.00M,-42.00M,-15.00M,-95.00M,91.00M,-42.00M,-42.00M,-67.00M,-240.00M,-77.00M,-60.00M,4.00M,-75.00M,-204.00M,-145.00M,-63.00M,37.00M,-95.00M,-74.00M,-93.00M,-66.00M,-117.00M,-85.00M,-61.00M,-96.00M,-70.00M,-74.00M,-78.00M,-66.00M,-117.00M,-20.00M,-35.00M,-276.00M,0.00,0.00,0.00,-261.00M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-177.00M,-112.00M,416.00M,-102.00M,-103.00M,-211.00M,284.00M,-90.00M,106.00M,88.00M,,44.00M,11.00M,68.00M,,-110.00M,60.00M,33.00M,-893.00M,23.00M,43.00M,36.00M,,-380.00M,26.00M,43.00M,-724.00M,253.00M,240.00M,0.00,264.00M,242.00M,233.00M,0.00,-744.00M,250.00M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.00M,9.00M,0.00,0.00
Operating Income,2.149B,2.105B,2.008B,2.283B,1.851B,1.963B,1.891B,1.725B,1.949B,1.677B,1.716B,1.402B,1.767B,1.588B,1.375B,1.238B,1.167B,1.207B,1.445B,1.356B,762.00M,1.392B,1.426B,1.432B,1.20B,1.254B,1.298B,1.149B,1.086B,1.16B,1.192B,1.044B,1.44B,996.00M,906.00M,814.00M,1.594B,789.00M,1.042B,896.00M,1.171B,986.00M,1.012B,1.005B,1.192B,1.122B,1.191B,1.069B,1.124B,1.146B,1.231B,1.022B,615.00M,905.00M,943.00M,971.00M,437.00M,706.00M,658.00M,542.00M,450.00M,517.00M,533.00M,468.00M,556.00M,538.00M,410.00M,472.00M,475.00M,553.00M,483.00M,438.00M,356.00M,438.00M,393.00M,350.00M,511.00M,408.00M,428.00M,313.00M,559.00M,488.00M,131.00M,487.00M,401.00M,696.00M,638.00M,618.00M,327.00M,677.00M,637.00M,656.00M,441.00M,675.00M,693.00M,472.00M,538.00M,510.00M,470.00M,455.00M,481.00M,443.00M,453.00M,402.00M
