date,revenues_growth
"Dec. 31, 2019",-7.66%
"Sept. 30, 2019",-14.51%
"June 30, 2019",-5.55%
"March 31, 2019",-5.79%
"Dec. 31, 2018",4.50%
"Sept. 30, 2018",25.00%
"June 30, 2018",27.54%
"March 31, 2018",15.87%
"Dec. 31, 2017",61.68%
"Sept. 30, 2017",4.55%
"June 30, 2017",-0.59%
"March 31, 2017",19.89%
"Dec. 31, 2016",6.15%
"Sept. 30, 2016",-13.57%
"June 30, 2016",-21.02%
"March 31, 2016",-27.26%
"Dec. 31, 2015",-54.62%
"Sept. 30, 2015",-36.36%
"June 30, 2015",-32.50%
"March 31, 2015",-36.08%
"Dec. 31, 2014",-20.89%
"Sept. 30, 2014",-4.78%
"June 30, 2014",2.59%
"March 31, 2014",-2.00%
"Dec. 31, 2013",-2.88%
"Sept. 30, 2013",-2.34%
"June 30, 2013",-8.60%
"March 31, 2013",-13.27%
"Dec. 31, 2012",-3.97%
"Sept. 30, 2012",-8.59%
"June 30, 2012",-7.41%
"March 31, 2012",8.18%
"Dec. 31, 2011",14.46%
"Sept. 30, 2011",30.76%
"June 30, 2011",34.93%
"March 31, 2011",25.61%
"Dec. 31, 2010",13.60%
"Sept. 30, 2010",15.23%
"June 30, 2010",21.20%
"March 31, 2010",36.99%
"Dec. 31, 2009",6.32%
"Sept. 30, 2009",-40.27%
"June 30, 2009",-46.07%
"March 31, 2009",-45.21%
"Dec. 31, 2008",-23.68%
"Sept. 30, 2008",31.83%
"June 30, 2008",40.39%
"March 31, 2008",33.97%
"Dec. 31, 2007",19.68%
"Sept. 30, 2007",2.76%
"June 30, 2007",-0.69%
"March 31, 2007",-1.97%
"Dec. 31, 2006",-9.38%
"Sept. 30, 2006",-1.12%
"June 30, 2006",11.82%
"March 31, 2006",8.44%
"Dec. 31, 2005",19.17%
"Sept. 30, 2005",31.87%
"June 30, 2005",25.29%
"March 31, 2005",21.37%
"Dec. 31, 2004",26.40%
"Sept. 30, 2004",27.63%
"June 30, 2004",23.66%
"March 31, 2004",5.99%
"Dec. 31, 2003",17.33%
"Sept. 30, 2003",10.62%
"June 30, 2003",12.52%
"March 31, 2003",46.98%
"Dec. 31, 2002",19.12%
"Sept. 30, 2002",-4.16%
"June 30, 2002",-9.58%
"March 31, 2002",-24.27%
"Dec. 31, 2001",-42.74%
"Sept. 30, 2001",8.18%
"June 30, 2001",13.55%
"March 31, 2001",19.92%
"Dec. 31, 2000",22.86%
"Sept. 30, 2000",19.69%
"June 30, 2000",30.02%
"March 31, 2000",41.34%
"Dec. 31, 1999",-25.50%
"Sept. 30, 1999",77.85%
"June 30, 1999",51.01%
"March 31, 1999",12.82%
"Dec. 31, 1998",3.87%
"Sept. 30, 1998",-14.79%
"June 30, 1998",-12.14%
"March 31, 1998",1.38%
"Dec. 31, 1997",166.7%
"Sept. 30, 1997",-1.10%
"June 30, 1997",2.53%
"March 31, 1997",8.81%
"Dec. 31, 1996",20.85%
"Sept. 30, 1996",7.63%
"June 30, 1996",0.46%
"March 31, 1996",3.97%
"Dec. 31, 1995",1.46%
"Sept. 30, 1995",3.75%
"June 30, 1995",14.85%
"March 31, 1995",14.18%
"Dec. 31, 1994",8.06%
"Sept. 30, 1994",6.51%
"June 30, 1994",-1.85%
"March 31, 1994",-5.20%
"Dec. 31, 1993",-8.80%
"Sept. 30, 1993",-10.23%
"June 30, 1993",0.63%
"March 31, 1993",-1.37%
"Dec. 31, 1992",-0.83%
"Sept. 30, 1992",12.39%
"June 30, 1992",1.22%
"March 31, 1992",-10.14%
"Dec. 31, 1991",-14.88%
"Sept. 30, 1991",-7.08%
"June 30, 1991",3.44%
"March 31, 1991",12.89%
"Dec. 31, 1990",34.46%
"Sept. 30, 1990",22.77%
"June 30, 1990",-0.71%
"March 31, 1990",8.47%
"Dec. 31, 1989",21.66%
"Sept. 30, 1989",7.61%
"June 30, 1989",18.48%
"March 31, 1989",9.01%
"Dec. 31, 1988",-4.74%
"Sept. 30, 1988",0.74%
"June 30, 1988",7.21%
"March 31, 1988",14.76%
"Dec. 31, 1987",16.67%
"Sept. 30, 1987",25.88%
"June 30, 1987",13.16%
"March 31, 1987",-12.69%
"Dec. 31, 1986",-22.82%
"Sept. 30, 1986",-25.37%
"June 30, 1986",-23.45%
"March 31, 1986",-5.91%
"Dec. 31, 1985",-0.72%
"Sept. 30, 1985",-5.02%
"June 30, 1985",-5.79%
"March 31, 1985",-6.87%
