Assets (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03,1993-12,1993-09,1993-06,1993-03,1992-12,1992-09,1992-06,1992-03,1991-12,1991-09,1991-06,1991-03,1990-12,1990-09,1990-06,1990-03,1989-12,1989-09,1989-06,1988-12,1987-12,1986-12,1985-12,1984-12
Cash and Equivalents,36.39B,27.81B,31.97B,34.40B,31.12B,,27.67B,31.63B,43.30B,39.85B,44.05B,41.56B,48.13B,52.53B,52.12B,75.08B,70.48B,99.09B,91.67B,87.06B,70.02B,90.44B,86.57B,86.98B,88.56B,86.50B,88.71B,89.78B,77.27B,85.46B,74.30B,83.65B,84.50B,91.37B,91.05B,82.17B,78.94B,78.39B,73.85B,69.63B,70.49B,61.37B,52.32B,46.83B,48.19B,16.30B,18.99B,15.29B,15.73B,19.85B,15.85B,19.26B,14.10B,13.78B,11.10B,8.503B,8.825B,10.93B,12.89B,12.90B,12.15B,10.08B,10.26B,13.37B,12.66B,8.321B,6.535B,9.499B,8.91B,11.13B,10.21B,9.442B,8.433B,8.834B,8.00B,8.177B,8.195B,8.781B,12.08B,18.06B,8.554B,6.112B,5.099B,4.596B,4.317B,5.767B,3.862B,5.419B,5.861B,4.289B,3.806B,3.621B,4.191B,4.672B,3.271B,3.17B,2.823B,3.159B,3.115B,2.757B,2.591B,3.343B,3.371B,2.524B,3.218B,2.939B,2.988B,2.824B,3.129B,2.114B,1.938B,1.796B,1.971B,1.638B,1.619B,1.791B,1.975B,1.453B,1.991B,1.462B,2.258B,1.689B,1.875B,26.87B,2.692B,1.919B,2.557B,2.373B
Short Term Investments,48.52B,48.22B,39.38B,38.28B,33.51B,34.76B,36.61B,37.16B,38.70B,38.70B,39.97B,41.95B,44.31B,46.37B,39.72B,32.97B,31.97B,36.93B,39.44B,41.99B,35.50B,47.02B,46.75B,45.73B,43.98B,43.90B,43.75B,48.33B,48.51B,48.72B,47.93B,47.83B,47.37B,46.46B,45.34B,44.89B,43.94B,45.69B,42.10B,41.55B,51.34B,52.76B,45.21B,41.93B,41.45B,43.46B,45.86B,45.62B,45.28B,45.21B,45.13B,45.18B,47.81B,45.63B,45.02B,45.10B,42.15B,78.93B,133.95B,135.74B,56.92B,125.29B,122.81B,124.90B,129.27B,119.07B,109.43B,121.11B,116.86B,115.37B,107.16B,101.81B,101.02B,97.60B,94.35B,91.86B,91.34B,89.24B,84.42B,82.58B,81.76B,78.11B,76.56B,78.49B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash and Short Term Investments,84.92B,76.04B,71.35B,72.67B,64.63B,61.69B,64.28B,68.78B,82.00B,78.55B,84.02B,83.51B,92.44B,98.90B,91.84B,108.05B,102.46B,136.02B,131.10B,129.05B,105.53B,137.46B,133.32B,132.71B,132.54B,130.40B,132.46B,138.11B,125.78B,134.18B,122.23B,131.48B,131.88B,137.83B,136.39B,127.06B,122.88B,124.08B,115.95B,111.18B,121.83B,114.14B,97.53B,88.76B,89.63B,59.76B,64.85B,60.91B,61.01B,65.06B,60.98B,64.44B,61.90B,59.41B,56.12B,53.60B,50.97B,89.86B,146.85B,148.63B,69.08B,135.37B,133.08B,138.28B,141.93B,127.39B,115.96B,130.61B,125.77B,126.50B,117.37B,111.26B,109.45B,106.44B,102.35B,100.03B,99.53B,98.02B,96.50B,100.64B,90.31B,84.22B,81.66B,83.09B,4.317B,5.767B,3.862B,5.419B,5.861B,4.289B,3.806B,3.621B,4.191B,4.672B,3.271B,3.17B,2.823B,3.159B,3.115B,2.757B,2.591B,3.343B,3.371B,2.524B,3.218B,2.939B,2.988B,2.824B,3.129B,2.114B,1.938B,1.796B,1.971B,1.638B,1.619B,1.791B,1.975B,1.453B,1.991B,1.462B,2.258B,1.689B,1.875B,26.87B,2.692B,1.919B,2.557B,2.373B
Accounts Receivable,15.73B,15.55B,19.43B,26.63B,18.44B,28.33B,29.18B,32.69B,34.54B,37.25B,33.60B,33.92B,36.32B,37.05B,37.13B,37.82B,39.08B,94.68B,92.59B,88.59B,36.68B,248.51B,252.52B,257.98B,263.33B,264.42B,267.12B,269.46B,277.14B,289.56B,291.84B,299.60B,300.40B,313.02B,320.08B,327.76B,321.63B,348.70B,350.31B,374.66B,16.46B,374.64B,385.31B,380.03B,21.41B,451.23B,453.84B,448.13B,22.26B,391.09B,379.19B,363.61B,19.62B,339.12B,331.67B,313.75B,316.82B,323.34B,326.32B,334.51B,308.27B,304.78B,303.37B,279.03B,295.93B,263.87B,265.36B,252.01B,251.76B,241.16B,235.80B,221.66B,223.15B,198.18B,189.43B,186.68B,188.32B,181.68B,180.38B,149.20B,175.87B,8.133B,8.048B,8.354B,154.58B,,,,130.38B,,,,123.84B,,,,114.42B,,,,89.65B,,,,87.76B,,,,,,,,,,,,,,,,,,,,,,,
Other Receivables,12.19B,12.02B,11.87B,6.794B,11.72B,6.115B,6.505B,6.804B,6.301B,6.107B,6.156B,5.804B,5.944B,6.301B,6.684B,6.409B,6.782B,6.28B,6.316B,6.814B,6.261B,8.601B,9.208B,9.009B,9.114B,9.03B,9.381B,8.664B,7.864B,,,,7.561B,,,,7.571B,,,,333.30B,,,,378.61B,,,,392.64B,,,,338.64B,,,,,,,,,,,,,,,,,,,,,,,,,,,28.36B,,156.65B,154.69B,149.13B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Receivables,27.05B,26.73B,30.19B,33.42B,29.49B,34.45B,35.69B,39.50B,40.85B,43.36B,39.75B,39.72B,42.26B,43.35B,43.81B,44.23B,45.86B,100.96B,98.90B,95.40B,42.94B,257.11B,261.72B,266.99B,272.44B,273.45B,276.50B,278.12B,285.00B,289.56B,291.84B,299.60B,307.96B,313.02B,320.08B,327.76B,329.20B,348.70B,350.31B,374.66B,349.76B,374.64B,385.31B,380.03B,400.02B,451.23B,453.84B,448.13B,414.90B,391.09B,379.19B,363.61B,358.26B,339.12B,331.67B,313.75B,316.82B,323.34B,326.32B,334.51B,308.27B,304.78B,303.37B,279.03B,295.93B,263.87B,265.36B,252.01B,251.76B,241.16B,235.80B,221.66B,223.15B,198.18B,189.43B,186.68B,188.32B,181.68B,180.38B,177.56B,175.87B,164.78B,162.74B,157.48B,154.58B,143.20B,135.58B,129.86B,130.38B,121.72B,122.58B,120.17B,123.84B,115.76B,114.00B,112.86B,114.42B,105.34B,99.11B,94.77B,89.65B,96.88B,92.46B,88.68B,87.76B,79.05B,80.48B,74.41B,74.56B,73.18B,73.64B,74.31B,71.13B,71.21B,58.55B,57.85B,58.06B,55.41B,51.77B,49.60B,54.23B,46.55B,39.09B,47.31B,6.782B,7.208B,6.04B,5.509B
Raw Materials Inventory,8.771B,8.983B,10.85B,10.41B,8.057B,11.19B,10.81B,10.98B,10.13B,13.94B,12.83B,13.26B,12.64B,13.92B,14.65B,14.34B,13.42B,10.62B,10.49B,9.896B,9.963B,10.59B,10.16B,10.45B,9.76B,10.64B,9.926B,9.738B,9.295B,9.552B,9.404B,9.387B,8.735B,9.20B,8.717B,8.111B,6.973B,7.262B,6.894B,7.341B,7.581B,8.365B,8.432B,8.903B,8.71B,9.343B,9.34B,8.971B,7.893B,7.888B,7.293B,7.466B,5.87B,6.724B,6.615B,6.176B,5.527B,5.792B,5.508B,5.623B,5.042B,5.186B,5.014B,4.668B,4.53B,4.649B,4.705B,4.704B,4.894B,4.992B,4.955B,5.108B,4.708B,4.776B,4.935B,4.498B,4.134B,4.17B,3.762B,3.742B,3.438B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finished Goods Inventory,5.333B,6.025B,8.928B,8.836B,5.746B,9.231B,9.427B,9.334B,8.847B,10.86B,9.11B,8.548B,8.798B,9.387B,9.305B,8.834B,8.265B,7.921B,7.604B,7.363B,7.032B,8.084B,8.845B,7.911B,7.229B,6.974B,6.653B,6.462B,6.099B,6.881B,6.474B,6.282B,5.022B,6.215B,6.29B,5.613B,4.501B,5.194B,4.965B,4.915B,4.935B,5.382B,5.552B,5.62B,5.67B,6.013B,6.298B,5.923B,5.627B,6.013B,5.829B,6.294B,4.726B,5.765B,5.748B,5.841B,5.644B,5.624B,5.656B,5.602B,5.397B,5.13B,5.182B,4.948B,4.854B,5.011B,5.108B,5.093B,4.959B,5.024B,4.844B,4.852B,4.533B,4.455B,4.089B,4.538B,4.523B,5.184B,5.023B,4.773B,4.496B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Inventory,,195.00M,189.00M,171.00M,,217.00M,234.00M,257.00M,441.00M,532.00M,427.00M,441.00M,537.00M,500.00M,511.00M,507.00M,628.00M,709.00M,617.00M,614.00M,756.00M,878.00M,920.00M,766.00M,609.00M,678.00M,543.00M,467.00M,378.00M,,,,485.00M,,,,456.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inventories,14.10B,15.20B,19.97B,19.42B,13.80B,20.64B,20.47B,20.57B,19.42B,25.85B,22.84B,22.70B,22.35B,24.12B,24.72B,23.91B,22.52B,19.28B,18.70B,17.83B,17.69B,19.43B,19.71B,18.88B,17.32B,17.94B,16.76B,16.28B,15.37B,16.02B,15.44B,15.21B,13.79B,15.02B,14.62B,13.33B,11.53B,12.00B,11.37B,11.75B,11.99B,13.09B,13.31B,13.83B,13.67B,14.72B,15.01B,14.28B,12.90B,13.32B,12.55B,13.14B,10.03B,11.86B,11.74B,11.36B,10.47B,10.80B,10.50B,10.55B,9.778B,9.734B,9.605B,9.007B,8.752B,9.047B,9.218B,9.198B,9.247B,9.341B,9.139B,9.297B,8.565B,8.44B,8.22B,8.20B,7.812B,8.466B,7.878B,7.786B,7.007B,7.293B,6.576B,6.398B,6.049B,6.202B,5.564B,5.975B,5.895B,5.412B,5.376B,5.226B,4.473B,5.061B,5.051B,4.894B,4.395B,5.229B,5.254B,5.294B,3.88B,4.67B,4.50B,4.333B,3.824B,4.766B,4.995B,5.026B,4.574B,6.411B,6.532B,6.735B,6.398B,7.461B,7.557B,7.425B,6.707B,7.445B,7.485B,7.42B,6.655B,7.278B,7.402B,6.486B,6.265B,5.161B,3.949B,3.67B
