Income (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03,1993-12,1993-09,1993-06,1993-03,1992-12,1992-09,1992-06,1992-03,1991-12,1991-09,1991-06,1991-03,1990-12,1990-09,1990-06,1990-03,1989-12,1989-09,1989-06,1989-03,1988-12,1988-09,1988-06,1988-03,1987-12,1987-09,1987-06,1987-03,1986-12,1986-09,1986-06,1986-03,1985-12,1985-09,1985-06,1985-03,1984-12,1984-09,1984-06,1984-03
Operating Revenue,26.24B,23.36B,28.83B,27.29B,26.50B,23.39B,29.16B,27.79B,12.64B,30.66B,29.10B,26.88B,32.25B,29.04B,30.34B,27.84B,32.76B,27.86B,28.45B,26.10B,22.60B,31.85B,31.92B,33.35B,6.556B,35.30B,34.96B,33.33B,38.13B,35.47B,36.00B,34.52B,36.97B,34.81B,35.00B,34.70B,40.86B,35.19B,36.65B,35.85B,39.83B,37.36B,39.07B,38.01B,45.39B,46.69B,46.27B,41.65B,50.85B,42.13B,40.96B,38.69B,40.54B,37.31B,37.10B,37.58B,28.91B,36.02B,35.94B,34.03B,25.17B,38.15B,36.46B,33.46B,15.47B,33.19B,33.22B,30.40B,35.10B,32.26B,33.25B,30.47B,34.47B,29.45B,31.82B,30.43B,34.86B,31.90B,32.73B,29.92B,32.45B,27.11B,27.20B,24.06B,28.46B,23.98B,24.93B,22.46B,24.88B,21.81B,21.86B,20.00B,22.85B,19.86B,18.90B,16.93B,19.55B,17.15B,17.63B,14.95B,13.31B,15.96B,16.02B,14.02B,17.89B,14.67B,14.57B,12.70B,12.58B,15.14B,15.19B,13.37B,17.35B,14.29B,14.60B,13.14B,16.97B,14.05B,14.21B,12.43B,15.95B,12.83B,13.43B,11.90B,12.27B,9.306B,9.245B,7.975B,12.04B,9.404B,9.56B,8.315B,12.27B,9.278B,7.79B,5.88B,8.725B,6.52B,6.84B,6.196B,7.977B,6.723B,6.664B,6.583B
Revenue,26.24B,23.36B,28.83B,27.29B,26.50B,23.39B,29.16B,27.79B,12.64B,30.66B,29.10B,26.88B,32.25B,29.04B,30.34B,27.84B,32.76B,27.86B,28.45B,26.10B,22.60B,31.85B,31.92B,33.35B,6.556B,35.30B,34.96B,33.33B,38.13B,35.47B,36.00B,34.52B,32.16B,35.36B,35.62B,38.33B,40.05B,35.37B,36.93B,36.20B,39.93B,37.80B,39.11B,38.44B,45.28B,47.23B,46.84B,42.23B,48.53B,42.51B,42.38B,39.20B,41.03B,37.87B,37.74B,38.03B,29.32B,36.37B,36.54B,34.35B,25.58B,38.34B,36.78B,33.59B,15.66B,33.39B,33.37B,30.46B,35.51B,32.72B,33.33B,30.52B,34.48B,29.47B,31.98B,30.49B,34.98B,32.01B,32.86B,30.00B,32.86B,27.20B,27.41B,24.06B,29.10B,23.98B,24.93B,22.46B,24.88B,21.81B,21.86B,20.00B,22.85B,19.86B,18.90B,16.93B,19.55B,17.15B,17.63B,14.95B,13.31B,15.96B,16.02B,14.02B,17.89B,14.67B,14.57B,12.70B,12.58B,15.14B,15.19B,13.37B,17.35B,14.29B,14.60B,13.14B,16.97B,14.05B,14.21B,12.43B,15.95B,12.83B,13.43B,11.90B,12.27B,9.306B,9.245B,7.975B,12.04B,9.404B,9.56B,8.315B,12.27B,9.278B,7.79B,5.88B,8.725B,6.52B,6.84B,6.196B,7.977B,6.723B,6.664B,6.583B
Cost of Goods Sold,21.61B,17.33B,21.82B,20.35B,23.56B,17.85B,21.75B,20.91B,13.21B,23.67B,21.62B,20.23B,27.73B,20.97B,22.38B,20.36B,25.88B,19.86B,20.57B,18.68B,27.07B,19.74B,20.01B,18.52B,26.60B,19.46B,18.49B,17.32B,30.33B,18.51B,19.20B,17.87B,31.15B,16.76B,17.42B,16.72B,34.89B,16.63B,17.20B,17.51B,20.50B,18.55B,18.80B,18.07B,22.91B,22.14B,20.73B,17.99B,21.51B,18.26B,17.51B,15.85B,17.81B,16.62B,16.32B,17.66B,11.64B,16.00B,16.60B,15.54B,18.09B,15.93B,15.12B,12.62B,15.21B,12.29B,12.42B,11.28B,14.40B,12.24B,13.86B,12.35B,12.85B,11.74B,12.71B,11.79B,13.70B,13.06B,13.21B,11.86B,14.04B,11.20B,11.16B,9.567B,15.31B,8.907B,9.678B,8.042B,11.68B,8.311B,8.645B,7.375B,8.558B,7.415B,7.072B,6.041B,8.036B,6.423B,7.09B,5.827B,7.908B,6.122B,6.489B,5.236B,11.89B,9.118B,7.075B,5.178B,4.821B,7.264B,7.378B,6.099B,9.757B,7.019B,7.089B,5.875B,8.961B,6.895B,6.993B,6.027B,8.37B,6.544B,7.195B,,,,,,,,,,,,,,,,,,,,,
Gross Profit,4.626B,6.032B,7.013B,6.933B,2.944B,5.545B,7.413B,6.877B,-574.00M,6.992B,7.474B,6.65B,4.517B,8.072B,7.961B,7.475B,6.872B,8.004B,7.874B,7.415B,-4.471B,12.11B,11.92B,14.83B,-20.04B,15.84B,16.46B,16.01B,7.798B,16.96B,16.80B,16.65B,1.017B,18.60B,18.21B,21.61B,5.159B,18.75B,19.73B,18.69B,19.43B,19.25B,20.30B,20.37B,22.37B,25.10B,26.11B,24.24B,27.02B,24.25B,24.88B,23.35B,23.22B,21.26B,21.42B,20.37B,17.68B,20.37B,19.94B,18.81B,7.493B,22.41B,21.66B,20.97B,452.00M,21.10B,20.95B,19.18B,21.11B,20.48B,19.47B,18.17B,21.62B,17.73B,19.27B,18.70B,21.28B,18.96B,19.66B,18.14B,18.82B,16.00B,16.25B,14.50B,13.80B,15.07B,15.25B,14.42B,13.20B,13.50B,13.22B,12.62B,14.29B,12.45B,11.83B,10.89B,11.51B,10.73B,10.54B,9.121B,5.406B,9.841B,9.529B,8.785B,6.001B,5.551B,7.491B,7.522B,7.761B,7.873B,7.81B,7.268B,7.592B,7.271B,7.512B,7.264B,8.006B,7.155B,7.221B,6.404B,7.58B,6.284B,6.236B,,,,,,,,,,,,,,,,,,,,,
General and Administrative Expense,4.411B,4.756B,4.822B,4.757B,4.411B,4.81B,5.015B,4.718B,,,,,,,,,,,,,,,,,,,,,,,,,,10.15B,9.108B,9.243B,,9.704B,9.608B,9.675B,10.54B,10.09B,9.712B,10.08B,11.32B,11.33B,11.39B,11.01B,11.31B,11.05B,10.89B,10.46B,9.99B,9.613B,9.967B,9.786B,7.814B,9.623B,9.54B,9.675B,-3.147B,13.26B,13.23B,12.66B,-6.28B,12.12B,12.20B,11.50B,14.40B,11.72B,10.54B,10.06B,12.62B,10.06B,10.47B,10.58B,12.45B,10.99B,11.22B,10.73B,10.78B,9.411B,9.199B,2.619B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG&A Expense,4.411B,4.756B,4.822B,4.757B,4.411B,4.81B,5.015B,4.718B,13.24B,4.741B,4.152B,4.287B,3.805B,4.343B,4.883B,4.608B,4.773B,4.258B,4.385B,4.415B,,,,,,,,,,,,,,10.15B,9.108B,9.243B,,9.704B,9.608B,9.675B,10.54B,10.09B,9.712B,10.08B,11.32B,11.33B,11.39B,11.01B,11.31B,11.05B,10.89B,10.46B,9.99B,9.613B,9.967B,9.786B,7.814B,9.623B,9.54B,9.675B,-3.147B,13.26B,13.23B,12.66B,-6.28B,12.12B,12.20B,11.50B,14.40B,11.72B,10.54B,10.06B,12.62B,10.06B,10.47B,10.58B,12.45B,10.99B,11.22B,10.73B,10.78B,9.411B,9.199B,2.619B,8.439B,8.249B,8.425B,7.978B,9.015B,7.58B,7.069B,7.285B,8.227B,6.944B,6.246B,5.912B,6.104B,5.715B,5.358B,4.654B,3.938B,4.662B,4.383B,4.384B,1.366B,1.009B,4.229B,3.778B,4.158B,4.054B,3.799B,3.496B,3.352B,3.475B,3.573B,3.352B,3.856B,3.273B,3.351B,2.929B,3.792B,2.833B,3.178B,,,,,,,,,,,,,,,,,,,,,
Special Income and Charges,1.00M,-740.00M,-744.00M,,1.071B,-21.97B,0.00,,-579.00M,-947.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-190.00M,-221.00M,-223.00M,-227.00M,-198.00M,-216.00M,-238.00M,-180.00M,-230.00M,-290.00M,-216.00M,-189.00M,-269.00M,-186.00M,-83.00M,-89.00M,-77.00M,-72.00M,-70.00M,-76.00M,-84.00M,-90.00M,-76.00M,-86.00M,-59.00M,-101.00M,-102.00M,-122.00M,-110.00M,-97.00M,-98.00M,-111.00M,-92.00M,-108.00M,,-732.00M,158.00M,142.00M,167.00M,1.819B,185.00M,137.00M,159.00M,146.00M,160.00M,165.00M,167.00M,205.00M,190.00M,179.00M,178.00M,264.00M,190.00M,178.00M,161.00M,195.00M,189.00M,195.00M,156.00M,126.00M,313.00M,202.00M,158.00M,202.00M,288.00M,173.00M,194.00M,286.00M,160.00M,138.00M,168.00M,211.00M,156.00M,100.00M,,,,,,,,,,,,,,,,,,,,,
Provision for Doubtful Accounts,,,,,,,,,,,,,,,,,,,,,,858.00M,948.00M,984.00M,,789.00M,1.01B,1.457B,1.104B,1.122B,743.00M,863.00M,1.037B,961.00M,792.00M,1.14B,1.261B,1.637B,2.007B,2.187B,2.606B,2.868B,2.817B,2.336B,2.78B,1.641B,1.469B,1.343B,1.299B,1.19B,1.057B,936.00M,862.00M,793.00M,896.00M,822.00M,284.00M,1.095B,958.00M,902.00M,1.144B,785.00M,1.004B,955.00M,953.00M,1.061B,978.00M,760.00M,997.00M,640.00M,785.00M,662.00M,935.00M,567.00M,496.00M,483.00M,640.00M,463.00M,421.00M,521.00M,623.00M,227.00M,442.00M,379.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Interest Expense,-1.577B,1.279B,991.00M,1.133B,-1.801B,1.155B,1.291B,1.282B,-2.035B,1.232B,1.174B,1.139B,-2.789B,961.00M,1.326B,1.736B,-1.066B,897.00M,713.00M,618.00M,-2.89B,1.325B,1.299B,2.141B,-6.799B,2.445B,2.60B,2.603B,-8.71B,2.972B,3.202B,3.347B,-10.64B,3.731B,3.77B,3.796B,-10.66B,3.822B,3.946B,4.023B,4.007B,4.322B,4.653B,5.327B,5.655B,6.955B,6.621B,6.527B,6.483B,6.07B,5.645B,5.578B,5.153B,5.03B,4.48B,4.348B,3.639B,3.715B,3.786B,3.671B,3.016B,2.974B,2.784B,2.843B,2.458B,2.723B,2.683B,2.596B,2.626B,2.773B,2.443B,2.374B,2.639B,2.64B,2.707B,3.076B,3.065B,2.859B,3.014B,2.782B,2.891B,2.455B,2.404B,2.263B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Operating Interest Income,2.797B,-1.279B,-991.00M,-1.133B,2.363B,-1.155B,-1.291B,-1.282B,2.393B,-1.232B,-1.174B,-1.139B,3.052B,-961.00M,-1.326B,-1.736B,1.066B,-897.00M,-713.00M,-618.00M,2.89B,-1.325B,-1.299B,-2.141B,6.799B,-2.445B,-2.60B,-2.603B,8.71B,-2.972B,-3.202B,-3.347B,10.64B,-3.731B,-3.77B,-3.796B,10.66B,-3.822B,-3.946B,-4.023B,-4.007B,-4.322B,-4.653B,-5.327B,-5.655B,-6.955B,-6.621B,-6.527B,-6.483B,-6.07B,-5.645B,-5.578B,-5.153B,-5.03B,-4.48B,-4.348B,-3.639B,-3.715B,-3.786B,-3.671B,-3.016B,-2.974B,-2.784B,-2.843B,-2.458B,-2.723B,-2.683B,-2.596B,-2.626B,-2.773B,-2.443B,-2.374B,-2.639B,-2.64B,-2.707B,-3.076B,-3.065B,-2.859B,-3.014B,-2.782B,-2.891B,-2.455B,-2.404B,-2.263B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
