date,six_month_return
"March 19, 2020",-4.92%
"March 18, 2020",-4.15%
"March 17, 2020",1.47%
"March 16, 2020",-13.22%
"March 13, 2020",0.73%
"March 12, 2020",-7.84%
"March 11, 2020",-0.68%
"March 10, 2020",1.67%
"March 9, 2020",-0.81%
"March 6, 2020",1.85%
"March 5, 2020",-0.87%
"March 4, 2020",0.26%
"March 3, 2020",-2.86%
"March 2, 2020",-3.43%
"Feb. 28, 2020",-8.28%
"Feb. 27, 2020",-3.27%
"Feb. 26, 2020",0.89%
"Feb. 25, 2020",2.03%
"Feb. 24, 2020",3.79%
"Feb. 21, 2020",3.82%
"Feb. 20, 2020",4.36%
"Feb. 19, 2020",3.14%
"Feb. 18, 2020",4.52%
"Feb. 14, 2020",8.04%
"Feb. 13, 2020",8.31%
"Feb. 12, 2020",6.26%
"Feb. 11, 2020",6.81%
"Feb. 10, 2020",7.39%
"Feb. 7, 2020",7.40%
"Feb. 6, 2020",7.39%
"Feb. 5, 2020",8.06%
"Feb. 4, 2020",4.41%
"Feb. 3, 2020",4.19%
"Jan. 31, 2020",2.94%
"Jan. 30, 2020",3.03%
"Jan. 29, 2020",2.94%
"Jan. 28, 2020",3.29%
"Jan. 27, 2020",3.36%
"Jan. 24, 2020",4.32%
"Jan. 23, 2020",4.13%
"Jan. 22, 2020",4.68%
"Jan. 21, 2020",3.56%
"Jan. 17, 2020",3.02%
"Jan. 16, 2020",4.14%
"Jan. 15, 2020",1.63%
"Jan. 14, 2020",0.15%
"Jan. 13, 2020",-0.10%
"Jan. 10, 2020",-2.59%
"Jan. 9, 2020",-4.44%
"Jan. 8, 2020",-4.07%
"Jan. 7, 2020",-2.40%
"Jan. 6, 2020",-1.53%
"Jan. 3, 2020",-0.37%
"Jan. 2, 2020",-0.04%
"Dec. 31, 2019",0.85%
"Dec. 30, 2019",0.16%
"Dec. 27, 2019",2.35%
"Dec. 26, 2019",3.59%
"Dec. 24, 2019",1.52%
"Dec. 23, 2019",2.06%
