date,revenues_growth
"Dec. 31, 2019",-1.67%
"Sept. 30, 2019",-0.83%
"June 30, 2019",-4.22%
"March 31, 2019",-4.90%
"Dec. 31, 2018",976.6%
"Sept. 30, 2018",-26.42%
"June 30, 2018",9.26%
"March 31, 2018",29.27%
"Dec. 31, 2017",-91.21%
"Sept. 30, 2017",17.16%
"June 30, 2017",22.22%
"March 31, 2017",26.57%
"Dec. 31, 2016",35.68%
"Sept. 30, 2016",17.88%
"June 30, 2016",10.42%
"March 31, 2016",-13.98%
"Dec. 31, 2015",-13.14%
"Sept. 30, 2015",0.32%
"June 30, 2015",-7.78%
"March 31, 2015",-8.72%
"Dec. 31, 2014",-2.04%
"Sept. 30, 2014",5.86%
"June 30, 2014",6.75%
"March 31, 2014",32.41%
"Dec. 31, 2013",12.21%
"Sept. 30, 2013",10.71%
"June 30, 2013",12.22%
"March 31, 2013",16.39%
"Dec. 31, 2012",5.32%
"Sept. 30, 2012",-3.02%
"June 30, 2012",-3.38%
"March 31, 2012",-17.52%
"Dec. 31, 2011",-11.69%
"Sept. 30, 2011",5.42%
"June 30, 2011",8.46%
"March 31, 2011",-4.35%
"Dec. 31, 2010",28.40%
"Sept. 30, 2010",140.8%
"June 30, 2010",96.06%
"March 31, 2010",46.69%
"Dec. 31, 2009",26.65%
"Sept. 30, 2009",-36.10%
"June 30, 2009",-40.87%
"March 31, 2009",4.19%
"Dec. 31, 2008",2.22%
"Sept. 30, 2008",19.99%
"June 30, 2008",31.53%
"March 31, 2008",7.21%
"Dec. 31, 2007",16.50%
"Sept. 30, 2007",17.86%
"June 30, 2007",18.50%
"March 31, 2007",2.83%
"Dec. 31, 2006",-18.12%
"Sept. 30, 2006",-0.04%
"June 30, 2006",4.93%
"March 31, 2006",16.84%
"Dec. 31, 2005",39.37%
"Sept. 30, 2005",32.09%
"June 30, 2005",23.12%
"March 31, 2005",22.09%
"Dec. 31, 2004",14.90%
"Sept. 30, 2004",13.50%
"June 30, 2004",11.40%
"March 31, 2004",1.28%
"Dec. 31, 2003",29.01%
"Sept. 30, 2003",6.54%
"June 30, 2003",-42.17%
"March 31, 2003",29.43%
"Dec. 31, 2002",20.73%
"Sept. 30, 2002",-11.23%
"June 30, 2002",-25.08%
"March 31, 2002",-63.71%
"Dec. 31, 2001",
"Sept. 30, 2001",-58.29%
"June 30, 2001",7.38%
"March 31, 2001",36.07%
"Dec. 31, 2000",
"Sept. 30, 2000",5.22%
"June 30, 2000",41.26%
"March 31, 2000",77.17%
"Dec. 31, 1999",64.91%
"Sept. 30, 1999",56.08%
"June 30, 1999",7.44%
"March 31, 1999",-7.64%
"Dec. 31, 1998",-26.85%
"Sept. 30, 1998",-13.19%
"June 30, 1998",-2.90%
"March 31, 1998",38.07%
"Dec. 31, 1997",-64.14%
"Sept. 30, 1997",112.8%
"June 30, 1997",78.17%
"March 31, 1997",-11.02%
"Dec. 31, 1996",333.9%
"Sept. 30, 1996",-4.85%
"June 30, 1996",14.03%
"March 31, 1996",58.58%
"Dec. 31, 1995",60.25%
"Sept. 30, 1995",9.57%
"June 30, 1995",11.06%
"March 31, 1995",-14.17%
"Dec. 31, 1994",-3.24%
"Sept. 30, 1994",35.25%
"June 30, 1994",15.03%
"March 31, 1994",20.00%
"Dec. 31, 1993",4.22%
"Sept. 30, 1993",11.20%
"June 30, 1993",13.07%
"March 31, 1993",22.95%
"Dec. 31, 1992",40.24%
"Sept. 30, 1992",5.04%
"June 30, 1992",2.00%
"March 31, 1992",-6.15%
"Dec. 31, 1991",-30.17%
"Sept. 30, 1991",-19.05%
"June 30, 1991",-10.18%
"March 31, 1991",-17.20%
"Dec. 31, 1990",6.61%
"Sept. 30, 1990",8.89%
"June 30, 1990",-11.17%
"March 31, 1990",24.11%
"Dec. 31, 1989",35.12%
"Sept. 30, 1989",28.57%
"June 30, 1989",57.98%
"March 31, 1989",30.41%
"Dec. 31, 1988",16.67%
"Sept. 30, 1988",-1.87%
"June 30, 1988",-7.75%
"March 31, 1988",9.60%
"Dec. 31, 1987",22.03%
"Sept. 30, 1987",44.59%
"June 30, 1987",13.16%
"March 31, 1987",-7.33%
"Dec. 31, 1986",-4.84%
"Sept. 30, 1986",-17.78%
"June 30, 1986",39.02%
"March 31, 1986",17.18%
"Dec. 31, 1985",-35.75%
"Sept. 30, 1985",-53.85%
"June 30, 1985",-45.33%
"March 31, 1985",8.67%
