date,operating_earning_yield
"March 19, 2020",7.14%
"March 18, 2020",7.12%
"March 17, 2020",6.74%
"March 16, 2020",7.89%
"March 13, 2020",6.81%
"March 12, 2020",7.43%
"March 11, 2020",6.86%
"March 10, 2020",6.81%
"March 9, 2020",6.94%
"March 6, 2020",6.68%
"March 5, 2020",6.77%
"March 4, 2020",6.69%
"March 3, 2020",6.95%
"March 2, 2020",7.02%
"Feb. 28, 2020",7.50%
"Feb. 27, 2020",7.12%
"Feb. 26, 2020",6.75%
"Feb. 25, 2020",6.77%
"Feb. 24, 2020",6.66%
"Feb. 21, 2020",6.53%
"Feb. 20, 2020",6.51%
"Feb. 19, 2020",6.54%
"Feb. 18, 2020",6.44%
"Feb. 14, 2020",6.45%
"Feb. 13, 2020",6.38%
"Feb. 12, 2020",6.54%
"Feb. 11, 2020",6.56%
"Feb. 10, 2020",6.53%
"Feb. 7, 2020",6.55%
"Feb. 6, 2020",6.55%
"Feb. 5, 2020",6.53%
"Feb. 4, 2020",6.54%
"Feb. 3, 2020",6.55%
"Jan. 31, 2020",6.66%
"Jan. 30, 2020",6.61%
"Jan. 29, 2020",6.68%
"Jan. 28, 2020",6.69%
"Jan. 27, 2020",6.68%
"Jan. 24, 2020",6.70%
"Jan. 23, 2020",6.74%
"Jan. 22, 2020",6.77%
"Jan. 21, 2020",6.80%
"Jan. 17, 2020",6.73%
"Jan. 16, 2020",6.71%
"Jan. 15, 2020",6.81%
"Jan. 14, 2020",6.89%
"Jan. 13, 2020",6.90%
"Jan. 10, 2020",6.99%
"Jan. 9, 2020",7.01%
"Jan. 8, 2020",7.02%
"Jan. 7, 2020",6.92%
"Jan. 6, 2020",6.86%
"Jan. 3, 2020",6.79%
"Jan. 2, 2020",6.78%
"Dec. 31, 2019",6.69%
"Dec. 30, 2019",6.69%
"Dec. 27, 2019",6.70%
"Dec. 26, 2019",6.69%
"Dec. 24, 2019",6.63%
"Dec. 23, 2019",6.60%
"Dec. 20, 2019",6.53%
"Dec. 19, 2019",6.58%
"Dec. 18, 2019",6.56%
"Dec. 17, 2019",6.65%
"Dec. 16, 2019",6.71%
"Dec. 13, 2019",6.77%
"Dec. 12, 2019",6.73%
"Dec. 11, 2019",6.66%
"Dec. 10, 2019",6.72%
"Dec. 9, 2019",6.89%
"Dec. 6, 2019",6.84%
"Dec. 5, 2019",6.84%
"Dec. 4, 2019",6.87%
"Dec. 3, 2019",6.96%
"Dec. 2, 2019",6.99%
"Nov. 29, 2019",6.98%
"Nov. 27, 2019",6.92%
"Nov. 26, 2019",7.00%
"Nov. 25, 2019",6.98%
"Nov. 22, 2019",7.04%
"Nov. 21, 2019",7.12%
"Nov. 20, 2019",7.07%
"Nov. 19, 2019",7.05%
"Nov. 18, 2019",7.10%
"Nov. 15, 2019",7.11%
"Nov. 14, 2019",7.10%
"Nov. 13, 2019",7.14%
"Nov. 12, 2019",7.25%
"Nov. 11, 2019",7.31%
"Nov. 8, 2019",7.23%
"Nov. 7, 2019",7.14%
"Nov. 6, 2019",7.01%
"Nov. 5, 2019",7.06%
"Nov. 4, 2019",6.98%
"Nov. 1, 2019",6.74%
"Oct. 31, 2019",6.72%
"Oct. 30, 2019",6.69%
"Oct. 29, 2019",6.80%
"Oct. 28, 2019",6.81%
"Oct. 25, 2019",6.74%
"Oct. 24, 2019",6.73%
"Oct. 23, 2019",6.82%
"Oct. 22, 2019",6.82%
"Oct. 21, 2019",6.81%
"Oct. 18, 2019",6.82%
"Oct. 17, 2019",6.81%
"Oct. 16, 2019",6.92%
"Oct. 15, 2019",6.92%
"Oct. 14, 2019",6.83%
"Oct. 11, 2019",6.78%
"Oct. 10, 2019",6.81%
"Oct. 9, 2019",6.77%
"Oct. 8, 2019",6.81%
"Oct. 7, 2019",6.72%
"Oct. 4, 2019",6.71%
"Oct. 3, 2019",6.76%
"Oct. 2, 2019",6.77%
"Oct. 1, 2019",6.72%
"Sept. 30, 2019",6.68%
"Sept. 27, 2019",6.58%
"Sept. 26, 2019",6.60%
"Sept. 25, 2019",6.55%
"Sept. 24, 2019",6.68%
"Sept. 23, 2019",6.72%
"Sept. 20, 2019",6.67%
"Sept. 19, 2019",6.65%
"Sept. 18, 2019",6.69%
"Sept. 17, 2019",6.69%
"Sept. 16, 2019",6.71%
"Sept. 13, 2019",6.72%
"Sept. 12, 2019",6.71%
"Sept. 11, 2019",6.67%
"Sept. 10, 2019",6.78%
"Sept. 9, 2019",6.75%
"Sept. 6, 2019",6.66%
"Sept. 5, 2019",6.57%
"Sept. 4, 2019",6.58%
"Sept. 3, 2019",6.61%
"Aug. 30, 2019",6.64%
"Aug. 29, 2019",6.66%
"Aug. 28, 2019",6.74%
"Aug. 27, 2019",6.75%
"Aug. 26, 2019",6.67%
"Aug. 23, 2019",6.77%
"Aug. 22, 2019",6.64%
"Aug. 21, 2019",6.64%
"Aug. 20, 2019",6.66%
"Aug. 19, 2019",6.61%
"Aug. 16, 2019",6.59%
"Aug. 15, 2019",6.74%
"Aug. 14, 2019",6.82%
"Aug. 13, 2019",6.77%
"Aug. 12, 2019",6.80%
"Aug. 9, 2019",6.87%
"Aug. 8, 2019",6.76%
"Aug. 7, 2019",6.89%
"Aug. 6, 2019",6.89%
"Aug. 5, 2019",6.91%
"Aug. 2, 2019",6.68%
"Aug. 1, 2019",6.67%
"July 31, 2019",6.72%
"July 30, 2019",6.67%
"July 29, 2019",6.73%
"July 26, 2019",6.76%
"July 25, 2019",6.92%
"July 24, 2019",6.85%
"July 23, 2019",6.88%
"July 22, 2019",6.95%
"July 19, 2019",6.89%
"July 18, 2019",6.81%
"July 17, 2019",6.79%
"July 16, 2019",6.84%
"July 15, 2019",6.77%
"July 12, 2019",6.76%
"July 11, 2019",6.70%
"July 10, 2019",6.67%
"July 9, 2019",6.56%
"July 8, 2019",6.60%
"July 5, 2019",6.62%
"July 3, 2019",6.62%
"July 2, 2019",6.64%
"July 1, 2019",6.75%
"June 30, 2019",
"June 28, 2019",6.34%
"June 27, 2019",6.49%
"June 26, 2019",6.56%
"June 25, 2019",6.37%
"June 24, 2019",6.38%
"June 21, 2019",6.38%
"June 20, 2019",6.31%
"June 19, 2019",6.36%
"June 18, 2019",6.48%
"June 17, 2019",6.44%
"June 14, 2019",6.44%
"June 13, 2019",6.43%
"June 12, 2019",6.36%
"June 11, 2019",6.56%
"June 10, 2019",6.51%
"June 7, 2019",6.43%
"June 6, 2019",6.44%
"June 5, 2019",6.41%
"June 4, 2019",6.50%
"June 3, 2019",6.50%
"May 31, 2019",6.64%
"May 30, 2019",6.73%
"May 29, 2019",6.66%
"May 28, 2019",6.50%
"May 24, 2019",6.41%
"May 23, 2019",6.39%
"May 22, 2019",6.41%
"May 21, 2019",6.46%
"May 20, 2019",6.49%
"May 17, 2019",6.42%
"May 16, 2019",6.40%
"May 15, 2019",6.45%
"May 14, 2019",6.42%
"May 13, 2019",6.33%
"May 10, 2019",6.41%
"May 9, 2019",6.54%
"May 8, 2019",6.47%
"May 7, 2019",6.53%
"May 6, 2019",6.37%
"May 3, 2019",6.40%
"May 2, 2019",6.59%
"May 1, 2019",6.55%
"April 30, 2019",6.50%
"April 29, 2019",6.55%
"April 26, 2019",6.54%
"April 25, 2019",6.52%
"April 24, 2019",6.52%
"April 23, 2019",6.61%
"April 22, 2019",6.67%
"April 18, 2019",6.67%
"April 17, 2019",6.68%
"April 16, 2019",6.59%
"April 15, 2019",6.50%
"April 12, 2019",6.52%
"April 11, 2019",6.54%
"April 10, 2019",6.56%
"April 9, 2019",6.62%
"April 8, 2019",6.63%
"April 5, 2019",6.51%
"April 4, 2019",6.67%
"April 3, 2019",6.63%
"April 2, 2019",6.75%
"April 1, 2019",6.67%
"March 31, 2019",
"March 29, 2019",6.37%
"March 28, 2019",6.37%
"March 27, 2019",6.27%
"March 26, 2019",6.26%
"March 25, 2019",6.28%
"March 22, 2019",6.30%
"March 21, 2019",6.23%
"March 20, 2019",6.33%
"March 19, 2019",6.34%
"March 18, 2019",6.26%
"March 15, 2019",6.29%
"March 14, 2019",6.25%
"March 13, 2019",6.22%
"March 12, 2019",6.19%
"March 11, 2019",6.20%
"March 8, 2019",6.31%
"March 7, 2019",6.38%
"March 6, 2019",6.40%
"March 5, 2019",6.31%
"March 4, 2019",6.27%
"March 1, 2019",6.40%
"Feb. 28, 2019",6.46%
"Feb. 27, 2019",6.43%
"Feb. 26, 2019",6.41%
"Feb. 25, 2019",6.37%
"Feb. 22, 2019",6.31%
"Feb. 21, 2019",6.37%
"Feb. 20, 2019",6.39%
"Feb. 19, 2019",6.38%
"Feb. 15, 2019",6.50%
