date,cash_dividend_payout_ratio
"Dec. 31, 2019",-30.20%
"Sept. 30, 2019",-20.97%
"June 30, 2019",-19.52%
"March 31, 2019",-17.62%
"Dec. 31, 2018",-17.92%
"Sept. 30, 2018",-27.73%
"June 30, 2018",-22.52%
"March 31, 2018",-25.50%
"Dec. 31, 2017",-30.55%
"Sept. 30, 2017",-26.21%
"June 30, 2017",-29.69%
"March 31, 2017",-33.33%
"Dec. 31, 2016",-26.60%
"Sept. 30, 2016",-28.91%
"June 30, 2016",-29.52%
"March 31, 2016",-23.59%
"Dec. 31, 2015",-40.95%
"Sept. 30, 2015",-85.88%
"June 30, 2015",-136.1%
"March 31, 2015",-166.8%
"Dec. 31, 2014",-77.67%
"Sept. 30, 2014",-54.51%
"June 30, 2014",-64.84%
"March 31, 2014",-86.17%
"Dec. 31, 2013",-54.08%
"Sept. 30, 2013",-60.24%
"June 30, 2013",-64.60%
"March 31, 2013",-174.2%
"Dec. 31, 2012",-201.1%
"Sept. 30, 2012",68.25%
"June 30, 2012",100.3%
"March 31, 2012",65.74%
"Dec. 31, 2011",48.43%
"Sept. 30, 2011",183.0%
"June 30, 2011",106.9%
"March 31, 2011",1.02K%
"Dec. 31, 2010",71.14%
"Sept. 30, 2010",53.30%
"June 30, 2010",35.01%
"March 31, 2010",27.50%
"Dec. 31, 2009",42.37%
"Sept. 30, 2009",21.54%
"June 30, 2009",20.46%
"March 31, 2009",36.60%
"Dec. 31, 2008",-290.1%
"Sept. 30, 2008",-60.28%
"June 30, 2008",-45.90%
"March 31, 2008",-62.89%
"Dec. 31, 2007",-125.6%
"Sept. 30, 2007",-53.89%
"June 30, 2007",-32.15%
"March 31, 2007",-27.19%
"Dec. 31, 2006",-31.94%
"Sept. 30, 2006",-21.06%
"June 30, 2006",-22.78%
"March 31, 2006",-29.71%
"Dec. 31, 2005",-29.36%
"Sept. 30, 2005",-521.8%
"June 30, 2005",207.4%
"March 31, 2005",157.3%
"Dec. 31, 2004",98.35%
"Sept. 30, 2004",67.29%
"June 30, 2004",34.47%
"March 31, 2004",38.19%
"Dec. 31, 2003",48.43%
"Sept. 30, 2003",74.40%
"June 30, 2003",105.6%
"March 31, 2003",56.69%
"Dec. 31, 2002",54.96%
"Sept. 30, 2002",108.4%
"June 30, 2002",-272.1%
"March 31, 2002",-122.6%
"Dec. 31, 2001",-43.60%
"Sept. 30, 2001",-33.31%
"June 30, 2001",-36.72%
"March 31, 2001",-26.59%
"Dec. 31, 2000",-37.33%
"Sept. 30, 2000",-31.96%
"June 30, 2000",-36.41%
"March 31, 2000",-52.02%
"Dec. 31, 1999",-56.47%
"Sept. 30, 1999",-783.3%
"June 30, 1999",104.5%
"March 31, 1999",-375.0%
"Dec. 31, 1998",-430.0%
"Sept. 30, 1998",86.00%
"June 30, 1998",
"March 31, 1998",62.50%
"Dec. 31, 1997",-542.9%
"Sept. 30, 1997",-48.72%
"June 30, 1997",-82.61%
"March 31, 1997",-106.2%
"Dec. 31, 1996",-117.9%
"Sept. 30, 1996",-1.45K%
"June 30, 1996",122.7%
"March 31, 1996",-560.0%
"Dec. 31, 1995",215.4%
"Sept. 30, 1995",175.0%
"June 30, 1995",2.70K%
"March 31, 1995",150.0%
"Dec. 31, 1994",69.23%
