Cash Flow - Operations (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03,1993-12,1993-09,1993-06,1993-03,1992-12,1992-09,1992-06,1992-03,1991-12,1991-09,1991-06,1991-03,1990-12,1990-09,1990-06,1990-03
Net Income,636.52M,615.12M,847.84M,635.43M,892.77M,1.191B,696.73M,638.59M,2.430B,100.54M,23.05M,28.52M,-142.35M,-190.00M,-292.56M,-471.78M,-284.30M,-4.076B,5.268M,-169.75M,444.59M,1.104B,706.35M,660.93M,580.19M,462.50M,659.69M,494.72M,-505.00M,355.49M,395.78M,324.01M,120.70M,540.88M,295.57M,133.97M,53.67M,-70.91M,59.87M,118.02M,400.43M,4.196M,-16.71M,158.71M,461.47M,1.556B,178.21M,240.96M,361.20M,204.00M,307.05M,217.67M,242.62M,299.14M,331.42M,426.71M,463.66M,343.76M,249.46M,202.70M,206.76M,172.31M,144.94M,100.85M,74.51M,117.42M,108.79M,129.42M,44.42M,28.89M,38.11M,-24.24M,-24.80M,71.96M,136.20M,215.25M,161.45M,116.48M,77.52M,41.49M,30.49M,512.90M,20.60M,5.10M,9.971M,5.90M,13.30M,27.00M,43.20M,31.20M,24.50M,23.10M,35.10M,31.40M,47.60M,25.90M,31.40M,32.90M,48.20M,29.60M,42.60M,40.90M,34.20M,30.30M,38.50M,35.80M,33.50M,30.20M,40.10M,20.60M,14.60M,22.30M,22.30M,13.50M,7.20M,11.90M,20.20M,8.50M,5.60M,11.20M
Gain and Loss on Sale of PPE,-119.96M,0.523M,-8.009M,3.836M,-79.90M,-115.94M,6.317M,14.97M,65.22M,8.202M,8.916M,16.76M,-104.03M,-108.20M,15.55M,-9.147M,3.656M,1.185M,5.564M,-1.607M,-431.89M,-60.35M,-3.856M,-11.50M,-12.00M,-8.183M,-13.15M,-164.23M,55.47M,-67.38M,-113.29M,-67.47M,-492.91M,,71.74M,-71.74M,-151.10M,-64.81M,-8.308M,0.676M,-534.93M,-0.51M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gain (Loss) on Investment Securities,153.87M,22.52M,-166.86M,41.43M,-210.77M,-39.81M,119.51M,37.81M,47.74M,8.745M,-8.767M,-60.11M,65.79M,-30.19M,29.54M,12.25M,64.12M,70.64M,241.93M,291.50M,-527.21M,-537.16M,142.40M,121.70M,-39.47M,272.75M,-122.58M,172.01M,89.12M,244.50M,-15.27M,-0.607M,-48.58M,-305.18M,-158.34M,66.75M,50.94M,-61.00M,-59.98M,15.16M,-1.013B,310.36M,311.21M,-40.42M,-428.14M,-1.504B,704.75M,493.05M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Gains Losses,33.90M,23.04M,-174.86M,45.26M,-290.68M,-155.76M,125.83M,52.78M,112.96M,16.95M,0.149M,-43.35M,-38.25M,-138.39M,45.09M,3.105M,67.78M,71.82M,247.49M,289.89M,-959.10M,-597.51M,138.55M,110.20M,-51.46M,264.57M,-135.73M,7.773M,144.59M,177.12M,-128.56M,-68.08M,-145.74M,-490.05M,-345.37M,42.89M,-170.44M,-136.75M,-10.14M,38.91M,-258.66M,312.87M,344.85M,-37.42M,-524.51M,-1.491B,711.54M,501.48M,4.708M,39.41M,-26.15M,112.40M,68.18M,-21.49M,-39.42M,-34.61M,37.31M,57.62M,56.59M,45.99M,59.12M,-7.698M,28.24M,78.81M,33.08M,23.62M,62.27M,66.10M,4.361M,47.63M,22.76M,86.49M,131.16M,11.02M,18.52M,59.44M,119.34M,-7.757M,33.83M,27.62M,180.66M,-536.40M,-11.10M,-8.90M,40.50M,29.20M,29.30M,19.50M,66.40M,-11.00M,16.50M,18.80M,76.00M,-7.10M,2.80M,14.10M,17.40M,16.30M,-28.70M,14.50M,25.70M,24.90M,-20.50M,1.60M,66.20M,23.20M,12.30M,1.60M,17.00M,14.40M,8.90M,12.80M,-44.20M,6.30M,11.00M,11.90M,22.20M,-0.50M,5.00M,15.50M
Total Depreciation and Amortization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282.23M,279.19M,259.78M,244.34M,230.44M,216.07M,192.93M,177.65M,176.97M,164.37M,159.90M,153.02M,144.12M,130.26M,116.22M,113.80M,121.26M,110.44M,106.59M,103.55M,105.41M,100.21M,97.96M,94.46M,97.62M,103.35M,97.47M,93.96M,92.48M,92.06M,90.59M,84.14M,-39.23M,198.10M,88.80M,82.00M,85.71M,84.40M,83.70M,61.30M,74.20M,93.70M,58.30M,52.00M,69.60M,59.40M,69.80M,52.50M,58.10M,56.20M,48.60M,53.10M,60.60M,54.60M,62.20M,64.80M,67.10M,64.20M,58.60M,59.80M,52.70M,45.30M,42.00M,39.80M,51.20M,33.10M,38.50M,38.10M,46.40M,37.90M,37.10M,34.50M
"Total Depreciation, Amortization, Depletion",959.21M,953.60M,957.30M,879.60M,919.96M,918.18M,848.67M,748.59M,881.74M,846.22M,865.38M,816.04M,862.52M,899.51M,862.49M,928.89M,769.46M,722.17M,909.23M,912.79M,1.014B,1.040B,996.60M,946.49M,915.26M,928.80M,910.53M,846.39M,786.34M,825.85M,808.76M,748.74M,693.53M,651.68M,602.94M,568.23M,543.79M,500.89M,465.34M,431.91M,398.94M,385.33M,375.59M,389.33M,368.14M,346.25M,315.29M,297.20M,282.23M,279.19M,259.78M,244.34M,230.44M,216.07M,192.93M,177.65M,176.97M,164.37M,159.90M,153.02M,144.12M,130.26M,116.22M,113.80M,121.26M,110.44M,106.59M,103.55M,105.41M,100.21M,97.96M,94.46M,97.62M,103.35M,97.47M,93.96M,92.48M,92.06M,90.59M,84.14M,-39.23M,198.10M,88.80M,82.00M,85.71M,84.40M,83.70M,61.30M,74.20M,93.70M,58.30M,52.00M,69.60M,59.40M,69.80M,52.50M,58.10M,56.20M,48.60M,53.10M,60.60M,54.60M,62.20M,64.80M,67.10M,64.20M,58.60M,59.80M,52.70M,45.30M,42.00M,39.80M,51.20M,33.10M,38.50M,38.10M,46.40M,37.90M,37.10M,34.50M
Deferred Taxes,123.08M,184.28M,217.97M,106.32M,212.45M,334.12M,176.22M,171.36M,-1.589B,79.69M,34.47M,0.694M,-22.72M,-108.20M,-187.60M,-196.70M,-105.28M,-2.222B,-57.56M,-97.24M,730.42M,495.41M,246.30M,232.81M,217.08M,169.05M,287.85M,200.78M,-92.94M,107.05M,168.68M,110.15M,0.021M,293.15M,174.84M,31.29M,23.18M,28.57M,-12.20M,36.70M,134.60M,-22.37M,-21.05M,83.22M,342.93M,667.37M,39.94M,83.39M,98.82M,104.41M,126.59M,97.00M,127.38M,104.91M,47.23M,106.33M,98.28M,62.74M,64.35M,44.93M,46.02M,74.00M,52.20M,32.02M,68.30M,43.46M,29.53M,50.44M,43.95M,34.50M,13.57M,-9.844M,-5.37M,82.51M,53.36M,34.45M,16.13M,40.89M,23.67M,17.04M,-8.652M,-21.90M,8.40M,-4.10M,-21.80M,-17.00M,6.50M,5.50M,8.20M,2.10M,0.80M,5.60M,4.00M,-6.50M,11.30M,-6.50M,29.60M,-10.20M,21.00M,4.80M,-24.00M,24.30M,1.50M,,-30.10M,56.90M,0.50M,-1.70M,0.30M,-12.50M,-0.40M,-5.30M,-0.70M,-11.10M,-2.30M,-4.90M,-11.50M,-9.70M,-1.20M,0.70M
Asset Impairment Charge,228.14M,105.28M,112.13M,72.36M,186.09M,44.62M,51.71M,64.61M,153.44M,53.68M,78.93M,193.19M,297.95M,177.99M,72.71M,71.62M,168.17M,6.307B,68.52M,69.44M,535.64M,55.54M,39.04M,113.36M,109.51M,85.92M,37.97M,53.55M,1.020B,62.88M,54.22M,133.15M,499.62M,83.43M,358.65M,89.33M,239.78M,352.91M,80.36M,69.60M,123.91M,69.40M,47.05M,65.47M,79.27M,32.14M,48.88M,32.57M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stock Based Compensation,42.42M,54.67M,38.57M,39.09M,39.05M,49.00M,31.80M,35.49M,32.31M,43.48M,27.60M,30.46M,31.02M,37.60M,27.09M,32.38M,28.65M,40.28M,28.60M,33.05M,41.45M,38.49M,29.58M,35.56M,30.88M,45.45M,27.29M,30.44M,26.44M,45.87M,27.13M,28.34M,33.29M,41.63M,26.00M,27.43M,25.68M,36.75M,22.46M,22.49M,20.65M,26.05M,22.07M,26.41M,21.15M,31.78M,24.78M,19.78M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
