Income (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03,1993-12,1993-09,1993-06,1993-03,1992-12,1992-09,1992-06,1992-03,1991-12,1991-09,1991-06,1991-03,1990-12,1990-09,1990-06,1990-03,1989-12,1989-09,1989-06,1989-03
Operating Revenue,4.228B,4.188B,4.487B,4.040B,4.370B,4.682B,4.401B,3.724B,3.434B,2.636B,2.595B,2.541B,2.334B,1.988B,1.813B,1.328B,1.787B,2.130B,2.509B,2.230B,3.449B,4.570B,4.404B,4.215B,3.686B,3.815B,3.613B,3.285B,2.991B,2.874B,2.596B,2.594B,2.101B,2.528B,2.381B,1.897B,1.480B,1.582B,1.358B,1.371B,1.761B,1.007B,861.04M,1.158B,1.634B,3.264B,1.096B,1.134B,1.232B,942.56M,1.009B,911.04M,603.06M,968.73M,828.00M,977.51M,1.203B,932.98M,782.87M,688.16M,689.74M,571.16M,519.02M,464.32M,436.80M,432.73M,424.75M,464.38M,385.56M,279.87M,290.50M,186.50M,138.73M,354.17M,466.05M,597.25M,496.76M,402.15M,322.73M,259.90M,269.20M,226.80M,187.20M,158.95M,233.85M,191.30M,183.30M,199.80M,238.00M,193.10M,171.80M,180.70M,204.30M,170.20M,197.10M,159.00M,156.40M,153.00M,184.00M,155.40M,198.10M,127.40M,142.50M,152.20M,149.30M,141.10M,140.50M,136.80M,142.10M,111.90M,100.50M,98.60M,119.80M,84.00M,88.00M,95.90M,118.00M,78.50M,78.60M,96.30M,85.10M,64.40M,70.00M,69.90M
Revenue,4.165B,4.274B,4.664B,4.019B,4.502B,4.630B,4.215B,3.665B,3.389B,2.630B,2.605B,2.603B,2.268B,1.993B,1.768B,1.334B,1.792B,2.160B,2.461B,2.306B,4.200B,5.040B,4.175B,4.060B,3.726B,3.521B,3.805B,3.180B,3.057B,2.878B,2.785B,2.728B,2.727B,2.528B,2.381B,1.897B,1.542B,1.582B,1.358B,1.371B,1.761B,1.007B,861.04M,1.158B,1.634B,3.264B,1.096B,1.134B,1.232B,942.56M,1.009B,911.04M,603.06M,968.73M,919.09M,1.085B,1.200B,934.44M,783.92M,688.16M,689.74M,594.23M,519.02M,464.32M,436.80M,432.73M,424.75M,464.38M,385.56M,279.87M,290.50M,186.50M,237.41M,354.17M,466.05M,597.25M,505.12M,402.15M,322.73M,259.90M,269.20M,226.80M,187.20M,158.95M,233.85M,191.30M,183.30M,199.80M,238.00M,193.10M,171.80M,180.70M,204.30M,170.20M,197.10M,159.00M,156.40M,153.00M,184.00M,155.40M,198.10M,127.40M,142.50M,152.20M,149.30M,141.10M,140.50M,136.80M,142.10M,111.90M,100.50M,98.60M,119.80M,84.00M,88.00M,95.90M,118.00M,78.50M,78.60M,96.30M,85.10M,64.40M,70.00M,69.90M
Cost of Goods Sold,1.421B,1.430B,1.417B,1.327B,1.379B,1.354B,1.272B,1.15B,1.207B,1.131B,1.155B,1.110B,1.137B,1.158B,1.110B,1.198B,1.057B,1.041B,1.234B,1.310B,1.432B,1.450B,1.376B,1.301B,1.231B,1.259B,1.205B,1.120B,1.046B,1.106B,1.080B,1.036B,2.447B,398.74M,338.05M,405.78M,1.672B,352.66M,337.75M,344.64M,299.91M,274.40M,282.08M,284.70M,323.54M,280.27M,268.27M,283.85M,312.29M,249.19M,217.81M,219.89M,233.16M,171.86M,163.18M,165.70M,103.77M,161.46M,137.38M,132.27M,89.23M,129.94M,104.19M,100.44M,33.84M,107.24M,104.67M,72.42M,48.05M,79.45M,82.91M,76.00M,121.65M,87.26M,90.23M,94.29M,86.62M,65.62M,58.84M,60.85M,260.72M,42.90M,44.00M,49.20M,60.82M,58.20M,49.00M,69.20M,58.70M,44.20M,60.40M,56.60M,47.40M,41.50M,39.00M,48.90M,34.50M,36.90M,39.70M,36.90M,41.70M,33.00M,38.60M,31.00M,47.90M,31.80M,28.80M,26.70M,30.10M,26.20M,26.40M,25.90M,33.50M,28.90M,23.80M,22.40M,33.50M,29.00M,25.00M,24.70M,,,,
Gross Profit,2.744B,2.844B,3.247B,2.692B,3.123B,3.276B,2.943B,2.515B,2.182B,1.499B,1.449B,1.493B,1.131B,834.53M,658.09M,135.64M,734.61M,1.119B,1.227B,996.22M,2.767B,3.590B,2.799B,2.758B,2.496B,2.262B,2.600B,2.060B,2.011B,1.773B,1.705B,1.692B,280.07M,2.129B,2.043B,1.491B,-130.00M,1.229B,1.020B,1.026B,1.461B,732.45M,578.96M,873.51M,1.310B,2.984B,827.24M,850.17M,919.35M,693.38M,791.34M,691.15M,369.90M,796.87M,755.91M,918.84M,1.097B,772.99M,646.54M,555.88M,600.50M,464.28M,414.83M,363.88M,402.97M,325.49M,320.08M,391.96M,337.51M,200.42M,207.59M,110.51M,115.77M,266.91M,375.82M,502.97M,418.50M,336.54M,263.89M,199.05M,8.483M,183.90M,143.20M,109.75M,173.03M,133.10M,134.30M,130.60M,179.30M,148.90M,111.40M,124.10M,156.90M,128.70M,158.10M,110.10M,121.90M,116.10M,144.30M,118.50M,156.40M,94.40M,103.90M,121.20M,101.40M,109.30M,111.70M,110.10M,112.00M,85.70M,74.10M,72.70M,86.30M,55.10M,64.20M,73.50M,84.50M,49.50M,53.60M,71.60M,,,,
Sales and Marketing Expense,1.237B,1.343B,1.501B,1.270B,1.349B,1.327B,1.420B,1.106B,1.010B,793.54M,790.60M,736.54M,634.25M,552.49M,480.05M,340.85M,461.85M,615.30M,670.17M,638.66M,862.59M,1.214B,1.044B,1.006B,901.94M,876.76M,965.49M,904.65M,880.45M,755.46M,694.12M,705.47M,644.69M,572.60M,469.44M,385.41M,292.48M,231.76M,191.21M,168.76M,159.56M,131.82M,74.05M,31.95M,12.43M,44.38M,62.99M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General and Administrative Expense,125.19M,135.76M,121.78M,106.67M,116.90M,111.28M,104.08M,94.70M,117.00M,111.72M,108.51M,97.24M,102.18M,94.40M,97.70M,100.53M,109.01M,90.96M,82.32M,84.30M,131.28M,96.93M,90.93M,82.86M,91.07M,98.65M,80.61M,77.98M,86.68M,92.87M,75.73M,76.27M,85.11M,82.26M,67.41M,70.04M,74.00M,81.31M,64.74M,60.42M,68.79M,62.78M,58.76M,57.95M,58.25M,70.89M,61.64M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG&A Expense,1.362B,1.479B,1.623B,1.377B,1.466B,1.438B,1.525B,1.201B,1.127B,905.25M,899.11M,833.77M,736.43M,646.88M,577.75M,441.38M,570.86M,706.26M,752.49M,722.96M,993.87M,1.311B,1.134B,1.089B,993.01M,975.42M,1.046B,982.63M,967.13M,848.33M,769.84M,781.74M,729.80M,654.86M,536.84M,455.45M,366.48M,313.07M,255.95M,229.19M,228.35M,194.59M,132.81M,89.90M,70.68M,115.27M,124.63M,52.93M,66.05M,48.10M,47.18M,43.88M,47.72M,42.36M,38.61M,36.29M,37.04M,30.08M,30.11M,28.69M,34.15M,29.58M,26.37M,24.92M,28.67M,26.38M,24.93M,20.42M,24.67M,21.58M,21.99M,20.71M,22.35M,20.92M,18.74M,17.95M,17.56M,17.05M,16.03M,16.29M,7.957M,24.90M,26.40M,23.60M,53.49M,15.80M,15.20M,16.60M,13.70M,14.90M,12.10M,13.60M,14.90M,13.00M,14.30M,14.20M,15.40M,14.00M,14.40M,12.80M,13.30M,13.80M,10.90M,13.40M,11.30M,12.20M,10.90M,11.00M,10.40M,8.80M,11.30M,6.10M,4.90M,11.70M,9.30M,10.30M,8.50M,12.70M,8.40M,8.90M,,,,
Special Income and Charges,-108.17M,-105.80M,-104.12M,-76.19M,-106.18M,71.33M,-58.02M,-79.58M,-218.66M,-61.88M,-87.85M,-209.94M,-193.91M,-69.79M,-88.26M,-62.47M,-171.83M,-6.309B,-74.08M,-67.83M,-103.75M,4.804M,-35.18M,-101.86M,-97.51M,-77.73M,-24.81M,110.68M,-1.076B,4.501M,59.07M,-65.68M,-17.92M,-82.05M,-352.43M,-85.72M,-24.15M,-347.14M,-80.91M,-66.91M,-124.48M,-69.74M,-45.81M,-63.73M,-77.01M,-18.28M,-35.57M,-30.99M,-46.63M,-29.82M,33.55M,-43.36M,273.84M,-30.38M,67.57M,76.03M,-132.34M,11.62M,-40.54M,-18.88M,-151.84M,27.02M,-30.00M,-38.02M,-208.03M,27.92M,2.68M,-23.47M,-114.77M,-0.064M,0.097M,-3.103M,60.38M,1.272M,1.25M,-0.639M,5.25M,0.035M,0.763M,0.017M,-1.457M,554.50M,31.40M,26.90M,-2.20M,-1.60M,-0.10M,-1.00M,-4.00M,0.20M,1.00M,1.30M,-3.00M,-1.40M,,-0.50M,1.80M,-1.00M,0.50M,-0.60M,-46.10M,33.80M,12.30M,8.30M,4.90M,12.70M,0.60M,1.80M,-1.60M,-0.20M,5.00M,-0.60M,0.90M,11.70M,-2.00M,0.70M,-1.10M,19.30M,11.60M,-0.30M,,,,
Non Income Taxes,199.75M,203.10M,204.41M,192.91M,190.09M,209.04M,194.27M,179.08M,158.34M,125.91M,130.11M,130.29M,103.64M,91.91M,93.48M,60.68M,87.50M,105.68M,122.14M,106.43M,151.15M,204.97M,205.47M,195.97M,165.38M,172.44M,151.20M,134.93M,135.60M,120.10M,118.19M,121.52M,101.88M,98.53M,104.27M,105.88M,89.30M,74.24M,78.06M,75.46M,55.65M,47.82M,23.49M,47.40M,40.93M,97.77M,95.34M,86.75M,58.27M,47.11M,62.05M,40.65M,46.24M,54.07M,46.86M,53.69M,63.10M,56.38M,37.61M,41.91M,38.09M,29.95M,29.79M,36.08M,22.62M,21.36M,11.70M,30.19M,20.90M,16.93M,18.01M,16.04M,14.24M,18.69M,25.37M,37.03M,31.57M,24.25M,20.67M,18.42M,12.37M,14.20M,12.40M,13.70M,10.28M,13.80M,13.30M,14.50M,17.30M,13.00M,12.40M,17.30M,15.40M,10.00M,11.20M,11.50M,7.00M,7.90M,7.80M,9.80M,6.30M,7.30M,4.70M,10.00M,8.90M,6.10M,10.50M,9.80M,8.30M,7.10M,7.00M,5.90M,4.80M,4.20M,3.20M,6.00M,6.20M,5.50M,4.60M,6.70M,,,,
Operating Interest Expense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.33M,41.37M,32.89M,29.90M,25.43M,27.31M,30.41M,24.81M,18.38M,18.34M,12.10M,9.029M,12.19M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
