Assets (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03,1993-12,1993-09,1993-06,1993-03,1992-12,1992-09,1992-06,1992-03,1991-12,1991-09,1991-06,1991-03,1990-12,1990-09,1990-06,1990-03,1989-12
Cash and Equivalents,2.028B,1.583B,1.160B,1.136B,1.556B,1.274B,1.008B,816.09M,834.23M,846.14M,1.649B,1.547B,1.600B,1.049B,779.72M,668.48M,718.51M,742.69M,1.367B,2.127B,2.087B,1.481B,1.230B,1.667B,1.318B,1.319B,1.228B,1.108B,876.44M,1.113B,280.37M,294.06M,615.73M,1.387B,1.577B,1.668B,788.85M,27.83M,650.11M,230.08M,685.75M,608.51M,706.96M,85.21M,331.31M,885.98M,108.10M,204.94M,54.23M,301.94M,58.53M,141.70M,218.26M,595.93M,759.11M,821.33M,643.81M,341.06M,282.70M,173.38M,20.98M,81.91M,67.84M,95.72M,4.443M,184.49M,150.97M,6.833M,9.848M,7.782M,9.206M,5.403M,2.512M,11.34M,68.29M,30.85M,20.15M,16.71M,11.71M,33.36M,24.80M,18.80M,11.40M,13.10M,6.30M,9.20M,13.60M,5.10M,9.30M,6.10M,16.50M,3.60M,7.60M,9.70M,38.10M,26.50M,23.00M,8.50M,20.40M,15.30M,5.80M,86.80M,85.70M,57.20M,103.10M,116.80M,42.10M,39.90M,132.60M,182.50M,11.60M,17.30M,3.80M,5.40M,3.40M,12.80M,3.60M,35.30M,8.80M,23.80M,15.30M
Short Term Investments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash and Short Term Investments,2.028B,1.583B,1.160B,1.136B,1.556B,1.274B,1.008B,816.09M,834.23M,846.14M,1.649B,1.547B,1.600B,1.049B,779.72M,668.48M,718.51M,742.69M,1.367B,2.127B,2.087B,1.481B,1.230B,1.667B,1.318B,1.319B,1.228B,1.108B,876.44M,1.113B,280.37M,294.06M,615.73M,1.387B,1.577B,1.668B,788.85M,27.83M,650.11M,230.08M,685.75M,608.51M,706.96M,85.21M,331.31M,885.98M,108.10M,204.94M,54.23M,301.94M,58.53M,141.70M,218.26M,595.93M,759.11M,821.33M,643.81M,341.06M,282.70M,173.38M,20.98M,81.91M,67.84M,95.72M,4.443M,184.49M,150.97M,6.833M,9.848M,7.782M,9.206M,5.403M,2.512M,11.34M,68.29M,30.85M,20.15M,16.71M,11.71M,33.36M,24.80M,18.80M,11.40M,13.10M,6.30M,9.20M,13.60M,5.10M,9.30M,6.10M,16.50M,3.60M,7.60M,9.70M,38.10M,26.50M,23.00M,8.50M,20.40M,15.30M,5.80M,86.80M,85.70M,57.20M,103.10M,116.80M,42.10M,39.90M,132.60M,182.50M,11.60M,17.30M,3.80M,5.40M,3.40M,12.80M,3.60M,35.30M,8.80M,23.80M,15.30M
Accounts Receivable,2.002B,1.928B,2.002B,2.203B,1.915B,2.151B,1.908B,1.702B,1.597B,1.244B,1.114B,1.187B,1.216B,920.19M,935.59M,780.62M,930.61M,1.123B,1.305B,1.267B,1.779B,2.009B,1.902B,1.802B,1.659B,1.850B,1.809B,1.891B,1.657B,1.580B,1.375B,1.543B,1.451B,1.250B,1.280B,1.229B,1.113B,897.73M,810.14M,869.04M,771.42M,604.26M,570.26M,558.12M,722.70M,1.048B,1.229B,1.010B,835.67M,678.76M,741.91M,734.23M,754.13M,656.52M,597.56M,627.67M,762.21M,631.32M,450.61M,441.16M,447.74M,350.17M,355.66M,303.57M,295.12M,274.83M,303.80M,370.38M,259.31M,196.78M,204.34M,185.52M,194.62M,206.27M,244.20M,286.78M,342.58M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Receivables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.789M,239.44M,133.00M,110.37M,92.57M,39.67M,42.20M,94.31M,,,,0.255M,,,,,,,,7.976M,,,,50.82M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Receivables,2.153B,2.064B,2.123B,2.644B,2.343B,2.472B,2.272B,1.965B,1.711B,1.370B,1.206B,1.268B,1.229B,920.37M,940.47M,819.67M,971.31M,1.177B,1.353B,1.328B,1.851B,2.027B,1.927B,1.802B,1.664B,1.892B,1.832B,1.916B,1.686B,1.634B,1.404B,1.568B,1.478B,1.278B,1.307B,1.259B,1.168B,987.09M,840.83M,911.27M,808.43M,631.39M,589.34M,563.32M,749.75M,1.057B,1.468B,1.143B,946.04M,771.33M,781.58M,776.43M,848.44M,656.52M,597.56M,627.67M,762.46M,631.32M,450.61M,441.16M,447.74M,350.17M,355.66M,303.57M,303.09M,274.83M,303.80M,370.38M,310.13M,196.78M,204.34M,185.52M,194.62M,206.27M,244.20M,286.78M,342.58M,267.22M,225.60M,180.04M,148.20M,135.20M,172.30M,168.80M,193.60M,183.10M,188.40M,236.70M,232.10M,223.40M,207.10M,224.20M,277.30M,185.80M,193.60M,180.80M,168.50M,162.80M,154.20M,146.20M,126.20M,94.30M,105.70M,117.10M,125.20M,96.50M,106.40M,112.30M,101.70M,85.30M,81.20M,63.40M,89.50M,58.80M,61.10M,85.90M,91.30M,63.70M,64.80M,34.90M,81.30M
Inventories,767.30M,778.12M,853.13M,860.76M,859.36M,766.96M,670.99M,584.73M,483.86M,344.02M,336.20M,314.19M,350.02M,429.67M,495.83M,538.93M,598.94M,660.25M,661.16M,764.21M,706.60M,672.90M,667.11M,635.42M,563.27M,566.00M,657.40M,697.48M,683.19M,657.88M,620.26M,561.51M,590.59M,580.36M,540.09M,481.83M,415.79M,381.26M,306.56M,313.07M,261.72M,240.23M,243.61M,242.63M,187.97M,146.57M,109.97M,98.56M,102.32M,109.84M,116.30M,122.46M,113.59M,117.38M,98.43M,76.64M,63.22M,54.89M,52.19M,48.74M,40.04M,30.74M,30.25M,23.76M,21.92M,20.79M,18.97M,18.28M,18.93M,18.10M,17.06M,18.30M,18.87M,21.58M,20.42M,20.31M,16.62M,16.61M,17.36M,16.95M,18.80M,20.50M,35.20M,38.40M,39.60M,35.10M,34.80M,34.40M,32.00M,32.10M,29.50M,28.20M,20.70M,19.40M,15.80M,13.70M,11.70M,11.60M,15.40M,16.10M,15.70M,17.90M,16.60M,,14.10M,,12.10M,8.40M,9.50M,10.00M,10.10M,12.30M,13.20M,12.70M,14.50M,13.50M,13.20M,13.50M,13.30M,15.00M,15.20M
Current Deferred Tax Assets,,,,,,,,,,,,,,137.10M,46.71M,177.06M,147.81M,40.62M,39.61M,18.70M,19.62M,238.26M,485.51M,429.70M,244.61M,127.66M,157.01M,102.04M,0.00,120.97M,,,,0.00,0.00,28.07M,9.26M,,1.169M,5.133M,0.00,,,6.822M,,,347.93M,191.07M,33.53M,,,9.767M,,,,,24.38M,28.13M,26.64M,25.79M,22.23M,22.56M,39.56M,46.52M,31.55M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Current Assets,323.45M,272.20M,223.64M,263.75M,275.47M,302.24M,278.69M,218.62M,242.46M,200.10M,187.28M,264.56M,206.68M,199.72M,187.39M,157.61M,155.68M,133.12M,209.43M,225.51M,286.53M,332.41M,415.22M,288.29M,274.02M,243.19M,260.34M,225.12M,178.35M,474.80M,643.88M,166.97M,119.05M,490.62M,212.98M,114.83M,145.35M,138.26M,117.47M,86.30M,83.64M,351.55M,670.36M,911.76M,839.42M,386.80M,54.10M,52.65M,155.91M,127.11M,107.36M,77.74M,169.79M,213.16M,143.61M,139.13M,69.37M,88.61M,54.37M,43.00M,55.82M,72.30M,57.11M,34.29M,35.01M,77.86M,79.04M,99.71M,55.88M,90.71M,45.38M,57.00M,56.41M,97.00M,51.66M,20.98M,15.51M,30.60M,11.07M,6.741M,8.70M,27.90M,6.40M,7.40M,6.90M,7.90M,8.30M,7.70M,8.60M,15.50M,16.90M,17.90M,20.30M,16.70M,20.10M,8.60M,14.60M,8.60M,8.70M,10.40M,8.70M,8.20M,8.30M,23.20M,7.00M,24.30M,11.30M,3.30M,3.20M,4.90M,5.40M,3.70M,3.20M,5.70M,11.50M,3.00M,2.90M,1.10M,1.90M,28.50M,0.50M
Total Current Assets,5.273B,4.820B,4.496B,4.908B,5.057B,4.817B,4.232B,3.585B,3.279B,2.764B,3.383B,3.394B,3.385B,2.738B,2.450B,2.366B,2.592B,2.825B,3.738B,4.793B,5.416B,4.885B,4.725B,4.822B,4.072B,4.192B,4.241B,4.081B,3.590B,4.000B,2.948B,3.042B,3.254B,3.735B,3.638B,3.598B,2.527B,1.534B,1.916B,1.546B,1.840B,1.832B,2.210B,1.810B,2.108B,2.477B,2.088B,1.690B,1.292B,1.310B,1.064B,1.128B,1.350B,1.583B,1.599B,1.665B,1.563B,1.144B,866.50M,732.07M,586.80M,557.68M,550.42M,503.84M,396.01M,557.98M,552.78M,495.21M,394.79M,313.38M,275.99M,266.22M,272.42M,336.19M,384.58M,358.92M,394.86M,331.14M,265.75M,237.09M,200.50M,202.40M,225.30M,227.70M,246.40M,235.30M,245.10M,283.90M,282.00M,277.10M,270.00M,273.90M,325.90M,231.60M,267.60M,229.60M,217.80M,191.50M,198.70M,188.00M,156.40M,207.20M,216.30M,197.50M,249.40M,237.60M,171.90M,163.90M,247.00M,282.70M,108.30M,96.70M,109.70M,82.60M,90.50M,115.20M,111.00M,113.60M,88.80M,102.20M,112.30M
