date,tangible_common_equity_ratio
"Dec. 31, 2019",-16.68%
"Sept. 30, 2019",-10.59%
"June 30, 2019",-15.48%
"March 31, 2019",-19.01%
"Dec. 31, 2018",-23.36%
"Sept. 30, 2018",-23.28%
"June 30, 2018",-26.83%
"March 31, 2018",-29.66%
"Dec. 31, 2017",-37.30%
"Sept. 30, 2017",-26.11%
"June 30, 2017",-26.05%
"March 31, 2017",-29.52%
"Dec. 31, 2016",-37.91%
"Sept. 30, 2016",-29.49%
"June 30, 2016",-31.28%
"March 31, 2016",-33.25%
"Dec. 31, 2015",-41.29%
"Sept. 30, 2015",-31.12%
"June 30, 2015",-33.64%
"March 31, 2015",-22.75%
"Dec. 31, 2014",-29.57%
"Sept. 30, 2014",-7.22%
"June 30, 2014",-7.62%
"March 31, 2014",-9.78%
"Dec. 31, 2013",-18.25%
"Sept. 30, 2013",-28.00%
"June 30, 2013",-30.83%
"March 31, 2013",-32.07%
"Dec. 31, 2012",-40.66%
"Sept. 30, 2012",-26.49%
"June 30, 2012",-31.12%
"March 31, 2012",-32.16%
"Dec. 31, 2011",-39.58%
"Sept. 30, 2011",-18.99%
"June 30, 2011",-19.63%
"March 31, 2011",-20.78%
"Dec. 31, 2010",-18.51%
"Sept. 30, 2010",-16.69%
"June 30, 2010",-18.01%
"March 31, 2010",-15.23%
"Dec. 31, 2009",-17.93%
"Sept. 30, 2009",-19.02%
"June 30, 2009",-19.53%
"March 31, 2009",-22.02%
"Dec. 31, 2008",-22.45%
"Sept. 30, 2008",8.60%
"June 30, 2008",9.04%
"March 31, 2008",8.69%
"Dec. 31, 2007",7.85%
"Sept. 30, 2007",4.23%
"June 30, 2007",5.01%
"March 31, 2007",-2.42%
"Dec. 31, 2006",-2.57%
"Sept. 30, 2006",-1.80%
"June 30, 2006",-1.33%
"March 31, 2006",-5.46%
"Dec. 31, 2005",-6.59%
"Sept. 30, 2005",-8.17%
"June 30, 2005",-7.83%
"March 31, 2005",-7.47%
"Dec. 31, 2004",-7.64%
"Sept. 30, 2004",-10.99%
"June 30, 2004",-11.58%
"March 31, 2004",-17.79%
"Dec. 31, 2003",-18.20%
"Sept. 30, 2003",-19.70%
"June 30, 2003",-18.19%
"March 31, 2003",-18.28%
"Dec. 31, 2002",-18.00%
"Sept. 30, 2002",-2.46%
"June 30, 2002",-3.46%
"March 31, 2002",-3.55%
"Dec. 31, 2001",0.15%
"Sept. 30, 2001",-12.65%
"June 30, 2001",-15.98%
"March 31, 2001",-18.60%
"Dec. 31, 2000",-18.21%
"Sept. 30, 2000",-20.12%
"June 30, 2000",-20.31%
"March 31, 2000",-21.06%
"Dec. 31, 1999",-19.26%
"Sept. 30, 1999",-21.81%
"June 30, 1999",-20.89%
"March 31, 1999",-24.41%
"Dec. 31, 1998",-26.01%
"Sept. 30, 1998",36.85%
"June 30, 1998",36.76%
"March 31, 1998",36.09%
