date,sustainable_growth_rate
"Dec. 31, 2019",19.04%
"Sept. 30, 2019",19.02%
"June 30, 2019",18.05%
"March 31, 2019",18.68%
"Dec. 31, 2018",18.04%
"Sept. 30, 2018",14.26%
"June 30, 2018",13.86%
"March 31, 2018",11.73%
"Dec. 31, 2017",10.68%
"Sept. 30, 2017",12.26%
"June 30, 2017",12.27%
"March 31, 2017",14.17%
"Dec. 31, 2016",13.62%
"Sept. 30, 2016",14.25%
"June 30, 2016",13.53%
"March 31, 2016",11.71%
"Dec. 31, 2015",13.25%
"Sept. 30, 2015",12.75%
"June 30, 2015",13.16%
"March 31, 2015",13.40%
"Dec. 31, 2014",13.60%
"Sept. 30, 2014",13.39%
"June 30, 2014",14.08%
"March 31, 2014",14.54%
"Dec. 31, 2013",14.54%
"Sept. 30, 2013",14.60%
"June 30, 2013",14.93%
"March 31, 2013",14.96%
"Dec. 31, 2012",14.74%
"Sept. 30, 2012",15.02%
"June 30, 2012",14.80%
"March 31, 2012",14.20%
"Dec. 31, 2011",13.23%
"Sept. 30, 2011",12.02%
"June 30, 2011",14.50%
"March 31, 2011",12.31%
"Dec. 31, 2010",13.13%
"Sept. 30, 2010",13.81%
"June 30, 2010",11.76%
"March 31, 2010",15.07%
"Dec. 31, 2009",15.53%
"Sept. 30, 2009",13.82%
"June 30, 2009",12.43%
"March 31, 2009",11.21%
"Dec. 31, 2008",10.15%
"Sept. 30, 2008",11.15%
"June 30, 2008",10.26%
"March 31, 2008",18.12%
"Dec. 31, 2007",18.17%
"Sept. 30, 2007",16.54%
"June 30, 2007",16.91%
"March 31, 2007",8.15%
"Dec. 31, 2006",7.78%
"Sept. 30, 2006",7.13%
"June 30, 2006",6.47%
"March 31, 2006",5.61%
"Dec. 31, 2005",4.58%
"Sept. 30, 2005",4.40%
"June 30, 2005",3.80%
"March 31, 2005",0.98%
"Dec. 31, 2004",0.27%
"Sept. 30, 2004",-0.06%
"June 30, 2004",-1.98%
"March 31, 2004",0.29%
"Dec. 31, 2003",0.38%
"Sept. 30, 2003",-2.52%
"June 30, 2003",-0.55%
"March 31, 2003",-2.86%
"Dec. 31, 2002",-7.72%
"Sept. 30, 2002",-8.23%
"June 30, 2002",-12.13%
"March 31, 2002",-12.49%
"Dec. 31, 2001",-9.54%
"Sept. 30, 2001",-6.57%
"June 30, 2001",-2.89%
"March 31, 2001",-0.69%
"Dec. 31, 2000",-1.21%
"Sept. 30, 2000",-2.10%
"June 30, 2000",-4.52%
"March 31, 2000",-2.30%
"Dec. 31, 1999",1.23%
"Sept. 30, 1999",3.78%
"June 30, 1999",5.40%
"March 31, 1999",5.28%
"Dec. 31, 1998",5.39%
