date,eps_growth
"Dec. 31, 2019",7.85%
"Sept. 30, 2019",36.89%
"June 30, 2019",5.04%
"March 31, 2019",26.48%
"Dec. 31, 2018",117.0%
"Sept. 30, 2018",14.21%
"June 30, 2018",47.09%
"March 31, 2018",25.86%
"Dec. 31, 2017",-26.63%
"Sept. 30, 2017",7.07%
"June 30, 2017",-21.58%
"March 31, 2017",21.68%
"Dec. 31, 2016",-2.65%
"Sept. 30, 2016",25.17%
"June 30, 2016",46.06%
"March 31, 2016",-20.11%
"Dec. 31, 2015",0.53%
"Sept. 30, 2015",-10.91%
"June 30, 2015",-6.25%
"March 31, 2015",-5.29%
"Dec. 31, 2014",13.25%
"Sept. 30, 2014",9.27%
"June 30, 2014",17.33%
"March 31, 2014",26.85%
"Dec. 31, 2013",16.90%
"Sept. 30, 2013",0.67%
"June 30, 2013",6.38%
"March 31, 2013",12.88%
"Dec. 31, 2012",-9.55%
"Sept. 30, 2012",4.90%
"June 30, 2012",14.63%
"March 31, 2012",24.53%
"Dec. 31, 2011",25.60%
"Sept. 30, 2011",-26.29%
"June 30, 2011",123.6%
"March 31, 2011",-8.62%
"Dec. 31, 2010",-3.85%
"Sept. 30, 2010",55.20%
"June 30, 2010",-55.28%
"March 31, 2010",3.57%
"Dec. 31, 2009",28.71%
"Sept. 30, 2009",25.00%
"June 30, 2009",24.24%
"March 31, 2009",21.74%
"Dec. 31, 2008",-26.28%
"Sept. 30, 2008",47.06%
"June 30, 2008",-66.67%
"March 31, 2008",21.05%
"Dec. 31, 2007",69.14%
"Sept. 30, 2007",-4.23%
"June 30, 2007",330.4%
"March 31, 2007",24.59%
"Dec. 31, 2006",32.79%
"Sept. 30, 2006",42.00%
"June 30, 2006",56.82%
"March 31, 2006",69.44%
"Dec. 31, 2005",10.91%
"Sept. 30, 2005",47.06%
"June 30, 2005",
"March 31, 2005",111.8%
"Dec. 31, 2004",12.24%
"Sept. 30, 2004",
"June 30, 2004",
"March 31, 2004",-26.09%
"Dec. 31, 2003",
"Sept. 30, 2003",
"June 30, 2003",
"March 31, 2003",
"Dec. 31, 2002",
"Sept. 30, 2002",
"June 30, 2002",
"March 31, 2002",
"Dec. 31, 2001",
"Sept. 30, 2001",
"June 30, 2001",
"March 31, 2001",
"Dec. 31, 2000",145.0%
"Sept. 30, 2000",
"June 30, 2000",-83.53%
"March 31, 2000",
"Dec. 31, 1999",-80.20%
"Sept. 30, 1999",
"June 30, 1999",7.59%
"March 31, 1999",-4.76%
