date,cash_dividend_payout_ratio
"Dec. 31, 2019",-232.0%
"Sept. 30, 2019",-89.99%
"June 30, 2019",-98.06%
"March 31, 2019",-159.3%
"Dec. 31, 2018",-157.0%
"Sept. 30, 2018",202.2%
"June 30, 2018",241.8%
"March 31, 2018",247.4%
"Dec. 31, 2017",-4.53K%
"Sept. 30, 2017",1.74K%
"June 30, 2017",307.5%
"March 31, 2017",-2.48K%
"Dec. 31, 2016",-180.2%
"Sept. 30, 2016",-95.98%
"June 30, 2016",-85.68%
"March 31, 2016",-129.2%
"Dec. 31, 2015",-463.3%
"Sept. 30, 2015",-143.9%
"June 30, 2015",-88.16%
"March 31, 2015",-85.68%
"Dec. 31, 2014",-121.1%
"Sept. 30, 2014",-706.0%
"June 30, 2014",641.1%
"March 31, 2014",-6.04K%
"Dec. 31, 2013",-121.0%
"Sept. 30, 2013",-132.6%
"June 30, 2013",-260.6%
"March 31, 2013",576.9%
"Dec. 31, 2012",168.9%
"Sept. 30, 2012",203.5%
"June 30, 2012",164.9%
"March 31, 2012",184.0%
"Dec. 31, 2011",244.3%
"Sept. 30, 2011",209.7%
"June 30, 2011",112.6%
"March 31, 2011",148.4%
"Dec. 31, 2010",234.1%
"Sept. 30, 2010",234.9%
"June 30, 2010",-1.64K%
"March 31, 2010",123.0%
"Dec. 31, 2009",88.23%
"Sept. 30, 2009",1.20K%
"June 30, 2009",-103.0%
"March 31, 2009",-70.64%
"Dec. 31, 2008",-34.54%
"Sept. 30, 2008",362.4%
"June 30, 2008",-2.06K%
"March 31, 2008",-323.4%
"Dec. 31, 2007",73.92%
"Sept. 30, 2007",-851.1%
"June 30, 2007",236.2%
"March 31, 2007",356.9%
"Dec. 31, 2006",76.76%
"Sept. 30, 2006",-76.83%
"June 30, 2006",101.8%
"March 31, 2006",661.9%
"Dec. 31, 2005",-29.66%
"Sept. 30, 2005",273.8%
"June 30, 2005",-48.92%
"March 31, 2005",-31.68%
"Dec. 31, 2004",-5.83K%
"Sept. 30, 2004",-302.1%
"June 30, 2004",-55.81%
"March 31, 2004",-154.6%
"Dec. 31, 2003",182.7%
"Sept. 30, 2003",57.09%
"June 30, 2003",14.26%
"March 31, 2003",13.63%
"Dec. 31, 2002",10.07%
"Sept. 30, 2002",14.19%
"June 30, 2002",-28.16%
"March 31, 2002",-11.14%
"Dec. 31, 2001",-6.39%
"Sept. 30, 2001",-8.82%
"June 30, 2001",-10.32%
"March 31, 2001",-11.91%
"Dec. 31, 2000",-22.61%
"Sept. 30, 2000",-13.47%
"June 30, 2000",-59.47%
"March 31, 2000",63.52%
"Dec. 31, 1999",-723.6%
"Sept. 30, 1999",34.18%
"June 30, 1999",30.34%
"March 31, 1999",41.53%
"Dec. 31, 1998",40.29%
"Sept. 30, 1998",128.1%
"June 30, 1998",253.3%
"March 31, 1998",94.29%
"Dec. 31, 1997",74.04%
"Sept. 30, 1997",71.85%
"June 30, 1997",74.35%
"March 31, 1997",125.5%
"Dec. 31, 1996",91.05%
"Sept. 30, 1996",83.45%
"June 30, 1996",79.78%
"March 31, 1996",76.26%
"Dec. 31, 1995",134.5%
"Sept. 30, 1995",119.6%
"June 30, 1995",164.1%
"March 31, 1995",183.1%
"Dec. 31, 1994",231.4%
